Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 266.1361121108078, 3.2712533227394722, null, null, 266.1361121108078, 3.2712533227394722
2100-Jan-01 01:00:00, 266.40654713541784, 3.2745774168123294, null, null, 266.40654713541784, 3.2745774168123294
2100-Jan-01 02:00:00, 266.73233222039977, 3.2785818547418288, null, null, 266.73233222039977, 3.2785818547418288
2100-Jan-01 03:00:00, 267.10549294606108, 3.2831686177107988, null, null, 267.10549294606108, 3.2831686177107988
2100-Jan-01 04:00:00, 267.52330375526668, 3.2883042041107431, null, null, 267.52330375526668, 3.2883042041107431
2100-Jan-01 05:00:00, 267.98557255507427, 3.2939862528014512, null, null, 267.98557255507427, 3.2939862528014512
2100-Jan-01 06:00:00, 268.48637659391409, 3.3001419633628726, null, null, 268.48637659391409, 3.3001419633628726
2100-Jan-01 07:00:00, 269.01697702726847, 3.3066639209314674, null, null, 269.01697702726847, 3.3066639209314674
2100-Jan-01 08:00:00, 269.54558942282006, 3.3131614422248927, null, null, 269.54558942282006, 3.3131614422248927
2100-Jan-01 09:00:00, 269.99488472919995, 3.3186840252078236, null, null, 269.99488472919995, 3.3186840252078236
2100-Jan-01 10:00:00, 270.28209137571895, 3.3222142702741033, null, null, 270.28209137571895, 3.3222142702741033
2100-Jan-01 11:00:00, 270.32464561657679, 3.3227373323294507, null, null, 270.32464561657679, 3.3227373323294507
2100-Jan-01 12:00:00, 270.09652192480632, 3.3199333145703389, null, null, 270.09652192480632, 3.3199333145703389
2100-Jan-01 13:00:00, 269.62898359699216, 3.3141864946583786, null, null, 269.62898359699216, 3.3141864946583786
2100-Jan-01 14:00:00, 268.98600178519098, 3.3062831839365328, null, null, 268.98600178519098, 3.3062831839365328
2100-Jan-01 15:00:00, 268.25873321670156, 3.2973438494646876, null, null, 268.25873321670156, 3.2973438494646876
2100-Jan-01 16:00:00, 267.5407669811741, 3.2885188560620406, null, null, 267.5407669811741, 3.2885188560620406
2100-Jan-01 17:00:00, 266.91226579628562, 3.2807935362130904, null, null, 266.91226579628562, 3.2807935362130904
2100-Jan-01 18:00:00, 266.42647416151618, 3.2748223529460225, null, null, 266.42647416151618, 3.2748223529460225
2100-Jan-01 19:00:00, 266.1023157775474, 3.270837909864468, null, null, 266.1023157775474, 3.270837909864468
2100-Jan-01 20:00:00, 265.92747019879522, 3.2686887682995636, null, null, 265.92747019879522, 3.2686887682995636
2100-Jan-01 21:00:00, 265.87595369520858, 3.2680555452010629, null, null, 265.87595369520858, 3.2680555452010629
2100-Jan-01 22:00:00, 265.92037851806401, 3.2686015998053226, null, null, 265.92037851806401, 3.2686015998053226
2100-Jan-01 23:00:00, 266.04304228464139, 3.2701093405279682, null, null, 266.04304228464139, 3.2701093405279682
2100-Jan-02 00:00:00, 266.23892500834273, 3.2725170634246958, null, null, 266.23892500834273, 3.2725170634246958
2100-Jan-02 01:00:00, 266.50696800214996, 3.275811755479729, null, null, 266.50696800214996, 3.275811755479729
2100-Jan-02 02:00:00, 266.843198311332, 3.2799445825034423, null, null, 266.843198311332, 3.2799445825034423
2100-Jan-02 03:00:00, 267.24387029103571, 3.2848695043208491, null, null, 267.24387029103571, 3.2848695043208491
2100-Jan-02 04:00:00, 267.70412799966601, 3.2905268333722573, null, null, 267.70412799966601, 3.2905268333722573
2100-Jan-02 05:00:00, 268.21755584264127, 3.2968377113812535, null, null, 268.21755584264127, 3.2968377113812535
2100-Jan-02 06:00:00, 268.78141562585449, 3.3037684814100401, null, null, 268.78141562585449, 3.3037684814100401
2100-Jan-02 07:00:00, 269.38659196395508, 3.3112071002849963, null, null, 269.38659196395508, 3.3112071002849963
2100-Jan-02 08:00:00, 269.99366499128678, 3.3186690326099768, null, null, 269.99366499128678, 3.3186690326099768
2100-Jan-02 09:00:00, 270.53103657555772, 3.3252742188308537, null, null, 270.53103657555772, 3.3252742188308537
2100-Jan-02 10:00:00, 270.92423247773462, 3.3301072472811537, null, null, 270.92423247773462, 3.3301072472811537
2100-Jan-02 11:00:00, 271.08109242669656, 3.3320353156863645, null, null, 271.08109242669656, 3.3320353156863645
