Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 228.70279163988297, 3.3754333073434539, null, null, 228.70279163988297, 3.3754333073434539
2100-Jan-01 01:00:00, 228.9259979457276, 3.3787276178053189, null, null, 228.9259979457276, 3.3787276178053189
2100-Jan-01 02:00:00, 229.19639654952448, 3.3827184412096627, null, null, 229.19639654952448, 3.3827184412096627
2100-Jan-01 03:00:00, 229.50786204947897, 3.3873153725155567, null, null, 229.50786204947897, 3.3873153725155567
2100-Jan-01 04:00:00, 229.85861619599677, 3.3924921664687728, null, null, 229.85861619599677, 3.3924921664687728
2100-Jan-01 05:00:00, 230.24877565704259, 3.3982505449762943, null, null, 230.24877565704259, 3.3982505449762943
2100-Jan-01 06:00:00, 230.67297477470751, 3.4045113160864542, null, null, 230.67297477470751, 3.4045113160864542
2100-Jan-01 07:00:00, 231.12335237189376, 3.4111584563837947, null, null, 231.12335237189376, 3.4111584563837947
2100-Jan-01 08:00:00, 231.57516710227182, 3.417826807385246, null, null, 231.57516710227182, 3.417826807385246
2100-Jan-01 09:00:00, 231.96511485226955, 3.4235820612412571, null, null, 231.96511485226955, 3.4235820612412571
2100-Jan-01 10:00:00, 232.22188947666839, 3.4273718078091138, null, null, 232.22188947666839, 3.4273718078091138
2100-Jan-01 11:00:00, 232.27346678516685, 3.4281330392910756, null, null, 232.27346678516685, 3.4281330392910756
2100-Jan-01 12:00:00, 232.09601931412317, 3.4255140852338473, null, null, 232.09601931412317, 3.4255140852338473
2100-Jan-01 13:00:00, 231.71418398422966, 3.4198785628984991, null, null, 231.71418398422966, 3.4198785628984991
2100-Jan-01 14:00:00, 231.18018543613948, 3.411997257767188, null, null, 231.18018543613948, 3.411997257767188
2100-Jan-01 15:00:00, 230.56950792939756, 3.4029842449328371, null, null, 230.56950792939756, 3.4029842449328371
2100-Jan-01 16:00:00, 229.96116796274075, 3.3940057319426025, null, null, 229.96116796274075, 3.3940057319426025
2100-Jan-01 17:00:00, 229.42509626789118, 3.3860938291584488, null, null, 229.42509626789118, 3.3860938291584488
2100-Jan-01 18:00:00, 229.00900962799491, 3.3799527904200235, null, null, 229.00900962799491, 3.3799527904200235
2100-Jan-01 19:00:00, 228.73040328287547, 3.3758408286454853, null, null, 228.73040328287547, 3.3758408286454853
2100-Jan-01 20:00:00, 228.57891872508236, 3.3736050622245481, null, null, 228.57891872508236, 3.3736050622245481
2100-Jan-01 21:00:00, 228.53218478852349, 3.3729153142555228, null, null, 228.53218478852349, 3.3729153142555228
2100-Jan-01 22:00:00, 228.56670363532018, 3.3734247792444418, null, null, 228.56670363532018, 3.3734247792444418
2100-Jan-01 23:00:00, 228.66782472979637, 3.3749172293711873, null, null, 228.66782472979637, 3.3749172293711873
2100-Jan-02 00:00:00, 228.83210473277484, 3.3773418442602661, null, null, 228.83210473277484, 3.3773418442602661
2100-Jan-02 01:00:00, 229.05913783814373, 3.3806926346036499, null, null, 229.05913783814373, 3.3806926346036499
2100-Jan-02 02:00:00, 229.34551350778631, 3.38491926413796, null, null, 229.34551350778631, 3.38491926413796
2100-Jan-02 03:00:00, 229.68813108957164, 3.3899759702190151, null, null, 229.68813108957164, 3.3899759702190151
2100-Jan-02 04:00:00, 230.08271654416814, 3.3957996721357611, null, null, 230.08271654416814, 3.3957996721357611
2100-Jan-02 05:00:00, 230.52348927338281, 3.4023050538169017, null, null, 230.52348927338281, 3.4023050538169017
2100-Jan-02 06:00:00, 231.00822039205755, 3.4094592190605728, null, null, 231.00822039205755, 3.4094592190605728
2100-Jan-02 07:00:00, 231.52871998663085, 3.4171412926171909, null, null, 231.52871998663085, 3.4171412926171909
2100-Jan-02 08:00:00, 232.05340615273909, 3.4248851559442848, null, null, 232.05340615273909, 3.4248851559442848
2100-Jan-02 09:00:00, 232.52273428081656, 3.4318119878566837, null, null, 232.52273428081656, 3.4318119878566837
2100-Jan-02 10:00:00, 232.87201751721901, 3.4369670725908743, null, null, 232.87201751721901, 3.4369670725908743
2100-Jan-02 11:00:00, 233.0217636129162, 3.4391771809828033, null, null, 233.0217636129162, 3.4391771809828033
2100-Jan-02 12:00:00, 232.95228971111513, 3.4381518129912325, null, null, 232.95228971111513, 3.4381518129912325
2100-Jan-02 13:00:00, 232.68417268529879, 3.4341946634841491, null, null, 232.68417268529879, 3.4341946634841491
2100-Jan-02 14:00:00, 232.17199570896994, 3.4266354237706391, null, null, 232.17199570896994, 3.4266354237706391
2100-Jan-02 15:00:00, 231.45410560354037, 3.4160400560643502, null, null, 231.45410560354037, 3.4160400560643502
2100-Jan-02 16:00:00, 230.67122662306241, 3.4044855150490165, null, null, 230.67122662306241, 3.4044855150490165
2100-Jan-02 17:00:00, 229.95991803290832, 3.3939872841800804, null, null, 229.95991803290832, 3.3939872841800804
2100-Jan-02 18:00:00, 229.40040095355729, 3.3857293500633743, null, null, 229.40040095355729, 3.3857293500633743
2100-Jan-02 19:00:00, 229.02282151348979, 3.3801566405698287, null, null, 229.02282151348979, 3.3801566405698287
2100-Jan-02 20:00:00, 228.82110501725538, 3.3771794990354027, null, null, 228.82110501725538, 3.3771794990354027
2100-Jan-02 21:00:00, 228.77219570802376, 3.3764576446573438, null, null, 228.77219570802376, 3.3764576446573438
2100-Jan-02 22:00:00, 228.84770630606243, 3.3775721084811106, null, null, 228.84770630606243, 3.3775721084811106
2100-Jan-02 23:00:00, 229.02585258793329, 3.3802013763142429, null, null, 229.02585258793329, 3.3802013763142429
2100-Jan-03 00:00:00, 229.28600950696531, 3.3840410422988159, null, null, 229.28600950696531, 3.3840410422988159
2100-Jan-03 01:00:00, 229.60686577486786, 3.3887765723104195, null, null, 229.60686577486786, 3.3887765723104195
2100-Jan-03 02:00:00, 229.97103787215607, 3.3941514023156749, null, null, 229.97103787215607, 3.3941514023156749
2100-Jan-03 03:00:00, 230.36731538038049, 3.4000000773170629, null, null, 230.36731538038049, 3.4000000773170629
2100-Jan-03 04:00:00, 230.78967157633377, 3.406233648674724, null, null, 230.78967157633377, 3.406233648674724
2100-Jan-03 05:00:00, 231.23482026192042, 3.4128036152644423, null, null, 231.23482026192042, 3.4128036152644423
2100-Jan-03 06:00:00, 231.70667058635254, 3.4197676723699493, null, null, 231.70667058635254, 3.4197676723699493
2100-Jan-03 07:00:00, 232.20154526344282, 3.4270715467828232, null, null, 232.20154526344282, 3.4270715467828232
2100-Jan-03 08:00:00, 232.69916466140165, 3.4344159306366735, null, null, 232.69916466140165, 3.4344159306366735
2100-Jan-03 09:00:00, 233.15743476406237, 3.4411795567261896, null, null, 233.15743476406237, 3.4411795567261896
2100-Jan-03 10:00:00, 233.52214544329792, 3.4465623356831423, null, null, 233.52214544329792, 3.4465623356831423
2100-Jan-03 11:00:00, 233.7453328042302, 3.4498563665363169, null, null, 233.7453328042302, 3.4498563665363169
2100-Jan-03 12:00:00, 233.79117674757518, 3.450532979061232, null, null, 233.79117674757518, 3.450532979061232
2100-Jan-03 13:00:00, 233.64104464199181, 3.4483171735345306, null, null, 233.64104464199181, 3.4483171735345306
2100-Jan-03 14:00:00, 233.29985146948906, 3.4432814903649196, null, null, 233.29985146948906, 3.4432814903649196
2100-Jan-03 15:00:00, 232.80766957281995, 3.4360173588019598, null, null, 232.80766957281995, 3.4360173588019598
2100-Jan-03 16:00:00, 232.23684299686903, 3.4275925073894964, null, null, 232.23684299686903, 3.4275925073894964
2100-Jan-03 17:00:00, 231.68151870400936, 3.4193964547700468, null, null, 231.68151870400936, 3.4193964547700468
2100-Jan-03 18:00:00, 231.21772319450977, 3.4125512789882562, null, null, 231.21772319450977, 3.4125512789882562
2100-Jan-03 19:00:00, 230.88417532395343, 3.4076284331244322, null, null, 230.88417532395343, 3.4076284331244322
2100-Jan-03 20:00:00, 230.68818643730725, 3.4047358256004441, null, null, 230.68818643730725, 3.4047358256004441
2100-Jan-03 21:00:00, 230.62526073931355, 3.4038071028009855, null, null, 230.62526073931355, 3.4038071028009855
2100-Jan-03 22:00:00, 230.68556013051474, 3.404697063837375, null, null, 230.68556013051474, 3.404697063837375
2100-Jan-03 23:00:00, 230.85223310855773, 3.4071569967375659, null, null, 230.85223310855773, 3.4071569967375659
2100-Jan-04 00:00:00, 231.10184182166975, 3.4108409813448377, null, null, 231.10184182166975, 3.4108409813448377
2100-Jan-04 01:00:00, 231.41862581011185, 3.4155164084270933, null, null, 231.41862581011185, 3.4155164084270933
2100-Jan-04 02:00:00, 231.79025737883384, 3.4210013330584452, null, null, 231.79025737883384, 3.4210013330584452
2100-Jan-04 03:00:00, 232.20150063080862, 3.4270708880480565, null, null, 232.20150063080862, 3.4270708880480565
2100-Jan-04 04:00:00, 232.63871687593917, 3.4335237794436679, null, null, 232.63871687593917, 3.4335237794436679
2100-Jan-04 05:00:00, 233.09365863058264, 3.4402382823166491, null, null, 233.09365863058264, 3.4402382823166491
2100-Jan-04 06:00:00, 233.56452823198785, 3.4471878648932424, null, null, 233.56452823198785, 3.4471878648932424
2100-Jan-04 07:00:00, 234.04892288369712, 3.4543370642080151, null, null, 234.04892288369712, 3.4543370642080151
2100-Jan-04 08:00:00, 234.54271433953701, 3.4616249513167481, null, null, 234.54271433953701, 3.4616249513167481
2100-Jan-04 09:00:00, 235.02257544356908, 3.4687072398268022, null, null, 235.02257544356908, 3.4687072398268022
2100-Jan-04 10:00:00, 235.453828619506, 3.4750721220545944, null, null, 235.453828619506, 3.4750721220545944
2100-Jan-04 11:00:00, 235.78172007215215, 3.479911484628698, null, null, 235.78172007215215, 3.479911484628698
2100-Jan-04 12:00:00, 235.97622483417751, 3.4827821879002658, null, null, 235.97622483417751, 3.4827821879002658
2100-Jan-04 13:00:00, 236.04125271089808, 3.4837419368364926, null, null, 236.04125271089808, 3.4837419368364926
2100-Jan-04 14:00:00, 235.99896672402789, 3.4831178363281774, null, null, 235.99896672402789, 3.4831178363281774
2100-Jan-04 15:00:00, 235.88150552859355, 3.4813842220222631, null, null, 235.88150552859355, 3.4813842220222631
2100-Jan-04 16:00:00, 235.73031017376789, 3.4791527239590572, null, null, 235.73031017376789, 3.4791527239590572
2100-Jan-04 17:00:00, 235.59105658689435, 3.4770974749088395, null, null, 235.59105658689435, 3.4770974749088395
2100-Jan-04 18:00:00, 235.49325375960527, 3.4756539992152691, null, null, 235.49325375960527, 3.4756539992152691
2100-Jan-04 19:00:00, 235.45028348705677, 3.4750197993082814, null, null, 235.45028348705677, 3.4750197993082814
2100-Jan-04 20:00:00, 235.47075102516638, 3.4753218804912835, null, null, 235.47075102516638, 3.4753218804912835
2100-Jan-04 21:00:00, 235.55458624779905, 3.4765592077699488, null, null, 235.55458624779905, 3.4765592077699488
2100-Jan-04 22:00:00, 235.6996435983811, 3.478700114792197, null, null, 235.6996435983811, 3.478700114792197
2100-Jan-04 23:00:00, 235.89587073245733, 3.4815962386191783, null, null, 235.89587073245733, 3.4815962386191783
2100-Jan-05 00:00:00, 236.12618889180621, 3.484995513200734, null, null, 236.12618889180621, 3.484995513200734
2100-Jan-05 01:00:00, 236.37702970112051, 3.4886976823632936, null, null, 236.37702970112051, 3.4886976823632936
2100-Jan-05 02:00:00, 236.64463019775198, 3.4926472083962503, null, null, 236.64463019775198, 3.4926472083962503
2100-Jan-05 03:00:00, 236.92526866082906, 3.4967891622779659, null, null, 236.92526866082906, 3.4967891622779659
2100-Jan-05 04:00:00, 237.21887144871087, 3.5011224571286279, null, null, 237.21887144871087, 3.5011224571286279
2100-Jan-05 05:00:00, 237.52779493136882, 3.5056818707033695, null, null, 237.52779493136882, 3.5056818707033695
2100-Jan-05 06:00:00, 237.85403648950535, 3.5104968824208811, null, null, 237.85403648950535, 3.5104968824208811
2100-Jan-05 07:00:00, 238.19541855272604, 3.5155353534358706, null, null, 238.19541855272604, 3.5155353534358706
2100-Jan-05 08:00:00, 238.5419824377376, 3.5206503031581828, null, null, 238.5419824377376, 3.5206503031581828
2100-Jan-05 09:00:00, 238.85561840165317, 3.5252792684252459, null, null, 238.85561840165317, 3.5252792684252459
2100-Jan-05 10:00:00, 239.06939436352508, 3.5284343960773299, null, null, 239.06939436352508, 3.5284343960773299
2100-Jan-05 11:00:00, 239.12246911423645, 3.5292177283665667, null, null, 239.12246911423645, 3.5292177283665667
2100-Jan-05 12:00:00, 239.00663933160294, 3.5275081921449924, null, null, 239.00663933160294, 3.5275081921449924
2100-Jan-05 13:00:00, 238.75191958217394, 3.523748773555933, null, null, 238.75191958217394, 3.523748773555933
2100-Jan-05 14:00:00, 238.37804627906752, 3.5182307630804899, null, null, 238.37804627906752, 3.5182307630804899
2100-Jan-05 15:00:00, 237.91799009772771, 3.5114407761869812, null, null, 237.91799009772771, 3.5114407761869812
2100-Jan-05 16:00:00, 237.42074023779921, 3.5041018463591485, null, null, 237.42074023779921, 3.5041018463591485
2100-Jan-05 17:00:00, 236.94364395526384, 3.4970603639560158, null, null, 236.94364395526384, 3.4970603639560158
2100-Jan-05 18:00:00, 236.53168924316452, 3.4909803084990334, null, null, 236.53168924316452, 3.4909803084990334
2100-Jan-05 19:00:00, 236.21058944473003, 3.4862411842109324, null, null, 236.21058944473003, 3.4862411842109324
2100-Jan-05 20:00:00, 235.98980926358593, 3.4829826810169333, null, null, 235.98980926358593, 3.4829826810169333
2100-Jan-05 21:00:00, 235.86724632156924, 3.4811737698367824, null, null, 235.86724632156924, 3.4811737698367824
2100-Jan-05 22:00:00, 235.834711367556, 3.4806935851978378, null, null, 235.834711367556, 3.4806935851978378
2100-Jan-05 23:00:00, 235.88299000468996, 3.4814061314621254, null, null, 235.88299000468996, 3.4814061314621254
2100-Jan-06 00:00:00, 236.0020727452019, 3.483163678214273, null, null, 236.0020727452019, 3.483163678214273
2100-Jan-06 01:00:00, 236.18272202135614, 3.4858298878364038, null, null, 236.18272202135614, 3.4858298878364038
2100-Jan-06 02:00:00, 236.41653484288437, 3.4892807402716164, null, null, 236.41653484288437, 3.4892807402716164
2100-Jan-06 03:00:00, 236.69443143809551, 3.4933822268199308, null, null, 236.69443143809551, 3.4933822268199308
2100-Jan-06 04:00:00, 237.01006703107652, 3.4980407046893607, null, null, 237.01006703107652, 3.4980407046893607
2100-Jan-06 05:00:00, 237.35922165506048, 3.503193891227915, null, null, 237.35922165506048, 3.503193891227915
2100-Jan-06 06:00:00, 237.73722237942317, 3.5087728184725937, null, null, 237.73722237942317, 3.5087728184725937
2100-Jan-06 07:00:00, 238.1391701326209, 3.5147051808378587, null, null, 238.1391701326209, 3.5147051808378587
2100-Jan-06 08:00:00, 238.55805793032076, 3.5208875619721574, null, null, 238.55805793032076, 3.5208875619721574
2100-Jan-06 09:00:00, 238.98249232982391, 3.5271518056160263, null, null, 238.98249232982391, 3.5271518056160263
2100-Jan-06 10:00:00, 239.3938085275984, 3.5332224372155041, null, null, 239.3938085275984, 3.5332224372155041
2100-Jan-06 11:00:00, 239.74674124019947, 3.5384313847094226, null, null, 239.74674124019947, 3.5384313847094226
2100-Jan-06 12:00:00, 239.97592024838102, 3.5418138465150397, null, null, 239.97592024838102, 3.5418138465150397
2100-Jan-06 13:00:00, 240.04636368501627, 3.5428535239085575, null, null, 240.04636368501627, 3.5428535239085575
2100-Jan-06 14:00:00, 239.9461850205075, 3.5413749831419867, null, null, 239.9461850205075, 3.5413749831419867
2100-Jan-06 15:00:00, 239.7037802927141, 3.537797322431401, null, null, 239.7037802927141, 3.537797322431401
2100-Jan-06 16:00:00, 239.3941682543184, 3.5332277464360149, null, null, 239.3941682543184, 3.5332277464360149
2100-Jan-06 17:00:00, 239.10397334889595, 3.5289447486537808, null, null, 239.10397334889595, 3.5289447486537808
2100-Jan-06 18:00:00, 238.89566759114481, 3.5258703559549298, null, null, 238.89566759114481, 3.5258703559549298
2100-Jan-06 19:00:00, 238.79247982679317, 3.5243474037679214, null, null, 238.79247982679317, 3.5243474037679214
2100-Jan-06 20:00:00, 238.7921899654603, 3.5243431256933491, null, null, 238.7921899654603, 3.5243431256933491
2100-Jan-06 21:00:00, 238.88326419069992, 3.5256872936902068, null, null, 238.88326419069992, 3.5256872936902068
2100-Jan-06 22:00:00, 239.05482312391626, 3.5282193385909206, null, null, 239.05482312391626, 3.5282193385909206
2100-Jan-06 23:00:00, 239.29505874070719, 3.5317649853087061, null, null, 239.29505874070719, 3.5317649853087061
2100-Jan-07 00:00:00, 239.5906918928948, 3.5361282463843304, null, null, 239.5906918928948, 3.5361282463843304
2100-Jan-07 01:00:00, 239.92978589001603, 3.5411329477436628, null, null, 239.92978589001603, 3.5411329477436628
2100-Jan-07 02:00:00, 240.30645988545234, 3.5466922937450351, null, null, 240.30645988545234, 3.5466922937450351
2100-Jan-07 03:00:00, 240.72342965152751, 3.5528463665767367, null, null, 240.72342965152751, 3.5528463665767367
2100-Jan-07 04:00:00, 241.18114312543167, 3.5596017773610038, null, null, 241.18114312543167, 3.5596017773610038
2100-Jan-07 05:00:00, 241.6703047481812, 3.5668213325848979, null, null, 241.6703047481812, 3.5668213325848979
2100-Jan-07 06:00:00, 242.18320717820859, 3.5743912792974766, null, null, 242.18320717820859, 3.5743912792974766
2100-Jan-07 07:00:00, 242.70445915235626, 3.5820844572532007, null, null, 242.70445915235626, 3.5820844572532007
2100-Jan-07 08:00:00, 243.20938789663214, 3.5895367200307691, null, null, 243.20938789663214, 3.5895367200307691
2100-Jan-07 09:00:00, 243.66672966570215, 3.5962866448090773, null, null, 243.66672966570215, 3.5962866448090773
2100-Jan-07 10:00:00, 244.03846604541252, 3.6017731163498423, null, null, 244.03846604541252, 3.6017731163498423
2100-Jan-07 11:00:00, 244.26873402235887, 3.6051716502873865, null, null, 244.26873402235887, 3.6051716502873865
2100-Jan-07 12:00:00, 244.32449362169325, 3.6059946083608225, null, null, 244.32449362169325, 3.6059946083608225
2100-Jan-07 13:00:00, 244.2232710292333, 3.6045006602214271, null, null, 244.2232710292333, 3.6045006602214271
