Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 31.817510431045253, 5.3078182751924112, null, null, 31.817510431045253, 5.3078182751924112
2100-Jan-01 01:00:00, 31.927967569115879, 5.3262448085111416, null, null, 31.927967569115879, 5.3262448085111416
2100-Jan-01 02:00:00, 32.063902899838418, 5.348921630892236, null, null, 32.063902899838418, 5.348921630892236
2100-Jan-01 03:00:00, 32.223164863783296, 5.3754898177590764, null, null, 32.223164863783296, 5.3754898177590764
2100-Jan-01 04:00:00, 32.403888908864865, 5.4056383232912593, null, null, 32.403888908864865, 5.4056383232912593
2100-Jan-01 05:00:00, 32.605331616577779, 5.4392431299187312, null, null, 32.605331616577779, 5.4392431299187312
2100-Jan-01 06:00:00, 32.821669982485673, 5.4753328401642811, null, null, 32.821669982485673, 5.4753328401642811
2100-Jan-01 07:00:00, 33.046172374318836, 5.5127844786505458, null, null, 33.046172374318836, 5.5127844786505458
2100-Jan-01 08:00:00, 33.258123747491794, 5.5481423478470582, null, null, 33.258123747491794, 5.5481423478470582
2100-Jan-01 09:00:00, 33.416500147767124, 5.574562804392909, null, null, 33.416500147767124, 5.574562804392909
2100-Jan-01 10:00:00, 33.486484925487495, 5.5862377116102566, null, null, 33.486484925487495, 5.5862377116102566
2100-Jan-01 11:00:00, 33.437306851628065, 5.5780337925847396, null, null, 33.437306851628065, 5.5780337925847396
2100-Jan-01 12:00:00, 33.272003816397095, 5.5504578301836203, null, null, 33.272003816397095, 5.5504578301836203
2100-Jan-01 13:00:00, 33.012314672890056, 5.507136314354689, null, null, 33.012314672890056, 5.507136314354689
2100-Jan-01 14:00:00, 32.688372969853063, 5.4530961437636227, null, null, 32.688372969853063, 5.4530961437636227
2100-Jan-01 15:00:00, 32.343218084225605, 5.3955171759284202, null, null, 32.343218084225605, 5.3955171759284202
2100-Jan-01 16:00:00, 32.018557321560529, 5.3413570513314257, null, null, 32.018557321560529, 5.3413570513314257
2100-Jan-01 17:00:00, 31.751458345802572, 5.2967994223526995, null, null, 31.751458345802572, 5.2967994223526995
2100-Jan-01 18:00:00, 31.562844957567552, 5.2653348113426892, null, null, 31.562844957567552, 5.2653348113426892
2100-Jan-01 19:00:00, 31.453868539329058, 5.2471552926922636, null, null, 31.453868539329058, 5.2471552926922636
2100-Jan-01 20:00:00, 31.410213658080384, 5.2398727563355854, null, null, 31.410213658080384, 5.2398727563355854
2100-Jan-01 21:00:00, 31.416193262948994, 5.2408702780011733, null, null, 31.416193262948994, 5.2408702780011733
2100-Jan-01 22:00:00, 31.458336790548692, 5.2479006893358235, null, null, 31.458336790548692, 5.2479006893358235
2100-Jan-01 23:00:00, 31.530780423881353, 5.2599857844835958, null, null, 31.530780423881353, 5.2599857844835958
2100-Jan-02 00:00:00, 31.634999767866155, 5.2773717248396128, null, null, 31.634999767866155, 5.2773717248396128
2100-Jan-02 01:00:00, 31.771505453430866, 5.3001436941952376, null, null, 31.771505453430866, 5.3001436941952376
2100-Jan-02 02:00:00, 31.93647462289664, 5.3276639608871088, null, null, 31.93647462289664, 5.3276639608871088
2100-Jan-02 03:00:00, 32.126452457831199, 5.3593561898040276, null, null, 32.126452457831199, 5.3593561898040276
2100-Jan-02 04:00:00, 32.338234532346597, 5.3946858164857607, null, null, 32.338234532346597, 5.3946858164857607
2100-Jan-02 05:00:00, 32.566916432851336, 5.4328346833914649, null, null, 32.566916432851336, 5.4328346833914649
2100-Jan-02 06:00:00, 32.812002572836541, 5.4737201164497513, null, null, 32.812002572836541, 5.4737201164497513
2100-Jan-02 07:00:00, 33.067196068176685, 5.51629166525814, null, null, 33.067196068176685, 5.51629166525814
2100-Jan-02 08:00:00, 33.307091280434996, 5.5563111442967452, null, null, 33.307091280434996, 5.5563111442967452
2100-Jan-02 09:00:00, 33.494816844197715, 5.587627647837146, null, null, 33.494816844197715, 5.587627647837146
2100-Jan-02 10:00:00, 33.59908570539065, 5.6050218486867935, null, null, 33.59908570539065, 5.6050218486867935
2100-Jan-02 11:00:00, 33.583742499504325, 5.6024622848648544, null, null, 33.583742499504325, 5.6024622848648544
2100-Jan-02 12:00:00, 33.457358774253663, 5.5813788676683336, null, null, 33.457358774253663, 5.5813788676683336
2100-Jan-02 13:00:00, 33.237370864740321, 5.5446803381285443, null, null, 33.237370864740321, 5.5446803381285443
2100-Jan-02 14:00:00, 32.907653928589333, 5.4896767393040724, null, null, 32.907653928589333, 5.4896767393040724
2100-Jan-02 15:00:00, 32.510215674889551, 5.4233758251951567, null, null, 32.510215674889551, 5.4233758251951567
2100-Jan-02 16:00:00, 32.124707887945476, 5.3590651594941026, null, null, 32.124707887945476, 5.3590651594941026
2100-Jan-02 17:00:00, 31.807071874722773, 5.3060769082763803, null, null, 31.807071874722773, 5.3060769082763803
2100-Jan-02 18:00:00, 31.580358565692961, 5.2682564431112731, null, null, 31.580358565692961, 5.2682564431112731
2100-Jan-02 19:00:00, 31.449029320573555, 5.2463480109973686, null, null, 31.449029320573555, 5.2463480109973686
2100-Jan-02 20:00:00, 31.402064959596519, 5.2385133850288508, null, null, 31.402064959596519, 5.2385133850288508
2100-Jan-02 21:00:00, 31.424102829596308, 5.242189757175713, null, null, 31.424102829596308, 5.242189757175713
2100-Jan-02 22:00:00, 31.49897170609297, 5.2546794330029067, null, null, 31.49897170609297, 5.2546794330029067
2100-Jan-02 23:00:00, 31.610925560022672, 5.2733556494578089, null, null, 31.610925560022672, 5.2733556494578089
2100-Jan-03 00:00:00, 31.74920314097524, 5.2964232075818192, null, null, 31.74920314097524, 5.2964232075818192
2100-Jan-03 01:00:00, 31.906833102032309, 5.3227191426402767, null, null, 31.906833102032309, 5.3227191426402767
2100-Jan-03 02:00:00, 32.08016163933808, 5.3516339246411428, null, null, 32.08016163933808, 5.3516339246411428
2100-Jan-03 03:00:00, 32.266405322903417, 5.3827032199403337, null, null, 32.266405322903417, 5.3827032199403337
2100-Jan-03 04:00:00, 32.462814684924858, 5.4154683604881964, null, null, 32.462814684924858, 5.4154683604881964
2100-Jan-03 05:00:00, 32.667134427931352, 5.4495531160589632, null, null, 32.667134427931352, 5.4495531160589632
2100-Jan-03 06:00:00, 32.878334385112943, 5.4847856335394791, null, null, 32.878334385112943, 5.4847856335394791
2100-Jan-03 07:00:00, 33.094424593801335, 5.5208339460324405, null, null, 33.094424593801335, 5.5208339460324405
2100-Jan-03 08:00:00, 33.301038815500874, 5.5553014680665163, null, null, 33.301038815500874, 5.5553014680665163
2100-Jan-03 09:00:00, 33.470189231784047, 5.583519253136469, null, null, 33.470189231784047, 5.583519253136469
2100-Jan-03 10:00:00, 33.57127104189054, 5.6003817880018394, null, null, 33.57127104189054, 5.6003817880018394
2100-Jan-03 11:00:00, 33.58320256158401, 5.6023722120614794, null, null, 33.58320256158401, 5.6023722120614794
2100-Jan-03 12:00:00, 33.494030795208793, 5.587496518621438, null, null, 33.494030795208793, 5.587496518621438
2100-Jan-03 13:00:00, 33.303907428569524, 5.5557800120086398, null, null, 33.303907428569524, 5.5557800120086398
2100-Jan-03 14:00:00, 33.027352682949605, 5.5096449652055961, null, null, 33.027352682949605, 5.5096449652055961
2100-Jan-03 15:00:00, 32.696847773627873, 5.4545099161721238, null, null, 32.696847773627873, 5.4545099161721238
2100-Jan-03 16:00:00, 32.356487942116189, 5.3977308624572107, null, null, 32.356487942116189, 5.3977308624572107
2100-Jan-03 17:00:00, 32.05702417323603, 5.3477741171403563, null, null, 32.05702417323603, 5.3477741171403563
2100-Jan-03 18:00:00, 31.830502330260721, 5.3099855924699453, null, null, 31.830502330260721, 5.3099855924699453
2100-Jan-03 19:00:00, 31.68513653530816, 5.2857355737669032, null, null, 31.68513653530816, 5.2857355737669032
2100-Jan-03 20:00:00, 31.613947413236513, 5.2738597570229855, null, null, 31.613947413236513, 5.2738597570229855
2100-Jan-03 21:00:00, 31.604527310623059, 5.2722882892328125, null, null, 31.604527310623059, 5.2722882892328125
2100-Jan-03 22:00:00, 31.651826337887055, 5.2801787444541519, null, null, 31.651826337887055, 5.2801787444541519
2100-Jan-03 23:00:00, 31.749095345441738, 5.2964052250591465, null, null, 31.749095345441738, 5.2964052250591465
2100-Jan-04 00:00:00, 31.884338716824065, 5.3189666143223784, null, null, 31.884338716824065, 5.3189666143223784
2100-Jan-04 01:00:00, 32.045470596018077, 5.3458467416961266, null, null, 32.045470596018077, 5.3458467416961266
2100-Jan-04 02:00:00, 32.226924189641416, 5.3761169510018041, null, null, 32.226924189641416, 5.3761169510018041
2100-Jan-04 03:00:00, 32.422941307436425, 5.4088166571066445, null, null, 32.422941307436425, 5.4088166571066445
2100-Jan-04 04:00:00, 32.630654216712777, 5.4434674629338238, null, null, 32.630654216712777, 5.4434674629338238
2100-Jan-04 05:00:00, 32.848860787941092, 5.479868828434836, null, null, 32.848860787941092, 5.479868828434836
2100-Jan-04 06:00:00, 33.076957731764494, 5.5179201124774764, null, null, 33.076957731764494, 5.5179201124774764
2100-Jan-04 07:00:00, 33.308678931085403, 5.5565759972353534, null, null, 33.308678931085403, 5.5565759972353534
2100-Jan-04 08:00:00, 33.539462359567459, 5.5950754424374951, null, null, 33.539462359567459, 5.5950754424374951
2100-Jan-04 09:00:00, 33.750460137994665, 5.6302742323235879, null, null, 33.750460137994665, 5.6302742323235879
2100-Jan-04 10:00:00, 33.920747176293666, 5.6586816294350202, null, null, 33.920747176293666, 5.6586816294350202
2100-Jan-04 11:00:00, 34.018307034183024, 5.6749566298865028, null, null, 34.018307034183024, 5.6749566298865028
2100-Jan-04 12:00:00, 34.036637055949136, 5.6780144563222219, null, null, 34.036637055949136, 5.6780144563222219
2100-Jan-04 13:00:00, 33.98704123912276, 5.6697408491368133, null, null, 33.98704123912276, 5.6697408491368133
2100-Jan-04 14:00:00, 33.886967529189903, 5.6530464862136336, null, null, 33.886967529189903, 5.6530464862136336
2100-Jan-04 15:00:00, 33.757293183563938, 5.631414125535108, null, null, 33.757293183563938, 5.631414125535108
2100-Jan-04 16:00:00, 33.623810944255396, 5.6091465294970417, null, null, 33.623810944255396, 5.6091465294970417
2100-Jan-04 17:00:00, 33.50875811710133, 5.5899533402654589, null, null, 33.50875811710133, 5.5899533402654589
2100-Jan-04 18:00:00, 33.42419150801441, 5.5758458822305066, null, null, 33.42419150801441, 5.5758458822305066
2100-Jan-04 19:00:00, 33.374946303398019, 5.5676307644074159, null, null, 33.374946303398019, 5.5676307644074159
2100-Jan-04 20:00:00, 33.359994542170789, 5.565136501644143, null, null, 33.359994542170789, 5.565136501644143
2100-Jan-04 21:00:00, 33.378465304105411, 5.5682178064484829, null, null, 33.378465304105411, 5.5682178064484829
2100-Jan-04 22:00:00, 33.426327383602157, 5.5762021904181873, null, null, 33.426327383602157, 5.5762021904181873
2100-Jan-04 23:00:00, 33.496797479661616, 5.5879580587640021, null, null, 33.496797479661616, 5.5879580587640021
2100-Jan-05 00:00:00, 33.581392513455881, 5.6020702586275588, null, null, 33.581392513455881, 5.6020702586275588
2100-Jan-05 01:00:00, 33.676306552874635, 5.6179038818801077, null, null, 33.676306552874635, 5.6179038818801077
2100-Jan-05 02:00:00, 33.783262383336918, 5.6357463247323354, null, null, 33.783262383336918, 5.6357463247323354
2100-Jan-05 03:00:00, 33.898830602378837, 5.6550254919818137, null, null, 33.898830602378837, 5.6550254919818137
2100-Jan-05 04:00:00, 34.023371150295496, 5.6758014291082306, null, null, 34.023371150295496, 5.6758014291082306
2100-Jan-05 05:00:00, 34.157745673410325, 5.6982178765249722, null, null, 34.157745673410325, 5.6982178765249722
2100-Jan-05 06:00:00, 34.297277888103913, 5.7214947334850335, null, null, 34.297277888103913, 5.7214947334850335
2100-Jan-05 07:00:00, 34.4405499323111, 5.745395471294648, null, null, 34.4405499323111, 5.745395471294648
2100-Jan-05 08:00:00, 34.582317709151212, 5.7690452662204992, null, null, 34.582317709151212, 5.7690452662204992
2100-Jan-05 09:00:00, 34.692440513022397, 5.7874160256854692, null, null, 34.692440513022397, 5.7874160256854692
2100-Jan-05 10:00:00, 34.729752078527362, 5.7936403658862048, null, null, 34.729752078527362, 5.7936403658862048
2100-Jan-05 11:00:00, 34.667539823848806, 5.7832620761378788, null, null, 34.667539823848806, 5.7832620761378788
2100-Jan-05 12:00:00, 34.516476847372061, 5.7580616498196129, null, null, 34.516476847372061, 5.7580616498196129
2100-Jan-05 13:00:00, 34.300660216508746, 5.7220589757615867, null, null, 34.300660216508746, 5.7220589757615867
2100-Jan-05 14:00:00, 34.028177219901785, 5.6766031808399822, null, null, 34.028177219901785, 5.6766031808399822
2100-Jan-05 15:00:00, 33.723922209886169, 5.6258471574867528, null, null, 33.723922209886169, 5.6258471574867528
2100-Jan-05 16:00:00, 33.420067332799377, 5.5751578845751313, null, null, 33.420067332799377, 5.5751578845751313
2100-Jan-05 17:00:00, 33.151016866025067, 5.5302747065656943, null, null, 33.151016866025067, 5.5302747065656943
2100-Jan-05 18:00:00, 32.93793349704454, 5.4947279970748459, null, null, 32.93793349704454, 5.4947279970748459
2100-Jan-05 19:00:00, 32.789410545369819, 5.4699512993852801, null, null, 32.789410545369819, 5.4699512993852801
2100-Jan-05 20:00:00, 32.704798166762117, 5.4558362060483967, null, null, 32.704798166762117, 5.4558362060483967
2100-Jan-05 21:00:00, 32.677682560059495, 5.4513127624838535, null, null, 32.677682560059495, 5.4513127624838535
2100-Jan-05 22:00:00, 32.700146687233378, 5.4550602431363133, null, null, 32.700146687233378, 5.4550602431363133
2100-Jan-05 23:00:00, 32.763901780865126, 5.4656959103060805, null, null, 32.763901780865126, 5.4656959103060805
2100-Jan-06 00:00:00, 32.860875238596556, 5.4818730870927741, null, null, 32.860875238596556, 5.4818730870927741
2100-Jan-06 01:00:00, 32.986213066562911, 5.5027820270079353, null, null, 32.986213066562911, 5.5027820270079353
