Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 344.56466860763692, 5.171636283909268, null, null, 344.56466860763692, 5.171636283909268
2100-Jan-01 01:00:00, 345.50290053053214, 5.1857183843021328, null, null, 345.50290053053214, 5.1857183843021328
2100-Jan-01 02:00:00, 346.78479515999868, 5.204958583260102, null, null, 346.78479515999868, 5.204958583260102
2100-Jan-01 03:00:00, 348.39036477990351, 5.2290568813711529, null, null, 348.39036477990351, 5.2290568813711529
2100-Jan-01 04:00:00, 350.26263947014229, 5.2571582063288478, null, null, 350.26263947014229, 5.2571582063288478
2100-Jan-01 05:00:00, 352.37456184565912, 5.2888564487231076, null, null, 352.37456184565912, 5.2888564487231076
2100-Jan-01 06:00:00, 354.67218027568487, 5.3233418383230227, null, null, 354.67218027568487, 5.3233418383230227
2100-Jan-01 07:00:00, 357.07250377370826, 5.3593687477146918, null, null, 357.07250377370826, 5.3593687477146918
2100-Jan-01 08:00:00, 359.3459532264539, 5.3934913805631615, null, null, 359.3459532264539, 5.3934913805631615
2100-Jan-01 09:00:00, 361.12533540176236, 5.4201984641940877, null, null, 361.12533540176236, 5.4201984641940877
2100-Jan-01 10:00:00, 362.09759445502937, 5.434791284222773, null, null, 362.09759445502937, 5.434791284222773
2100-Jan-01 11:00:00, 361.98706403874246, 5.4331323122984179, null, null, 361.98706403874246, 5.4331323122984179
2100-Jan-01 12:00:00, 360.76560138016072, 5.4147991482218796, null, null, 360.76560138016072, 5.4147991482218796
2100-Jan-01 13:00:00, 358.57618678756887, 5.3819378104842546, null, null, 358.57618678756887, 5.3819378104842546
2100-Jan-01 14:00:00, 355.66724382482198, 5.3382769353435853, null, null, 355.66724382482198, 5.3382769353435853
2100-Jan-01 15:00:00, 352.43136031053893, 5.28970894762565, null, null, 352.43136031053893, 5.28970894762565
2100-Jan-01 16:00:00, 349.28327529561119, 5.2424587441912092, null, null, 349.28327529561119, 5.2424587441912092
2100-Jan-01 17:00:00, 346.61137769759478, 5.2023557277657888, null, null, 346.61137769759478, 5.2023557277657888
2100-Jan-01 18:00:00, 344.65027712958863, 5.1729211984076882, null, null, 344.65027712958863, 5.1729211984076882
2100-Jan-01 19:00:00, 343.45232867311694, 5.1549409634382206, null, null, 343.45232867311694, 5.1549409634382206
2100-Jan-01 20:00:00, 342.92028121681363, 5.1469553625323048, null, null, 342.92028121681363, 5.1469553625323048
2100-Jan-01 21:00:00, 342.92489799507644, 5.1470246566304931, null, null, 342.92489799507644, 5.1470246566304931
2100-Jan-01 22:00:00, 343.33795676786849, 5.1532243338794421, null, null, 343.33795676786849, 5.1532243338794421
2100-Jan-01 23:00:00, 344.07750223682945, 5.164324311704604, null, null, 344.07750223682945, 5.164324311704604
2100-Jan-02 00:00:00, 345.13431938268678, 5.1801862801387415, null, null, 345.13431938268678, 5.1801862801387415
2100-Jan-02 01:00:00, 346.51036855173106, 5.2008396623901181, null, null, 346.51036855173106, 5.2008396623901181
2100-Jan-02 02:00:00, 348.16985778754201, 5.225747250214944, null, null, 348.16985778754201, 5.225747250214944
2100-Jan-02 03:00:00, 350.06022899365496, 5.2541201892022658, null, null, 350.06022899365496, 5.2541201892022658
2100-Jan-02 04:00:00, 352.15508114106706, 5.2855622213141489, null, null, 352.15508114106706, 5.2855622213141489
2100-Jan-02 05:00:00, 354.40008412218737, 5.3192578956894776, null, null, 354.40008412218737, 5.3192578956894776
2100-Jan-02 06:00:00, 356.77859192328833, 5.3549573691597026, null, null, 356.77859192328833, 5.3549573691597026
2100-Jan-02 07:00:00, 359.24817153075236, 5.3920237565974318, null, null, 359.24817153075236, 5.3920237565974318
2100-Jan-02 08:00:00, 361.58779870021999, 5.4271396633133833, null, null, 361.58779870021999, 5.4271396633133833
2100-Jan-02 09:00:00, 363.47637890088265, 5.4554857207611409, null, null, 363.47637890088265, 5.4554857207611409
2100-Jan-02 10:00:00, 364.63000426190342, 5.4728007020074827, null, null, 364.63000426190342, 5.4728007020074827
2100-Jan-02 11:00:00, 364.73478778422128, 5.4743734177132586, null, null, 364.73478778422128, 5.4743734177132586
2100-Jan-02 12:00:00, 363.80013874038178, 5.4603450934298259, null, null, 363.80013874038178, 5.4603450934298259
2100-Jan-02 13:00:00, 361.931115794248, 5.4322925745144541, null, null, 361.931115794248, 5.4322925745144541
2100-Jan-02 14:00:00, 359.05549656597896, 5.3891318616075896, null, null, 359.05549656597896, 5.3891318616075896
2100-Jan-02 15:00:00, 355.46973632632148, 5.3353125079409818, null, null, 355.46973632632148, 5.3353125079409818
2100-Jan-02 16:00:00, 351.82699690565545, 5.2806379429692747, null, null, 351.82699690565545, 5.2806379429692747
2100-Jan-02 17:00:00, 348.66980828964847, 5.2332511018643331, null, null, 348.66980828964847, 5.2332511018643331
2100-Jan-02 18:00:00, 346.27012033007514, 5.1972337313894696, null, null, 346.27012033007514, 5.1972337313894696
2100-Jan-02 19:00:00, 344.73362740172939, 5.1741722184075591, null, null, 344.73362740172939, 5.1741722184075591
2100-Jan-02 20:00:00, 344.0122151128968, 5.1633444049127482, null, null, 344.0122151128968, 5.1633444049127482
2100-Jan-02 21:00:00, 343.9898897370656, 5.1630093191241588, null, null, 343.9898897370656, 5.1630093191241588
2100-Jan-02 22:00:00, 344.52303558704261, 5.1710114060284793, null, null, 344.52303558704261, 5.1710114060284793
2100-Jan-02 23:00:00, 345.40523829016632, 5.1842525532641313, null, null, 345.40523829016632, 5.1842525532641313
2100-Jan-03 00:00:00, 346.52327933781504, 5.2010334428204672, null, null, 346.52327933781504, 5.2010334428204672
2100-Jan-03 01:00:00, 347.84483489737835, 5.2208689201799352, null, null, 347.84483489737835, 5.2208689201799352
2100-Jan-03 02:00:00, 349.3718519734494, 5.2437882083027425, null, null, 349.3718519734494, 5.2437882083027425
2100-Jan-03 03:00:00, 351.08259468151795, 5.2694650691870351, null, null, 351.08259468151795, 5.2694650691870351
2100-Jan-03 04:00:00, 352.92939536666029, 5.2971840499839509, null, null, 352.92939536666029, 5.2971840499839509
2100-Jan-03 05:00:00, 354.87171508722435, 5.3263366940504842, null, null, 354.87171508722435, 5.3263366940504842
2100-Jan-03 06:00:00, 356.83688075796323, 5.3558322373043952, null, null, 356.83688075796323, 5.3558322373043952
2100-Jan-03 07:00:00, 358.84276655336453, 5.3859389566113833, null, null, 358.84276655336453, 5.3859389566113833
2100-Jan-03 08:00:00, 360.79317633323586, 5.4152130259082565, null, null, 360.79317633323586, 5.4152130259082565
2100-Jan-03 09:00:00, 362.44697309098689, 5.4400351742531763, null, null, 362.44697309098689, 5.4400351742531763
2100-Jan-03 10:00:00, 363.52818481877364, 5.4562632855816116, null, null, 363.52818481877364, 5.4562632855816116
2100-Jan-03 11:00:00, 363.82359368380475, 5.4606971331120526, null, null, 363.82359368380475, 5.4606971331120526
2100-Jan-03 12:00:00, 363.19426310982709, 5.4512513914923213, null, null, 363.19426310982709, 5.4512513914923213
2100-Jan-03 13:00:00, 361.6123893008766, 5.4275087482898341, null, null, 361.6123893008766, 5.4275087482898341
2100-Jan-03 14:00:00, 359.18204171402567, 5.3910312016700388, null, null, 359.18204171402567, 5.3910312016700388
2100-Jan-03 15:00:00, 356.16721247422481, 5.3457810593691768, null, null, 356.16721247422481, 5.3457810593691768
2100-Jan-03 16:00:00, 352.94968794060372, 5.2974886250645117, null, null, 352.94968794060372, 5.2974886250645117
2100-Jan-03 17:00:00, 349.99061732465367, 5.2530753744955074, null, null, 349.99061732465367, 5.2530753744955074
2100-Jan-03 18:00:00, 347.63319574808264, 5.2176923881576123, null, null, 347.63319574808264, 5.2176923881576123
2100-Jan-03 19:00:00, 345.99996300398419, 5.1931788889831907, null, null, 345.99996300398419, 5.1931788889831907
2100-Jan-03 20:00:00, 345.05189789338806, 5.1789492004162216, null, null, 345.05189789338806, 5.1789492004162216
2100-Jan-03 21:00:00, 344.64151850030146, 5.172789738484064, null, null, 344.64151850030146, 5.172789738484064
2100-Jan-03 22:00:00, 344.73720227301555, 5.1742258743268632, null, null, 344.73720227301555, 5.1742258743268632
2100-Jan-03 23:00:00, 345.32811258792958, 5.1830949590112985, null, null, 345.32811258792958, 5.1830949590112985
2100-Jan-04 00:00:00, 346.35413448658255, 5.1984947157553698, null, null, 346.35413448658255, 5.1984947157553698
