Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 264.08941326769144, 3.4779575148485917, null, null, 264.08941326769144, 3.4779575148485917
2100-Jan-01 01:00:00, 264.31134713049551, 3.4808802997356802, null, null, 264.31134713049551, 3.4808802997356802
2100-Jan-01 02:00:00, 264.64002296974547, 3.485208836010286, null, null, 264.64002296974547, 3.485208836010286
2100-Jan-01 03:00:00, 265.0688690276786, 3.4908565761125741, null, null, 265.0688690276786, 3.4908565761125741
2100-Jan-01 04:00:00, 265.58969514409068, 3.4977156587357339, null, null, 265.58969514409068, 3.4977156587357339
2100-Jan-01 05:00:00, 266.19654591259183, 3.505707653433987, null, null, 266.19654591259183, 3.505707653433987
2100-Jan-01 06:00:00, 266.87697210819164, 3.514668608630958, null, null, 266.87697210819164, 3.514668608630958
2100-Jan-01 07:00:00, 267.6122915010202, 3.5243524864375617, null, null, 267.6122915010202, 3.5243524864375617
2100-Jan-01 08:00:00, 268.35641675546026, 3.5341523341052343, null, null, 268.35641675546026, 3.5341523341052343
2100-Jan-01 09:00:00, 269.01774749282674, 3.5428618093521376, null, null, 269.01774749282674, 3.5428618093521376
2100-Jan-01 10:00:00, 269.49214213799513, 3.5491094070909188, null, null, 269.49214213799513, 3.5491094070909188
2100-Jan-01 11:00:00, 269.67755608191788, 3.5515512384829644, null, null, 269.67755608191788, 3.5515512384829644
2100-Jan-01 12:00:00, 269.52517374452196, 3.5495444208339011, null, null, 269.52517374452196, 3.5495444208339011
2100-Jan-01 13:00:00, 269.04470158101867, 3.5432167844812921, null, null, 269.04470158101867, 3.5432167844812921
2100-Jan-01 14:00:00, 268.2886961800948, 3.5332604797855636, null, null, 268.2886961800948, 3.5332604797855636
2100-Jan-01 15:00:00, 267.35369926418366, 3.5209469246535479, null, null, 267.35369926418366, 3.5209469246535479
2100-Jan-01 16:00:00, 266.35843044603877, 3.5078396114048611, null, null, 266.35843044603877, 3.5078396114048611
2100-Jan-01 17:00:00, 265.42554938653092, 3.4955539213000235, null, null, 265.42554938653092, 3.4955539213000235
2100-Jan-01 18:00:00, 264.65210151174921, 3.4853679058321712, null, null, 264.65210151174921, 3.4853679058321712
2100-Jan-01 19:00:00, 264.08825383640942, 3.4779422455778919, null, null, 264.08825383640942, 3.4779422455778919
2100-Jan-01 20:00:00, 263.73479099636688, 3.4732872738941176, null, null, 263.73479099636688, 3.4732872738941176
2100-Jan-01 21:00:00, 263.56627291438673, 3.4710679546023719, null, null, 263.56627291438673, 3.4710679546023719
2100-Jan-01 22:00:00, 263.54883251409791, 3.4708382711383665, null, null, 263.54883251409791, 3.4708382711383665
2100-Jan-01 23:00:00, 263.65682742498575, 3.4722605231977743, null, null, 263.65682742498575, 3.4722605231977743
2100-Jan-02 00:00:00, 263.88161247147247, 3.47522085709371, null, null, 263.88161247147247, 3.47522085709371
2100-Jan-02 01:00:00, 264.2215721222268, 3.4796979968906312, null, null, 264.2215721222268, 3.4796979968906312
2100-Jan-02 02:00:00, 264.67007125508826, 3.4856045605435915, null, null, 264.67007125508826, 3.4856045605435915
2100-Jan-02 03:00:00, 265.21709219033227, 3.4928086190061052, null, null, 265.21709219033227, 3.4928086190061052
2100-Jan-02 04:00:00, 265.85289783070948, 3.5011819383965781, null, null, 265.85289783070948, 3.5011819383965781
2100-Jan-02 05:00:00, 266.56437740178933, 3.5105518547831553, null, null, 266.56437740178933, 3.5105518547831553
2100-Jan-02 06:00:00, 267.34377270251883, 3.5208161955973862, null, null, 267.34377270251883, 3.5208161955973862
2100-Jan-02 07:00:00, 268.17794651241667, 3.5318019486229466, null, null, 268.17794651241667, 3.5318019486229466
2100-Jan-02 08:00:00, 269.01785341046036, 3.5428632042472423, null, null, 269.01785341046036, 3.5428632042472423
2100-Jan-02 09:00:00, 269.7770512638009, 3.5528615523317457, null, null, 269.7770512638009, 3.5528615523317457
2100-Jan-02 10:00:00, 270.35992682180665, 3.5605378025914742, null, null, 270.35992682180665, 3.5605378025914742
2100-Jan-02 11:00:00, 270.66028115399155, 3.5644933553484526, null, null, 270.66028115399155, 3.5644933553484526
2100-Jan-02 12:00:00, 270.63528110962932, 3.5641641142361897, null, null, 270.63528110962932, 3.5641641142361897
2100-Jan-02 13:00:00, 270.29123538128408, 3.5596331623455244, null, null, 270.29123538128408, 3.5596331623455244
2100-Jan-02 14:00:00, 269.60789528562907, 3.5506338321888413, null, null, 269.60789528562907, 3.5506338321888413
2100-Jan-02 15:00:00, 268.636764502321, 3.5378444077135653, null, null, 268.636764502321, 3.5378444077135653
2100-Jan-02 16:00:00, 267.5347765552001, 3.523331643969883, null, null, 267.5347765552001, 3.523331643969883
2100-Jan-02 17:00:00, 266.47542792135903, 3.509380423826963, null, null, 266.47542792135903, 3.509380423826963
2100-Jan-02 18:00:00, 265.58277899919574, 3.4976245757278481, null, null, 265.58277899919574, 3.4976245757278481
2100-Jan-02 19:00:00, 264.92577884572552, 3.4889721326300922, null, null, 264.92577884572552, 3.4889721326300922
2100-Jan-02 20:00:00, 264.52141484621075, 3.4836468119614401, null, null, 264.52141484621075, 3.4836468119614401
2100-Jan-02 21:00:00, 264.35360111691966, 3.4814367687277454, null, null, 264.35360111691966, 3.4814367687277454
2100-Jan-02 22:00:00, 264.389097002705, 3.4819042360948989, null, null, 264.389097002705, 3.4819042360948989
2100-Jan-02 23:00:00, 264.58371108374007, 3.4844672298069761, null, null, 264.58371108374007, 3.4844672298069761
2100-Jan-03 00:00:00, 264.89911288115536, 3.4886209519798728, null, null, 264.89911288115536, 3.4886209519798728
2100-Jan-03 01:00:00, 265.30896524029498, 3.4940185522653606, null, null, 265.30896524029498, 3.4940185522653606
2100-Jan-03 02:00:00, 265.79759448347585, 3.5004536142667786, null, null, 265.79759448347585, 3.5004536142667786
2100-Jan-03 03:00:00, 266.35360759745151, 3.5077760963162423, null, null, 266.35360759745151, 3.5077760963162423
2100-Jan-03 04:00:00, 266.96584226093603, 3.5158389948715825, null, null, 266.96584226093603, 3.5158389948715825
2100-Jan-03 05:00:00, 267.6241459230265, 3.5245086046839953, null, null, 267.6241459230265, 3.5245086046839953
2100-Jan-03 06:00:00, 268.31836028673752, 3.5336511448309462, null, null, 268.31836028673752, 3.5336511448309462
2100-Jan-03 07:00:00, 269.04194825128025, 3.5431805241718153, null, null, 269.04194825128025, 3.5431805241718153
2100-Jan-03 08:00:00, 269.76918266581868, 3.552757925877565, null, null, 269.76918266581868, 3.552757925877565
2100-Jan-03 09:00:00, 270.43986629645241, 3.5615905751851846, null, null, 270.43986629645241, 3.5615905751851846
2100-Jan-03 10:00:00, 270.97197844923153, 3.5685982906312579, null, null, 270.97197844923153, 3.5685982906312579
2100-Jan-03 11:00:00, 271.28826878771287, 3.5727637145533451, null, null, 271.28826878771287, 3.5727637145533451
2100-Jan-03 12:00:00, 271.32933099336373, 3.5733044882441662, null, null, 271.32933099336373, 3.5733044882441662
2100-Jan-03 13:00:00, 271.06455929559354, 3.5698175453009231, null, null, 271.06455929559354, 3.5698175453009231
2100-Jan-03 14:00:00, 270.50150953009472, 3.5624023932169377, null, null, 270.50150953009472, 3.5624023932169377
2100-Jan-03 15:00:00, 269.6961775475632, 3.5517964761302339, null, null, 269.6961775475632, 3.5517964761302339
2100-Jan-03 16:00:00, 268.74867171275019, 3.5393181832756451, null, null, 268.74867171275019, 3.5393181832756451
2100-Jan-03 17:00:00, 267.79300171967492, 3.526732371549969, null, null, 267.79300171967492, 3.526732371549969
2100-Jan-03 18:00:00, 266.95093849756682, 3.5156427179547305, null, null, 266.95093849756682, 3.5156427179547305
2100-Jan-03 19:00:00, 266.29629025500702, 3.5070212486325758, null, null, 266.29629025500702, 3.5070212486325758
2100-Jan-03 20:00:00, 265.8529484973804, 3.5011826056574376, null, null, 265.8529484973804, 3.5011826056574376
2100-Jan-03 21:00:00, 265.60941597820567, 3.4979753746492217, null, null, 265.60941597820567, 3.4979753746492217
2100-Jan-03 22:00:00, 265.55390532927436, 3.4972443204346058, null, null, 265.55390532927436, 3.4972443204346058
