Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 12.098725364693545, 2.126440406568427, null, null, 12.098725364693545, 2.126440406568427
2100-Jan-01 01:00:00, 12.113867043400575, 2.1291016685158937, null, null, 12.113867043400575, 2.1291016685158937
2100-Jan-01 02:00:00, 12.140576078690966, 2.1337959788791729, null, null, 12.140576078690966, 2.1337959788791729
2100-Jan-01 03:00:00, 12.177892411202336, 2.1403546001293652, null, null, 12.177892411202336, 2.1403546001293652
2100-Jan-01 04:00:00, 12.22494621452241, 2.1486246538454794, null, null, 12.22494621452241, 2.1486246538454794
2100-Jan-01 05:00:00, 12.28108004604732, 2.1584905896306164, null, null, 12.28108004604732, 2.1584905896306164
2100-Jan-01 06:00:00, 12.345039829920605, 2.1697319943839162, null, null, 12.345039829920605, 2.1697319943839162
2100-Jan-01 07:00:00, 12.415108726955198, 2.1820471209288037, null, null, 12.415108726955198, 2.1820471209288037
2100-Jan-01 08:00:00, 12.487380220153721, 2.1947493700292622, null, null, 12.487380220153721, 2.1947493700292622
2100-Jan-01 09:00:00, 12.55383232030217, 2.2064288177890532, null, null, 12.55383232030217, 2.2064288177890532
2100-Jan-01 10:00:00, 12.604944591264706, 2.2154121771901503, null, null, 12.604944591264706, 2.2154121771901503
2100-Jan-01 11:00:00, 12.63090786418107, 2.2199754143041384, null, null, 12.63090786418107, 2.2199754143041384
2100-Jan-01 12:00:00, 12.626356074651595, 2.2191754036512874, null, null, 12.626356074651595, 2.2191754036512874
2100-Jan-01 13:00:00, 12.591022522260969, 2.2129652706623788, null, null, 12.591022522260969, 2.2129652706623788
2100-Jan-01 14:00:00, 12.528606089451303, 2.2019951212656785, null, null, 12.528606089451303, 2.2019951212656785
2100-Jan-01 15:00:00, 12.446917393876703, 2.1876377292434901, null, null, 12.446917393876703, 2.1876377292434901
2100-Jan-01 16:00:00, 12.356049797555071, 2.1716670775722049, null, null, 12.356049797555071, 2.1716670775722049
2100-Jan-01 17:00:00, 12.266861067744969, 2.1559914990991067, null, null, 12.266861067744969, 2.1559914990991067
2100-Jan-01 18:00:00, 12.188527981841895, 2.1422238802785674, null, null, 12.188527981841895, 2.1422238802785674
2100-Jan-01 19:00:00, 12.126615635855755, 2.1313423278668924, null, null, 12.126615635855755, 2.1313423278668924
2100-Jan-01 20:00:00, 12.082589164689685, 2.1236043501523678, null, null, 12.082589164689685, 2.1236043501523678
2100-Jan-01 21:00:00, 12.05546762121717, 2.1188375384271629, null, null, 12.05546762121717, 2.1188375384271629
2100-Jan-01 22:00:00, 12.043181979652301, 2.1166782461168845, null, null, 12.043181979652301, 2.1166782461168845
2100-Jan-01 23:00:00, 12.044019165517582, 2.1168253877204899, null, null, 12.044019165517582, 2.1168253877204899
2100-Jan-02 00:00:00, 12.057384253790772, 2.1191744007681286, null, null, 12.057384253790772, 2.1191744007681286
2100-Jan-02 01:00:00, 12.083069796912108, 2.1236888248178927, null, null, 12.083069796912108, 2.1236888248178927
2100-Jan-02 02:00:00, 12.120411681583702, 2.1302519370491049, null, null, 12.120411681583702, 2.1302519370491049
2100-Jan-02 03:00:00, 12.168532271348186, 2.138709486367623, null, null, 12.168532271348186, 2.138709486367623
2100-Jan-02 04:00:00, 12.226465372346775, 2.1488916570614638, null, null, 12.226465372346775, 2.1488916570614638
2100-Jan-02 05:00:00, 12.292948146481725, 2.1605764960010987, null, null, 12.292948146481725, 2.1605764960010987
2100-Jan-02 06:00:00, 12.367148159712174, 2.1736176967511858, null, null, 12.367148159712174, 2.1736176967511858
2100-Jan-02 07:00:00, 12.447661630918043, 2.1877685344042876, null, null, 12.447661630918043, 2.1877685344042876
2100-Jan-02 08:00:00, 12.530066514205703, 2.2022518017105104, null, null, 12.530066514205703, 2.2022518017105104
2100-Jan-02 09:00:00, 12.606612937829398, 2.215705401429926, null, null, 12.606612937829398, 2.215705401429926
2100-Jan-02 10:00:00, 12.668449862564866, 2.2265736979993442, null, null, 12.668449862564866, 2.2265736979993442
2100-Jan-02 11:00:00, 12.705386477212345, 2.2330655810283986, null, null, 12.705386477212345, 2.2330655810283986
2100-Jan-02 12:00:00, 12.71260374304296, 2.2343340688421605, null, null, 12.71260374304296, 2.2343340688421605
2100-Jan-02 13:00:00, 12.689583896001668, 2.2302881605810745, null, null, 12.689583896001668, 2.2302881605810745
2100-Jan-02 14:00:00, 12.633373675152528, 2.2204087988075978, null, null, 12.633373675152528, 2.2204087988075978
2100-Jan-02 15:00:00, 12.547855793130175, 2.2053783989650526, null, null, 12.547855793130175, 2.2053783989650526
2100-Jan-02 16:00:00, 12.446389998751593, 2.1875450356521857, null, null, 12.446389998751593, 2.1875450356521857
2100-Jan-02 17:00:00, 12.344222182950396, 2.169588286885535, null, null, 12.344222182950396, 2.169588286885535
2100-Jan-02 18:00:00, 12.253067079656807, 2.1535671037389155, null, null, 12.253067079656807, 2.1535671037389155
2100-Jan-02 19:00:00, 12.180340321835512, 2.1407848385160668, null, null, 12.180340321835512, 2.1407848385160668
2100-Jan-02 20:00:00, 12.129100341129556, 2.1317790331836397, null, null, 12.129100341129556, 2.1317790331836397
2100-Jan-02 21:00:00, 12.099405172251005, 2.1265598877712235, null, null, 12.099405172251005, 2.1265598877712235
2100-Jan-02 22:00:00, 12.089482252303846, 2.1248158612485319, null, null, 12.089482252303846, 2.1248158612485319
2100-Jan-02 23:00:00, 12.096495549185612, 2.1260485000119647, null, null, 12.096495549185612, 2.1260485000119647
2100-Jan-03 00:00:00, 12.117559905805054, 2.1297507163780507, null, null, 12.117559905805054, 2.1297507163780507
2100-Jan-03 01:00:00, 12.150162058492587, 2.1354807856809042, null, null, 12.150162058492587, 2.1354807856809042
2100-Jan-03 02:00:00, 12.192354924132667, 2.1428964936717478, null, null, 12.192354924132667, 2.1428964936717478
2100-Jan-03 03:00:00, 12.242586106203676, 2.1517249951878821, null, null, 12.242586106203676, 2.1517249951878821
2100-Jan-03 04:00:00, 12.299509206976882, 2.1617296508770294, null, null, 12.299509206976882, 2.1617296508770294
2100-Jan-03 05:00:00, 12.361954363139102, 2.1727048486152403, null, null, 12.361954363139102, 2.1727048486152403
2100-Jan-03 06:00:00, 12.429039986574923, 2.1844956427752642, null, null, 12.429039986574923, 2.1844956427752642
2100-Jan-03 07:00:00, 12.499875921599735, 2.19694558191624, null, null, 12.499875921599735, 2.19694558191624
2100-Jan-03 08:00:00, 12.571839664206438, 2.2095937415755498, null, null, 12.571839664206438, 2.2095937415755498
2100-Jan-03 09:00:00, 12.639431943213152, 2.2214735841969353, null, null, 12.639431943213152, 2.2214735841969353
2100-Jan-03 10:00:00, 12.695171924924527, 2.2312702979663328, null, null, 12.695171924924527, 2.2312702979663328
2100-Jan-03 11:00:00, 12.731780192907632, 2.2377044716422581, null, null, 12.731780192907632, 2.2377044716422581
2100-Jan-03 12:00:00, 12.743318145915499, 2.2397323521623509, null, null, 12.743318145915499, 2.2397323521623509
2100-Jan-03 13:00:00, 12.726220856894244, 2.236727377247913, null, null, 12.726220856894244, 2.236727377247913
2100-Jan-03 14:00:00, 12.680252393765992, 2.2286480800924444, null, null, 12.680252393765992, 2.2286480800924444
2100-Jan-03 15:00:00, 12.609593149331948, 2.2162291956287459, null, null, 12.609593149331948, 2.2162291956287459
2100-Jan-03 16:00:00, 12.522607259292865, 2.2009407825269656, null, null, 12.522607259292865, 2.2009407825269656
2100-Jan-03 17:00:00, 12.43103523415755, 2.1848463222851229, null, null, 12.43103523415755, 2.1848463222851229
2100-Jan-03 18:00:00, 12.345991474773456, 2.1698992530005725, null, null, 12.345991474773456, 2.1698992530005725
2100-Jan-03 19:00:00, 12.275002757319827, 2.1574224612184913, null, null, 12.275002757319827, 2.1574224612184913
2100-Jan-03 20:00:00, 12.221631102189994, 2.1480419983505019, null, null, 12.221631102189994, 2.1480419983505019
2100-Jan-03 21:00:00, 12.186573994356147, 2.1418804525356956, null, null, 12.186573994356147, 2.1418804525356956
2100-Jan-03 22:00:00, 12.169923158103085, 2.1389539449950754, null, null, 12.169923158103085, 2.1389539449950754
2100-Jan-03 23:00:00, 12.171101065133737, 2.1391609708618224, null, null, 12.171101065133737, 2.1391609708618224
2100-Jan-04 00:00:00, 12.188283601740546, 2.1421809286695006, null, null, 12.188283601740546, 2.1421809286695006
2100-Jan-04 01:00:00, 12.218888100260857, 2.1475598954874653, null, null, 12.218888100260857, 2.1475598954874653
2100-Jan-04 02:00:00, 12.260747355418985, 2.1549169689703342, null, null, 12.260747355418985, 2.1549169689703342
2100-Jan-04 03:00:00, 12.311828959061605, 2.1638949383632888, null, null, 12.311828959061605, 2.1638949383632888
2100-Jan-04 04:00:00, 12.370494335967601, 2.1742058119602312, null, null, 12.370494335967601, 2.1742058119602312
2100-Jan-04 05:00:00, 12.435554586177238, 2.1856406318058776, null, null, 12.435554586177238, 2.1856406318058776
2100-Jan-04 06:00:00, 12.506164454356584, 2.1980508380278647, null, null, 12.506164454356584, 2.1980508380278647
2100-Jan-04 07:00:00, 12.580911892387727, 2.2111882527327826, null, null, 12.580911892387727, 2.2111882527327826
2100-Jan-04 08:00:00, 12.658268050088866, 2.2247841692011905, null, null, 12.658268050088866, 2.2247841692011905
2100-Jan-04 09:00:00, 12.734662098690869, 2.2382109878843144, null, null, 12.734662098690869, 2.2382109878843144
2100-Jan-04 10:00:00, 12.805037999583346, 2.2505800726263425, null, null, 12.805037999583346, 2.2505800726263425
2100-Jan-04 11:00:00, 12.861987088991581, 2.2605892960101825, null, null, 12.861987088991581, 2.2605892960101825
2100-Jan-04 12:00:00, 12.900245435752444, 2.2673134832273099, null, null, 12.900245435752444, 2.2673134832273099
2100-Jan-04 13:00:00, 12.918286021229758, 2.2704842494659632, null, null, 12.918286021229758, 2.2704842494659632
2100-Jan-04 14:00:00, 12.917462572933278, 2.2703395223416116, null, null, 12.917462572933278, 2.2703395223416116
2100-Jan-04 15:00:00, 12.901221550480114, 2.2674850426053266, null, null, 12.901221550480114, 2.2674850426053266
2100-Jan-04 16:00:00, 12.874974812471043, 2.2628719844061567, null, null, 12.874974812471043, 2.2628719844061567
2100-Jan-04 17:00:00, 12.844868748242227, 2.2575806210989344, null, null, 12.844868748242227, 2.2575806210989344
2100-Jan-04 18:00:00, 12.816072492994225, 2.2525194664011097, null, null, 12.816072492994225, 2.2525194664011097
2100-Jan-04 19:00:00, 12.792274016508388, 2.2483367082601631, null, null, 12.792274016508388, 2.2483367082601631
2100-Jan-04 20:00:00, 12.775613445534916, 2.24540848977048, null, null, 12.775613445534916, 2.24540848977048
2100-Jan-04 21:00:00, 12.767376307737054, 2.2439607519204285, null, null, 12.767376307737054, 2.2439607519204285
2100-Jan-04 22:00:00, 12.767944152836462, 2.2440605548936885, null, null, 12.767944152836462, 2.2440605548936885
2100-Jan-04 23:00:00, 12.776742471944052, 2.2456069245067107, null, null, 12.776742471944052, 2.2456069245067107
2100-Jan-05 00:00:00, 12.792373617446939, 2.2483542138612806, null, null, 12.792373617446939, 2.2483542138612806
2100-Jan-05 01:00:00, 12.813584961692044, 2.2520822643889873, null, null, 12.813584961692044, 2.2520822643889873
2100-Jan-05 02:00:00, 12.839954012316463, 2.2567168199343377, null, null, 12.839954012316463, 2.2567168199343377
2100-Jan-05 03:00:00, 12.870766055820754, 2.2621322643172368, null, null, 12.870766055820754, 2.2621322643172368
2100-Jan-05 04:00:00, 12.905631164709719, 2.2682600648983837, null, null, 12.905631164709719, 2.2682600648983837
2100-Jan-05 05:00:00, 12.944442080681752, 2.2750813702385062, null, null, 12.944442080681752, 2.2750813702385062
2100-Jan-05 06:00:00, 12.986485529682293, 2.2824708171505872, null, null, 12.986485529682293, 2.2824708171505872
2100-Jan-05 07:00:00, 13.03110891201171, 2.2903137064139414, null, null, 13.03110891201171, 2.2903137064139414
2100-Jan-05 08:00:00, 13.077183602483046, 2.2984116738101013, null, null, 13.077183602483046, 2.2984116738101013
2100-Jan-05 09:00:00, 13.119769541541622, 2.3058964673595175, null, null, 13.119769541541622, 2.3058964673595175
2100-Jan-05 10:00:00, 13.150243577507105, 2.3112525044192003, null, null, 13.150243577507105, 2.3112525044192003
2100-Jan-05 11:00:00, 13.159963033227767, 2.3129607706002462, null, null, 13.159963033227767, 2.3129607706002462
2100-Jan-05 12:00:00, 13.145464037842679, 2.3104124649967921, null, null, 13.145464037842679, 2.3104124649967921
2100-Jan-05 13:00:00, 13.108000484701163, 2.303827968632719, null, null, 13.108000484701163, 2.303827968632719
2100-Jan-05 14:00:00, 13.049123768760179, 2.2934799506383348, null, null, 13.049123768760179, 2.2934799506383348
2100-Jan-05 15:00:00, 12.972929792061741, 2.2800882960710278, null, null, 12.972929792061741, 2.2800882960710278
2100-Jan-05 16:00:00, 12.886175863556671, 2.2648406519233171, null, null, 12.886175863556671, 2.2648406519233171
2100-Jan-05 17:00:00, 12.797477094189759, 2.2492511876194903, null, null, 12.797477094189759, 2.2492511876194903
2100-Jan-05 18:00:00, 12.714701662898586, 2.234702793762867, null, null, 12.714701662898586, 2.234702793762867
2100-Jan-05 19:00:00, 12.643615018164754, 2.222208790537493, null, null, 12.643615018164754, 2.222208790537493
2100-Jan-05 20:00:00, 12.587628618352653, 2.2123687669655752, null, null, 12.587628618352653, 2.2123687669655752
2100-Jan-05 21:00:00, 12.548081354714451, 2.2054180430806531, null, null, 12.548081354714451, 2.2054180430806531
2100-Jan-05 22:00:00, 12.524925323182821, 2.2013481993888271, null, null, 12.524925323182821, 2.2013481993888271
2100-Jan-05 23:00:00, 12.517241701853733, 2.1999977461492963, null, null, 12.517241701853733, 2.1999977461492963
2100-Jan-06 00:00:00, 12.523572269401729, 2.2011103901861513, null, null, 12.523572269401729, 2.2011103901861513
2100-Jan-06 01:00:00, 12.54251748233165, 2.2044401513858549, null, null, 12.54251748233165, 2.2044401513858549
2100-Jan-06 02:00:00, 12.572712246407091, 2.2097471043467172, null, null, 12.572712246407091, 2.2097471043467172
2100-Jan-06 03:00:00, 12.612607323167841, 2.2167589589586725, null, null, 12.612607323167841, 2.2167589589586725
2100-Jan-06 04:00:00, 12.660873766597664, 2.2252421431369029, null, null, 12.660873766597664, 2.2252421431369029
2100-Jan-06 05:00:00, 12.716376954194132, 2.2349972385904202, null, null, 12.716376954194132, 2.2349972385904202
2100-Jan-06 06:00:00, 12.777867242250622, 2.2458046112014576, null, null, 12.777867242250622, 2.2458046112014576
2100-Jan-06 07:00:00, 12.844167938352125, 2.2574574485809449, null, null, 12.844167938352125, 2.2574574485809449
2100-Jan-06 08:00:00, 12.913878171889445, 2.2697095373652441, null, null, 12.913878171889445, 2.2697095373652441
2100-Jan-06 09:00:00, 12.984972425723825, 2.2822048779462794, null, null, 12.984972425723825, 2.2822048779462794
2100-Jan-06 10:00:00, 13.054381097255927, 2.2944039649792658, null, null, 13.054381097255927, 2.2944039649792658
2100-Jan-06 11:00:00, 13.115547993876124, 2.305154499155134, null, null, 13.115547993876124, 2.305154499155134
2100-Jan-06 12:00:00, 13.159432555502351, 2.3128675352191537, null, null, 13.159432555502351, 2.3128675352191537
2100-Jan-06 13:00:00, 13.179955148075878, 2.3164745325499005, null, null, 13.179955148075878, 2.3164745325499005
2100-Jan-06 14:00:00, 13.174171423839399, 2.3154580002668563, null, null, 13.174171423839399, 2.3154580002668563
2100-Jan-06 15:00:00, 13.144426171952272, 2.3102300523955108, null, null, 13.144426171952272, 2.3102300523955108
2100-Jan-06 16:00:00, 13.099466240653424, 2.3023280121632892, null, null, 13.099466240653424, 2.3023280121632892
2100-Jan-06 17:00:00, 13.050670209804343, 2.2937517490818538, null, null, 13.050670209804343, 2.2937517490818538
2100-Jan-06 18:00:00, 13.007849492709694, 2.2862256915573136, null, null, 13.007849492709694, 2.2862256915573136
2100-Jan-06 19:00:00, 12.976550852082854, 2.2807247241336048, null, null, 12.976550852082854, 2.2807247241336048
2100-Jan-06 20:00:00, 12.958770129092628, 2.2775996306477446, null, null, 12.958770129092628, 2.2775996306477446
2100-Jan-06 21:00:00, 12.954671376145459, 2.276879244522704, null, null, 12.954671376145459, 2.276879244522704
2100-Jan-06 22:00:00, 12.963052382286962, 2.2783522682975059, null, null, 12.963052382286962, 2.2783522682975059
2100-Jan-06 23:00:00, 12.982671319620794, 2.2818004415408075, null, null, 12.982671319620794, 2.2818004415408075
2100-Jan-07 00:00:00, 13.012276212273365, 2.287003720239261, null, null, 13.012276212273365, 2.287003720239261
2100-Jan-07 01:00:00, 13.050594826125433, 2.2937384998431121, null, null, 13.050594826125433, 2.2937384998431121
2100-Jan-07 02:00:00, 13.096830372355296, 2.3018647388277449, null, null, 13.096830372355296, 2.3018647388277449
2100-Jan-07 03:00:00, 13.151173200269342, 2.3114158924906625, null, null, 13.151173200269342, 2.3114158924906625
2100-Jan-07 04:00:00, 13.212780601133341, 2.32224384854322, null, null, 13.212780601133341, 2.32224384854322
2100-Jan-07 05:00:00, 13.280016958902394, 2.3340611353764125, null, null, 13.280016958902394, 2.3340611353764125
2100-Jan-07 06:00:00, 13.351118703863762, 2.346557792578384, null, null, 13.351118703863762, 2.346557792578384
2100-Jan-07 07:00:00, 13.423962785133096, 2.359360678264383, null, null, 13.423962785133096, 2.359360678264383
2100-Jan-07 08:00:00, 13.495441869359476, 2.3719236556311589, null, null, 13.495441869359476, 2.3719236556311589
2100-Jan-07 09:00:00, 13.561326711410466, 2.3835034035876208, null, null, 13.561326711410466, 2.3835034035876208
2100-Jan-07 10:00:00, 13.616485962964591, 2.393198049739607, null, null, 13.616485962964591, 2.393198049739607
2100-Jan-07 11:00:00, 13.65365076467595, 2.3997300383317075, null, null, 13.65365076467595, 2.3997300383317075
2100-Jan-07 12:00:00, 13.667822604562993, 2.4022208439383186, null, null, 13.667822604562993, 2.4022208439383186
2100-Jan-07 13:00:00, 13.659587654869799, 2.4007734906638354, null, null, 13.659587654869799, 2.4007734906638354
2100-Jan-07 14:00:00, 13.633635939539214, 2.3962122848809719, null, null, 13.633635939539214, 2.3962122848809719
2100-Jan-07 15:00:00, 13.596443371444858, 2.3896754161418334, null, null, 13.596443371444858, 2.3896754161418334
2100-Jan-07 16:00:00, 13.555006248368455, 2.382392535492377, null, null, 13.555006248368455, 2.382392535492377
2100-Jan-07 17:00:00, 13.515087336520258, 2.3753764916876339, null, null, 13.515087336520258, 2.3753764916876339
2100-Jan-07 18:00:00, 13.480664091914504, 2.3693263520201548, null, null, 13.480664091914504, 2.3693263520201548
2100-Jan-07 19:00:00, 13.453899045086946, 2.3646221972152279, null, null, 13.453899045086946, 2.3646221972152279
2100-Jan-07 20:00:00, 13.435417701191533, 2.3613739644268734, null, null, 13.435417701191533, 2.3613739644268734
2100-Jan-07 21:00:00, 13.424956287480946, 2.3595352936451612, null, null, 13.424956287480946, 2.3595352936451612
2100-Jan-07 22:00:00, 13.422410141661489, 2.3590877896983979, null, null, 13.422410141661489, 2.3590877896983979
2100-Jan-07 23:00:00, 13.427894006692567, 2.3600516195097829, null, null, 13.427894006692567, 2.3600516195097829
2100-Jan-08 00:00:00, 13.441066353316964, 2.3623667567880604, null, null, 13.441066353316964, 2.3623667567880604
2100-Jan-08 01:00:00, 13.460727977888048, 2.3658224326288178, null, null, 13.460727977888048, 2.3658224326288178
2100-Jan-08 02:00:00, 13.485650622733425, 2.3702027716678722, null, null, 13.485650622733425, 2.3702027716678722
2100-Jan-08 03:00:00, 13.515267323650779, 2.3754081257561381, null, null, 13.515267323650779, 2.3754081257561381
2100-Jan-08 04:00:00, 13.549019475418971, 2.3813403158972548, null, null, 13.549019475418971, 2.3813403158972548
2100-Jan-08 05:00:00, 13.586171178035032, 2.3878700022265393, null, null, 13.586171178035032, 2.3878700022265393
2100-Jan-08 06:00:00, 13.626254248943951, 2.3949148981995316, null, null, 13.626254248943951, 2.3949148981995316
2100-Jan-08 07:00:00, 13.669046673999272, 2.4024359831890489, null, null, 13.669046673999272, 2.4024359831890489
2100-Jan-08 08:00:00, 13.71326449637923, 2.4102075922937232, null, null, 13.71326449637923, 2.4102075922937232
2100-Jan-08 09:00:00, 13.75498797638166, 2.4175408022894413, null, null, 13.75498797638166, 2.4175408022894413
