Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 673.47913969274293, 8.278173360398096, null, null, 673.47913969274293, 8.278173360398096
2100-Jan-01 01:00:00, 689.61361883239078, 8.4764928145962859, null, null, 689.61361883239078, 8.4764928145962859
2100-Jan-01 02:00:00, 707.39663392237367, 8.6950755042585293, null, null, 707.39663392237367, 8.6950755042585293
2100-Jan-01 03:00:00, 726.61054589960406, 8.9312462850662442, null, null, 726.61054589960406, 8.9312462850662442
2100-Jan-01 04:00:00, 746.32234372060134, 9.1735369069877759, null, null, 746.32234372060134, 9.1735369069877759
2100-Jan-01 05:00:00, 766.52962029721903, 9.4219177829256253, null, null, 766.52962029721903, 9.4219177829256253
2100-Jan-01 06:00:00, 786.63315832487149, 9.6690235403900466, null, null, 786.63315832487149, 9.6690235403900466
2100-Jan-01 07:00:00, 805.63478524388688, 9.9025849864609388, null, null, 805.63478524388688, 9.9025849864609388
2100-Jan-01 08:00:00, 820.22510138450582, 10.081924121523327, null, null, 820.22510138450582, 10.081924121523327
2100-Jan-01 09:00:00, 826.066738147666, 10.153727506340823, null, null, 826.066738147666, 10.153727506340823
2100-Jan-01 10:00:00, 821.21220879897089, 10.09405730549396, null, null, 821.21220879897089, 10.09405730549396
2100-Jan-01 11:00:00, 804.28585455144662, 9.886004395518988, null, null, 804.28585455144662, 9.886004395518988
2100-Jan-01 12:00:00, 778.00708968165873, 9.5629948790126704, null, null, 778.00708968165873, 9.5629948790126704
2100-Jan-01 13:00:00, 746.14579918701884, 9.1713668824559189, null, null, 746.14579918701884, 9.1713668824559189
2100-Jan-01 14:00:00, 712.60240881518098, 8.7590630942194121, null, null, 712.60240881518098, 8.7590630942194121
2100-Jan-01 15:00:00, 682.35499137356135, 8.3872722687451553, null, null, 682.35499137356135, 8.3872722687451553
2100-Jan-01 16:00:00, 659.1523983278646, 8.1020739955949672, null, null, 659.1523983278646, 8.1020739955949672
2100-Jan-01 17:00:00, 645.63907079631372, 7.9359728331550228, null, null, 645.63907079631372, 7.9359728331550228
2100-Jan-01 18:00:00, 641.90329768352433, 7.8900539981976499, null, null, 641.90329768352433, 7.8900539981976499
2100-Jan-01 19:00:00, 646.11047542233439, 7.9417671762713855, null, null, 646.11047542233439, 7.9417671762713855
2100-Jan-01 20:00:00, 655.372862773777, 8.055617247799038, null, null, 655.372862773777, 8.055617247799038
2100-Jan-01 21:00:00, 667.56971652851007, 8.20553676851228, null, null, 667.56971652851007, 8.20553676851228
2100-Jan-01 22:00:00, 681.12020058288908, 8.3720946461187573, null, null, 681.12020058288908, 8.3720946461187573
2100-Jan-01 23:00:00, 695.37948422047259, 8.547364843798313, null, null, 695.37948422047259, 8.547364843798313
2100-Jan-02 00:00:00, 710.81604257469053, 8.7371056963545133, null, null, 710.81604257469053, 8.7371056963545133
2100-Jan-02 01:00:00, 727.67606652740858, 8.9443432972173103, null, null, 727.67606652740858, 8.9443432972173103
2100-Jan-02 02:00:00, 745.40856428270956, 9.1623050452207035, null, null, 745.40856428270956, 9.1623050452207035
2100-Jan-02 03:00:00, 763.35552249003285, 9.3829028671514934, null, null, 763.35552249003285, 9.3829028671514934
2100-Jan-02 04:00:00, 781.57217854291878, 9.6068157220044803, null, null, 781.57217854291878, 9.6068157220044803
2100-Jan-02 05:00:00, 799.37032765370338, 9.8255844338320042, null, null, 799.37032765370338, 9.8255844338320042
2100-Jan-02 06:00:00, 816.99918780139751, 10.04227230409834, null, null, 816.99918780139751, 10.04227230409834
2100-Jan-02 07:00:00, 834.04035269427004, 10.251736426937672, null, null, 834.04035269427004, 10.251736426937672
2100-Jan-02 08:00:00, 847.09675854584782, 10.412221265640156, null, null, 847.09675854584782, 10.412221265640156
2100-Jan-02 09:00:00, 852.5523964405354, 10.479280085464012, null, null, 852.5523964405354, 10.479280085464012
2100-Jan-02 10:00:00, 848.52722035245336, 10.429804008924396, null, null, 848.52722035245336, 10.429804008924396
2100-Jan-02 11:00:00, 832.57880226855195, 10.233771553067076, null, null, 832.57880226855195, 10.233771553067076
2100-Jan-02 12:00:00, 808.24916252761238, 9.9347200105598876, null, null, 808.24916252761238, 9.9347200105598876
2100-Jan-02 13:00:00, 778.3148414285813, 9.566777657368883, null, null, 778.3148414285813, 9.566777657368883
2100-Jan-02 14:00:00, 741.37665036996168, 9.1127461496635895, null, null, 741.37665036996168, 9.1127461496635895
2100-Jan-02 15:00:00, 703.18943847638559, 8.6433621085342676, null, null, 703.18943847638559, 8.6433621085342676
2100-Jan-02 16:00:00, 672.65232902173716, 8.2680104887255812, null, null, 672.65232902173716, 8.2680104887255812
2100-Jan-02 17:00:00, 653.77283783113796, 8.0359502929143325, null, null, 653.77283783113796, 8.0359502929143325
2100-Jan-02 18:00:00, 646.15235671697178, 7.942281966703832, null, null, 646.15235671697178, 7.942281966703832
2100-Jan-02 19:00:00, 648.29705803041463, 7.9686438957266867, null, null, 648.29705803041463, 7.9686438957266867
2100-Jan-02 20:00:00, 657.49853055858034, 8.0817452232508735, null, null, 657.49853055858034, 8.0817452232508735
2100-Jan-02 21:00:00, 671.26924904818384, 8.2510101465953216, null, null, 671.26924904818384, 8.2510101465953216
2100-Jan-02 22:00:00, 687.4650910091093, 8.4500838514339272, null, null, 687.4650910091093, 8.4500838514339272
2100-Jan-02 23:00:00, 703.24326696987305, 8.6440237498154229, null, null, 703.24326696987305, 8.6440237498154229
2100-Jan-03 00:00:00, 718.23497347656757, 8.8282966368527926, null, null, 718.23497347656757, 8.8282966368527926
2100-Jan-03 01:00:00, 733.07101276514425, 9.0106561161212166, null, null, 733.07101276514425, 9.0106561161212166
2100-Jan-03 02:00:00, 748.43908621221351, 9.1995551758132663, null, null, 748.43908621221351, 9.1995551758132663
2100-Jan-03 03:00:00, 764.13332976039089, 9.3924634059202816, null, null, 764.13332976039089, 9.3924634059202816
2100-Jan-03 04:00:00, 779.52022614152838, 9.5815938306274955, null, null, 779.52022614152838, 9.5815938306274955
2100-Jan-03 05:00:00, 794.31497039745932, 9.7634457255937246, null, null, 794.31497039745932, 9.7634457255937246
2100-Jan-03 06:00:00, 807.54994490626632, 9.9261254686579843, null, null, 807.54994490626632, 9.9261254686579843
2100-Jan-03 07:00:00, 820.53013152961455, 10.085673446888489, null, null, 820.53013152961455, 10.085673446888489
2100-Jan-03 08:00:00, 831.72835539513994, 10.223318153344666, null, null, 831.72835539513994, 10.223318153344666
2100-Jan-03 09:00:00, 837.85089240300044, 10.298574267111821, null, null, 837.85089240300044, 10.298574267111821
2100-Jan-03 10:00:00, 836.25565916855726, 10.278966210252014, null, null, 836.25565916855726, 10.278966210252014
2100-Jan-03 11:00:00, 825.931400353713, 10.152063980843852, null, null, 825.931400353713, 10.152063980843852
2100-Jan-03 12:00:00, 806.84008088885366, 9.9174000649266496, null, null, 806.84008088885366, 9.9174000649266496
2100-Jan-03 13:00:00, 780.29531446654323, 9.5911209490576539, null, null, 780.29531446654323, 9.5911209490576539
2100-Jan-03 14:00:00, 748.91656280126892, 9.2054241534055574, null, null, 748.91656280126892, 9.2054241534055574
2100-Jan-03 15:00:00, 716.80522226127914, 8.8107226279119999, null, null, 716.80522226127914, 8.8107226279119999
2100-Jan-03 16:00:00, 688.51028630048654, 8.4629310315580799, null, null, 688.51028630048654, 8.4629310315580799
2100-Jan-03 17:00:00, 668.57730883523891, 8.2179217457151523, null, null, 668.57730883523891, 8.2179217457151523
2100-Jan-03 18:00:00, 658.76916503802931, 8.0973634241403278, null, null, 658.76916503802931, 8.0973634241403278
2100-Jan-03 19:00:00, 657.71291868373578, 8.0843804081613619, null, null, 657.71291868373578, 8.0843804081613619
2100-Jan-03 20:00:00, 662.79558508076161, 8.1468547909415712, null, null, 662.79558508076161, 8.1468547909415712
2100-Jan-03 21:00:00, 670.88488826116179, 8.2462857163340377, null, null, 670.88488826116179, 8.2462857163340377
2100-Jan-03 22:00:00, 682.07672167813439, 8.3838518736001184, null, null, 682.07672167813439, 8.3838518736001184
2100-Jan-03 23:00:00, 696.34281876340856, 8.5592058198293177, null, null, 696.34281876340856, 8.5592058198293177
2100-Jan-04 00:00:00, 712.75172591673117, 8.7608984485451131, null, null, 712.75172591673117, 8.7608984485451131
2100-Jan-04 01:00:00, 728.8077522894996, 8.9582535883843946, null, null, 728.8077522894996, 8.9582535883843946
2100-Jan-04 02:00:00, 744.78157136124105, 9.1545982644256423, null, null, 744.78157136124105, 9.1545982644256423
2100-Jan-04 03:00:00, 760.97762749041294, 9.3536746017464836, null, null, 760.97762749041294, 9.3536746017464836
2100-Jan-04 04:00:00, 778.18995422979526, 9.5652425869841977, null, null, 778.18995422979526, 9.5652425869841977
2100-Jan-04 05:00:00, 796.48103091201835, 9.7900701945517579, null, null, 796.48103091201835, 9.7900701945517579
2100-Jan-04 06:00:00, 815.06865927521483, 10.018542913126817, null, null, 815.06865927521483, 10.018542913126817
2100-Jan-04 07:00:00, 831.38821775631163, 10.219137298772241, null, null, 831.38821775631163, 10.219137298772241
2100-Jan-04 08:00:00, 845.66853908273981, 10.394666084468996, null, null, 845.66853908273981, 10.394666084468996
2100-Jan-04 09:00:00, 856.81745154063617, 10.531704672105837, null, null, 856.81745154063617, 10.531704672105837
2100-Jan-04 10:00:00, 863.11179396440536, 10.609072558804513, null, null, 863.11179396440536, 10.609072558804513
2100-Jan-04 11:00:00, 861.14972536785876, 10.584955488163519, null, null, 861.14972536785876, 10.584955488163519
