Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 598.19223803642444, 8.8287422728177756, null, null, 598.19223803642444, 8.8287422728177756
2100-Jan-01 01:00:00, 612.44825119175391, 9.0391473198632717, null, null, 612.44825119175391, 9.0391473198632717
2100-Jan-01 02:00:00, 628.22925427012763, 9.2720597518982419, null, null, 628.22925427012763, 9.2720597518982419
2100-Jan-01 03:00:00, 645.32155596524171, 9.5243256907053908, null, null, 645.32155596524171, 9.5243256907053908
2100-Jan-01 04:00:00, 662.85669194721459, 9.7831274378023263, null, null, 662.85669194721459, 9.7831274378023263
2100-Jan-01 05:00:00, 680.83687682499021, 10.048497678687715, null, null, 680.83687682499021, 10.048497678687715
2100-Jan-01 06:00:00, 698.71276896613608, 10.312328659057702, null, null, 698.71276896613608, 10.312328659057702
2100-Jan-01 07:00:00, 715.57901656411525, 10.561258256741686, null, null, 715.57901656411525, 10.561258256741686
2100-Jan-01 08:00:00, 728.41657900650034, 10.750728335101549, null, null, 728.41657900650034, 10.750728335101549
2100-Jan-01 09:00:00, 733.31981397383322, 10.823095368769101, null, null, 733.31981397383322, 10.823095368769101
2100-Jan-01 10:00:00, 728.62300769507453, 10.753775024064147, null, null, 728.62300769507453, 10.753775024064147
2100-Jan-01 11:00:00, 713.16084873679688, 10.525568424673832, null, null, 713.16084873679688, 10.525568424673832
2100-Jan-01 12:00:00, 689.51463089548804, 10.17657298512567, null, null, 689.51463089548804, 10.17657298512567
2100-Jan-01 13:00:00, 661.1038223883545, 9.7572567684940061, null, null, 661.1038223883545, 9.7572567684940061
2100-Jan-01 14:00:00, 631.39809425893282, 9.3188287832999102, null, null, 631.39809425893282, 9.3188287832999102
2100-Jan-01 15:00:00, 604.81599310690251, 8.9265025289312305, null, null, 604.81599310690251, 8.9265025289312305
2100-Jan-01 16:00:00, 584.62653124213693, 8.6285254839331227, null, null, 584.62653124213693, 8.6285254839331227
2100-Jan-01 17:00:00, 573.11417654438492, 8.4586141976995375, null, null, 573.11417654438492, 8.4586141976995375
2100-Jan-01 18:00:00, 570.27354806492338, 8.4166892526010937, null, null, 570.27354806492338, 8.4166892526010937
2100-Jan-01 19:00:00, 574.41411098940227, 8.477799980223713, null, null, 574.41411098940227, 8.477799980223713
2100-Jan-01 20:00:00, 582.93816337719568, 8.6036067976087995, null, null, 582.93816337719568, 8.6036067976087995
2100-Jan-01 21:00:00, 593.97346702263235, 8.7664772689938104, null, null, 593.97346702263235, 8.7664772689938104
2100-Jan-01 22:00:00, 606.13190022931985, 8.9459240528161335, null, null, 606.13190022931985, 8.9459240528161335
2100-Jan-01 23:00:00, 618.86572449259108, 9.1338630553963203, null, null, 618.86572449259108, 9.1338630553963203
2100-Jan-02 00:00:00, 632.62535043149637, 9.3369419044026749, null, null, 632.62535043149637, 9.3369419044026749
2100-Jan-02 01:00:00, 647.6361268297984, 9.5584865312111482, null, null, 647.6361268297984, 9.5584865312111482
2100-Jan-02 02:00:00, 663.39524121485692, 9.791075907178719, null, null, 663.39524121485692, 9.791075907178719
2100-Jan-02 03:00:00, 679.30994497599011, 10.025961632738289, null, null, 679.30994497599011, 10.025961632738289
2100-Jan-02 04:00:00, 695.44698292631688, 10.264128797156493, null, null, 695.44698292631688, 10.264128797156493
2100-Jan-02 05:00:00, 711.17503207586719, 10.496259680117124, null, null, 711.17503207586719, 10.496259680117124
2100-Jan-02 06:00:00, 726.73938266700986, 10.725974529751483, null, null, 726.73938266700986, 10.725974529751483
2100-Jan-02 07:00:00, 741.76044882900806, 10.947671023578524, null, null, 741.76044882900806, 10.947671023578524
2100-Jan-02 08:00:00, 753.14074716954622, 11.115633284951546, null, null, 753.14074716954622, 11.115633284951546
2100-Jan-02 09:00:00, 757.6454640275349, 11.182118574499516, null, null, 757.6454640275349, 11.182118574499516
2100-Jan-02 10:00:00, 753.65094628909992, 11.123163333400759, null, null, 753.65094628909992, 11.123163333400759
2100-Jan-02 11:00:00, 738.99490246904406, 10.90685421837256, null, null, 738.99490246904406, 10.90685421837256
2100-Jan-02 12:00:00, 717.02553077891264, 10.582607415731669, null, null, 717.02553077891264, 10.582607415731669
2100-Jan-02 13:00:00, 690.23289320108131, 10.187173846148506, null, null, 690.23289320108131, 10.187173846148506
2100-Jan-02 14:00:00, 657.30019301998095, 9.701118856198585, null, null, 657.30019301998095, 9.701118856198585
2100-Jan-02 15:00:00, 623.50221040339432, 9.2022931294681598, null, null, 623.50221040339432, 9.2022931294681598
2100-Jan-02 16:00:00, 596.75435831038055, 8.8075205505797509, null, null, 596.75435831038055, 8.8075205505797509
2100-Jan-02 17:00:00, 580.47191548741398, 8.5672073500478678, null, null, 580.47191548741398, 8.5672073500478678
2100-Jan-02 18:00:00, 574.17339680260852, 8.47424727027283, null, null, 574.17339680260852, 8.47424727027283
2100-Jan-02 19:00:00, 576.48746842763819, 8.508400742483186, null, null, 576.48746842763819, 8.508400742483186
2100-Jan-02 20:00:00, 584.97540475755329, 8.6336745215795041, null, null, 584.97540475755329, 8.6336745215795041
2100-Jan-02 21:00:00, 597.42570469934719, 8.8174289777827344, null, null, 597.42570469934719, 8.8174289777827344
2100-Jan-02 22:00:00, 611.93983646803417, 9.0316436073808735, null, null, 611.93983646803417, 9.0316436073808735
2100-Jan-02 23:00:00, 625.94587910920711, 9.2383593299835489, null, null, 625.94587910920711, 9.2383593299835489
2100-Jan-03 00:00:00, 639.17883995817397, 9.4336651086498087, null, null, 639.17883995817397, 9.4336651086498087
2100-Jan-03 01:00:00, 652.26084894101689, 9.6267429829119866, null, null, 652.26084894101689, 9.6267429829119866
2100-Jan-03 02:00:00, 665.83587699466034, 9.8270973446223628, null, null, 665.83587699466034, 9.8270973446223628
2100-Jan-03 03:00:00, 679.70805559469989, 10.031837362687909, null, null, 679.70805559469989, 10.031837362687909
2100-Jan-03 04:00:00, 693.29246806148865, 10.232330229313217, null, null, 693.29246806148865, 10.232330229313217
2100-Jan-03 05:00:00, 706.33374681914449, 10.424806964613659, null, null, 706.33374681914449, 10.424806964613659
2100-Jan-03 06:00:00, 717.92799833425272, 10.595926969127801, null, null, 717.92799833425272, 10.595926969127801
2100-Jan-03 07:00:00, 729.31582372191235, 10.764000322479097, null, null, 729.31582372191235, 10.764000322479097
2100-Jan-03 08:00:00, 739.11034472181041, 10.908558035025905, null, null, 739.11034472181041, 10.908558035025905
2100-Jan-03 09:00:00, 744.34122784698161, 10.985760840470125, null, null, 744.34122784698161, 10.985760840470125
2100-Jan-03 10:00:00, 742.65146822495296, 10.960821613149363, null, null, 742.65146822495296, 10.960821613149363
2100-Jan-03 11:00:00, 733.16875536667976, 10.820865888970054, null, null, 733.16875536667976, 10.820865888970054
2100-Jan-03 12:00:00, 715.89616423965049, 10.565939051495752, null, null, 715.89616423965049, 10.565939051495752
2100-Jan-03 13:00:00, 692.06666668772993, 10.214238579642023, null, null, 692.06666668772993, 10.214238579642023
2100-Jan-03 14:00:00, 664.0692401147254, 9.80102348289223, null, null, 664.0692401147254, 9.80102348289223
2100-Jan-03 15:00:00, 635.60671670380123, 9.3809440040043892, null, null, 635.60671670380123, 9.3809440040043892
2100-Jan-03 16:00:00, 610.71688192634576, 9.0135939742138156, null, null, 610.71688192634576, 9.0135939742138156
2100-Jan-03 17:00:00, 593.40362688776042, 8.758066976503212, null, null, 593.40362688776042, 8.758066976503212
2100-Jan-03 18:00:00, 585.14272351678267, 8.6361439855890882, null, null, 585.14272351678267, 8.6361439855890882
2100-Jan-03 19:00:00, 584.61442258465502, 8.6283467717911382, null, null, 584.61442258465502, 8.6283467717911382
2100-Jan-03 20:00:00, 589.4393806034808, 8.6995585129618487, null, null, 589.4393806034808, 8.6995585129618487
