Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1464.2861780950482, 1.9914237233609817, 1136.9005677912712, 4.8708648625788706, 327.38561030377696, 0.65230838726707707
2100-Jan-01 01:00:00, 1473.7235187167162, 2.0042584712952123, 1146.2602349081385, 4.9109648282016813, 327.46328380857761, 0.65246314995992383
2100-Jan-01 02:00:00, 1483.9944300939528, 2.0182268723380852, 1156.4535505680997, 4.9546364248987773, 327.54087952585314, 0.65261775766289487
2100-Jan-01 03:00:00, 1495.0339023051058, 2.0332405132393978, 1167.4155035561205, 5.0016011227336321, 327.61839874898527, 0.65277221295302379
2100-Jan-01 04:00:00, 1506.8853567769092, 2.0493584469770405, 1179.1895142850494, 5.0520449493759063, 327.69584249185982, 0.65292651785045519
2100-Jan-01 05:00:00, 1519.5883797032257, 2.0666345106265487, 1191.8151682939827, 5.1061375026047848, 327.77321140924306, 0.65308067365979583
2100-Jan-01 06:00:00, 1532.8481265033286, 2.0846677166613397, 1204.9976207641319, 5.1626155679330576, 327.85050573919665, 0.65323468085537817
2100-Jan-01 07:00:00, 1546.3560835973442, 2.1030384877671358, 1218.4283583304216, 5.2201573702185931, 327.92772526692255, 0.65338853900922211
2100-Jan-01 08:00:00, 1558.7215004753032, 2.1198554084540819, 1230.7166311561537, 5.2728044688517866, 328.00486931914952, 0.65354224677984996
2100-Jan-01 09:00:00, 1566.9037940429919, 2.1309832970908489, 1238.821857264147, 5.3075299867828587, 328.08193677884486, 0.65369580194159937
2100-Jan-01 10:00:00, 1568.8638929627168, 2.1336490242876684, 1240.7049668349562, 5.3155978622863955, 328.15892612776071, 0.65384920146939607
2100-Jan-01 11:00:00, 1562.6599059530367, 2.1252116251676596, 1234.4240704430424, 5.2886883871681745, 328.23583550999444, 0.65400244166539634
2100-Jan-01 12:00:00, 1549.4161727645708, 2.1072001975847772, 1221.1035099575026, 5.2316186205966577, 328.31266280706808, 0.65415551830858076
2100-Jan-01 13:00:00, 1531.4013969025468, 2.0827001698174343, 1203.0119911709219, 5.1541084621318412, 328.38940573162495, 0.6543084268414433
2100-Jan-01 14:00:00, 1511.1462349708195, 2.0551532253780378, 1182.6801730492891, 5.0670001069364483, 328.46606192153024, 0.65446116255748399
2100-Jan-01 15:00:00, 1491.6151070657149, 2.0285909645057658, 1163.0724780262854, 4.9829941389305938, 328.54262903942953, 0.65461372079957725
2100-Jan-01 16:00:00, 1475.1157430337619, 2.0061518911571765, 1146.496638167577, 4.9119776593695246, 328.6191048661849, 0.6547660971461412
2100-Jan-01 17:00:00, 1463.253412610881, 1.9900191661667628, 1134.5579252228192, 4.8608281929742256, 328.69548738806174, 0.65491828758485549
2100-Jan-01 18:00:00, 1456.5489887611434, 1.9809011748167358, 1127.7772138992125, 4.831777342385231, 328.77177486193079, 0.65507028864257466
2100-Jan-01 19:00:00, 1454.4883769277571, 1.9780987504334215, 1125.6404110567585, 4.8226225594794681, 328.84796587099862, 0.65522209749636995
2100-Jan-01 20:00:00, 1455.8481612484816, 1.979948052021768, 1126.9241018919347, 4.8281223232764221, 328.92405935654676, 0.65537371203676886
2100-Jan-01 21:00:00, 1459.5116923223177, 1.9849304405745292, 1130.5116376993792, 4.8434925347115989, 329.00005462293853, 0.65552513087773123
2100-Jan-01 22:00:00, 1464.6433256075545, 1.991909442641669, 1135.5673742824792, 4.8651530126590403, 329.07595132507527, 0.65567635333165575
2100-Jan-01 23:00:00, 1470.98083966129, 2.0005284380419814, 1141.8290902323522, 4.8919803123049013, 329.15174942893776, 0.65582737933075985
2100-Jan-02 00:00:00, 1478.6924813763064, 2.0110162419201298, 1149.4650322140271, 4.9246952590161079, 329.22744916227924, 0.65597820932883677
2100-Jan-02 01:00:00, 1487.8652706582136, 2.0234912010221446, 1158.5622197145217, 4.9636706735772389, 329.30305094369197, 0.65612884415992201
2100-Jan-02 02:00:00, 1498.3477647827112, 2.0377473538096234, 1168.9692094739103, 5.0082577220670688, 329.37855530880103, 0.65627928489123644
2100-Jan-02 03:00:00, 1510.0341765449296, 2.0536408300797624, 1180.5802137125884, 5.058003174015699, 329.45396283234118, 0.65642953266792592
2100-Jan-02 04:00:00, 1522.7603520717851, 2.0709483811793747, 1193.2310780202431, 5.1122037366534006, 329.52927405154202, 0.65657958856040832
2100-Jan-02 05:00:00, 1536.3122766291531, 2.0893789478708191, 1206.7077872224363, 5.1699424969072414, 329.60448940671671, 0.65672945344599754
2100-Jan-02 06:00:00, 1550.7051892498721, 2.1089532551817367, 1221.0255800698994, 5.2312847427167233, 329.67960917997277, 0.65687912788678637
2100-Jan-02 07:00:00, 1565.5284137005042, 2.1291127849712592, 1235.773780232802, 5.2944709983972205, 329.75463346770232, 0.65702861207483387
2100-Jan-02 08:00:00, 1579.4565010633914, 2.1480549316707398, 1249.6269389100389, 5.3538225949645213, 329.82956215335241, 0.65717790577791113
2100-Jan-02 09:00:00, 1589.7631087349732, 2.1620718795403593, 1259.8587138245427, 5.3976589640585182, 329.90439491043054, 0.65732700834548918
2100-Jan-02 10:00:00, 1594.3662602051875, 2.1683321483164626, 1264.3871289906792, 5.4170602194899899, 329.97913121450824, 0.65747591873265609
2100-Jan-02 11:00:00, 1590.5370158667213, 2.163124390343846, 1260.4832454886018, 5.4003346680067912, 330.0537703781194, 0.65762463556965145
2100-Jan-02 12:00:00, 1579.9524166305675, 2.1487293749865564, 1249.8241050379854, 5.3546673210486775, 330.12831159258207, 0.6577731572451947
2100-Jan-02 13:00:00, 1564.4560748264937, 2.1276544081149233, 1234.2533208470998, 5.2879568384023994, 330.20275397939389, 0.65792148200888989
2100-Jan-02 14:00:00, 1540.8803814601556, 2.095591553348727, 1210.6032848048389, 5.1866321202867498, 330.27709665531671, 0.6580696081009052
2100-Jan-02 15:00:00, 1513.6205641636411, 2.0585183038221984, 1183.2692253698026, 5.0695238054299621, 330.35133879383852, 0.65821753387443416
2100-Jan-02 16:00:00, 1489.3100675200608, 2.0254561193483305, 1158.8845878377688, 4.9650518071687104, 330.42547968229212, 0.65836525790950351
2100-Jan-02 17:00:00, 1471.5746154406479, 2.0013359708802065, 1141.0750966564453, 4.888749949932377, 330.49951878420251, 0.65851277913719897
2100-Jan-02 18:00:00, 1461.0494547176927, 1.9870217916784687, 1130.4759989391168, 4.8433398462619444, 330.57345577857575, 0.65866009691794758
2100-Jan-02 19:00:00, 1456.9952178012315, 1.9815080446416222, 1126.3479272060993, 4.825653796906173, 330.64729059513223, 0.6588072111117188
2100-Jan-02 20:00:00, 1457.9925435153891, 1.9828644038812315, 1127.2715200880968, 4.8296107798154084, 330.72102342729221, 0.65895412210389792
