Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 2136.5409116476876, 2.3773050367760802, 1545.4195219145117, 4.9258162405723143, 591.12138973317599, 1.0104895553937749
2100-Jan-01 01:00:00, 2159.2449122575144, 2.4025675228396324, 1567.983642441412, 4.9977363307287694, 591.26126981610264, 1.0107286727142779
2100-Jan-01 02:00:00, 2184.3935300403632, 2.4305501069302013, 1592.993134192594, 5.0774507117686936, 591.40039584776935, 1.0109665010255593
2100-Jan-01 03:00:00, 2211.6988201554982, 2.4609323960628173, 1620.1600448254501, 5.1640415744463697, 591.53877533004811, 1.0112030531516576
2100-Jan-01 04:00:00, 2239.8583823094077, 2.4922652240826051, 1648.1819672635411, 5.2533576719074722, 591.67641504586663, 1.0114383406876148
2100-Jan-01 05:00:00, 2268.9467096518474, 2.5246314786792672, 1677.1333890075946, 5.3456364230117988, 591.81332064425294, 1.0116723732901345
2100-Jan-01 06:00:00, 2298.071862894245, 2.5570387090405289, 1706.1223665865798, 5.4380348782734833, 591.94949630766541, 1.0119051581088994
2100-Jan-01 07:00:00, 2325.8326719411589, 2.5879278489640476, 1733.7477274136243, 5.5260869890977009, 592.08494452753462, 1.0121366994028733
2100-Jan-01 08:00:00, 2347.5405120072637, 2.6120819183971866, 1755.3208460193032, 5.5948483943218319, 592.21966598796052, 1.0123669983414878
2100-Jan-01 09:00:00, 2356.8984689023055, 2.6224944117593472, 1764.5448093293844, 5.6242485330097098, 592.35365957292129, 1.0125960530169644
2100-Jan-01 10:00:00, 2350.6122948525017, 2.6154998566122032, 1758.1253723788616, 5.6037874437470077, 592.48692247363988, 1.0128238586278531
2100-Jan-01 11:00:00, 2326.315540356487, 2.5884651312176201, 1733.6960899552023, 5.5259224016651558, 592.61945040128467, 1.0130504078426321
2100-Jan-01 12:00:00, 2287.5833876165757, 2.5453683005921013, 1694.8321497283739, 5.4020488351498415, 592.75123788820167, 1.0132756913146468
2100-Jan-01 13:00:00, 2239.6474065963939, 2.4920304737801651, 1646.7651279470711, 5.2488416877255819, 592.88227864932264, 1.013499698299918
2100-Jan-01 14:00:00, 2188.4603664029655, 2.4350752299998564, 1595.4478004112364, 5.0852746291927433, 593.01256599172939, 1.0137224173572703
2100-Jan-01 15:00:00, 2141.574349608296, 2.3829056865697815, 1548.4322563656249, 4.9354189252009135, 593.14209324267097, 1.0139438370800016
2100-Jan-01 16:00:00, 2105.0637147376124, 2.3422807138857662, 1511.7928605654529, 4.818635793942379, 593.2708541721596, 1.0141639468182904
2100-Jan-01 17:00:00, 2083.3647211939538, 2.3181364878786317, 1489.9658778142636, 4.7490652310020929, 593.39884337969022, 1.0143827373402696
2100-Jan-01 18:00:00, 2076.7506927300506, 2.3107771328132087, 1483.2246361069765, 4.7275784324904233, 593.52605662307394, 1.0146002013941504
2100-Jan-01 19:00:00, 2082.3608243704116, 2.317019463176694, 1488.7083333093062, 4.74505697754216, 593.65249106110548, 1.0148163341230483
