Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1482.1142973401372, 2.3856933660659871, 1067.5614388690899, 4.9224795393407161, 414.55285847104733, 1.0251662436332523
2100-Jan-01 01:00:00, 1497.7966423361681, 2.4109365382616352, 1083.1489846598868, 4.9943530376051504, 414.64765767628126, 1.0254006768138304
2100-Jan-01 02:00:00, 1515.1687971331007, 2.4388997220239754, 1100.4268630507654, 5.0740205862498575, 414.74193408233538, 1.0256338171410113
2100-Jan-01 03:00:00, 1534.0319425106218, 2.4692628869101463, 1119.1962496296651, 5.1605654145254878, 414.83569288095669, 1.0258656774536978
2100-Jan-01 04:00:00, 1553.4855577381475, 2.5005765048123543, 1138.5566189679612, 5.2498352386986031, 414.92893877018633, 1.0260962693698852
2100-Jan-01 05:00:00, 1573.5810011934273, 2.532923245023587, 1158.5593255291549, 5.3420668519753232, 415.02167566427244, 1.0263256025692922
2100-Jan-01 06:00:00, 1593.7019849931924, 2.5653110963896846, 1178.5880785288898, 5.434418564251617, 415.1139064643026, 1.0265536842261476
2100-Jan-01 07:00:00, 1612.8800431251609, 2.5961811623094153, 1197.6744102209711, 5.5224248127115345, 415.20563290418971, 1.0267805186283219
2100-Jan-01 08:00:00, 1627.875162972412, 2.6203181387943952, 1212.5783075028892, 5.5911460373226394, 415.29685546952277, 1.0270061069766496
2100-Jan-01 09:00:00, 1634.3365048307815, 2.630718672973885, 1218.9489314297819, 5.6205207082232516, 415.38757340099949, 1.0272304473934186
2100-Jan-01 10:00:00, 1629.9883349841309, 2.6237196176538609, 1214.5105502135698, 5.600055524741407, 415.47778477056113, 1.0274535351106464
2100-Jan-01 11:00:00, 1613.1959195974187, 2.5966896145966065, 1197.6284329694029, 5.5222128135966546, 415.56748662801573, 1.0276753628326716
2100-Jan-01 12:00:00, 1586.4298141816228, 2.5536054069612812, 1170.7731389740586, 5.3983842165698634, 415.65667520756415, 1.0278959212468817
2100-Jan-01 13:00:00, 1553.3048645379008, 2.5002856510166009, 1137.5595183585804, 5.2452376509911076, 415.74534617932045, 1.0281151996457087
2100-Jan-01 14:00:00, 1517.9340498527665, 2.4433508261531522, 1102.1005549228489, 5.0817379069543405, 415.83349492991761, 1.0283331866205518
2100-Jan-01 15:00:00, 1485.5354139109932, 2.3912001850220399, 1069.6142970492406, 4.9319451794631854, 415.92111686175264, 1.0285498708017935
2100-Jan-01 16:00:00, 1460.3059260827647, 2.3505894022712992, 1044.2977184014953, 4.8152115322347395, 416.00820768126931, 1.0287652415717072
2100-Jan-01 17:00:00, 1445.3106969650075, 2.3264522498984528, 1029.2159332954641, 4.7456700745741696, 416.0947636695434, 1.0289792897335994
2100-Jan-01 18:00:00, 1440.7383562374089, 2.3190923566966926, 1024.5575743303068, 4.7241905832231303, 416.18078190710202, 1.0291920080677757
2100-Jan-01 19:00:00, 1444.6121203842229, 2.3253277822933174, 1028.3458599409237, 4.7416582040349082, 416.26626044329913, 1.0294033917503962
2100-Jan-01 20:00:00, 1453.7261112836957, 2.3399981674763493, 1037.3749128830586, 4.7832907759404328, 416.35119840063703, 1.0296134386114577
2100-Jan-01 21:00:00, 1465.6970147453758, 2.3592671975542583, 1049.2614187467295, 4.8380989394594867, 416.43559599864619, 1.0298221491938473
2100-Jan-01 22:00:00, 1478.841939241664, 2.3804259969967259, 1062.3224847337942, 4.8983229488161877, 416.51945450786974, 1.0300295266395474
2100-Jan-01 23:00:00, 1492.6113561883587, 2.4025900141196153, 1076.0085800544248, 4.9614289413486992, 416.6027761339339, 1.0302355764029494
2100-Jan-02 00:00:00, 1507.6375404874739, 2.4267769936690451, 1090.9519766423193, 5.030332295548237, 416.68556384515455, 1.0304403058245342
