Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1001.0421543095472, 1.3796615917241941, 464.38985330497655, 1.9896025062208025, 536.65230100457063, 1.0903967127917222
2100-Jan-01 01:00:00, 1005.5385755242467, 1.3858586730593088, 468.74592123035376, 2.0082653680381273, 536.79265429389284, 1.0906818895533237
2100-Jan-01 02:00:00, 1010.5038182336446, 1.392701896024749, 473.57149927252675, 2.0289397692946212, 536.93231896111786, 1.0909656671384569
2100-Jan-01 03:00:00, 1015.9388790061713, 1.4001926341163071, 478.86758213060136, 2.0516299716162001, 537.07129687556994, 1.0912480493453076
2100-Jan-01 04:00:00, 1021.7082526640322, 1.4081441306739584, 484.49866257700722, 2.0757554164104093, 537.20959008702505, 1.0915290403387121
2100-Jan-01 05:00:00, 1027.7550454680704, 1.4164779733087871, 490.40784490947163, 2.1010723433301406, 537.34720055859873, 1.0918086441074257
2100-Jan-01 06:00:00, 1033.952696808964, 1.4250197329910519, 496.46856688971229, 2.1270385171291086, 537.48412991925181, 1.0920868639612515
2100-Jan-01 07:00:00, 1040.0803827640143, 1.4334650646106397, 502.46000351606546, 2.152707849141466, 537.6203792479489, 1.0923637020924835
2100-Jan-01 08:00:00, 1045.4909344208884, 1.4409220236197011, 507.73498551685361, 2.1753076482851079, 537.75594890403477, 1.0926391592312557
2100-Jan-01 09:00:00, 1049.1190202697553, 1.4459223432122486, 511.22818185172287, 2.1902736776527068, 537.89083841803244, 1.0929132344236621
2100-Jan-01 10:00:00, 1050.040691417011, 1.4471926136764788, 512.01564498646803, 2.1936474348855475, 538.02504643054294, 1.0931859249076081
2100-Jan-01 11:00:00, 1047.5506465106421, 1.4437607708672666, 509.39207581246603, 2.1824071811059067, 538.15857069817605, 1.093457226124863
2100-Jan-01 12:00:00, 1041.7447641354145, 1.4357589570728266, 503.45335598541129, 2.1569637056131472, 538.29140815000312, 1.0937271318357613
2100-Jan-01 13:00:00, 1033.3138242777904, 1.4241392227253522, 494.89026926966193, 2.1202765586623884, 538.42355500812857, 1.0939956343641879
2100-Jan-01 14:00:00, 1023.3060688460828, 1.410346281310193, 484.75106190902881, 2.0768367801395793, 538.55500693705403, 1.0942627249010628
2100-Jan-01 15:00:00, 1013.0952270390787, 1.3962734411209488, 474.40946779551081, 2.0325299086174291, 538.68575924356799, 1.0945283939104864
2100-Jan-01 16:00:00, 1004.0494545891383, 1.3838063289589564, 465.23364750272447, 1.9932176046959866, 538.81580708641388, 1.0947926315557539
2100-Jan-01 17:00:00, 997.33135911448687, 1.3745472800207967, 458.38621341778764, 1.9638808913298031, 538.94514569669923, 1.0950554281471934
2100-Jan-01 18:00:00, 993.51059860644727, 1.3692814113444125, 454.43682800186292, 1.9469603943257583, 539.0737706045843, 1.0953167746027634
2100-Jan-01 19:00:00, 992.48434177551837, 1.367866998248239, 453.28266395265598, 1.9420155668956378, 539.20167782286239, 1.0955766628210599
2100-Jan-01 20:00:00, 993.61467924991689, 1.3694248579171855, 454.28581523652122, 1.9463134047882891, 539.32886401339567, 1.095835086019489
2100-Jan-01 21:00:00, 996.17006835873099, 1.3729467597573461, 456.71474175317445, 1.956719743881546, 539.45532660555659, 1.0960920389749227
