Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1279.7118249376119, 1.7174512430096698, 599.6053229445796, 3.8223221537088929, 680.10650199303234, 1.1561457272257623
2100-Jan-01 01:00:00, 1282.4619565468311, 1.7211420871971288, 602.27230570322968, 3.8393234492142199, 680.1896508436015, 1.1562870759528037
2100-Jan-01 02:00:00, 1285.538099624941, 1.7252704586399987, 605.26901941038057, 3.8584266905512297, 680.26908021456052, 1.1564221017577052
2100-Jan-01 03:00:00, 1288.9108587067612, 1.7297969068329166, 608.56604422182636, 3.8794443341509046, 680.34481448493477, 1.1565508460835443
2100-Jan-01 04:00:00, 1292.5891292751937, 1.734733370055946, 612.17212517678445, 3.9024321272787481, 680.41700409840928, 1.1566735646767705
2100-Jan-01 05:00:00, 1296.5910114242361, 1.7401041397380859, 616.10510845029557, 3.9275038344855528, 680.48590297394037, 1.1567906891864208
2100-Jan-01 06:00:00, 1300.8722789403614, 1.7458498616060423, 620.32043444861779, 3.9543754003838787, 680.55184449174374, 1.1569027863415453
2100-Jan-01 07:00:00, 1305.3558876306233, 1.751867137658512, 624.74066898797355, 3.9825532029447315, 680.61521864264967, 1.1570105191062987
2100-Jan-01 08:00:00, 1309.7629442835712, 1.7577816762125245, 629.08649252440171, 4.0102566554388215, 680.67645175916948, 1.1571146122238056
2100-Jan-01 09:00:00, 1313.3785503269237, 1.7626340398246931, 632.64256116854506, 4.0329256335790893, 680.73598915837852, 1.1572158227099631
2100-Jan-01 10:00:00, 1315.4406454373998, 1.7654014971081826, 634.64636555746517, 4.0456993459101529, 680.79427987993461, 1.1573149139088659
2100-Jan-01 11:00:00, 1315.199541603431, 1.7650779210723324, 634.34778028176595, 4.0437959453391379, 680.85176132166509, 1.1574126293741007
2100-Jan-01 12:00:00, 1312.5128822408642, 1.7614722605072994, 631.6040415264689, 4.0263053510647921, 680.90884071439541, 1.1575096613769185
2100-Jan-01 13:00:00, 1307.7738048293591, 1.7551121298649921, 626.80793331689006, 3.9957314552710872, 680.96587151246888, 1.1576066107713436
2100-Jan-01 14:00:00, 1301.6706439690865, 1.7469213161196602, 620.64751828726605, 3.9564604716044705, 681.0231256818206, 1.1577039398853397
2100-Jan-01 15:00:00, 1295.0932614459068, 1.7380940680079722, 614.01249495111142, 3.914163988038224, 681.0807664947954, 1.1578019262734118
2100-Jan-01 16:00:00, 1288.8958247936632, 1.7297767304055098, 607.75699651789034, 3.8742868733282161, 681.13882827577288, 1.1579006282852224
2100-Jan-01 17:00:00, 1283.7688251041714, 1.722895984429706, 602.57161626162031, 3.8412314732667037, 681.19720884255105, 1.1579998722163358
2100-Jan-01 18:00:00, 1280.1161136144883, 1.7179938230476952, 598.8604357864499, 3.8175736990545039, 681.25567782803853, 1.1580992664546625
2100-Jan-01 19:00:00, 1278.009736857317, 1.7151669370962217, 596.69583611929249, 3.8037749602089996, 681.31390073802459, 1.1581982423774184
2100-Jan-01 20:00:00, 1277.2366487592979, 1.7141294057637566, 595.86517339263344, 3.7984797094484213, 681.37147536666441, 1.1582961162555587
2100-Jan-01 21:00:00, 1277.4796789244979, 1.7144555670534922, 596.05170413628173, 3.7996687926111479, 681.42797478821603, 1.1583921623374978
2100-Jan-01 22:00:00, 1278.4403858047342, 1.7157448942234668, 596.95739568256295, 3.8054423318532229, 681.48299012217126, 1.1584856855476093
2100-Jan-01 23:00:00, 1279.9472162706047, 1.7177671525211426, 598.41104943109974, 3.8147089822884919, 681.53616683950486, 1.1585760832049659
2100-Jan-02 00:00:00, 1281.9693897359207, 1.7204810325243671, 600.38215930275794, 3.8272742758933487, 681.58723043316263, 1.1586628886618338
2100-Jan-02 01:00:00, 1284.5204908662322, 1.7239047656820339, 602.88449066978785, 3.8432259632018404, 681.63600019644423, 1.1587457947262083
2100-Jan-02 02:00:00, 1287.5819095690767, 1.7280133761161287, 605.89951707449211, 3.8624459430447868, 681.68239249458463, 1.1588246592233333
2100-Jan-02 03:00:00, 1291.1304756314025, 1.7327757679889557, 609.40405916350994, 3.8847864532985561, 681.72641646789259, 1.1588994976912592
2100-Jan-02 04:00:00, 1295.1233827079702, 1.7381344925769757, 613.35521744753635, 3.9099740212935798, 681.76816526043388, 1.1589704684700592
2100-Jan-02 05:00:00, 1299.5046500850422, 1.7440144203514001, 617.6968450660612, 3.9376507259431408, 681.80780501898096, 1.1590378540006168
2100-Jan-02 06:00:00, 1304.2543706752158, 1.7503888347879786, 622.40880765148506, 3.9676882160862657, 681.84556302373085, 1.1591020406474615
2100-Jan-02 07:00:00, 1309.285512033676, 1.7571409330428072, 627.40379632183658, 3.9995299211572766, 681.88171571183943, 1.1591634983393995
2100-Jan-02 08:00:00, 1314.2586543937587, 1.7638151931078843, 632.34207735896757, 4.0310101303668455, 681.91657703479098, 1.1592227607776466
