Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1691.021008064226, 2.2794509128064013, 1003.8654306222994, 6.3993712663634632, 687.15557744192665, 1.1746547257392781
2100-Jan-01 01:00:00, 1713.8160588480478, 2.3101780291868961, 1026.6661615301837, 6.5447197740150811, 687.1498973178642, 1.1746450158791069
2100-Jan-01 02:00:00, 1739.0806261164046, 2.3442339874788862, 1051.9424794467091, 6.705849480906382, 687.13814666969552, 1.174624928791328
2100-Jan-01 03:00:00, 1766.524163600089, 2.3812271391130175, 1079.404249522694, 6.8809108556553831, 687.11991407739492, 1.1745937611759998
2100-Jan-01 04:00:00, 1794.8472470273041, 2.4194058950621011, 1107.7521259343021, 7.0616209192128174, 687.09512109300215, 1.1745513789306419
2100-Jan-01 05:00:00, 1824.1224740775492, 2.4588681150487619, 1137.0584734319425, 7.2484409773377454, 687.06400064560671, 1.1744981802347421
2100-Jan-01 06:00:00, 1853.4535444551402, 2.4984056103412211, 1166.4264776228215, 7.4356540802464188, 687.02706683231884, 1.1744350439090796
2100-Jan-01 07:00:00, 1881.4375478145248, 2.5361272954636003, 1194.4524686094064, 7.6143122110675332, 686.98507920511827, 1.1743632683660543
2100-Jan-01 08:00:00, 1903.3853508704472, 2.5657123446565651, 1216.4463468410611, 7.7545172506058488, 686.93900402938607, 1.1742845053832747
2100-Jan-01 09:00:00, 1912.9973827354142, 2.5786691055152637, 1226.1074097775479, 7.8161039201656894, 686.88997295786623, 1.1742006894589634
2100-Jan-01 10:00:00, 1906.971857370195, 2.5705468591159657, 1220.1326213495165, 7.778016256000142, 686.83923602067853, 1.1741139574509676
2100-Jan-01 11:00:00, 1882.9324149951908, 2.5381423362840532, 1196.1443123612034, 7.6250972585073233, 686.78810263398725, 1.1740265477343157
2100-Jan-01 12:00:00, 1844.4425670871603, 2.4862590548053838, 1157.7047013841116, 7.3800551099550997, 686.73786570304878, 1.1739406704595461
2100-Jan-01 13:00:00, 1796.7218546790082, 2.4219328158409992, 1110.0321448807908, 7.0761554248226783, 686.68970979821745, 1.1738583505846307
2100-Jan-01 14:00:00, 1745.7133476186209, 2.3531747179668683, 1059.0687357891222, 6.7512774423474982, 686.64461182949856, 1.1737812580835787
2100-Jan-01 15:00:00, 1698.9629201248244, 2.2901563970136514, 1012.3596709800285, 6.4535197568051945, 686.603249144796, 1.1737105508454362
2100-Jan-01 16:00:00, 1662.5444726462629, 2.2410653076941704, 975.97854114092684, 6.2215998701069726, 686.56593150533615, 1.1736467583900099
2100-Jan-01 17:00:00, 1640.9024145404214, 2.2118923944842739, 954.36984397051185, 6.0838502559080041, 686.53257056990947, 1.173589729702853
2100-Jan-01 18:00:00, 1634.3227120786676, 2.2030231322392071, 947.82001704893457, 6.0420968764977658, 686.50269502973299, 1.1735386591074821
2100-Jan-01 19:00:00, 1639.9581946041417, 2.2106196113636747, 953.48268317052441, 6.0781948451737549, 686.47551143361716, 1.1734921902426598
2100-Jan-01 20:00:00, 1653.1803056231149, 2.2284426619867581, 966.73030388993493, 6.1626448529072846, 686.45000173317999, 1.1734485828105812
2100-Jan-01 21:00:00, 1670.5489069143446, 2.2518550701583071, 984.12386583888156, 6.2735241173588978, 686.42504107546301, 1.1734059139368831
2100-Jan-01 22:00:00, 1689.635459586279, 2.2775832306618673, 1003.2359434082376, 6.3953584552163427, 686.39951617804149, 1.1733622805263944
2100-Jan-01 23:00:00, 1709.6527756131743, 2.3045660351757351, 1023.2803484308808, 6.5231361290363674, 686.37242718229345, 1.1733159733757059
2100-Jan-02 00:00:00, 1731.5181419513046, 2.334039961886647, 1045.1751792650086, 6.6627097681395178, 686.34296268629612, 1.1732656054377877
2100-Jan-02 01:00:00, 1755.7515303865275, 2.3667059188000357, 1069.4409849125948, 6.8173977319635748, 686.31054547393262, 1.1732101899933844
2100-Jan-02 02:00:00, 1781.6101038962979, 2.4015625815556287, 1095.3352508655562, 6.9824666908580282, 686.27485303074184, 1.1731491757217354
2100-Jan-02 03:00:00, 1808.1472010470147, 2.437333875959995, 1121.9113810214556, 7.1518823500718041, 686.23582002555906, 1.1730824509428019
2100-Jan-02 04:00:00, 1835.386422422559, 2.4740516149665002, 1149.1927937105525, 7.3257939951417859, 686.19362871200667, 1.1730103272091432
2100-Jan-02 05:00:00, 1862.3416035107398, 2.5103864752924827, 1176.1929128982315, 7.4979124700362876, 686.14869061250818, 1.1729335079957446
2100-Jan-02 06:00:00, 1889.3955499919352, 2.5468544687162722, 1203.2939281270103, 7.6706741299699459, 686.10162186492494, 1.1728530465564455
2100-Jan-02 07:00:00, 1915.8514124172848, 2.5825162608920991, 1229.7981981247319, 7.8396317000639941, 686.05321429255298, 1.1727702964696893
2100-Jan-02 08:00:00, 1936.8693317126153, 2.6108478517443476, 1250.8649276907518, 7.973926417013721, 686.00440402186348, 1.1726868579922729
2100-Jan-02 09:00:00, 1947.0272585388898, 2.6245404643529149, 1261.0710197728117, 8.0389875003217757, 685.95623876607795, 1.1726045221324148
2100-Jan-02 10:00:00, 1943.1419862157718, 2.6193032215858536, 1257.2321450163897, 8.0145157095199089, 685.90984119938207, 1.1725252080399862
2100-Jan-02 11:00:00, 1921.5035386863917, 2.5901351753360786, 1235.6371767538508, 7.8768536134044416, 685.86636193254094, 1.1724508826209061
2100-Jan-02 12:00:00, 1886.711280650773, 2.5432361457204307, 1200.8843637498178, 7.6553138071921216, 685.82691690095533, 1.1723834535054625
2100-Jan-02 13:00:00, 1842.6757139084707, 2.4838773841627648, 1156.8832050920687, 7.3748182927419954, 685.79250881640189, 1.1723246347743759
2100-Jan-02 14:00:00, 1787.8692318932758, 2.4099997180300097, 1102.1052922805281, 7.0256238782473828, 685.76393961274766, 1.1722757972895548
2100-Jan-02 15:00:00, 1730.2410039071688, 2.3323184140959321, 1044.4992767422987, 6.6584010719231221, 685.7417271648701, 1.1722378263296642
2100-Jan-02 16:00:00, 1683.0351587429818, 2.2686862023515726, 997.30912180806251, 6.3575765666364052, 685.72603693491931, 1.1722110047431638
2100-Jan-02 17:00:00, 1653.3844773769156, 2.2287178800286105, 967.66784039503511, 6.1686213951697129, 685.71663698188058, 1.1721949360396253
2100-Jan-02 18:00:00, 1641.2141618499058, 2.2123126214866473, 955.50127113774386, 6.0910627988277053, 685.71289071216211, 1.1721885319972611
2100-Jan-02 19:00:00, 1644.0760149935654, 2.216170322679905, 958.36221454068504, 6.1093005411076886, 685.71380045288049, 1.1721900871490625
2100-Jan-02 20:00:00, 1657.5831011059104, 2.2343775120769096, 971.86500114705564, 6.1953771625240472, 685.71809995885462, 1.1721974369184256
2100-Jan-02 21:00:00, 1677.8206249782265, 2.2616571508535439, 992.09624587293195, 6.3243458890407904, 685.72437910529447, 1.1722081707744567
2100-Jan-02 22:00:00, 1701.5003489474157, 2.293576782933314, 1015.7691307007572, 6.4752541426153822, 685.73121824665839, 1.1722198619110593
2100-Jan-02 23:00:00, 1724.5501713642948, 2.3246473246342276, 1038.8128599303777, 6.6221516990044682, 685.73731143391694, 1.1722302778800815
2100-Jan-03 00:00:00, 1746.6086783996873, 2.3543815998189759, 1060.8671147585378, 6.7627416230552413, 685.74156364114947, 1.1722375467948434
2100-Jan-03 01:00:00, 1768.5223277019727, 2.3839206106691098, 1082.7791738257301, 6.9024250874958133, 685.74315387624267, 1.1722402652144104
2100-Jan-03 02:00:00, 1791.3035452471981, 2.4146290802154167, 1105.5619818048353, 7.0476593413122659, 685.74156344236292, 1.1722375464550285
2100-Jan-03 03:00:00, 1814.6758082238814, 2.4461342631330072, 1128.9392324419159, 7.1966830066861931, 685.73657578196548, 1.1722290203234675
2100-Jan-03 04:00:00, 1837.8245921387252, 2.4773382022759352, 1152.0963347563609, 7.3443032859017388, 685.72825738236418, 1.1722148004761388
2100-Jan-03 05:00:00, 1860.3711387855178, 2.5077303417523669, 1174.6542110836933, 7.4881036611271563, 685.7169277018246, 1.1721954330094053
2100-Jan-03 06:00:00, 1881.034759444397, 2.5355843475560476, 1195.3316364159293, 7.6199166686250432, 685.70312302846776, 1.1721718346783603
2100-Jan-03 07:00:00, 1901.4844971483726, 2.5631500448795479, 1215.7969400261379, 7.7503774573777626, 685.68755712223469, 1.1721452256164282
2100-Jan-03 08:00:00, 1919.3385193306412, 2.5872167873780492, 1233.6674388071638, 7.8642970654511162, 685.67108052347749, 1.1721170597756352
2100-Jan-03 09:00:00, 1929.8721758149497, 2.6014158734768271, 1244.217535127457, 7.9315510829618088, 685.6546406874927, 1.1720889567787829
2100-Jan-03 10:00:00, 1928.9550881244763, 2.6001796638950396, 1243.3158443969305, 7.9258030478407067, 685.6392437275457, 1.1720626365212494
2100-Jan-03 11:00:00, 1914.8370692212961, 2.5811489535003109, 1229.2111554532821, 7.8358894614240242, 685.62591376801413, 1.1720398496874207
2100-Jan-03 12:00:00, 1887.325405067148, 2.5440639689436826, 1201.7097613906499, 7.6605754944511304, 685.61564367649805, 1.1720222935299374
2100-Jan-03 13:00:00, 1848.2445641937481, 2.4913840448166078, 1162.6352298356396, 7.4114858985231811, 685.60933435810853, 1.1720115080966151
