Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1166.9001115625404, 2.2754859149906155, 693.26679416146305, 6.3932463000522564, 473.63331740107725, 1.1712689442075799
2100-Jan-01 01:00:00, 1182.6476099396882, 2.3061939510928271, 709.01961617721076, 6.5385174596054503, 473.62799376247733, 1.1712557791443692
2100-Jan-01 02:00:00, 1200.1020612292509, 2.3402305902787695, 726.48358462577312, 6.6995686632810099, 473.61847660347792, 1.1712322437376239
2100-Jan-01 03:00:00, 1219.0628599538991, 2.3772046465903549, 745.45837834842325, 6.8745525667121825, 473.60448160547571, 1.1711976348831958
2100-Jan-01 04:00:00, 1238.6315942999563, 2.4153641933565475, 765.04563980057912, 7.0551845944708731, 473.58595449937712, 1.1711518183766241
2100-Jan-01 05:00:00, 1258.8583268939644, 2.454806854016093, 785.29527074020632, 7.2419249362447546, 473.56305615375811, 1.1710951920369814
2100-Jan-01 06:00:00, 1279.1237550894648, 2.4943249721165071, 805.58761338114459, 7.4290591616269044, 473.53614170832026, 1.1710286341050671
2100-Jan-01 07:00:00, 1298.45823968276, 2.5320277257024455, 824.95250376772117, 7.6076405026886027, 473.50573591503877, 1.1709534422634331
2100-Jan-01 08:00:00, 1313.621444635105, 2.5615963742553833, 840.14893826228274, 7.7477807047357157, 473.47250637282229, 1.1708712674471808
2100-Jan-01 09:00:00, 1320.2606971854211, 2.5745430913861926, 846.82346220421425, 7.8093325861408793, 473.43723498120676, 1.1707840432505281
2100-Jan-01 10:00:00, 1316.0950212356174, 2.5664199136983434, 842.69423577439079, 7.7712532178271578, 473.40078546122658, 1.1706939056077239
2100-Jan-01 11:00:00, 1299.4828109013617, 2.5340256665319405, 826.11874830843419, 7.6183955087810089, 473.36406259292761, 1.1706030919896768
2100-Jan-01 12:00:00, 1272.8865336899735, 2.4821622263059719, 799.55857391733582, 7.3734598821439077, 473.32795977263771, 1.1705138117159919
2100-Jan-01 13:00:00, 1239.9127064841405, 2.4178623958177079, 766.61941092652148, 7.0696977754176542, 473.2932955576191, 1.1704280890334124
2100-Jan-01 14:00:00, 1204.6675959812578, 2.3491335031499325, 731.40685094998298, 6.7449705986924675, 473.26074503127478, 1.1703475933857796
2100-Jan-01 15:00:00, 1172.3649414338201, 2.2861424770019649, 699.13416513394031, 6.447354686717734, 473.23077629987978, 1.170273482373968
2100-Jan-01 16:00:00, 1147.2013946309553, 2.2370728987632136, 673.99779114771309, 6.2155492240335528, 473.2036034832422, 1.1702062855043962
2100-Jan-01 17:00:00, 1132.2477141951847, 2.2079128285295213, 659.06854856479833, 6.0778730426418717, 473.17916563038642, 1.1701458520486796
2100-Jan-01 18:00:00, 1127.7012891567958, 2.1990471801026295, 654.54415198498111, 6.03614944944876, 473.15713717181472, 1.170091376891494
2100-Jan-01 19:00:00, 1131.5947648605945, 2.2066395601500428, 658.45779491186499, 6.0722407253799693, 473.13696994872953, 1.1700415044665129
2100-Jan-01 20:00:00, 1140.7301152677599, 2.2244537337661319, 667.61215466005115, 6.1566614376978412, 473.11796060770865, 1.1699944954197048
2100-Jan-01 21:00:00, 1152.7305925396697, 2.2478549801408798, 679.63126055241491, 6.2675005907099708, 473.0993319872548, 1.1699484278737586
2100-Jan-01 22:00:00, 1165.9182386345428, 2.2735712369510552, 692.83792372478376, 6.3892912940493822, 473.08031490975918, 1.1699013996950771
