Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1382.4855729615983, 1.9286382174362959, 237.8664214156328, 1.5485526399876117, 1144.6191515459655, 2.0322991681385365
2100-Jan-01 01:00:00, 1386.4256110094841, 1.9341347724137392, 242.14614414280706, 1.5764143948672567, 1144.279466866677, 2.0316960497211878
2100-Jan-01 02:00:00, 1390.8048922365551, 1.9402440941344261, 246.89356135206759, 1.6073209238711015, 1143.9113308844876, 2.0310424153229212
2100-Jan-01 03:00:00, 1395.6237395429348, 1.946966633060575, 252.1094344917127, 1.641277184162774, 1143.514305051222, 2.030337486290775
2100-Jan-01 04:00:00, 1400.7469849937356, 1.954113822996564, 257.65753429358722, 1.6773962990171369, 1143.0894507001483, 2.0295831470478038
2100-Jan-01 05:00:00, 1406.1173774560771, 1.9616057956782864, 263.47825287539899, 1.7152902105362395, 1142.6391245806781, 2.0287835820599613
2100-Jan-01 06:00:00, 1411.6138278122271, 1.9692736255814971, 269.44707202138136, 1.7541482830254578, 1142.1667557908456, 2.0279448797742843
2100-Jan-01 07:00:00, 1417.0251249933694, 1.9768226624420404, 275.34850041443212, 1.7925676297469031, 1141.6766245789372, 2.0270746398758042
2100-Jan-01 08:00:00, 1421.7278338899175, 1.9833831823351562, 280.55418022921043, 1.8264575296837229, 1141.173653660707, 2.0261816027661799
2100-Jan-01 09:00:00, 1424.6973096272436, 1.9875257531545307, 284.03409826391703, 1.8491124139986859, 1140.6632113633266, 2.0252753000409913
2100-Jan-01 10:00:00, 1425.0498329417831, 1.9880175412427794, 284.8989223858332, 1.8547425725942035, 1140.1509105559498, 2.0243656974860609
2100-Jan-01 11:00:00, 1422.1136108481796, 1.9839213609604252, 282.47124009737905, 1.8389379298267912, 1139.6423707508006, 2.0234627726821435
2100-Jan-01 12:00:00, 1415.9895527300855, 1.9753779860685952, 276.84663969350703, 1.8023207824696528, 1139.1429130365784, 2.0225759733517608
2100-Jan-01 13:00:00, 1407.3509635763248, 1.9633267115290842, 268.69377959764, 1.7492442155891001, 1138.6571839786848, 2.021713549584899
2100-Jan-01 14:00:00, 1397.2137143659975, 1.9491847294143412, 259.02497048395219, 1.6862985514241895, 1138.1887438820452, 2.0208818227896264
2100-Jan-01 15:00:00, 1386.9064358231108, 1.9348055476678097, 249.16674608181128, 1.6221197600980661, 1137.7396897412996, 2.0200845162309742
2100-Jan-01 16:00:00, 1377.7490325941196, 1.9220305009075949, 240.43864062168404, 1.5652982437531702, 1137.3103919724356, 2.019322287591546
2100-Jan-01 17:00:00, 1370.8583019028622, 1.9124175784893516, 233.9588923153317, 1.523113931707192, 1136.8994095875305, 2.0185925783622065
2100-Jan-01 18:00:00, 1366.7755317795622, 1.9067219049526398, 230.27191225616133, 1.4991110368461575, 1136.5036195234009, 2.0178898434682448
2100-Jan-01 19:00:00, 1365.3942781707601, 1.9047949853883359, 229.27572211364654, 1.4926256621306344, 1136.1185560571137, 2.0172061539098802
2100-Jan-01 20:00:00, 1366.0951205847873, 1.905772696469398, 230.35620693946075, 1.4996598102021585, 1135.7389136453266, 2.0165320895657506
2100-Jan-01 21:00:00, 1368.1702520584906, 1.9086676112118466, 232.81112071139873, 1.5156417347623885, 1135.359131347092, 2.015857776849828
