Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 89.091792669268358, 3.8460345217509952, 69.782517756507175, 14.309079264375651, 19.309274912761179, 1.0558564181550403
2100-Jan-01 01:00:00, 93.505311871199368, 4.0365632641240605, 74.202616011267153, 15.215431432756551, 19.302695859932218, 1.055496666937751
2100-Jan-01 02:00:00, 98.257910471476038, 4.2417298427397201, 78.962560071965839, 16.191469831029739, 19.295350399510202, 1.0550950075504395
2100-Jan-01 03:00:00, 103.27759802885173, 4.4584264772517148, 83.990211483796529, 17.222402289164314, 19.287386545055195, 1.0546595335682438
2100-Jan-01 04:00:00, 108.21070553614017, 4.6713855075293145, 88.931733143855425, 18.235673626938858, 19.278972392284746, 1.0541994366849505
2100-Jan-01 05:00:00, 113.1044435161817, 4.8826449810199186, 93.834157210268017, 19.240927905648789, 19.270286305913682, 1.053724470116554
2100-Jan-01 06:00:00, 117.79859478794542, 5.0852884266237712, 98.537085515181744, 20.205275081033001, 19.261509272763675, 1.0532445304592823
2100-Jan-01 07:00:00, 122.00625577235985, 5.266930404150898, 102.75343700007619, 21.069848466222972, 19.252818772283653, 1.0527693225216324
2100-Jan-01 08:00:00, 124.74565854834668, 5.3851886334418673, 105.50127462779341, 21.633299423350024, 19.244383920553275, 1.0523080937921259
2100-Jan-01 09:00:00, 124.86665026406456, 5.3904117668142568, 105.63028911054782, 21.659754164728472, 19.236361153516746, 1.0518693983928862
2100-Jan-01 10:00:00, 122.03843467379468, 5.2683195463163255, 102.80954587008891, 21.081353729923087, 19.228888803705772, 1.0514608005277535
2100-Jan-01 11:00:00, 116.08952168429184, 5.0115088565880779, 96.867442949031954, 19.862910709693232, 19.222078735259878, 1.0510884170742494
2100-Jan-01 12:00:00, 108.07805898848122, 4.6656592426714356, 88.862054049406026, 18.221385754881485, 19.216004939075184, 1.0507562939513901
2100-Jan-01 13:00:00, 99.190447328467883, 4.2819868500053619, 79.979756115552291, 16.400048416082736, 19.210691212915595, 1.050465732452045
2100-Jan-01 14:00:00, 90.5667774553458, 3.9097086519525321, 71.360675974840248, 14.632684542085023, 19.206101480505549, 1.0502147598782607
2100-Jan-01 15:00:00, 83.503947228042819, 3.6048108823418898, 64.301810619195265, 13.185246600064646, 19.202136608847546, 1.0499979555080201
2100-Jan-01 16:00:00, 78.803732891795875, 3.4019056982028544, 59.605092887513486, 12.222172918207326, 19.198640004282385, 1.0498067565951374
2100-Jan-01 17:00:00, 76.9250142701177, 3.3208026419151215, 57.729602053289241, 11.837598846228929, 19.195412216828462, 1.0496302569536407
2100-Jan-01 18:00:00, 77.657879283573351, 3.3524399460604921, 58.46564636661293, 11.988526567957047, 19.192232916960428, 1.0494564086767857
2100-Jan-01 19:00:00, 80.343596640348153, 3.4683806108551378, 61.154709912289995, 12.53992575301222, 19.188886728058158, 1.0492734346891666
2100-Jan-01 20:00:00, 84.070350758215739, 3.6292621529361804, 64.885162599189385, 13.304864378114621, 19.18518815902636, 1.0490711920949802
2100-Jan-01 21:00:00, 88.22199109055444, 3.808485755488924, 69.040990191668712, 14.157027188252279, 19.181000898885735, 1.0488422272315174
2100-Jan-01 22:00:00, 92.369615743370389, 3.9875360037784966, 73.193367487598408, 15.008482506479332, 19.176248255771984, 1.0485823464872883
2100-Jan-01 23:00:00, 96.371576996776923, 4.1602980582187898, 77.200662909978746, 15.830188424782387, 19.170914086798174, 1.0482906671481125
2100-Jan-02 00:00:00, 100.45189270425851, 4.3364426232840989, 81.286856704932063, 16.668072651109757, 19.165035999326452, 1.0479692456337606
2100-Jan-02 01:00:00, 104.73674539170733, 4.5214169162329743, 85.578051444234447, 17.547992832233113, 19.158693947472887, 1.0476224539399186
