Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 2382.2223652606463, 3.2650178312646028, 1697.1280736549118, 11.048605108760782, 685.0942916057345, 1.1893701280082003
2100-Jan-01 01:00:00, 2484.4270745695158, 3.4050971971537578, 1799.4605550604497, 11.714807733300768, 684.96651950906619, 1.1891483069876017
2100-Jan-01 02:00:00, 2594.3676801322649, 3.5557792001342516, 1909.5473309408337, 12.431492191757458, 684.82034919143109, 1.1888945454083171
2100-Jan-01 03:00:00, 2710.3781157112207, 3.714780369085422, 2025.7185047360126, 13.187787161010991, 684.65961097520835, 1.188615492969628
2100-Jan-01 04:00:00, 2824.3740067921763, 3.8710204508250179, 2139.8854587530905, 13.931034303631312, 684.48854803908591, 1.1883185161173517
2100-Jan-01 05:00:00, 2937.465965903918, 4.0260216247108502, 2253.1543755820617, 14.668435064697764, 684.31159032185633, 1.1880113055255075
2100-Jan-01 06:00:00, 3045.9391925491245, 4.1746924727291272, 2361.8060093724957, 15.375776493318956, 684.13318317662856, 1.1877015786284115
2100-Jan-01 07:00:00, 3143.190781696765, 4.3079832088569967, 2459.2331293860257, 16.010044344180169, 683.95765231073926, 1.1873968451472103
2100-Jan-01 08:00:00, 3206.5414138609121, 4.3948100922974911, 2522.7523182011614, 16.423565542103592, 683.78909565975061, 1.1871042193758101
2100-Jan-01 09:00:00, 3209.3477608279318, 4.3986564053124528, 2525.7164778122583, 16.442862747500602, 683.6312830156736, 1.1868302459286701
2100-Jan-01 10:00:00, 3143.898545629314, 4.3089532534228594, 2460.4110260957323, 16.017712660912704, 683.48751953358169, 1.1865806627790312
2100-Jan-01 11:00:00, 3006.1799622210592, 4.1201994086593983, 2322.8195393350857, 15.121967650772246, 683.36042288597366, 1.1863600143837854
2100-Jan-01 12:00:00, 2820.6849119202875, 3.865964264335632, 2137.4332925615699, 13.915070266307472, 683.25161935871756, 1.1861711240854338
2100-Jan-01 13:00:00, 2614.8896820590512, 3.5839061723268215, 1931.7282554350163, 12.575893948753727, 683.16142662403479, 1.1860145433844858
2100-Jan-01 14:00:00, 2415.1970935295249, 3.3102122167044414, 1732.1084679481228, 11.276333686876935, 683.0886255814022, 1.1858881558397989
2100-Jan-01 15:00:00, 2251.6508583004093, 3.0860596010434622, 1568.6204394987287, 10.211997592042826, 683.03041880168064, 1.1857871049247692
2100-Jan-01 16:00:00, 2142.838277771003, 2.9369236425891581, 1459.8556584484559, 9.5039195546691762, 682.98261932254741, 1.1857041217889994
2100-Jan-01 17:00:00, 2099.4102869086764, 2.8774022617939696, 1416.470224477591, 9.2214726758169618, 682.94006243108515, 1.185630240140785
2100-Jan-01 18:00:00, 2116.4852315716098, 2.9008047785385536, 1433.5880427446432, 9.3329127122479694, 682.89718882696639, 1.1855558086579312
2100-Jan-01 19:00:00, 2178.76217011475, 2.986160082806161, 1495.9134671413151, 9.7386622918373131, 682.84870297343491, 1.1854716339296816
2100-Jan-01 20:00:00, 2265.0809526862299, 3.1044665718975342, 1582.2907687473673, 10.300993862813172, 682.7901839388627, 1.1853700409190655
2100-Jan-01 21:00:00, 2361.1476223388495, 3.2361332852908875, 1678.429090822199, 10.926871410249028, 682.71853151665061, 1.1852456474572857
2100-Jan-01 22:00:00, 2457.0465081787956, 3.3675700381448026, 1774.4143327191484, 11.551752378545304, 682.63217545964721, 1.1850957274888507
2100-Jan-01 23:00:00, 2549.5685232488295, 3.49437853150522, 1867.0374768550862, 12.15474549342904, 682.53104639374328, 1.184920160575605
2100-Jan-02 00:00:00, 2643.9341060390739, 3.6237137753350348, 1961.5177392332819, 12.769828777827675, 682.41636680579199, 1.1847210690375893
2100-Jan-02 01:00:00, 2743.0612293985664, 3.7595750744523815, 2060.7708817799416, 13.41598435961588, 682.29034761862488, 1.1845022911867025
2100-Jan-02 02:00:00, 2843.3948930635006, 3.8970900292774622, 2161.2390166953746, 14.070049757464005, 682.15587636812575, 1.1842688399809644
2100-Jan-02 03:00:00, 2940.5161600309316, 4.0302021488964792, 2258.4999062306197, 14.703235418394996, 682.01625380031203, 1.1840264457391962
2100-Jan-02 04:00:00, 3036.1564007123425, 4.1612844087916754, 2354.2814114039675, 15.326790024444268, 681.87498930837489, 1.1837812010058553
2100-Jan-02 05:00:00, 3125.4895460370799, 4.2837223124322561, 2443.7539057825807, 15.909271849965071, 681.73564025449934, 1.1835392816028234
2100-Jan-02 06:00:00, 3211.7462034246009, 4.4019436542106183, 2530.1445190450727, 16.471690082188026, 681.60168437952825, 1.1833067251239358
2100-Jan-02 07:00:00, 3292.327029919752, 4.512385835931938, 2610.8506097645404, 16.997101063287936, 681.47642015521171, 1.1830892579397312
2100-Jan-02 08:00:00, 3343.8750833086297, 4.5830363830580243, 2662.5121910302832, 17.333427130577661, 681.36289227834641, 1.1828921658502272
2100-Jan-02 09:00:00, 3344.2855296015127, 4.5835989310739373, 2663.0216974896325, 17.336744108098156, 681.26383211188022, 1.1827201906866418
2100-Jan-02 10:00:00, 3285.0306762046794, 4.502385625485454, 2603.849107873204, 16.951520042758929, 681.18156833147543, 1.1825773751877691
2100-Jan-02 11:00:00, 3153.7844149729881, 4.3225025929619987, 2472.6665586599047, 16.097498354049868, 681.11785631308351, 1.1824667668052458
2100-Jan-02 12:00:00, 2980.574055310055, 4.0851045561093997, 2299.5004277839325, 14.970156093933772, 681.07362752612244, 1.1823899826331192
2100-Jan-02 13:00:00, 2785.2697213295228, 3.8174250387525368, 2104.22101433952, 13.698852437768776, 681.04870699000287, 1.1823467188932257
2100-Jan-02 14:00:00, 2558.667489311078, 3.5068493599520272, 1877.6258950034264, 12.223677975699223, 681.04159430765174, 1.1823343707945448
2100-Jan-02 15:00:00, 2340.0768061939661, 3.2072541212650663, 1659.0274100082765, 10.800563023105562, 681.04939618568949, 1.1823479153836536
2100-Jan-02 16:00:00, 2183.2300031202763, 2.9922835894287512, 1502.1621043992964, 9.7793420299213363, 681.06789872097988, 1.1823800370390758
2100-Jan-02 17:00:00, 2106.6720214425968, 2.8873550240066468, 1425.5802363525017, 9.2807804707350225, 681.09178509009485, 1.1824215053949505
2100-Jan-02 18:00:00, 2101.8345092739646, 2.8807248438354454, 1420.7194284652801, 9.2491357482835213, 681.11508080868452, 1.1824619483414769
2100-Jan-02 19:00:00, 2155.2815150522201, 2.9539780503532227, 1474.1496973529954, 9.5969762860479726, 681.1318176992246, 1.182491004717932
2100-Jan-02 20:00:00, 2246.0012401475428, 3.0783163675494194, 1564.8644838410999, 10.187545653788225, 681.13675630644286, 1.1824995784748167
2100-Jan-02 21:00:00, 2356.2032885341714, 3.2293566979028197, 1675.0773085370806, 10.905050712416212, 681.12597999709089, 1.1824808700713307
2100-Jan-02 22:00:00, 2471.4501860838459, 3.3873113796255905, 1790.352940079739, 11.655515542589553, 681.09724600410686, 1.1824309859118327
2100-Jan-02 23:00:00, 2572.0593292696944, 3.5252039001897271, 1891.0092646799642, 12.310806088701433, 681.05006458973037, 1.182349075778375
2100-Jan-03 00:00:00, 2660.1581504062615, 3.6459500681876964, 1979.1726073917669, 12.88476510441277, 680.98554301449485, 1.1822370619502969
2100-Jan-03 01:00:00, 2743.1487456162567, 3.759695022117826, 2062.2426862459142, 13.425566068029212, 680.90605937034252, 1.1820990729564047
2100-Jan-03 02:00:00, 2827.9619760638334, 3.8759380369499841, 2147.1471242021298, 13.978309035116711, 680.81485186170335, 1.1819407305390839
2100-Jan-03 03:00:00, 2912.7999871949773, 3.9922150156030254, 2232.0843639704403, 14.531265547825377, 680.7156232245369, 1.1817684628989433
2100-Jan-03 04:00:00, 2992.9281080445735, 4.1020367296355991, 2312.3158782833466, 15.053586952250766, 680.61222976122713, 1.1815889648383131
2100-Jan-03 05:00:00, 3066.8198437978504, 4.2033110012299488, 2386.3113754932201, 15.535310778041737, 680.50846830463024, 1.181408827916393
2100-Jan-03 06:00:00, 3127.4560184425827, 4.286417513166783, 2447.048082746066, 15.930717526925411, 680.40793569651692, 1.1812342964943015
2100-Jan-03 07:00:00, 3187.3899314013884, 4.3685615217873011, 2507.075999334239, 16.321509922726182, 680.31393206714938, 1.1810710998218668
2100-Jan-03 08:00:00, 3235.3264863176828, 4.4342622342201521, 2555.0970956642568, 16.634135786664377, 680.22939065342621, 1.1809243301971684
2100-Jan-03 09:00:00, 3249.7347233991204, 4.4540098244006492, 2569.5778907721733, 16.728408334088382, 680.15683262694699, 1.1807983645449962
2100-Jan-03 10:00:00, 3214.7853666168885, 4.4061090596570809, 2534.6870316990576, 16.501262646153304, 680.0983349178307, 1.180696808556817
2100-Jan-03 11:00:00, 3127.3102783653385, 4.2862177652516129, 2447.2548174332865, 15.932063406447904, 680.0554609320518, 1.1806223764113755
2100-Jan-03 12:00:00, 2990.5828891554011, 4.0988224278965895, 2310.5537716758768, 15.042115325349007, 680.02911747952407, 1.1805766423921478
2100-Jan-03 13:00:00, 2816.366254139351, 3.8600452137602068, 2136.3468938557489, 13.907997617827011, 680.01936028360194, 1.1805597032386543
2100-Jan-03 14:00:00, 2623.4770434488942, 3.595675807466773, 1943.4518370244027, 12.652216546589562, 680.02520642449133, 1.1805698525355077
2100-Jan-03 15:00:00, 2438.8075284581778, 3.3425721223833262, 1758.7630148012809, 11.449859519785516, 680.04451365689692, 1.1806033711996669
2100-Jan-03 16:00:00, 2289.3505764821948, 3.1377299463026516, 1609.2765979829669, 10.476676402855356, 680.07397849922768, 1.1806545241631698
2100-Jan-03 17:00:00, 2199.9061025866981, 3.0151394583467024, 1519.7968072544113, 9.8941470768008575, 680.10929533228682, 1.1807158365792432
2100-Jan-03 18:00:00, 2176.6431666628814, 2.9832558266142311, 1496.4976684805702, 9.7424655462891341, 680.14549818231148, 1.1807786871808257
2100-Jan-03 19:00:00, 2206.2450062712714, 3.0238274103459006, 1526.0675389533847, 9.9349706536189206, 680.17746731788657, 1.1808341877671495
2100-Jan-03 20:00:00, 2267.9774666949443, 3.1084364657348487, 1587.7769488882718, 10.336709869679902, 680.20051780667222, 1.1808742049781138
2100-Jan-03 21:00:00, 2338.5399680845298, 3.2051477671714057, 1658.3290357722958, 10.796016482823033, 680.21093231223404, 1.1808922852656962
