Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 902.20947081045642, 1.7976318639520312, null, null, 902.20947081045642, 1.7976318639520312
2100-Jan-01 01:00:00, 904.95413752832235, 1.8031005500028796, null, null, 904.95413752832235, 1.8031005500028796
2100-Jan-01 02:00:00, 907.97169411857055, 1.8091129629218392, null, null, 907.97169411857055, 1.8091129629218392
2100-Jan-01 03:00:00, 911.21865756842067, 1.8155824637942863, null, null, 911.21865756842067, 1.8155824637942863
2100-Jan-01 04:00:00, 914.69177005905408, 1.8225025614902726, null, null, 914.69177005905408, 1.8225025614902726
2100-Jan-01 05:00:00, 918.39705999210923, 1.829885267463041, null, null, 918.39705999210923, 1.829885267463041
2100-Jan-01 06:00:00, 922.24990719157915, 1.8375619779352597, null, null, 922.24990719157915, 1.8375619779352597
2100-Jan-01 07:00:00, 926.16312040910088, 1.8453589663263659, null, null, 926.16312040910088, 1.8453589663263659
2100-Jan-01 08:00:00, 929.7646846621866, 1.8525350012394128, null, null, 929.7646846621866, 1.8525350012394128
2100-Jan-01 09:00:00, 932.2119193522708, 1.8574110607353438, null, null, 932.2119193522708, 1.8574110607353438
2100-Jan-01 10:00:00, 932.88379763671173, 1.8587497629457335, null, null, 932.88379763671173, 1.8587497629457335
2100-Jan-01 11:00:00, 931.19489021861807, 1.8553846533029552, null, null, 931.19489021861807, 1.8553846533029552
2100-Jan-01 12:00:00, 927.36908470368439, 1.847761822772535, null, null, 927.36908470368439, 1.847761822772535
2100-Jan-01 13:00:00, 922.0270863360015, 1.8371180124450952, null, null, 922.0270863360015, 1.8371180124450952
2100-Jan-01 14:00:00, 915.88266639711117, 1.8248753953755477, null, null, 915.88266639711117, 1.8248753953755477
2100-Jan-01 15:00:00, 909.8055209207829, 1.8127668211435501, null, null, 909.8055209207829, 1.8127668211435501
2100-Jan-01 16:00:00, 904.51316726415894, 1.8022219267745028, null, null, 904.51316726415894, 1.8022219267745028
2100-Jan-01 17:00:00, 900.52482727804897, 1.7942752500045673, null, null, 900.52482727804897, 1.7942752500045673
2100-Jan-01 18:00:00, 898.04708700788171, 1.789338408833693, null, null, 898.04708700788171, 1.789338408833693
2100-Jan-01 19:00:00, 896.96572582132171, 1.7871838212481126, null, null, 896.96572582132171, 1.7871838212481126
2100-Jan-01 20:00:00, 896.94687231094076, 1.7871462560572067, null, null, 896.94687231094076, 1.7871462560572067
2100-Jan-01 21:00:00, 897.67430588983223, 1.7885956509290533, null, null, 897.67430588983223, 1.7885956509290533
2100-Jan-01 22:00:00, 898.9054656673004, 1.7910487088021929, null, null, 898.9054656673004, 1.7910487088021929
