Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 873.32084948374268, 1.7400719425782343, null, null, 873.32084948374268, 1.7400719425782343
2100-Jan-01 01:00:00, 875.82956004667176, 1.7450704913535018, null, null, 875.82956004667176, 1.7450704913535018
2100-Jan-01 02:00:00, 878.68147950808566, 1.7507528760580839, null, null, 878.68147950808566, 1.7507528760580839
2100-Jan-01 03:00:00, 881.83224520660826, 1.7570307050975236, null, null, 881.83224520660826, 1.7570307050975236
2100-Jan-01 04:00:00, 885.27922800966053, 1.7638987399849153, null, null, 885.27922800966053, 1.7638987399849153
2100-Jan-01 05:00:00, 889.0278983363429, 1.7713678804059776, null, null, 889.0278983363429, 1.7713678804059776
2100-Jan-01 06:00:00, 892.99235823180663, 1.7792669766380795, null, null, 892.99235823180663, 1.7792669766380795
2100-Jan-01 07:00:00, 897.08425551346272, 1.7874199889656004, null, null, 897.08425551346272, 1.7874199889656004
2100-Jan-01 08:00:00, 900.93047452431256, 1.795083492922648, null, null, 900.93047452431256, 1.795083492922648
2100-Jan-01 09:00:00, 903.68938095318106, 1.8005805512740096, null, null, 903.68938095318106, 1.8005805512740096
2100-Jan-01 10:00:00, 904.73007410583079, 1.8026541087263819, null, null, 904.73007410583079, 1.8026541087263819
2100-Jan-01 11:00:00, 903.44423511811419, 1.8000921037696451, null, null, 903.44423511811419, 1.8000921037696451
2100-Jan-01 12:00:00, 900.01359305736435, 1.7932566274398765, null, null, 900.01359305736435, 1.7932566274398765
2100-Jan-01 13:00:00, 895.0082522842041, 1.7832835997175134, null, null, 895.0082522842041, 1.7832835997175134
2100-Jan-01 14:00:00, 889.09773003712098, 1.7715070184825485, null, null, 889.09773003712098, 1.7715070184825485
2100-Jan-01 15:00:00, 883.12163908468756, 1.7595997930925076, null, null, 883.12163908468756, 1.7595997930925076
2100-Jan-01 16:00:00, 877.78855805312458, 1.7489737503546012, null, null, 877.78855805312458, 1.7489737503546012
2100-Jan-01 17:00:00, 873.63298272942177, 1.740693860975663, null, null, 873.63298272942177, 1.740693860975663
2100-Jan-01 18:00:00, 870.89607578628897, 1.7352406360995958, null, null, 870.89607578628897, 1.7352406360995958
2100-Jan-01 19:00:00, 869.51066552746784, 1.7324802376483739, null, null, 869.51066552746784, 1.7324802376483739
2100-Jan-01 20:00:00, 869.19096685915144, 1.7318432453182975, null, null, 869.19096685915144, 1.7318432453182975
2100-Jan-01 21:00:00, 869.65650325787647, 1.7327708160114157, null, null, 869.65650325787647, 1.7327708160114157
2100-Jan-01 22:00:00, 870.68260239851963, 1.7348152952265774, null, null, 870.68260239851963, 1.7348152952265774
2100-Jan-01 23:00:00, 872.18321732756317, 1.7378052363646896, null, null, 872.18321732756317, 1.7378052363646896
2100-Jan-02 00:00:00, 874.18451070015203, 1.7417927679214689, null, null, 874.18451070015203, 1.7417927679214689
2100-Jan-02 01:00:00, 876.69122192263058, 1.7467873330563324, null, null, 876.69122192263058, 1.7467873330563324
2100-Jan-02 02:00:00, 879.64962237742679, 1.7526818787199849, null, null, 879.64962237742679, 1.7526818787199849
2100-Jan-02 03:00:00, 883.02628291785391, 1.7594097980974754, null, null, 883.02628291785391, 1.7594097980974754
2100-Jan-02 04:00:00, 886.77649013123482, 1.7668820007303523, null, null, 886.77649013123482, 1.7668820007303523
2100-Jan-02 05:00:00, 890.83645984273699, 1.7749713981000343, null, null, 890.83645984273699, 1.7749713981000343
2100-Jan-02 06:00:00, 895.20598894368902, 1.7836775855171108, null, null, 895.20598894368902, 1.7836775855171108
2100-Jan-02 07:00:00, 899.77277853771534, 1.7927768099830341, null, null, 899.77277853771534, 1.7927768099830341
2100-Jan-02 08:00:00, 904.19502848781508, 1.8015880424937263, null, null, 904.19502848781508, 1.8015880424937263
2100-Jan-02 09:00:00, 907.7205100833404, 1.808612484440894, null, null, 907.7205100833404, 1.808612484440894
2100-Jan-02 10:00:00, 909.69910790967322, 1.8125547956376129, null, null, 909.69910790967322, 1.8125547956376129
2100-Jan-02 11:00:00, 909.301681696424, 1.8117629329409548, null, null, 909.301681696424, 1.8117629329409548
2100-Jan-02 12:00:00, 906.83779134046688, 1.8068536874093446, null, null, 906.83779134046688, 1.8068536874093446
2100-Jan-02 13:00:00, 902.77492697202968, 1.798758522501513, null, null, 902.77492697202968, 1.798758522501513
2100-Jan-02 14:00:00, 896.23087660670308, 1.7857196508906326, null, null, 896.23087660670308, 1.7857196508906326
2100-Jan-02 15:00:00, 888.24697280290184, 1.7698119040305287, null, null, 888.24697280290184, 1.7698119040305287
2100-Jan-02 16:00:00, 880.74281545249642, 1.7548600410744895, null, null, 880.74281545249642, 1.7548600410744895
2100-Jan-02 17:00:00, 874.84910320584527, 1.7431169533833049, null, null, 874.84910320584527, 1.7431169533833049
2100-Jan-02 18:00:00, 870.88146840826255, 1.7352115312308942, null, null, 870.88146840826255, 1.7352115312308942
2100-Jan-02 19:00:00, 868.76299176444775, 1.7309905146696973, null, null, 868.76299176444775, 1.7309905146696973
2100-Jan-02 20:00:00, 868.18595615673814, 1.7298407843369823, null, null, 868.18595615673814, 1.7298407843369823
2100-Jan-02 21:00:00, 868.82170701512155, 1.7311075034721053, null, null, 868.82170701512155, 1.7311075034721053
2100-Jan-02 22:00:00, 870.36664439549997, 1.7341857560870817, null, null, 870.36664439549997, 1.7341857560870817
2100-Jan-02 23:00:00, 872.59150558636964, 1.7386187414402334, null, null, 872.59150558636964, 1.7386187414402334
2100-Jan-03 00:00:00, 875.32295483029066, 1.7440610919746713, null, null, 875.32295483029066, 1.7440610919746713
2100-Jan-03 01:00:00, 878.41087805091104, 1.7502137088052596, null, null, 878.41087805091104, 1.7502137088052596
2100-Jan-03 02:00:00, 881.75566860957406, 1.7568781279684693, null, null, 881.75566860957406, 1.7568781279684693
2100-Jan-03 03:00:00, 885.29920244809284, 1.7639385385994855, null, null, 885.29920244809284, 1.7639385385994855
2100-Jan-03 04:00:00, 889.00918933437367, 1.7713306031447975, null, null, 889.00918933437367, 1.7713306031447975
2100-Jan-03 05:00:00, 892.86595093608048, 1.7790151129745013, null, null, 892.86595093608048, 1.7790151129745013
2100-Jan-03 06:00:00, 896.86393474877877, 1.7869810048497161, null, null, 896.86393474877877, 1.7869810048497161
2100-Jan-03 07:00:00, 900.95873745632616, 1.795139806172287, null, null, 900.95873745632616, 1.795139806172287
2100-Jan-03 08:00:00, 904.91603203753652, 1.803024625678602, null, null, 904.91603203753652, 1.803024625678602
2100-Jan-03 09:00:00, 908.22577018313075, 1.8096192037054908, null, null, 908.22577018313075, 1.8096192037054908
2100-Jan-03 10:00:00, 910.34468720510097, 1.8138410977101529, null, null, 910.34468720510097, 1.8138410977101529
2100-Jan-03 11:00:00, 910.91323120781942, 1.814973908712932, null, null, 910.91323120781942, 1.814973908712932
2100-Jan-03 12:00:00, 909.70818481518256, 1.8125728811655282, null, null, 909.70818481518256, 1.8125728811655282
2100-Jan-03 13:00:00, 906.69410857426681, 1.8065674027635072, null, null, 906.69410857426681, 1.8065674027635072
2100-Jan-03 14:00:00, 902.0857931035606, 1.7973854389321555, null, null, 902.0857931035606, 1.7973854389321555
2100-Jan-03 15:00:00, 896.48972388026164, 1.7862353981997667, null, null, 896.48972388026164, 1.7862353981997667
2100-Jan-03 16:00:00, 890.76366529610982, 1.7748263566204527, null, null, 890.76366529610982, 1.7748263566204527
2100-Jan-03 17:00:00, 885.87468975423087, 1.7650851839765114, null, null, 885.87468975423087, 1.7650851839765114
2100-Jan-03 18:00:00, 882.34205232104625, 1.7580464841854553, null, null, 882.34205232104625, 1.7580464841854553
2100-Jan-03 19:00:00, 880.2414051964895, 1.7538609925361266, null, null, 880.2414051964895, 1.7538609925361266
2100-Jan-03 20:00:00, 879.41651758533942, 1.752217422720072, null, null, 879.41651758533942, 1.752217422720072
2100-Jan-03 21:00:00, 879.67866589367077, 1.7527397472659605, null, null, 879.67866589367077, 1.7527397472659605
2100-Jan-03 22:00:00, 880.91347859697862, 1.7552000835108073, null, null, 880.91347859697862, 1.7552000835108073
2100-Jan-03 23:00:00, 882.95650906127685, 1.7592707752741603, null, null, 882.95650906127685, 1.7592707752741603
2100-Jan-04 00:00:00, 885.57037547802565, 1.7644788446980391, null, null, 885.57037547802565, 1.7644788446980391
2100-Jan-04 01:00:00, 888.58288204146015, 1.7704811955533564, null, null, 888.58288204146015, 1.7704811955533564
2100-Jan-04 02:00:00, 891.92691881557789, 1.7771441128179928, null, null, 891.92691881557789, 1.7771441128179928
2100-Jan-04 03:00:00, 895.4970410665286, 1.784257500256442, null, null, 895.4970410665286, 1.784257500256442
2100-Jan-04 04:00:00, 899.21587965679998, 1.7916672016207615, null, null, 899.21587965679998, 1.7916672016207615
2100-Jan-04 05:00:00, 903.04951364106569, 1.7993056301983898, null, null, 903.04951364106569, 1.7993056301983898
2100-Jan-04 06:00:00, 907.00744877391332, 1.8071917259892829, null, null, 907.00744877391332, 1.8071917259892829
2100-Jan-04 07:00:00, 910.95183764207206, 1.815050831155681, null, null, 910.95183764207206, 1.815050831155681
2100-Jan-04 08:00:00, 914.85104605987283, 1.8228199153016633, null, null, 914.85104605987283, 1.8228199153016633
2100-Jan-04 09:00:00, 918.44707396739102, 1.8299849191720046, null, null, 918.44707396739102, 1.8299849191720046
2100-Jan-04 10:00:00, 921.39852602413748, 1.8358656203104755, null, null, 921.39852602413748, 1.8358656203104755
2100-Jan-04 11:00:00, 923.07057315014367, 1.839197136204493, null, null, 923.07057315014367, 1.839197136204493
2100-Jan-04 12:00:00, 923.40329084849884, 1.8398600686560074, null, null, 923.40329084849884, 1.8398600686560074
2100-Jan-04 13:00:00, 922.66857395464262, 1.8383961619446387, null, null, 922.66857395464262, 1.8383961619446387
2100-Jan-04 14:00:00, 921.18654056140088, 1.8354432440942652, null, null, 921.18654056140088, 1.8354432440942652
2100-Jan-04 15:00:00, 919.31161450964305, 1.8317074965519944, null, null, 919.31161450964305, 1.8317074965519944
2100-Jan-04 16:00:00, 917.46644984923887, 1.8280310479055384, null, null, 917.46644984923887, 1.8280310479055384
2100-Jan-04 17:00:00, 916.04674605165167, 1.8252023203577952, null, null, 916.04674605165167, 1.8252023203577952
2100-Jan-04 18:00:00, 915.19330800680314, 1.8235018644515293, null, null, 915.19330800680314, 1.8235018644515293
2100-Jan-04 19:00:00, 914.92606200372347, 1.822969382864722, null, null, 914.92606200372347, 1.822969382864722
2100-Jan-04 20:00:00, 915.24369371088687, 1.8236022568216816, null, null, 915.24369371088687, 1.8236022568216816
