Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 541.32791131245881, 1.331236758295427, null, null, 541.32791131245881, 1.331236758295427
2100-Jan-01 01:00:00, 541.84299733446983, 1.3325034608464237, null, null, 541.84299733446983, 1.3325034608464237
2100-Jan-01 02:00:00, 542.45355092691887, 1.3340049378037209, null, null, 542.45355092691887, 1.3340049378037209
2100-Jan-01 03:00:00, 543.14582889799465, 1.335707391829821, null, null, 543.14582889799465, 1.335707391829821
2100-Jan-01 04:00:00, 543.91538676027233, 1.3375998930153141, null, null, 543.91538676027233, 1.3375998930153141
2100-Jan-01 05:00:00, 544.76194934323291, 1.339681764659254, null, null, 544.76194934323291, 1.339681764659254
2100-Jan-01 06:00:00, 545.6746237856745, 1.3419262189738104, null, null, 545.6746237856745, 1.3419262189738104
2100-Jan-01 07:00:00, 546.63750096889999, 1.3442941321614492, null, null, 546.63750096889999, 1.3442941321614492
2100-Jan-01 08:00:00, 547.59871660139675, 1.3466579592538404, null, null, 547.59871660139675, 1.3466579592538404
2100-Jan-01 09:00:00, 548.42444782246548, 1.3486886022910591, null, null, 548.42444782246548, 1.3486886022910591
2100-Jan-01 10:00:00, 548.96578279774053, 1.3500198564210926, null, null, 548.96578279774053, 1.3500198564210926
2100-Jan-01 11:00:00, 549.07232566136065, 1.3502818672530139, null, null, 549.07232566136065, 1.3502818672530139
2100-Jan-01 12:00:00, 548.69729397852223, 1.3493595871501656, null, null, 548.69729397852223, 1.3493595871501656
2100-Jan-01 13:00:00, 547.89805894406516, 1.3473941036896746, null, null, 547.89805894406516, 1.3473941036896746
2100-Jan-01 14:00:00, 546.78984705624111, 1.3446687825484194, null, null, 546.78984705624111, 1.3446687825484194
2100-Jan-01 15:00:00, 545.53471601334138, 1.3415821569636888, null, null, 545.53471601334138, 1.3415821569636888
2100-Jan-01 16:00:00, 544.29868361435581, 1.3385424988755177, null, null, 544.29868361435581, 1.3385424988755177
2100-Jan-01 17:00:00, 543.22461458700832, 1.3359011420559794, null, null, 543.22461458700832, 1.3359011420559794
2100-Jan-01 18:00:00, 542.40671920815851, 1.3338897689676696, null, null, 542.40671920815851, 1.3338897689676696
2100-Jan-01 19:00:00, 541.876732690008, 1.3325864230296183, null, null, 541.876732690008, 1.3325864230296183
2100-Jan-01 20:00:00, 541.61047715795405, 1.3319316458715176, null, null, 541.61047715795405, 1.3319316458715176
2100-Jan-01 21:00:00, 541.56024223309373, 1.3318081078511665, null, null, 541.56024223309373, 1.3318081078511665
2100-Jan-01 22:00:00, 541.67671324463333, 1.3320945340423849, null, null, 541.67671324463333, 1.3320945340423849
2100-Jan-01 23:00:00, 541.92875786660727, 1.3327143636474923, null, null, 541.92875786660727, 1.3327143636474923
2100-Jan-02 00:00:00, 542.30802339381148, 1.3336470556451105, null, null, 542.30802339381148, 1.3336470556451105
2100-Jan-02 01:00:00, 542.81267382369208, 1.3348880949270456, null, null, 542.81267382369208, 1.3348880949270456
2100-Jan-02 02:00:00, 543.43528850214261, 1.3364192325774173, null, null, 543.43528850214261, 1.3364192325774173
2100-Jan-02 03:00:00, 544.16925081563068, 1.3382241969816173, null, null, 544.16925081563068, 1.3382241969816173
2100-Jan-02 04:00:00, 545.00580426036447, 1.3402814540944239, null, null, 545.00580426036447, 1.3402814540944239
2100-Jan-02 05:00:00, 545.93331831184696, 1.3425624020621267, null, null, 545.93331831184696, 1.3425624020621267
2100-Jan-02 06:00:00, 546.94718905730736, 1.345055718915575, null, null, 546.94718905730736, 1.345055718915575
2100-Jan-02 07:00:00, 548.03084181675354, 1.347720644105014, null, null, 548.03084181675354, 1.347720644105014
2100-Jan-02 08:00:00, 549.12001196238566, 1.3503991376827571, null, null, 549.12001196238566, 1.3503991376827571
2100-Jan-02 09:00:00, 550.09118864055449, 1.3527874610367903, null, null, 550.09118864055449, 1.3527874610367903
2100-Jan-02 10:00:00, 550.81027548736984, 1.3545558436065464, null, null, 550.81027548736984, 1.3545558436065464
2100-Jan-02 11:00:00, 551.10976438668422, 1.3552923484553396, null, null, 551.10976438668422, 1.3552923484553396
2100-Jan-02 12:00:00, 550.95106982184177, 1.354902085855453, null, null, 550.95106982184177, 1.354902085855453
