Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1115.808715040293, 1.907405311310157, null, null, 1115.808715040293, 1.907405311310157
2100-Jan-01 01:00:00, 1118.502492936015, 1.9120101563848833, null, null, 1118.502492936015, 1.9120101563848833
2100-Jan-01 02:00:00, 1122.5099028606003, 1.9188605733709838, null, null, 1122.5099028606003, 1.9188605733709838
2100-Jan-01 03:00:00, 1127.7426050589238, 1.9278055509742698, null, null, 1127.7426050589238, 1.9278055509742698
2100-Jan-01 04:00:00, 1134.0079317155028, 1.9385157355971065, null, null, 1134.0079317155028, 1.9385157355971065
2100-Jan-01 05:00:00, 1141.195439949091, 1.9508023320316366, null, null, 1141.195439949091, 1.9508023320316366
2100-Jan-01 06:00:00, 1149.1180001339133, 1.9643454538696468, null, null, 1149.1180001339133, 1.9643454538696468
2100-Jan-01 07:00:00, 1157.5012471173256, 1.9786760910179759, null, null, 1157.5012471173256, 1.9786760910179759
2100-Jan-01 08:00:00, 1165.6424830153519, 1.99259302533047, null, null, 1165.6424830153519, 1.99259302533047
2100-Jan-01 09:00:00, 1172.4193421197356, 2.0041776427254283, null, null, 1172.4193421197356, 2.0041776427254283
2100-Jan-01 10:00:00, 1176.8210804188113, 2.0117021394402181, null, null, 1176.8210804188113, 2.0117021394402181
2100-Jan-01 11:00:00, 1177.9137160593866, 2.0135699318279885, null, null, 1177.9137160593866, 2.0135699318279885
2100-Jan-01 12:00:00, 1175.4572661722898, 2.0093707841618524, null, null, 1175.4572661722898, 2.0093707841618524
2100-Jan-01 13:00:00, 1169.7362304337119, 1.9995910308700307, null, null, 1169.7362304337119, 1.9995910308700307
2100-Jan-01 14:00:00, 1161.4024894251279, 1.9853450210938097, null, null, 1161.4024894251279, 1.9853450210938097
2100-Jan-01 15:00:00, 1151.5881363277936, 1.9685679974224606, null, null, 1151.5881363277936, 1.9685679974224606
2100-Jan-01 16:00:00, 1141.560650131963, 1.9514266360303103, null, null, 1141.560650131963, 1.9514266360303103
2100-Jan-01 17:00:00, 1132.5706971926929, 1.9360588729418378, null, null, 1132.5706971926929, 1.9360588729418378
2100-Jan-01 18:00:00, 1125.4690134949601, 1.9239189881912413, null, null, 1125.4690134949601, 1.9239189881912413
2100-Jan-01 19:00:00, 1120.5903833732777, 1.9155792746896501, null, null, 1120.5903833732777, 1.9155792746896501
2100-Jan-01 20:00:00, 1117.8105286821774, 1.9108272867090903, null, null, 1117.8105286821774, 1.9108272867090903
2100-Jan-01 21:00:00, 1116.8579247922751, 1.9091988698535107, null, null, 1116.8579247922751, 1.9091988698535107
2100-Jan-01 22:00:00, 1117.4090566787834, 1.9101409953929409, null, null, 1117.4090566787834, 1.9101409953929409
2100-Jan-01 23:00:00, 1119.2291049086641, 1.9132522541720856, null, null, 1119.2291049086641, 1.9132522541720856
2100-Jan-02 00:00:00, 1122.2679340047939, 1.9184469427239781, null, null, 1122.2679340047939, 1.9184469427239781
2100-Jan-02 01:00:00, 1126.5057472056424, 1.9256912197211753, null, null, 1126.5057472056424, 1.9256912197211753
2100-Jan-02 02:00:00, 1131.8182514977361, 1.9347726140197776, null, null, 1131.8182514977361, 1.9347726140197776
2100-Jan-02 03:00:00, 1138.0299835341357, 1.9453911819866323, null, null, 1138.0299835341357, 1.9453911819866323
2100-Jan-02 04:00:00, 1145.0358737219969, 1.9573673137148198, null, null, 1145.0358737219969, 1.9573673137148198
2100-Jan-02 05:00:00, 1152.6490899181067, 1.9703816313239881, null, null, 1152.6490899181067, 1.9703816313239881
2100-Jan-02 06:00:00, 1160.7877308846323, 1.9842941297631465, null, null, 1160.7877308846323, 1.9842941297631465
2100-Jan-02 07:00:00, 1169.2984409613191, 1.9988426571088098, null, null, 1169.2984409613191, 1.9988426571088098
2100-Jan-02 08:00:00, 1177.5136338518546, 2.0128860162810662, null, null, 1177.5136338518546, 2.0128860162810662
2100-Jan-02 09:00:00, 1184.454191156291, 2.0247504655253588, null, null, 1184.454191156291, 2.0247504655253588
2100-Jan-02 10:00:00, 1189.2094411241662, 2.0328792683596375, null, null, 1189.2094411241662, 2.0328792683596375
2100-Jan-02 11:00:00, 1190.7553666638541, 2.0355219315200381, null, null, 1190.7553666638541, 2.0355219315200381
2100-Jan-02 12:00:00, 1188.9711053732169, 2.0324718482784818, null, null, 1188.9711053732169, 2.0324718482784818
2100-Jan-02 13:00:00, 1184.0453570542734, 2.0240515891614068, null, null, 1184.0453570542734, 2.0240515891614068
2100-Jan-02 14:00:00, 1175.7114908809622, 2.0098053654239019, null, null, 1175.7114908809622, 2.0098053654239019
2100-Jan-02 15:00:00, 1164.7714152042815, 1.9911039893093747, null, null, 1164.7714152042815, 1.9911039893093747
2100-Jan-02 16:00:00, 1153.1149274714824, 1.9711779515279257, null, null, 1153.1149274714824, 1.9711779515279257
2100-Jan-02 17:00:00, 1142.4287433060949, 1.952910587095338, null, null, 1142.4287433060949, 1.952910587095338
2100-Jan-02 18:00:00, 1133.6999557711788, 1.9379892699547063, null, null, 1133.6999557711788, 1.9379892699547063
2100-Jan-02 19:00:00, 1127.4465416614319, 1.9272994490866893, null, null, 1127.4465416614319, 1.9272994490866893
2100-Jan-02 20:00:00, 1123.7148684512072, 1.9209203867928448, null, null, 1123.7148684512072, 1.9209203867928448
2100-Jan-02 21:00:00, 1122.3021950370703, 1.9185055098189059, null, null, 1122.3021950370703, 1.9185055098189059
2100-Jan-02 22:00:00, 1122.8676023645878, 1.9194720383331787, null, null, 1122.8676023645878, 1.9194720383331787
2100-Jan-02 23:00:00, 1124.8403869657043, 1.9228443903999077, null, null, 1124.8403869657043, 1.9228443903999077
2100-Jan-03 00:00:00, 1127.8682547002675, 1.9280203411887864, null, null, 1127.8682547002675, 1.9280203411887864
2100-Jan-03 01:00:00, 1131.805944909202, 1.9347515766752781, null, null, 1131.805944909202, 1.9347515766752781
2100-Jan-03 02:00:00, 1136.6073597293801, 1.942959295441375, null, null, 1136.6073597293801, 1.942959295441375
2100-Jan-03 03:00:00, 1142.1669938491443, 1.9524631427460599, null, null, 1142.1669938491443, 1.9524631427460599
2100-Jan-03 04:00:00, 1148.3099958975199, 1.9629642210908707, null, null, 1148.3099958975199, 1.9629642210908707
2100-Jan-03 05:00:00, 1154.882145928103, 1.9741989011091288, null, null, 1154.882145928103, 1.9741989011091288
2100-Jan-03 06:00:00, 1161.6377401067271, 1.9857471674415872, null, null, 1161.6377401067271, 1.9857471674415872
2100-Jan-03 07:00:00, 1168.5901899700414, 1.9976319462725398, null, null, 1168.5901899700414, 1.9976319462725398
2100-Jan-03 08:00:00, 1175.4303543388985, 2.0093247800634297, null, null, 1175.4303543388985, 2.0093247800634297
2100-Jan-03 09:00:00, 1181.4261930790319, 2.0195742919237816, null, null, 1181.4261930790319, 2.0195742919237816
2100-Jan-03 10:00:00, 1185.7218161425751, 2.0269173912707812, null, null, 1185.7218161425751, 2.0269173912707812
2100-Jan-03 11:00:00, 1187.6143885253816, 2.0301526255599072, null, null, 1187.6143885253816, 2.0301526255599072
2100-Jan-03 12:00:00, 1186.5987054542543, 2.0284163787835894, null, null, 1186.5987054542543, 2.0284163787835894
2100-Jan-03 13:00:00, 1182.4889019573457, 2.021390926380521, null, null, 1182.4889019573457, 2.021390926380521
2100-Jan-03 14:00:00, 1175.4986961145376, 2.0094416060606468, null, null, 1175.4986961145376, 2.0094416060606468
2100-Jan-03 15:00:00, 1166.3392087134555, 1.9937840343978628, null, null, 1166.3392087134555, 1.9937840343978628
2100-Jan-03 16:00:00, 1156.1204283058144, 1.9763156674977684, null, null, 1156.1204283058144, 1.9763156674977684
2100-Jan-03 17:00:00, 1146.2467546856633, 1.9594372390974855, null, null, 1146.2467546856633, 1.9594372390974855
2100-Jan-03 18:00:00, 1137.8547905158973, 1.9450917004635109, null, null, 1137.8547905158973, 1.9450917004635109
2100-Jan-03 19:00:00, 1131.4834112197184, 1.9342002254767212, null, null, 1131.4834112197184, 1.9342002254767212
2100-Jan-03 20:00:00, 1127.1910181179305, 1.9268626475476174, null, null, 1127.1910181179305, 1.9268626475476174
2100-Jan-03 21:00:00, 1124.6772285952222, 1.9225654813555104, null, null, 1124.6772285952222, 1.9225654813555104
2100-Jan-03 22:00:00, 1123.9130920287669, 1.9212592376187687, null, null, 1123.9130920287669, 1.9212592376187687
2100-Jan-03 23:00:00, 1124.8973365497243, 1.9229417421570436, null, null, 1124.8973365497243, 1.9229417421570436
2100-Jan-04 00:00:00, 1127.473606822263, 1.9273457152887945, null, null, 1127.473606822263, 1.9273457152887945
2100-Jan-04 01:00:00, 1131.1856714683197, 1.9336912579668326, null, null, 1131.1856714683197, 1.9336912579668326
2100-Jan-04 02:00:00, 1135.8386495338546, 1.9416452333713807, null, null, 1135.8386495338546, 1.9416452333713807
2100-Jan-04 03:00:00, 1141.3250819115767, 1.9510239468698081, null, null, 1141.3250819115767, 1.9510239468698081
2100-Jan-04 04:00:00, 1147.6461065502817, 1.9618293437145109, null, null, 1147.6461065502817, 1.9618293437145109
2100-Jan-04 05:00:00, 1154.7726216110339, 1.9740116761293636, null, null, 1154.7726216110339, 1.9740116761293636
2100-Jan-04 06:00:00, 1162.5674337581891, 1.9873364206753961, null, null, 1162.5674337581891, 1.9873364206753961
2100-Jan-04 07:00:00, 1170.5813963198743, 2.0010357891681823, null, null, 1170.5813963198743, 2.0010357891681823
2100-Jan-04 08:00:00, 1178.5881110084858, 2.0147227678746096, null, null, 1178.5881110084858, 2.0147227678746096
2100-Jan-04 09:00:00, 1186.2066944628041, 2.0277462604764769, null, null, 1186.2066944628041, 2.0277462604764769
2100-Jan-04 10:00:00, 1192.8913697834862, 2.0391732954504711, null, null, 1192.8913697834862, 2.0391732954504711
2100-Jan-04 11:00:00, 1197.7426366072057, 2.0474662331031506, null, null, 1197.7426366072057, 2.0474662331031506
2100-Jan-04 12:00:00, 1200.3804586601568, 2.0519754251593429, null, null, 1200.3804586601568, 2.0519754251593429
2100-Jan-04 13:00:00, 1200.8874314291436, 2.0528420634452971, null, null, 1200.8874314291436, 2.0528420634452971
2100-Jan-04 14:00:00, 1199.600650551133, 2.0506423918993355, null, null, 1199.600650551133, 2.0506423918993355
2100-Jan-04 15:00:00, 1197.0209662091554, 2.0462325826291026, null, null, 1197.0209662091554, 2.0462325826291026
2100-Jan-04 16:00:00, 1193.8191893503933, 2.0407593450537784, null, null, 1193.8191893503933, 2.0407593450537784
2100-Jan-04 17:00:00, 1190.5821028263342, 2.0352257478108693, null, null, 1190.5821028263342, 2.0352257478108693
2100-Jan-04 18:00:00, 1187.798838411409, 2.0304679311203828, null, null, 1187.798838411409, 2.0304679311203828
2100-Jan-04 19:00:00, 1185.7753219109372, 2.0270088560401311, null, null, 1185.7753219109372, 2.0270088560401311
2100-Jan-04 20:00:00, 1184.5288983102644, 2.0248781727392933, null, null, 1184.5288983102644, 2.0248781727392933
2100-Jan-04 21:00:00, 1184.181983900462, 2.0242851442220324, null, null, 1184.181983900462, 2.0242851442220324
2100-Jan-04 22:00:00, 1184.6458878339211, 2.0250781590234856, null, null, 1184.6458878339211, 2.0250781590234856
2100-Jan-04 23:00:00, 1185.8353331851181, 2.0271114415653813, null, null, 1185.8353331851181, 2.0271114415653813
2100-Jan-05 00:00:00, 1187.6479334659405, 2.0302099685407669, null, null, 1187.6479334659405, 2.0302099685407669
2100-Jan-05 01:00:00, 1190.0439476451713, 2.0343058051387759, null, null, 1190.0439476451713, 2.0343058051387759
2100-Jan-05 02:00:00, 1193.0514632415163, 2.039446965218449, null, null, 1193.0514632415163, 2.039446965218449
2100-Jan-05 03:00:00, 1196.5643798105366, 2.045452076696447, null, null, 1196.5643798105366, 2.045452076696447
2100-Jan-05 04:00:00, 1200.5387402940382, 2.0522459977270948, null, null, 1200.5387402940382, 2.0522459977270948
2100-Jan-05 05:00:00, 1204.9436744285531, 2.0597759575229739, null, null, 1204.9436744285531, 2.0597759575229739
2100-Jan-05 06:00:00, 1209.5391297833869, 2.0676316014461191, null, null, 1209.5391297833869, 2.0676316014461191
2100-Jan-05 07:00:00, 1214.2948914193678, 2.0757612789450688, null, null, 1214.2948914193678, 2.0757612789450688
2100-Jan-05 08:00:00, 1219.0774405604236, 2.0839367480109492, null, null, 1219.0774405604236, 2.0839367480109492
2100-Jan-05 09:00:00, 1223.2143970530165, 2.0910086167643187, null, null, 1223.2143970530165, 2.0910086167643187
2100-Jan-05 10:00:00, 1225.6477720467014, 2.0951683193412936, null, null, 1225.6477720467014, 2.0951683193412936
2100-Jan-05 11:00:00, 1225.4704452626268, 2.0948651902787376, null, null, 1225.4704452626268, 2.0948651902787376
2100-Jan-05 12:00:00, 1222.5727460092203, 2.0899117543788153, null, null, 1222.5727460092203, 2.0899117543788153
2100-Jan-05 13:00:00, 1217.3121531947052, 2.0809190995090385, null, null, 1217.3121531947052, 2.0809190995090385
2100-Jan-05 14:00:00, 1209.873752318611, 2.0682036177714687, null, null, 1209.873752318611, 2.0682036177714687
2100-Jan-05 15:00:00, 1200.9148844574077, 2.0528889926825546, null, null, 1200.9148844574077, 2.0528889926825546
2100-Jan-05 16:00:00, 1191.3520916271066, 2.0365419955766786, null, null, 1191.3520916271066, 2.0365419955766786
2100-Jan-05 17:00:00, 1182.2424486864265, 2.020969629905951, null, null, 1182.2424486864265, 2.020969629905951
2100-Jan-05 18:00:00, 1174.40742924603, 2.0075761535032406, null, null, 1174.40742924603, 2.0075761535032406
2100-Jan-05 19:00:00, 1168.3448052610709, 1.9972124764378847, null, null, 1168.3448052610709, 1.9972124764378847
2100-Jan-05 20:00:00, 1164.2411092402701, 1.9901974643837845, null, null, 1164.2411092402701, 1.9901974643837845
2100-Jan-05 21:00:00, 1162.0601645623499, 1.986469275666251, null, null, 1162.0601645623499, 1.986469275666251
2100-Jan-05 22:00:00, 1161.6716907434488, 1.9858052039346998, null, null, 1161.6716907434488, 1.9858052039346998
2100-Jan-05 23:00:00, 1162.8183822178976, 1.9877654013944577, null, null, 1162.8183822178976, 1.9877654013944577
2100-Jan-06 00:00:00, 1165.2400422541614, 1.9919050779833705, null, null, 1165.2400422541614, 1.9919050779833705
2100-Jan-06 01:00:00, 1168.8093501151704, 1.9980065868531447, null, null, 1168.8093501151704, 1.9980065868531447
2100-Jan-06 02:00:00, 1173.3978860245666, 2.0058504024164634, null, null, 1173.3978860245666, 2.0058504024164634
2100-Jan-06 03:00:00, 1178.8453178494199, 2.0151624469055136, null, null, 1178.8453178494199, 2.0151624469055136
2100-Jan-06 04:00:00, 1185.0176002905077, 2.0257135782529794, null, null, 1185.0176002905077, 2.0257135782529794
2100-Jan-06 05:00:00, 1191.7844766989704, 2.037281130852723, null, null, 1191.7844766989704, 2.037281130852723
2100-Jan-06 06:00:00, 1198.9709625510066, 2.049565979589842, null, null, 1198.9709625510066, 2.049565979589842
2100-Jan-06 07:00:00, 1206.4709066247349, 2.0623866655801302, null, null, 1206.4709066247349, 2.0623866655801302
2100-Jan-06 08:00:00, 1214.1349964639057, 2.0754879485048336, null, null, 1214.1349964639057, 2.0754879485048336
2100-Jan-06 09:00:00, 1221.712362972884, 2.0884409833128177, null, null, 1221.712362972884, 2.0884409833128177
2100-Jan-06 10:00:00, 1228.7773664744177, 2.1005181655588481, null, null, 1228.7773664744177, 2.1005181655588481
2100-Jan-06 11:00:00, 1234.3304797596211, 2.1100108659041052, null, null, 1234.3304797596211, 2.1100108659041052
