Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1102.2147995435193, 1.8841673617669017, null, null, 1102.2147995435193, 1.8841673617669017
2100-Jan-01 01:00:00, 1104.8195659262599, 1.888620047219338, null, null, 1104.8195659262599, 1.888620047219338
2100-Jan-01 02:00:00, 1108.3831550867894, 1.8947117803278, null, null, 1108.3831550867894, 1.8947117803278
2100-Jan-01 03:00:00, 1112.8491766442364, 1.9023461652580096, null, null, 1112.8491766442364, 1.9023461652580096
2100-Jan-01 04:00:00, 1118.0612589507302, 1.9112558944440134, null, null, 1118.0612589507302, 1.9112558944440134
2100-Jan-01 05:00:00, 1123.9446461723342, 1.9213131774565202, null, null, 1123.9446461723342, 1.9213131774565202
2100-Jan-01 06:00:00, 1130.3511309388612, 1.9322646630523825, null, null, 1130.3511309388612, 1.9322646630523825
2100-Jan-01 07:00:00, 1137.0516657899307, 1.9437188089030781, null, null, 1137.0516657899307, 1.9437188089030781
2100-Jan-01 08:00:00, 1143.4143592443363, 1.9545954359858246, null, null, 1143.4143592443363, 1.9545954359858246
2100-Jan-01 09:00:00, 1148.4265850614279, 1.9631635229850926, null, null, 1148.4265850614279, 1.9631635229850926
2100-Jan-01 10:00:00, 1151.2187453076572, 1.9679365465436103, null, null, 1151.2187453076572, 1.9679365465436103
2100-Jan-01 11:00:00, 1151.020480767605, 1.9675976256948642, null, null, 1151.020480767605, 1.9675976256948642
2100-Jan-01 12:00:00, 1147.7331887458467, 1.9619782052891874, null, null, 1147.7331887458467, 1.9619782052891874
2100-Jan-01 13:00:00, 1141.7346063268549, 1.9517240032811813, null, null, 1141.7346063268549, 1.9517240032811813
2100-Jan-01 14:00:00, 1133.7020068439424, 1.9379927761355129, null, null, 1133.7020068439424, 1.9379927761355129
2100-Jan-01 15:00:00, 1124.7151059338858, 1.9226302303003684, null, null, 1124.7151059338858, 1.9226302303003684
