Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1307.8162251412953, 3.2161892923314155, null, null, 1307.8162251412953, 3.2161892923314155
2100-Jan-01 01:00:00, 1336.3420173515299, 3.286340086990593, null, null, 1336.3420173515299, 3.286340086990593
2100-Jan-01 02:00:00, 1367.9331135144123, 3.3640290950170053, null, null, 1367.9331135144123, 3.3640290950170053
2100-Jan-01 03:00:00, 1402.1617836575551, 3.448204440366637, null, null, 1402.1617836575551, 3.448204440366637
2100-Jan-01 04:00:00, 1437.2821190547425, 3.5345725741121243, null, null, 1437.2821190547425, 3.5345725741121243
2100-Jan-01 05:00:00, 1473.2949669388302, 3.6231355797734506, null, null, 1473.2949669388302, 3.6231355797734506
2100-Jan-01 06:00:00, 1509.1019168806151, 3.7111922400135957, null, null, 1509.1019168806151, 3.7111922400135957
2100-Jan-01 07:00:00, 1542.8883329689702, 3.7942799916110204, null, null, 1542.8883329689702, 3.7942799916110204
2100-Jan-01 08:00:00, 1568.6089011396969, 3.8575321629429933, null, null, 1568.6089011396969, 3.8575321629429933
2100-Jan-01 09:00:00, 1578.448442715405, 3.8817296210023802, null, null, 1578.448442715405, 3.8817296210023802
2100-Jan-01 10:00:00, 1569.0788332573377, 3.8586878227488772, null, null, 1569.0788332573377, 3.8586878227488772
2100-Jan-01 11:00:00, 1538.1731795671399, 3.7826844588510347, null, null, 1538.1731795671399, 3.7826844588510347
2100-Jan-01 12:00:00, 1490.8992552962832, 3.6664281484279173, null, null, 1490.8992552962832, 3.6664281484279173
2100-Jan-01 13:00:00, 1434.1016788915633, 3.5267512171040996, null, null, 1434.1016788915633, 3.5267512171040996
2100-Jan-01 14:00:00, 1374.7226316423846, 3.3807259176160027, null, null, 1374.7226316423846, 3.3807259176160027
2100-Jan-01 15:00:00, 1321.5981001304324, 3.2500817597256968, null, null, 1321.5981001304324, 3.2500817597256968
2100-Jan-01 16:00:00, 1281.2597718604145, 3.1508815074589345, null, null, 1281.2597718604145, 3.1508815074589345
2100-Jan-01 17:00:00, 1258.2667243305493, 3.0943368708027941, null, null, 1258.2667243305493, 3.0943368708027941
2100-Jan-01 18:00:00, 1252.6050052138548, 3.0804135381133455, null, null, 1252.6050052138548, 3.0804135381133455
2100-Jan-01 19:00:00, 1260.8991302293689, 3.1008104987499765, null, null, 1260.8991302293689, 3.1008104987499765
2100-Jan-01 20:00:00, 1277.9629480982874, 3.1427739392252465, null, null, 1277.9629480982874, 3.1427739392252465
2100-Jan-01 21:00:00, 1300.0571649188885, 3.1971081661562426, null, null, 1300.0571649188885, 3.1971081661562426
2100-Jan-01 22:00:00, 1324.4058069043344, 3.2569864886078106, null, null, 1324.4058069043344, 3.2569864886078106
2100-Jan-01 23:00:00, 1349.9067759819886, 3.3196986205686789, null, null, 1349.9067759819886, 3.3196986205686789
2100-Jan-02 00:00:00, 1377.4565468540538, 3.3874491778576798, null, null, 1377.4565468540538, 3.3874491778576798
2100-Jan-02 01:00:00, 1407.5062935243816, 3.4613476902178077, null, null, 1407.5062935243816, 3.4613476902178077
2100-Jan-02 02:00:00, 1439.0509209330328, 3.5389224220126567, null, null, 1439.0509209330328, 3.5389224220126567
2100-Jan-02 03:00:00, 1470.9027475629807, 3.61725261992511, null, null, 1470.9027475629807, 3.61725261992511
2100-Jan-02 04:00:00, 1503.1973417340268, 3.696671674358301, null, null, 1503.1973417340268, 3.696671674358301
2100-Jan-02 05:00:00, 1534.6704432812451, 3.7740705093373417, null, null, 1534.6704432812451, 3.7740705093373417
2100-Jan-02 06:00:00, 1565.8131323703305, 3.8506567920712951, null, null, 1565.8131323703305, 3.8506567920712951
2100-Jan-02 07:00:00, 1595.8687144861378, 3.9245696549929976, null, null, 1595.8687144861378, 3.9245696549929976
2100-Jan-02 08:00:00, 1618.6398791262804, 3.9805686359519852, null, null, 1618.6398791262804, 3.9805686359519852
2100-Jan-02 09:00:00, 1627.6566873264417, 4.002742823293354, null, null, 1627.6566873264417, 4.002742823293354
2100-Jan-02 10:00:00, 1619.6746132748017, 3.9831132602079844, null, null, 1619.6746132748017, 3.9831132602079844
2100-Jan-02 11:00:00, 1590.3683120288774, 3.911043033173756, null, null, 1590.3683120288774, 3.911043033173756
2100-Jan-02 12:00:00, 1546.4386028098788, 3.8030108359205745, null, null, 1546.4386028098788, 3.8030108359205745
2100-Jan-02 13:00:00, 1492.8687811229443, 3.671271617833562, null, null, 1492.8687811229443, 3.671271617833562
2100-Jan-02 14:00:00, 1427.0223790240918, 3.5093417615603704, null, null, 1427.0223790240918, 3.5093417615603704
2100-Jan-02 15:00:00, 1359.4484342415867, 3.343163522238858, null, null, 1359.4484342415867, 3.343163522238858
2100-Jan-02 16:00:00, 1305.9707046156441, 3.2116507774856191, null, null, 1305.9707046156441, 3.2116507774856191
2100-Jan-02 17:00:00, 1273.4124935147563, 3.1315834347602851, null, null, 1273.4124935147563, 3.1315834347602851
2100-Jan-02 18:00:00, 1260.810249399864, 3.1005919224954144, null, null, 1260.810249399864, 3.1005919224954144
2100-Jan-02 19:00:00, 1265.4273410534724, 3.1119463012319559, null, null, 1265.4273410534724, 3.1119463012319559
2100-Jan-02 20:00:00, 1282.3942969565076, 3.1536715381955096, null, null, 1282.3942969565076, 3.1536715381955096
2100-Jan-02 21:00:00, 1307.2920970761293, 3.2149003535351293, null, null, 1307.2920970761293, 3.2149003535351293
2100-Jan-02 22:00:00, 1336.3241295329046, 3.2862960971626496, null, null, 1336.3241295329046, 3.2862960971626496
2100-Jan-02 23:00:00, 1364.3361199430615, 3.3551833474369022, null, null, 1364.3361199430615, 3.3551833474369022
2100-Jan-03 00:00:00, 1390.7971394928359, 3.4202564411209648, null, null, 1390.7971394928359, 3.4202564411209648
2100-Jan-03 01:00:00, 1416.9579854659878, 3.484591346193803, null, null, 1416.9579854659878, 3.484591346193803
2100-Jan-03 02:00:00, 1444.1134604741919, 3.5513722487935726, null, null, 1444.1134604741919, 3.5513722487935726
2100-Jan-03 03:00:00, 1471.871179730467, 3.6196341939624577, null, null, 1471.871179730467, 3.6196341939624577
2100-Jan-03 04:00:00, 1499.0560464378536, 3.6864873768003656, null, null, 1499.0560464378536, 3.6864873768003656
2100-Jan-03 05:00:00, 1525.1540906750156, 3.7506678394775923, null, null, 1525.1540906750156, 3.7506678394775923
2100-Jan-03 06:00:00, 1548.3497529848057, 3.8077107475828362, null, null, 1548.3497529848057, 3.8077107475828362
2100-Jan-03 07:00:00, 1571.1353339140364, 3.8637451811640724, null, null, 1571.1353339140364, 3.8637451811640724
2100-Jan-03 08:00:00, 1590.7422406390972, 3.9119626005939838, null, null, 1590.7422406390972, 3.9119626005939838
2100-Jan-03 09:00:00, 1601.2283001701721, 3.9377499793818171, null, null, 1601.2283001701721, 3.9377499793818171
2100-Jan-03 10:00:00, 1597.8783007604229, 3.9295116412852029, null, null, 1597.8783007604229, 3.9295116412852029
2100-Jan-03 11:00:00, 1578.9468438385809, 3.8829552919528005, null, null, 1578.9468438385809, 3.8829552919528005
2100-Jan-03 12:00:00, 1544.4384812079579, 3.7980921252058759, null, null, 1544.4384812079579, 3.7980921252058759
2100-Jan-03 13:00:00, 1496.8175893503751, 3.6809825500688316, null, null, 1496.8175893503751, 3.6809825500688316
2100-Jan-03 14:00:00, 1440.8607907403853, 3.5433732644039813, null, null, 1440.8607907403853, 3.5433732644039813
2100-Jan-03 15:00:00, 1383.9720162441786, 3.4034720582014133, null, null, 1383.9720162441786, 3.4034720582014133
2100-Jan-03 16:00:00, 1334.2225155488352, 3.2811277957895357, null, null, 1334.2225155488352, 3.2811277957895357
2100-Jan-03 17:00:00, 1299.6121199599404, 3.1960137089962393, null, null, 1299.6121199599404, 3.1960137089962393
2100-Jan-03 18:00:00, 1283.0929282453278, 3.15538961633768, null, null, 1283.0929282453278, 3.15538961633768
2100-Jan-03 19:00:00, 1282.0301375895306, 3.1527759953552708, null, null, 1282.0301375895306, 3.1527759953552708
2100-Jan-03 20:00:00, 1291.6686189927389, 3.1764790050652052, null, null, 1291.6686189927389, 3.1764790050652052
2100-Jan-03 21:00:00, 1306.352675186818, 3.2125901217431525, null, null, 1306.352675186818, 3.2125901217431525
2100-Jan-03 22:00:00, 1326.4224524434276, 3.2619458350852244, null, null, 1326.4224524434276, 3.2619458350852244
2100-Jan-03 23:00:00, 1351.8962927554971, 3.3245912518274636, null, null, 1351.8962927554971, 3.3245912518274636
2100-Jan-04 00:00:00, 1381.1203425560973, 3.3964592056273912, null, null, 1381.1203425560973, 3.3964592056273912
2100-Jan-04 01:00:00, 1409.512927622673, 3.4662824165015826, null, null, 1409.512927622673, 3.4662824165015826
2100-Jan-04 02:00:00, 1437.6968530301401, 3.535592490324508, null, null, 1437.6968530301401, 3.535592490324508
2100-Jan-04 03:00:00, 1466.2863334854912, 3.6058999074877143, null, null, 1466.2863334854912, 3.6058999074877143
2100-Jan-04 04:00:00, 1496.77609155292, 3.6808804984431793, null, null, 1496.77609155292, 3.6808804984431793
2100-Jan-04 05:00:00, 1529.262944149091, 3.7607723559173176, null, null, 1529.262944149091, 3.7607723559173176
2100-Jan-04 06:00:00, 1562.2840757667677, 3.8419781154788066, null, null, 1562.2840757667677, 3.8419781154788066
