Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 3299.7567331257205, 0.57240598672186227, 2036.4120299645144, 2.3403181354085585, 1263.3447031612059, 0.25811144642233963
2100-Jan-01 01:00:00, 3307.2969940894991, 0.57371398936150642, 2043.6512951910845, 2.348637760046147, 1263.6456988984144, 0.25817294226342197
2100-Jan-01 02:00:00, 3315.7057080906607, 0.57517264180899685, 2051.7591947139395, 2.3579556505389361, 1263.946513376721, 0.25823440107185819
2100-Jan-01 03:00:00, 3324.9010417561813, 0.57676774849889623, 2060.6538945915886, 2.3681777603705312, 1264.2471471645929, 0.25829582296379067
2100-Jan-01 04:00:00, 3334.907362721875, 0.57850353646421027, 2070.3597620466367, 2.3793320932318021, 1264.5476006752381, 0.25835720802364115
2100-Jan-01 05:00:00, 3345.7788992960295, 0.58038941264333599, 2080.9310252489686, 2.3914809700909836, 1264.8478740470612, 0.25841855627968674
2100-Jan-01 06:00:00, 3357.4016187894817, 0.58240559588292251, 2092.2536517464569, 2.4044933407422171, 1265.1479670430249, 0.25847986768349884
2100-Jan-01 07:00:00, 3369.5728676169556, 0.5845169320383391, 2104.1249886455316, 2.4181363091727923, 1265.4478789714237, 0.2585411420937565
2100-Jan-01 08:00:00, 3381.4536997748532, 0.58657788986172876, 2115.7060911461367, 2.4314457297671423, 1265.7476086287165, 0.25860237926456658
2100-Jan-01 09:00:00, 3391.0338144568213, 0.58823974418644021, 2124.986660177357, 2.4421112943439995, 1266.0471542794644, 0.25866357884136504
2100-Jan-01 10:00:00, 3396.2782323130382, 0.58914948887993035, 2129.9317186558351, 2.4477943338603394, 1266.3465136572031, 0.25872474036109511
2100-Jan-01 11:00:00, 3395.2187784396992, 0.58896570631994127, 2128.5730944422485, 2.4462329539237273, 1266.645683997451, 0.25878586325895092
2100-Jan-01 12:00:00, 3387.5308638902907, 0.58763209033870534, 2120.5862017939376, 2.4370541288945269, 1266.9446620963531, 0.25884694688035936
2100-Jan-01 13:00:00, 3374.3147120960493, 0.58533949575665478, 2107.0712677073889, 2.4215222793099649, 1267.2434443886607, 0.25890799049691143
2100-Jan-01 14:00:00, 3357.4590718562908, 0.58241556221743052, 2089.9170448097925, 2.4018080277953611, 1267.5420270464983, 0.25896899332654161
2100-Jan-01 15:00:00, 3339.405459072721, 0.57928381740256807, 2071.5650529923942, 2.3807172570480115, 1267.8404060803268, 0.25902995455415501
2100-Jan-01 16:00:00, 3322.4769054363342, 0.57634723563860546, 2054.3383279790937, 2.3609196834877011, 1268.1385774572407, 0.25909087335579667
2100-Jan-01 17:00:00, 3308.522746229447, 0.57392661953999802, 2040.0862090222327, 2.3445406344681747, 1268.4365372072143, 0.25915174892035869
2100-Jan-01 18:00:00, 3298.6141997645564, 0.57220779243396391, 2029.8799182411535, 2.3328111970759644, 1268.7342815234028, 0.25921258047007201
2100-Jan-01 19:00:00, 3292.9361912992663, 0.57122283314724986, 2023.9043844422931, 2.3259438981637381, 1269.0318068569729, 0.25927336727988165
2100-Jan-01 20:00:00, 3290.9075168607296, 0.57087092072229118, 2021.5784068806972, 2.3232708008779932, 1269.3291099800324, 0.25933410869030332
2100-Jan-01 21:00:00, 3291.6654161364413, 0.57100239286337184, 2022.0392281003137, 2.3238003932402367, 1269.6261880361274, 0.25939480411774063
2100-Jan-01 22:00:00, 3294.3964758197999, 0.57147614745781083, 2024.473437258971, 2.3265978741800257, 1269.9230385608291, 0.259455453058691
2100-Jan-01 23:00:00, 3298.6278599707298, 0.57221016205828046, 2028.4082004942202, 2.3311198459728133, 1270.2196594765096, 0.25951605508867842
2100-Jan-02 00:00:00, 3304.2723298770188, 0.57318930343976371, 2033.7562808114851, 2.3372660527187707, 1270.5160490655335, 0.25957660985677616
2100-Jan-02 01:00:00, 3311.3678263188158, 0.57442015315703998, 2040.5556204003419, 2.3450800989503087, 1270.8122059184739, 0.25963711707502712
2100-Jan-02 02:00:00, 3319.8664360810653, 0.57589439974555023, 2048.7583072139846, 2.3545069224155868, 1271.1081288670805, 0.25969757650474828
2100-Jan-02 03:00:00, 3329.7036346344885, 0.577600850190222, 2058.2998177283785, 2.3654723703541443, 1271.4038169061098, 0.25975798794056043
