Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 5903.5426163729171, 1.1001756237377329, 4673.2786477730124, 5.7697632467188606, 1230.263968599905, 0.27002922961776599
2100-Jan-01 01:00:00, 5935.8544182375072, 1.106197204181969, 4705.3538589572354, 5.8093642182358636, 1230.500559280272, 0.27008115863526533
2100-Jan-01 02:00:00, 5971.0948628908773, 1.1127645622408047, 4740.3580645748125, 5.8525814099068825, 1230.7367983160652, 0.27013301047069987
2100-Jan-01 03:00:00, 6009.0405350150768, 1.1198360625602242, 4778.0678503768113, 5.8991389881214182, 1230.9726846382655, 0.27018478488943182
2100-Jan-01 04:00:00, 6049.8427509907388, 1.1274399042410497, 4818.6345342215864, 5.9492237742277183, 1231.2082167691522, 0.27023648156711794
2100-Jan-01 05:00:00, 6093.6373782186538, 1.1356014073346676, 4862.1939855521805, 6.00300351651941, 1231.4433926664731, 0.27028810005550663
2100-Jan-01 06:00:00, 6139.3991486587429, 1.1441295043789133, 4907.7209389817945, 6.0592123930772939, 1231.6782096769484, 0.27033963977223263
2100-Jan-01 07:00:00, 6186.0554949099014, 1.1528243132714302, 4954.1428304284527, 6.1165261856626643, 1231.9126644814485, 0.27039109998878386
2100-Jan-01 08:00:00, 6228.7771714777828, 1.1607858628391146, 4996.6304183766915, 6.1689825748194087, 1232.1467531010908, 0.27044247983184
2100-Jan-01 09:00:00, 6257.0091000782304, 1.1660471240301788, 5024.628629136917, 6.2035499652092829, 1232.3804709413139, 0.27049377829294602
2100-Jan-01 10:00:00, 6263.6690858160846, 1.1672882692948725, 5031.0552729519695, 6.211484483152379, 1232.6138128641151, 0.27054499424436762
2100-Jan-01 11:00:00, 6242.0089630349266, 1.1632517202870096, 5009.16218976861, 6.1844546575782289, 1232.8467732663164, 0.27059612645626963
2100-Jan-01 12:00:00, 6195.9152441054721, 1.1546617618046295, 4962.8358978529586, 6.1272588949033313, 1233.079346252513, 0.27064717363467644
2100-Jan-01 13:00:00, 6133.2426284799421, 1.1429821842242351, 4899.9311027441136, 6.0495948388483063, 1233.3115257358284, 0.27069813444358642
2100-Jan-01 14:00:00, 6062.7549685243648, 1.1298462063382846, 4829.2116629304201, 5.962282599322414, 1233.543305593945, 0.27074900753921921
2100-Jan-01 15:00:00, 5994.725493001959, 1.1171683321313908, 4760.9508131873636, 5.8780058052936708, 1233.7746798145956, 0.27079979160194911
2100-Jan-01 16:00:00, 5937.1550277305469, 1.1064395838772176, 4703.1493851089253, 5.8066425118821465, 1234.0056426216213, 0.2708504853639736
2100-Jan-01 17:00:00, 5895.6147842861055, 1.0986982044697147, 4661.3785956770716, 5.7550711026392607, 1234.2361886090341, 0.2709010876387386
2100-Jan-01 18:00:00, 5871.9191149679737, 1.094282313967009, 4637.4528021532187, 5.7255316348422154, 1234.4663128147549, 0.27095159733712298
2100-Jan-01 19:00:00, 5864.2960585371657, 1.0928616922473839, 4629.6000477227863, 5.7158364000160597, 1234.6960108143799, 0.2710020134880195
2100-Jan-01 20:00:00, 5868.5146257865699, 1.0936478583101172, 4633.5893470644824, 5.7207617028829985, 1234.9252787220878, 0.27105233523853367
2100-Jan-01 21:00:00, 5880.7142001817529, 1.0959213532675911, 4645.5600869493783, 5.7355411201250703, 1235.1541132323748, 0.27110256186314424
2100-Jan-01 22:00:00, 5898.0067573065935, 1.0991439690861131, 4662.6242457685776, 5.7566090178071629, 1235.3825115380159, 0.27115269274569659
2100-Jan-01 23:00:00, 5919.4908969613225, 1.1031477221342501, 4683.8804256510111, 5.7828525043815731, 1235.6104713103114, 0.27120272737506707
2100-Jan-02 00:00:00, 5945.7550770146772, 1.1080422765653508, 4709.9170864346761, 5.814998109165586, 1235.8379905800009, 0.27125266531902503
2100-Jan-02 01:00:00, 5977.1040237845691, 1.113884420733233, 4741.0389561509091, 5.8534220580870704, 1236.0650676336602, 0.27130250620149299
2100-Jan-02 02:00:00, 6013.0146467460199, 1.1205766722477477, 4776.722945844951, 5.8974785305876116, 1236.2917009010685, 0.27135224967782484
2100-Jan-02 03:00:00, 6053.1216896025107, 1.1280509624762183, 4816.6038007736024, 5.9467165727327584, 1236.5178888289083, 0.27140189540708481
2100-Jan-02 04:00:00, 6096.8562761398407, 1.1362012764739822, 4860.1126463514038, 6.0004338357171925, 1236.7436297884371, 0.27145144303178209
2100-Jan-02 05:00:00, 6143.47617812935, 1.144889293666854, 4906.5072561739498, 6.0577139456305078, 1236.9689219554004, 0.27150089215151307
2100-Jan-02 06:00:00, 6193.0337454182663, 1.1541247698962958, 4955.8399821618113, 6.118621537648556, 1237.1937632564554, 0.27155024231120217
2100-Jan-02 07:00:00, 6244.1025815604244, 1.163641883993251, 5006.6844302307854, 6.1813955449095763, 1237.4181513296385, 0.27159949299242464
2100-Jan-02 08:00:00, 6292.081818454064, 1.1725832248636505, 5054.4397349497394, 6.2403556075916038, 1237.6420835043248, 0.2716486436090082
2100-Jan-02 09:00:00, 6327.509724888715, 1.1791855180276509, 5089.6441680849821, 6.2838200058726885, 1237.8655568037329, 0.27169769350758238
2100-Jan-02 10:00:00, 6343.1582481343185, 1.1821017540813314, 5105.0696801369659, 6.3028647834704827, 1238.0885679973526, 0.27174664197908627
2100-Jan-02 11:00:00, 6329.5511279107086, 1.1795659509285321, 5091.240014261577, 6.2857902831257952, 1238.3111136491311, 0.27179548826934452
2100-Jan-02 12:00:00, 6292.4947573021627, 1.1726601795473539, 5053.9615671078154, 6.2397652479216514, 1238.5331901943473, 0.27184423159594068
2100-Jan-02 13:00:00, 6238.3702022433472, 1.1625736061132581, 4999.6154082031953, 6.1726679284845485, 1238.7547940401519, 0.27189287117028421
2100-Jan-02 14:00:00, 6156.1711712025199, 1.1472551141292804, 4917.1952495466694, 6.0709096474045676, 1238.9759216558502, 0.27194140621742718
2100-Jan-02 15:00:00, 6061.1331940712353, 1.1295439748077483, 4821.9366243986651, 5.9533006290393047, 1239.1965696725697, 0.27198983599793941
2100-Jan-02 16:00:00, 5976.2612010240919, 1.1137273535082692, 4736.844466042412, 5.8482434208409773, 1239.4167349816803, 0.27203815982951141
2100-Jan-02 17:00:00, 5914.1275150351848, 1.1021482100718543, 4674.4911002325553, 5.7712601751425057, 1239.6364148026298, 0.27208637710184286
