Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 3611.1314251070844, 0.67722446758087662, 1606.2572371356218, 1.9831310456990667, 2004.8741879714626, 0.44333146644737553
2100-Jan-01 01:00:00, 3626.7348363055398, 0.68015070055258464, 1621.3729854203134, 2.0017933801056031, 2005.3618508852264, 0.4434393017998321
2100-Jan-01 02:00:00, 3643.9655554627052, 0.68338211565038898, 1638.1184298217411, 2.0224677838678038, 2005.8471256409641, 0.44354660906648347
2100-Jan-01 03:00:00, 3662.8270871989989, 0.68691937012389315, 1656.4970684887003, 2.0451585759000483, 2006.3300187102989, 0.44365338967837914
2100-Jan-01 04:00:00, 3682.8489487557831, 0.69067423056416888, 1676.0384116009259, 2.0692848760371416, 2006.8105371548572, 0.4437596451970342
2100-Jan-01 05:00:00, 3703.8335049348857, 0.69460963285581834, 1696.5448171723492, 2.0946026698401479, 2007.2886877625365, 0.44386537712343482
2100-Jan-01 06:00:00, 3725.3415255839573, 0.69864320464207752, 1717.5770494275862, 2.1205696642800254, 2007.7644761563711, 0.44397058670098483
2100-Jan-01 07:00:00, 3746.6066230254846, 0.70263121908895321, 1738.368716966374, 2.1462396506525394, 2008.2379060591106, 0.44407527475288394
2100-Jan-01 08:00:00, 3765.3828771002582, 0.70615248075795345, 1756.6738983933708, 2.1688397502790266, 2008.7089787068874, 0.44417944155247419
2100-Jan-01 09:00:00, 3777.9734229118785, 0.70851368689532757, 1768.7957304554652, 2.1838057102369461, 2009.1776924564133, 0.44428308673638056
2100-Jan-01 10:00:00, 3781.172205197885, 0.70911358021836923, 1771.5281626071835, 2.1871792489859461, 2009.6440425907017, 0.44438620926155065
2100-Jan-01 11:00:00, 3772.531982670997, 0.70749320992116294, 1762.4239613288887, 2.175938942150986, 2010.1080213421083, 0.44448880741035002
2100-Jan-01 12:00:00, 3752.3856457322854, 0.70371500561318223, 1741.8160276638114, 2.1504957988647959, 2010.5696180684743, 0.44459087882951182
2100-Jan-01 13:00:00, 3723.1303733920113, 0.698228529519616, 1712.1015537144356, 2.1138094609400517, 2011.0288196775755, 0.44469242062399411
2100-Jan-01 14:00:00, 3688.4037542763322, 0.69171596783936584, 1676.9181431256725, 2.0703710176950723, 2011.4856111506597, 0.44479342947274786
2100-Jan-01 15:00:00, 3652.9728313070882, 0.68507132240305812, 1641.0328550827369, 2.0260660165056579, 2011.9399762243513, 0.44489390177950444
2100-Jan-01 16:00:00, 3621.5852293559046, 0.67918495341846752, 1609.1933312248491, 1.9867560312909285, 2012.3918981310558, 0.44499383383649882
2100-Jan-01 17:00:00, 3598.2751266115511, 0.67481342270913247, 1585.4337662638877, 1.9574217940236707, 2012.8413603476636, 0.44509322199002832
2100-Jan-01 18:00:00, 3585.0190127718924, 0.67232739725604662, 1571.7306653906562, 1.9405035544442422, 2013.2883473812365, 0.4451920628141886
2100-Jan-01 19:00:00, 3581.4598912259275, 0.67165992661865492, 1567.7270458123132, 1.9355605714042783, 2013.7328454136143, 0.44529035325341387
2100-Jan-01 20:00:00, 3585.3842027568426, 0.67239588426579777, 1571.2093598786323, 1.9398599357751476, 2014.1748428782103, 0.44538809075002139
2100-Jan-01 21:00:00, 3594.2535377275035, 0.67405922185897993, 1579.6392068703115, 1.9502676655541606, 2014.6143308571923, 0.44548527333203924
2100-Jan-01 22:00:00, 3605.9259166482698, 0.6762482367879461, 1590.8746133425839, 1.9641392191702833, 2015.0513033056859, 0.44558189966278361
2100-Jan-01 23:00:00, 3619.1976697615255, 0.6787371951995671, 1603.7119126876323, 1.9799885154632584, 2015.4857570738932, 0.44567796904574963
2100-Jan-02 00:00:00, 3633.9869958669119, 0.68151075625801116, 1618.0693040922338, 1.9977145608135611, 2015.9176917746781, 0.44577348139533118
2100-Jan-02 01:00:00, 3650.5445688961063, 0.68461593085818373, 1634.1974594464778, 2.0176268418937044, 2016.3471094496285, 0.44586843716297803
2100-Jan-02 02:00:00, 3668.696338586632, 0.68802007795702613, 1651.9223244416578, 2.0395104662846824, 2016.774014144974, 0.44596283724342012
2100-Jan-02 03:00:00, 3687.9563045476116, 0.69163205399945538, 1670.7578932052261, 2.0627653972601485, 2017.1984113423853, 0.4460566828488019
2100-Jan-02 04:00:00, 3708.0696327022724, 0.69540406790515696, 1690.4493252876891, 2.0870770015251323, 2017.6203074145833, 0.44614997538830292
2100-Jan-02 05:00:00, 3728.5494922762991, 0.69924482039057501, 1710.5097832153911, 2.1118442156348149, 2018.0397090609081, 0.44624271634332702
2100-Jan-02 06:00:00, 3749.3016368268409, 0.70313663666363835, 1730.8450140854534, 2.1369506722642608, 2018.4566227413877, 0.44633490714235968
2100-Jan-02 07:00:00, 3770.000805780363, 0.70701851799768578, 1751.1297514853256, 2.1619947882137556, 2018.8710542950373, 0.44642654907656376
2100-Jan-02 08:00:00, 3788.5185404725198, 0.71049129745137962, 1769.2355318672332, 2.1843487016168166, 2019.2830086052863, 0.44651764322579651
2100-Jan-02 09:00:00, 3801.5078385625357, 0.71292728480484446, 1781.8153491459564, 2.1998801031992588, 2019.6924894165795, 0.44660819041805516
2100-Jan-02 10:00:00, 3806.0056988814677, 0.71377080466085507, 1785.9061995798047, 2.204930783943984, 2020.0994993016627, 0.44669819122224286
2100-Jan-02 11:00:00, 3799.1637203925875, 0.71248767350503062, 1778.6596805819036, 2.1959840246916409, 2020.5040398106839, 0.44678764598113879
2100-Jan-02 12:00:00, 3781.507180130604, 0.70917640075679844, 1760.6010684391806, 2.1736883465433916, 2020.9061116914236, 0.44687655486009742
2100-Jan-02 13:00:00, 3755.0565873941132, 0.70421590874628193, 1733.7508720691474, 2.1405383274969507, 2021.3057153249658, 0.44696491794338655
2100-Jan-02 14:00:00, 3720.2582280151228, 0.69768989303849693, 1698.5553768170034, 2.0970849641815286, 2021.7028511981193, 0.4470527353386527
2100-Jan-02 15:00:00, 3680.3815770643441, 0.69021150454194735, 1658.2840565808074, 2.047364842419396, 2022.097520483537, 0.44714000730520087
2100-Jan-02 16:00:00, 3642.5147999941078, 0.68311004383018881, 1620.0250743221427, 2.0001292105791881, 2022.4897256719651, 0.44722673439380189
2100-Jan-02 17:00:00, 3613.124939475611, 0.67759832733503944, 1590.2454683023213, 1.9633624587406666, 2022.8794711732896, 0.44731291757959984
2100-Jan-02 18:00:00, 3595.0846919755122, 0.6742150948879071, 1571.8179280525746, 1.9406112914181091, 2023.2667639229376, 0.44739855839620368
2100-Jan-02 19:00:00, 3588.4767653754889, 0.67297585736185062, 1564.8251515218915, 1.9319778098604705, 2023.6516138535974, 0.44748365903999732
2100-Jan-02 20:00:00, 3591.4043331926996, 0.6735248876581541, 1567.3702989163091, 1.9351201215008842, 2024.0340342763907, 0.44756822245442679
2100-Jan-02 21:00:00, 3601.3065807158514, 0.67538193563488946, 1576.8925386419696, 1.9468765505385028, 2024.4140420738818, 0.44765225237267997
2100-Jan-02 22:00:00, 3615.6639417960369, 0.67807448682419069, 1590.8722840340927, 1.9641363433395154, 2024.7916577619442, 0.44773575333136689
2100-Jan-02 23:00:00, 3631.7786360204891, 0.68109660480652345, 1606.6117307485019, 1.9835687136347819, 2025.1669052719874, 0.44781873062236416
2100-Jan-03 00:00:00, 3648.2478079436764, 0.68418520083757151, 1622.707996323657, 2.0034416226831673, 2025.5398116200195, 0.44790119021963587
2100-Jan-03 01:00:00, 3664.8068929879009, 0.68729065899806174, 1638.8964866082447, 2.0234283949909537, 2025.9104063796563, 0.44798313866270184
2100-Jan-03 02:00:00, 3681.7715505259557, 0.69047217742439826, 1655.4928294841793, 2.0439187137527384, 2026.2787210417764, 0.4480645829150402
2100-Jan-03 03:00:00, 3699.2019051545703, 0.69374103176490709, 1672.5571169036816, 2.0649867702084364, 2026.644788250889, 0.44814553019522757
2100-Jan-03 04:00:00, 3716.8107268868789, 0.69704335547416829, 1689.8020858385812, 2.0862779012217363, 2027.0086410482975, 0.44822598780958262
2100-Jan-03 05:00:00, 3734.3055110054761, 0.70032429279419617, 1706.9351988831752, 2.1074309317592337, 2027.3703121223009, 0.44830596298636499
2100-Jan-03 06:00:00, 3751.0869436109278, 0.70347144957792762, 1723.3571105052961, 2.1277058927148209, 2027.7298331056315, 0.44838546272042057
2100-Jan-03 07:00:00, 3767.4444377398045, 0.70653910177561996, 1739.3572037186063, 2.1474600646194268, 2028.0872340211981, 0.4484644936506198
2100-Jan-03 08:00:00, 3782.5575746865525, 0.70937338968081154, 1754.1150318758318, 2.1656805006175088, 2028.4425428107206, 0.44854306195562649
2100-Jan-03 09:00:00, 3794.0445158309476, 0.71152762797481528, 1765.2487307436515, 2.1794264831212899, 2028.7957850872963, 0.44862117329918366
2100-Jan-03 10:00:00, 3798.9935853181032, 0.71245576670860844, 1769.84660129442, 2.1851031453784477, 2029.1469840236834, 0.44869883280540973
2100-Jan-03 11:00:00, 3795.3196269215705, 0.71176675979467918, 1765.8234665359653, 2.1801360683399342, 2029.496160385605, 0.44877604506616314
2100-Jan-03 12:00:00, 3782.0424744329925, 0.70927678879485589, 1752.1991416488893, 2.1633150878421699, 2029.8433327841033, 0.44885281419684464
2100-Jan-03 13:00:00, 3759.5271670539305, 0.70505431244127015, 1729.3386490145715, 2.1350908709390697, 2030.188518039359, 0.44892914391684735
2100-Jan-03 14:00:00, 3729.5484626267639, 0.69943216532048225, 1699.0167310015679, 2.0976545652300533, 2030.531731625196, 0.44900503764784883
2100-Jan-03 15:00:00, 3695.4793478789979, 0.69304291071302271, 1664.6063596093841, 2.055170538248444, 2030.8729882696136, 0.44908049864660493
2100-Jan-03 16:00:00, 3661.8275766216311, 0.68673192388089765, 1630.6152740604773, 2.0132041735401005, 2031.2123025611536, 0.44915553013903348
2100-Jan-03 17:00:00, 3633.7234281285064, 0.68146132728401365, 1602.1737385620934, 1.9780894417709978, 2031.549689566413, 0.44923013545676327
2100-Jan-03 18:00:00, 3614.7448852668267, 0.67790212877475953, 1582.8597198574728, 1.954243802837941, 2031.8851654093539, 0.44930431816523497
2100-Jan-03 19:00:00, 3605.6491796958744, 0.67619633808552204, 1573.4304318517015, 1.9426021346475899, 2032.2187478441731, 0.44937808219037767
2100-Jan-03 20:00:00, 3604.9497151136666, 0.67606516187687338, 1572.3992585143155, 1.9413290186039145, 2032.5504565993508, 0.44945143189468761
2100-Jan-03 21:00:00, 3609.9391074532996, 0.67700086267891768, 1577.0587937376717, 1.9470818138264556, 2032.8803137156281, 0.44952437215196395
2100-Jan-03 22:00:00, 3619.3083699399044, 0.67875795569275843, 1586.100026318923, 1.9582443777102077, 2033.2083436209814, 0.44959690836388755
2100-Jan-03 23:00:00, 3632.4666173952596, 0.68122562747709015, 1598.9320443282161, 1.97408715351527, 2033.5345730670435, 0.44966904644596212
2100-Jan-04 00:00:00, 3648.6386279788685, 0.68425849445641151, 1614.7795970797035, 1.9936529946104811, 2033.8590308991652, 0.44974079277666845
2100-Jan-04 01:00:00, 3666.0432161003773, 0.68752251659698027, 1631.861468441846, 2.0147427607038071, 2034.1817476585311, 0.44981215410948183
2100-Jan-04 02:00:00, 3683.9703007943622, 0.69088452671457135, 1649.4675457351102, 2.0364797264064567, 2034.502755059252, 0.44988313745724295
2100-Jan-04 03:00:00, 3702.2638796968386, 0.69431526843342506, 1667.4417943142773, 2.0586712468904507, 2034.822085382561, 0.44995374995819842
