Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 7666.8591752752, 1.3299635234394298, 6417.7592101901046, 7.3755203010438937, 1249.0999650850954, 0.25520113228595148
2100-Jan-01 01:00:00, 7959.55410893106, 1.3807370639934526, 6710.2399171887164, 7.7116496760299071, 1249.3141917423434, 0.25524490050869081
2100-Jan-01 02:00:00, 8274.4395377421279, 1.4353599708197373, 7024.9114578148847, 8.0732815571955321, 1249.5280799272427, 0.255288599578817
2100-Jan-01 03:00:00, 8606.7694602119773, 1.4930089590857163, 7357.02782893323, 8.4549616666024132, 1249.7416312787464, 0.25533222983118131
2100-Jan-01 04:00:00, 8933.1899356357881, 1.5496328406117315, 7683.2350901272712, 8.8298508138088749, 1249.9548455085167, 0.25537579120687409
2100-Jan-01 05:00:00, 9256.8766164405424, 1.6057824931163445, 8006.7088960460123, 9.2015985756478447, 1250.1677203945299, 0.25541928325191798
2100-Jan-01 06:00:00, 9567.2260823888264, 1.659618550332735, 8316.8458305121858, 9.5580191239019481, 1250.3802518766399, 0.25546270513679264
2100-Jan-01 07:00:00, 9845.2552875804595, 1.7078480394758502, 8594.6628532844697, 9.8772964642202155, 1250.5924342959902, 0.25550605570534834
2100-Jan-01 08:00:00, 10025.878851246953, 1.739180655043483, 8775.0745905806325, 10.084632138151651, 1250.8042606663198, 0.25554933353023601
2100-Jan-01 09:00:00, 10032.769530409001, 1.7403759752818933, 8781.7538073375199, 10.092308134893205, 1251.0157230714815, 0.25559253699412332
2100-Jan-01 10:00:00, 9843.9661414131515, 1.7076244123894899, 8592.7393283560486, 9.8750858800124739, 1251.2268130571022, 0.25563566436971408
2100-Jan-01 11:00:00, 9448.121434720646, 1.6389575686648281, 8196.683912662842, 9.4199247150149645, 1251.4375220578033, 0.25567871390703284
2100-Jan-01 12:00:00, 8915.5486962356026, 1.5465726298560452, 7663.9008544019971, 8.8076312129440577, 1251.6478418336058, 0.25572168392258576
2100-Jan-01 13:00:00, 8325.0901584575331, 1.4441462908043661, 7073.2323935885561, 8.1288137189815757, 1251.8577648689775, 0.25576457288088955
2100-Jan-01 14:00:00, 7752.4803523308728, 1.3448161560122598, 6500.4130676276773, 7.4705090944100361, 1252.067284703196, 0.25580737946196674
2100-Jan-01 15:00:00, 7283.8191529125934, 1.2635178973866459, 6031.5427566939707, 6.9316664261844263, 1252.2763962186227, 0.25585010262024277
2100-Jan-01 16:00:00, 6972.2974404341248, 1.209478491564264, 5719.8123446135614, 6.5734145959971526, 1252.4850958205634, 0.25589274162129283
2100-Jan-01 17:00:00, 6848.2897642446869, 1.1879669857196924, 5595.5963826964216, 6.4306611334834942, 1252.6933815482653, 0.25593529606451942
2100-Jan-01 18:00:00, 6897.7407586124273, 1.1965452075447387, 5644.8395055890096, 6.4872531059595575, 1252.9012530234177, 0.2559777658726306
2100-Jan-01 19:00:00, 7076.7716599237838, 1.2276015453317233, 5823.6629486044985, 6.6927634548316579, 1253.1087113192852, 0.25602015126490296
2100-Jan-01 20:00:00, 7324.7213617749685, 1.2706131686798099, 6071.4056030438796, 6.9774782466161307, 1253.3157587310891, 0.25606245271026856
2100-Jan-01 21:00:00, 7600.5956589865418, 1.3184688477731603, 6347.0732605202211, 7.2942854588327677, 1253.5223984663207, 0.25610467086404359
2100-Jan-01 22:00:00, 7875.9140687034505, 1.3662280975368288, 6622.1854344290923, 7.6104542893035969, 1253.7286342743587, 0.25614680649225618
2100-Jan-01 23:00:00, 8141.3353940642655, 1.412270508516702, 6887.4009240329433, 7.91524949330854, 1253.9344700313225, 0.25618886038682859
2100-Jan-02 00:00:00, 8411.7841073372692, 1.4591850161907409, 7157.6441979544115, 8.2258228083471572, 1254.1399093828579, 0.25623083329259549
2100-Jan-02 01:00:00, 8695.665935617224, 1.5084297548703298, 7441.3209802041802, 8.5518343955528415, 1254.344955413043, 0.25627272583965871
2100-Jan-02 02:00:00, 8982.8075064134646, 1.5582399583045663, 7728.2578960326655, 8.8815926458236909, 1254.5496103807993, 0.25631453848953401
2100-Jan-02 03:00:00, 9260.5077351737273, 1.606412380186657, 8005.7538596640943, 9.2005010134002791, 1254.7538755096332, 0.25635627149219353
2100-Jan-02 04:00:00, 9533.8094126485503, 1.6538217891280016, 8278.8516616984689, 9.5143548550771051, 1254.9577509500812, 0.25639792487839319
2100-Jan-02 05:00:00, 9788.8579135213295, 1.6980648350890657, 8533.6966777449034, 9.8072319369230367, 1255.1612357764263, 0.25643949845900149
2100-Jan-02 06:00:00, 10034.96021464285, 1.7407559914078954, 8779.5958865738849, 10.089828174539603, 1255.3643280689641, 0.25648099184180745
2100-Jan-02 07:00:00, 10264.739919627302, 1.7806156808934566, 9009.1728944935949, 10.353666350312261, 1255.5670251337062, 0.25652240447640767
2100-Jan-02 08:00:00, 10411.261953869374, 1.806032733230942, 9155.4926301466203, 10.521822266638749, 1255.7693237227536, 0.25656373569923036
2100-Jan-02 09:00:00, 10411.225626772351, 1.8060264316003982, 9155.2544064867961, 10.52154849141882, 1255.9712202855546, 0.25660498478486937
2100-Jan-02 10:00:00, 10240.277083431163, 1.7763721335584985, 8984.1043721056631, 10.324856700443224, 1256.1727113255004, 0.25664615101893945
2100-Jan-02 11:00:00, 9863.1610167336567, 1.7109541310434553, 8606.7872230637713, 9.8912302271608095, 1256.373793669886, 0.2566872337532316
2100-Jan-02 12:00:00, 9365.9938921940357, 1.6247109738946572, 8109.4194274099073, 9.3196372219097032, 1256.5744647841279, 0.25672823246991006
2100-Jan-02 13:00:00, 8805.7934856839693, 1.5275334870722799, 7549.0187626438237, 8.6756045705852376, 1256.774723040146, 0.25676914683634505
2100-Jan-02 14:00:00, 8156.2735775056672, 1.4148618224601719, 6899.2990095753412, 7.9289232022445466, 1256.9745679303257, 0.25680997674882683
