Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 7138.6225098738569, 1.5123568581196072, 6148.0164719410177, 9.8265635449568425, 990.60603793283906, 0.24193315392460102
2100-Jan-01 01:00:00, 7421.516979367866, 1.5722896239258402, 6430.7434654706594, 10.278454781825388, 990.77351389720684, 0.24197405614679079
2100-Jan-01 02:00:00, 7725.945789066699, 1.6367845594011934, 6735.0051055747172, 10.764765505685791, 990.94068349198221, 0.24201488354512635
2100-Jan-01 03:00:00, 8047.3251703035303, 1.7048705676751266, 7056.2176214480642, 11.278169334883467, 991.10754885546589, 0.24205563664183938
2100-Jan-01 04:00:00, 8363.0071208753961, 1.7717495435940218, 7371.7330106146937, 11.782467271495667, 991.27411026070308, 0.24209631550361496
2100-Jan-01 05:00:00, 8676.0478962689558, 1.8380689718706538, 7684.6075301485153, 12.282544225067374, 991.4403661204409, 0.24213691974280249
2100-Jan-01 06:00:00, 8976.202520681285, 1.9016583974353796, 7984.5962076225096, 12.762025341524938, 991.60631305877575, 0.24217744853491369
2100-Jan-01 07:00:00, 9245.0937382724733, 1.9586244964901609, 8253.3217921627293, 13.191537696394482, 991.77194610974368, 0.24221790066712404
2100-Jan-01 08:00:00, 9419.7787033118675, 1.9956324773047087, 8427.8414442972608, 13.470477816247856, 991.93725901460687, 0.24225827461087815
2100-Jan-01 09:00:00, 9426.5002616671118, 1.9970564768034558, 8434.3980170987252, 13.480957387921869, 992.10224456838569, 0.24229856860652246
2100-Jan-01 10:00:00, 9244.0598332498848, 1.9584054579642558, 8251.7929382355924, 13.189094082208586, 992.266895014292, 0.24233878075963666
2100-Jan-01 11:00:00, 8861.5118952346202, 1.8773605509367901, 7869.080692782818, 12.577393346444699, 992.43120245180296, 0.24237890914069646
2100-Jan-01 12:00:00, 8346.8016665244013, 1.7683163280131766, 7354.2065072787527, 11.754454122939944, 992.59515924564926, 0.24241895188495974
2100-Jan-01 13:00:00, 7776.1042408490139, 1.6474109062126017, 6783.3454824232986, 10.842029414632309, 992.75875842571509, 0.24245890729013311
2100-Jan-01 14:00:00, 7222.6112135402345, 1.5301503318351217, 6229.6892195202472, 9.9571036057457718, 992.92199401998755, 0.24249877389768731
2100-Jan-01 15:00:00, 6769.5309572092701, 1.4341627611248124, 5776.4460958829977, 9.2326712012356342, 993.08486132627229, 0.24253855055921755
2100-Jan-01 16:00:00, 6468.2888428297038, 1.3703429447658102, 5475.0414857193591, 8.7509269560740943, 993.24735711034464, 0.24257823648483751
2100-Jan-01 17:00:00, 6348.2625047511883, 1.3449146978880757, 5354.8530250581907, 8.5588260481719001, 993.40947969299771, 0.24261783126443881
2100-Jan-01 18:00:00, 6395.8873293993038, 1.3550042817081611, 5402.3161004448657, 8.6346877392481751, 993.57122895443831, 0.24265733486876465
2100-Jan-01 19:00:00, 6568.787917920431, 1.391634232439015, 5575.0553117172303, 8.9107821257906537, 993.73260620320082, 0.24269674761739504
2100-Jan-01 20:00:00, 6808.3683316984916, 1.4423906747844704, 5814.4747177710933, 9.293453515534237, 993.89361392739795, 0.24273607011799531
2100-Jan-01 21:00:00, 7075.0245843290468, 1.4988832840894861, 6080.9703287646798, 9.7194016351972614, 994.05425556436649, 0.24277530321005733
2100-Jan-01 22:00:00, 7341.2158074778608, 1.5552773743139698, 6347.001272383337, 10.144607062724074, 994.21453509452408, 0.24281444786570822
2100-Jan-01 23:00:00, 7597.859337013173, 1.609648732576421, 6603.4848803301629, 10.554552690428869, 994.37445668300961, 0.24285350510218909
