Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1095.003218048771, 1.1872894636134554, 485.73188410972671, 3.9734212665860977, 609.27133393904444, 0.76156419374354178
2100-Jan-01 01:00:00, 1097.1764723937429, 1.1896458785928883, 487.83616246069727, 3.9906348459785397, 609.34030993304555, 0.76165041090875696
2100-Jan-01 02:00:00, 1099.6083815181805, 1.1922827476288125, 490.20205163931234, 4.0099884743571357, 609.40632987886806, 0.76173293313491564
2100-Jan-01 03:00:00, 1102.2757272176605, 1.1951748956998021, 492.80631457303645, 4.0312920660363343, 609.46941264462396, 0.76181178400638438
2100-Jan-01 04:00:00, 1105.1855798869412, 1.1983299890894461, 495.65590252157853, 4.054602484244719, 609.52967736536277, 0.76188711243709173
2100-Jan-01 05:00:00, 1108.3523021169703, 1.2017636008596506, 498.76497662724495, 4.0800355710462775, 609.58732548972546, 0.76195917022958182
2100-Jan-01 06:00:00, 1111.7409698553995, 1.20543786357889, 502.09834813727423, 4.1073034727028848, 609.64262171812527, 0.76202828824852109
2100-Jan-01 07:00:00, 1115.2906949427595, 1.2092867574684047, 505.59481910425603, 4.1359055730646306, 609.69587583850341, 0.76209485371613805
2100-Jan-01 08:00:00, 1118.780953081171, 1.2130711725684913, 509.03352646501793, 4.1640351511380578, 609.74742661615301, 0.76215929007516348
2100-Jan-01 09:00:00, 1121.6463362117279, 1.2161780485520963, 511.84870822880447, 4.1870641172312286, 609.79762798292336, 0.7622220397259013
2100-Jan-01 10:00:00, 1123.2839505357617, 1.2179536800756752, 513.43711362580052, 4.2000577130622947, 609.84683690996121, 0.76228354886765315
2100-Jan-01 11:00:00, 1123.1004537997774, 1.2177547183396267, 513.20505262392032, 4.1981593898305265, 609.89540117585716, 0.76234425220940183
2100-Jan-01 12:00:00, 1120.9826795947813, 1.2154584593346671, 511.03903494606294, 4.1804407656541986, 609.94364464871842, 0.76240455457300638
