Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 4017.8829855630329, 0.81127019539401246, 1975.5733636842742, 4.8781985599827866, 2042.3096218787587, 0.44909585660549217
2100-Jan-01 01:00:00, 4062.7360974712219, 0.82032670425515508, 2020.428862208398, 4.988958318304098, 2042.3072352628237, 0.44909533179803091
2100-Jan-01 02:00:00, 4112.4197662007646, 0.83035857421825188, 2070.1315497059873, 5.1116870324257784, 2042.2882164947769, 0.44909114964570884
2100-Jan-01 03:00:00, 4166.3615334441874, 0.84125021745642292, 2124.1098487322456, 5.2449733306825799, 2042.2516847119414, 0.44908311645028631
2100-Jan-01 04:00:00, 4222.0167224414181, 0.85248782597183037, 2179.8190956153089, 5.3825337842290244, 2042.1976268261094, 0.44907122933371796
2100-Jan-01 05:00:00, 4279.5310323872836, 0.86410081859391286, 2237.4042051010019, 5.5247262248305136, 2042.1268272862815, 0.44905566079325487
2100-Jan-01 06:00:00, 4337.1421961283622, 0.87573336743444408, 2295.1014170425974, 5.6671954752174578, 2042.0407790857648, 0.44903673913225578
2100-Jan-01 07:00:00, 4392.09693942384, 0.88682954556888582, 2350.1553545199522, 5.8031378013594566, 2041.941584903888, 0.4490149267216384
2100-Jan-01 08:00:00, 4435.1825128567843, 0.89552916218370604, 2393.3506589293174, 5.9097981135712079, 2041.8318539274671, 0.44899079731132568
2100-Jan-01 09:00:00, 4454.0137732143085, 0.89933147308341566, 2412.299178670562, 5.9565868805260136, 2041.7145945437464, 0.44896501243384535
2100-Jan-01 10:00:00, 4442.0976821294826, 0.89692543747275821, 2400.5045880062494, 5.9274630037559115, 2041.593094123233, 0.44893829496904769
2100-Jan-01 11:00:00, 4394.7615270131482, 0.88736756534248051, 2353.2907593813384, 5.8108799220829583, 2041.4707676318096, 0.44891139585450468
2100-Jan-01 12:00:00, 4319.0187666296761, 0.87207397808850262, 2277.6678065804958, 5.6241474087599688, 2041.3509600491802, 0.44888505063810241
2100-Jan-01 13:00:00, 4225.1402408649756, 0.85311851069084821, 2183.9035363317062, 5.3926193184781335, 2041.2367045332694, 0.4488599262993439
2100-Jan-01 14:00:00, 4124.8177006915212, 0.83286190116255032, 2083.6872400400948, 5.1451595170639068, 2041.1304606514268, 0.44883656368741959
2100-Jan-01 15:00:00, 4032.8928353715046, 0.81430090679867695, 1991.8589603156368, 4.9184118851348408, 2041.0338750558681, 0.44881532489467801
2100-Jan-01 16:00:00, 3961.3065926272338, 0.79984658213383619, 1920.35898310107, 4.7418600585621054, 2040.9476095261637, 0.44879635544384494
2100-Jan-01 17:00:00, 3918.7911208222995, 0.7912620774973419, 1877.9198490662247, 4.6370669254184129, 2040.8712717560747, 0.44877956906832084
2100-Jan-01 18:00:00, 3905.8997261837226, 0.78865911362683627, 1865.0962576060265, 4.6054021811244903, 2040.8034685776961, 0.44876465941596039
2100-Jan-01 19:00:00, 3917.0242246245407, 0.7909053149363745, 1876.2822453969065, 4.6330232609267066, 2040.7419792276344, 0.44875113814962436
2100-Jan-01 20:00:00, 3943.0543529561955, 0.79616118410270698, 1902.3703302607103, 4.6974414497698591, 2040.6840226954855, 0.44873839373605823
2100-Jan-01 21:00:00, 3977.2201620255778, 0.80305976793382083, 1936.5935879530682, 4.7819474719007902, 2040.6265740725096, 0.44872576100972245
2100-Jan-01 22:00:00, 4014.7457730748465, 0.81063674564014243, 1974.1790961582724, 4.8747557549912832, 2040.5666769165744, 0.44871258986061519
2100-Jan-01 23:00:00, 4054.0896369500733, 0.81858085557273608, 2013.5879299766514, 4.972066297802459, 2040.5017069734222, 0.44869830322554233
2100-Jan-02 00:00:00, 4097.0592752144294, 0.82725706315667824, 2056.6297132978912, 5.0783475269769571, 2040.4295619165378, 0.44868243881116837
2100-Jan-02 01:00:00, 4144.6769834420775, 0.83687178503804383, 2104.3282102181724, 5.1961273792806582, 2040.3487732239053, 0.44866467369527552
