Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 5829.8255535563912, 1.0957127726941926, 2522.2186193308025, 5.7972491710215426, 3307.6069342255882, 0.67702434651470811
2100-Jan-01 01:00:00, 5892.1491509423086, 1.1074264613918487, 2585.6821501814647, 5.9431183271661894, 3306.4670007608438, 0.67679101688262489
2100-Jan-01 02:00:00, 5961.3257451303743, 1.1204281673823664, 2656.111171790491, 6.1049974696043314, 3305.2145733398838, 0.67653466119312056
2100-Jan-01 03:00:00, 6036.5523368973272, 1.1345669673667018, 2732.695542805166, 6.2810245110254392, 3303.8567940921612, 0.67625674134769131
2100-Jan-01 04:00:00, 6114.1555417277259, 1.1491524505777388, 2811.74956996536, 6.4627279882370789, 3302.4059717623659, 0.67595977678712804
2100-Jan-01 05:00:00, 6194.3305304197911, 1.1642212992685745, 2893.4520951186855, 6.65051896423945, 3300.878435301106, 0.67564710983636045
2100-Jan-01 06:00:00, 6274.6092025557064, 1.1793096352103922, 2975.3157326447085, 6.8386802525382659, 3299.2934699109978, 0.67532268792685757
2100-Jan-01 07:00:00, 6351.0937985841374, 1.193684876461236, 3053.4214390321399, 7.0182040408951716, 3297.6723595519979, 0.67499086760985638
2100-Jan-01 08:00:00, 6410.745368069327, 1.204896358862507, 3114.7078227468751, 7.1590690850519794, 3296.0375453224519, 0.67465624228785137
2100-Jan-01 09:00:00, 6436.0922209684013, 1.209660287081967, 3141.680364513732, 7.2210647202438807, 3294.4118564546689, 0.67432348480933768
2100-Jan-01 10:00:00, 6418.0312796380058, 1.2062657422674103, 3125.2135911089144, 7.183216300706083, 3292.8176885290914, 0.67399717925988423
2100-Jan-01 11:00:00, 6350.0167673711021, 1.1934824489879141, 3058.7408184702776, 7.0304304862166616, 3291.275948900824, 0.67368160510458697
2100-Jan-01 12:00:00, 6241.9823426623561, 1.17317743334781, 2952.177667521888, 6.7854980549982677, 3289.8046751404681, 0.67338045440078287
2100-Jan-01 13:00:00, 6108.4459887311405, 1.1480793429714715, 2820.0285762743706, 6.4817570533997682, 3288.4174124567694, 0.6730964996774581
2100-Jan-01 14:00:00, 5965.9174933291833, 1.1212911841406228, 2678.7958777202148, 6.1571376336797403, 3287.1216156089686, 0.67283126682738137
2100-Jan-01 15:00:00, 5835.354881740217, 1.0967520071377928, 2549.4374255076928, 5.8598108380934626, 3285.9174562325243, 0.67258479098211055
