Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 3403.5633042115624, 1.0988503575135076, 1468.0645377826279, 5.7962611495502987, 1935.4987664289345, 0.68052933114942382
2100-Jan-01 01:00:00, 3439.8353700225348, 1.1105608999426202, 1505.0022126919241, 5.9420997040016248, 1934.8331573306107, 0.68029530025137008
2100-Jan-01 02:00:00, 3480.0964087296934, 1.1235592939265027, 1545.99433076275, 6.1039461455556054, 1934.1020779669436, 0.6800382497386015
2100-Jan-01 03:00:00, 3523.8792796379003, 1.1376947217268079, 1590.5695936950988, 6.2799396786164925, 1933.3096859428017, 0.67975964144209899
2100-Jan-01 04:00:00, 3569.0454822111487, 1.1522767621970786, 1636.5823363352238, 6.461608716785646, 1932.463145875925, 0.67946199447094346
2100-Jan-01 05:00:00, 3615.7086101975747, 1.1673420894108062, 1684.1366480831725, 6.6493642292882242, 1931.5719621144024, 0.67914865059303486
2100-Jan-01 06:00:00, 3662.4322009006692, 1.1824269371892739, 1731.784841348323, 6.8374904079139966, 1930.647359552346, 0.67882355652733506
2100-Jan-01 07:00:00, 3706.9474047851058, 1.1967988008307322, 1777.2456784220387, 7.0169803942019362, 1929.7017263630671, 0.67849106800655967
2100-Jan-01 08:00:00, 3741.6647830793809, 1.2080074078524938, 1812.9166589146657, 7.1578177437016173, 1928.7481241647151, 0.67815577754940037
2100-Jan-01 09:00:00, 3756.4152136226803, 1.2127696274521487, 1828.6153731310546, 7.2197999283866219, 1927.7998404916254, 0.67782235710760996
2100-Jan-01 10:00:00, 3745.9002687618749, 1.2093748467805998, 1819.0303583106008, 7.1819560546386905, 1926.8699104512741, 0.67749538987861824
2100-Jan-01 11:00:00, 3706.3102522632216, 1.1965930942773688, 1780.3397493302944, 7.0291965076887202, 1925.9705029329273, 0.67717915449396826
2100-Jan-01 12:00:00, 3643.4271675537766, 1.1762911066431085, 1718.3150511625263, 6.7843085350894876, 1925.1121163912503, 0.67687734225352292
2100-Jan-01 13:00:00, 3565.7009269582468, 1.1511969627613439, 1641.3982925433354, 6.4806232349819473, 1924.3026344149116, 0.6765927250595003
2100-Jan-01 14:00:00, 3482.7413630525962, 1.1244132251578483, 1559.1949675146063, 6.1560653378560186, 1923.5463955379898, 0.67632682835833613
2100-Jan-01 15:00:00, 3406.7468727619898, 1.0998781819219672, 1483.9033736883719, 5.85879656734142, 1922.8434990736182, 0.67607968706893673
2100-Jan-01 16:00:00, 3347.5221473446945, 1.0807573062744051, 1425.3326025630784, 5.6275455041657434, 1922.189544781616, 0.67584975404874692
2100-Jan-01 17:00:00, 3312.218826209903, 1.0693595258945376, 1390.6429014719135, 5.4905824745785505, 1921.5759247379895, 0.67563400271626772
