Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1243.5601550060828, 1.3645425312234039, 259.68211925253092, 2.1378829441546627, 983.87803575355179, 1.2456177520255178
2100-Jan-01 01:00:00, 1247.9661257830128, 1.3693771461732684, 264.35775052361959, 2.1763759770072477, 983.60837525939314, 1.2452763541221825
2100-Jan-01 02:00:00, 1252.8626099536184, 1.3747499951483315, 269.54502752177291, 2.2190812316196125, 983.31758243184549, 1.2449082020799656
2100-Jan-01 03:00:00, 1258.2498569550048, 1.3806613518527133, 275.24482470618625, 2.2660059071451082, 983.00503224881845, 1.2445125046030123
2100-Jan-01 04:00:00, 1263.9794056823068, 1.3869483118293962, 281.30813234924051, 2.3159232523691844, 982.67127333306632, 1.2440899562634316
2100-Jan-01 05:00:00, 1269.9875809588589, 1.3935410051276629, 287.6696918501201, 2.3682960133213151, 982.31788910873877, 1.2436425617215146
2100-Jan-01 06:00:00, 1276.1407279474672, 1.4002927740171898, 294.19338968287502, 2.4220036092451709, 981.94733826459219, 1.243173433747595
2100-Jan-01 07:00:00, 1282.2064470495038, 1.4069486094135424, 300.64365738204646, 2.4751066774848449, 981.56278966745731, 1.2426865842177741
2100-Jan-01 08:00:00, 1287.5016549009408, 1.4127589727448751, 306.33369372527665, 2.5219509950097736, 981.16796117566412, 1.2421867200471035
2100-Jan-01 09:00:00, 1290.9048017545483, 1.416493201927961, 310.13783823206097, 2.5532693456207567, 980.76696352248723, 1.2416790455415585
2100-Jan-01 10:00:00, 1291.4483855163262, 1.4170896693841128, 311.08424733668869, 2.5610608404252515, 980.36413817963762, 1.2411690571285792
2100-Jan-01 11:00:00, 1288.3965459399785, 1.4137409251487552, 308.43267941898722, 2.5392312980492169, 979.96386652099125, 1.2406623017528879
2100-Jan-01 12:00:00, 1281.8578347183634, 1.4065660815954588, 302.28750463719308, 2.4886399658748548, 979.57033008117025, 1.2401640733569927
2100-Jan-01 13:00:00, 1272.5664843840123, 1.3963708026194637, 293.37926405378482, 2.4153011635710482, 979.18722033022755, 1.2396790454476312
2100-Jan-01 14:00:00, 1261.6314423681936, 1.3843719219451094, 282.81401943004454, 2.3283207571151427, 978.81742293814909, 1.2392108713655938
2100-Jan-01 15:00:00, 1250.5039666044522, 1.3721618861992242, 272.04124054216174, 2.2396317849523832, 978.46272606229036, 1.2387618149692701
2100-Jan-01 16:00:00, 1240.6264580849834, 1.3613234234010407, 262.50284761256546, 2.1611051323760506, 978.12361047241802, 1.2383324849269441
2100-Jan-01 17:00:00, 1233.2200718936674, 1.35319649128599, 255.4209009229545, 2.102801645471708, 977.79917097071291, 1.2379217352322702
2100-Jan-01 18:00:00, 1228.8776840095534, 1.3484316450249629, 251.39048532064592, 2.0696204745892759, 977.48719868890737, 1.2375267693948031
2100-Jan-01 19:00:00, 1227.4848111373783, 1.3469032635735159, 250.30038652342259, 2.060646026780796, 977.1844246139558, 1.2371434487504673
2100-Jan-01 20:00:00, 1228.3666589050595, 1.3478709037638366, 251.47976698264262, 2.0703555030269594, 976.88689192241679, 1.2367667638475413
2100-Jan-01 21:00:00, 1230.7518248091615, 1.3504881155706552, 254.16142788906083, 2.0924327917149133, 976.5903969201006, 1.2363913926888701
2100-Jan-01 22:00:00, 1233.9884214695376, 1.3540395913731886, 257.69749609121362, 2.1215441526376826, 976.290925378324, 1.2360122531460531
2100-Jan-01 23:00:00, 1237.7057907336198, 1.3581186127576248, 261.7207718599492, 2.1546665434683203, 975.9850188736707, 1.2356249667560644
2100-Jan-02 00:00:00, 1241.8738255080477, 1.3626921435984367, 266.20379462772667, 2.1915738898080512, 975.67003088032106, 1.2352261829414721
2100-Jan-02 01:00:00, 1246.5658555746882, 1.3678406477202003, 271.2215925965935, 2.2328838757467531, 975.34426297809478, 1.2348137514537194
2100-Jan-02 02:00:00, 1251.7280131878306, 1.3735050167397893, 276.7210147869452, 2.2781589256319754, 975.00699840088544, 1.2343867648464011
2100-Jan-02 03:00:00, 1257.2117432283451, 1.3795222430395437, 282.55327937163435, 2.3261741644835916, 974.65846385671068, 1.2339455101383563
2100-Jan-02 04:00:00, 1262.9412223966992, 1.3858091266900894, 288.64147443632987, 2.3762964001883984, 974.29974796036947, 1.2334913655470765
2100-Jan-02 05:00:00, 1268.7697726211097, 1.3922047197336289, 294.83707802371163, 2.4273028971945561, 973.93269459739804, 1.2330266654844233
2100-Jan-02 06:00:00, 1274.6712221478342, 1.3986803042420795, 301.11143916734204, 2.4789577809156405, 973.55978298049217, 1.2325545487046248
2100-Jan-02 07:00:00, 1280.5504163732348, 1.4051314682952112, 307.36641385152569, 2.5304530618842591, 973.18400252170909, 1.2320787998889029
2100-Jan-02 08:00:00, 1285.7641929434947, 1.4108524781311857, 312.95546449802708, 2.5764659952566653, 972.80872844546752, 1.2316036921679714
2100-Jan-02 09:00:00, 1289.300846597577, 1.4147332026058117, 316.86324547225536, 2.6086375529994239, 972.43760112532163, 1.2311338343589378
2100-Jan-02 10:00:00, 1290.2674688540851, 1.4157938647501582, 318.19306843669744, 2.6195855760770588, 972.07440041738778, 1.2306740118678257
2100-Jan-02 11:00:00, 1287.8041928558896, 1.4130909437437649, 316.08130004718203, 2.6022000370382328, 971.72289280870746, 1.2302289931750272
2100-Jan-02 12:00:00, 1282.0765758399975, 1.4068061034091168, 310.68994455848315, 2.5578146670391715, 971.3866312815145, 1.2298032764577371
2100-Jan-02 13:00:00, 1273.701841128071, 1.3976166149423679, 302.633137831478, 2.4914854575595435, 971.06870329659307, 1.2294007705296721
2100-Jan-02 14:00:00, 1262.8118359373746, 1.3856671525957907, 292.04038823438697, 2.4042786111255015, 970.77144770298753, 1.2290244364406604
2100-Jan-02 15:00:00, 1250.3981332923686, 1.3720457566698427, 279.90194821250651, 2.3043465712680069, 970.49618507986213, 1.2286759460817192
2100-Jan-02 16:00:00, 1238.6144756643466, 1.3591157010210813, 268.3714738812198, 2.2094197257777362, 970.24300178312694, 1.2283554087819022
2100-Jan-02 17:00:00, 1229.424355839855, 1.3490315009789073, 259.41373617707166, 2.1356734289166641, 970.01061966278337, 1.2280612063667302
2100-Jan-02 18:00:00, 1223.6963689196259, 1.3427462547529974, 253.89997119322936, 2.0902802992280911, 969.79639772639655, 1.2277899952641953
2100-Jan-02 19:00:00, 1221.451605253847, 1.3402831045128023, 251.85509702701356, 2.0734454797361725, 969.59650822683341, 1.2275369294368759
2100-Jan-02 20:00:00, 1222.1101009905221, 1.3410056633980363, 252.70381773855669, 2.0804327360739658, 969.40628325196553, 1.2272960991744211
2100-Jan-02 21:00:00, 1224.8905363356769, 1.3440565992683335, 255.66986098119651, 2.1048512569883706, 969.22067535448036, 1.2270611142640744
2100-Jan-02 22:00:00, 1229.0237927430733, 1.3485919682552214, 259.98904291304626, 2.1404097521646324, 969.03474983002707, 1.2268257272288954
2100-Jan-02 23:00:00, 1233.6815880668919, 1.3537029070349, 264.83745926249514, 2.1803252713751311, 968.84412880439686, 1.2265843955548406
2100-Jan-03 00:00:00, 1238.4335399181739, 1.3589171625586858, 269.78821076103503, 2.2210832843640187, 968.6453291571388, 1.2263327095117311
2100-Jan-03 01:00:00, 1243.2009226545097, 1.3641483501937692, 274.76495872095006, 2.2620553182163463, 968.43596393355949, 1.2260676471466103
2100-Jan-03 02:00:00, 1248.0848471765792, 1.3695074176283608, 279.87004084406948, 2.3040838877264109, 968.21480633250962, 1.225787655294112
