Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 964.17166839538891, 1.2051750646541364, null, null, 964.17166839538891, 1.2051750646541364
2100-Jan-01 01:00:00, 966.8363169183624, 1.2085057660854486, null, null, 966.8363169183624, 1.2085057660854486
2100-Jan-01 02:00:00, 969.86474917749456, 1.2122911822756737, null, null, 969.86474917749456, 1.2122911822756737
2100-Jan-01 03:00:00, 973.20992766131769, 1.2164725182635177, null, null, 973.20992766131769, 1.2164725182635177
2100-Jan-01 04:00:00, 976.86927589672484, 1.2210465535632049, null, null, 976.86927589672484, 1.2210465535632049
2100-Jan-01 05:00:00, 980.84871249412799, 1.2260206861951499, null, null, 980.84871249412799, 1.2260206861951499
2100-Jan-01 06:00:00, 985.05700100197657, 1.2312808743346439, null, null, 985.05700100197657, 1.2312808743346439
2100-Jan-01 07:00:00, 989.40039835030075, 1.2367099429866992, null, null, 989.40039835030075, 1.2367099429866992
2100-Jan-01 08:00:00, 993.48268990129952, 1.2418126400946736, null, null, 993.48268990129952, 1.2418126400946736
2100-Jan-01 09:00:00, 996.40974373190318, 1.2454713374046813, null, null, 996.40974373190318, 1.2454713374046813
2100-Jan-01 10:00:00, 997.51148508010556, 1.2468484689301924, null, null, 997.51148508010556, 1.2468484689301924
2100-Jan-01 11:00:00, 996.14173629535117, 1.2451363390944614, null, null, 996.14173629535117, 1.2451363390944614
2100-Jan-01 12:00:00, 992.49401247344099, 1.2405768338351675, null, null, 992.49401247344099, 1.2405768338351675
2100-Jan-01 13:00:00, 987.17421207203631, 1.2339273013889591, null, null, 987.17421207203631, 1.2339273013889591
2100-Jan-01 14:00:00, 980.89363942355419, 1.2260768430154037, null, null, 980.89363942355419, 1.2260768430154037
2100-Jan-01 15:00:00, 974.54431416898888, 1.218140446702374, null, null, 974.54431416898888, 1.218140446702374
2100-Jan-01 16:00:00, 968.8788716347849, 1.211058875757838, null, null, 968.8788716347849, 1.211058875757838
2100-Jan-01 17:00:00, 964.46494710588377, 1.20554165102093, null, null, 964.46494710588377, 1.20554165102093
2100-Jan-01 18:00:00, 961.55841858437861, 1.2019086095059748, null, null, 961.55841858437861, 1.2019086095059748
2100-Jan-01 19:00:00, 960.0874989746593, 1.2000700202859713, null, null, 960.0874989746593, 1.2000700202859713
2100-Jan-01 20:00:00, 959.74821366728406, 1.1996459275588611, null, null, 959.74821366728406, 1.1996459275588611
2100-Jan-01 21:00:00, 960.24244934790863, 1.2002637019012066, null, null, 960.24244934790863, 1.2002637019012066
2100-Jan-01 22:00:00, 961.33152706187104, 1.2016250044029928, null, null, 961.33152706187104, 1.2016250044029928
2100-Jan-01 23:00:00, 962.92421904715184, 1.2036158041010687, null, null, 962.92421904715184, 1.2036158041010687
2100-Jan-02 00:00:00, 965.04849457767637, 1.2062710614413967, null, null, 965.04849457767637, 1.2062710614413967
2100-Jan-02 01:00:00, 967.70942532226843, 1.2095971158021217, null, null, 967.70942532226843, 1.2095971158021217
2100-Jan-02 02:00:00, 970.84992445327464, 1.213522610988633, null, null, 970.84992445327464, 1.213522610988633
2100-Jan-02 03:00:00, 974.43457782989833, 1.21800328077654, null, null, 974.43457782989833, 1.21800328077654
2100-Jan-02 04:00:00, 978.4158851347064, 1.2229797517160619, null, null, 978.4158851347064, 1.2229797517160619
2100-Jan-02 05:00:00, 982.72614690083162, 1.2283674022485769, null, null, 982.72614690083162, 1.2283674022485769
2100-Jan-02 06:00:00, 987.36524153950859, 1.2341660803931118, null, null, 987.36524153950859, 1.2341660803931118
2100-Jan-02 07:00:00, 992.21378388531241, 1.2402265595864148, null, null, 992.21378388531241, 1.2402265595864148
2100-Jan-02 08:00:00, 996.91218853349619, 1.2460993728117502, null, null, 996.91218853349619, 1.2460993728117502
2100-Jan-02 09:00:00, 1000.6602000861265, 1.2507842336237081, null, null, 1000.6602000861265, 1.2507842336237081
2100-Jan-02 10:00:00, 1002.7647305442795, 1.2534148104329108, null, null, 1002.7647305442795, 1.2534148104329108
2100-Jan-02 11:00:00, 1002.3437465507984, 1.2528885976969504, null, null, 1002.3437465507984, 1.2528885976969504
2100-Jan-02 12:00:00, 999.72661622746648, 1.2496172920674466, null, null, 999.72661622746648, 1.2496172920674466
