Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 2497.6249531638173, 0.51028479216203448, null, null, 2497.6249531638173, 0.51028479216203448
2100-Jan-01 01:00:00, 2499.4093385356127, 0.51064935639231668, null, null, 2499.4093385356127, 0.51064935639231668
2100-Jan-01 02:00:00, 2501.5722404752842, 0.51109125459058458, null, null, 2501.5722404752842, 0.51109125459058458
2100-Jan-01 03:00:00, 2504.0649171707487, 0.5116005284140468, null, null, 2504.0649171707487, 0.5116005284140468
2100-Jan-01 04:00:00, 2506.8730583937613, 0.51217425416840046, null, null, 2506.8730583937613, 0.51217425416840046
2100-Jan-01 05:00:00, 2509.9974607562817, 0.51281259460785267, null, null, 2509.9974607562817, 0.51281259460785267
2100-Jan-01 06:00:00, 2513.3953613879112, 0.51350681293530887, null, null, 2513.3953613879112, 0.51350681293530887
2100-Jan-01 07:00:00, 2517.0040940144463, 0.51424410592878544, null, null, 2517.0040940144463, 0.51424410592878544
2100-Jan-01 08:00:00, 2520.6270680666253, 0.51498430855964183, null, null, 2520.6270680666253, 0.51498430855964183
2100-Jan-01 09:00:00, 2523.7617491912629, 0.51562474903256139, null, null, 2523.7617491912629, 0.51562474903256139
2100-Jan-01 10:00:00, 2525.8410530571609, 0.51604956747446062, null, null, 2525.8410530571609, 0.51604956747446062
2100-Jan-01 11:00:00, 2526.2918115559683, 0.51614166104783232, null, null, 2526.2918115559683, 0.51614166104783232
2100-Jan-01 12:00:00, 2524.9223917192458, 0.51586187760161095, null, null, 2524.9223917192458, 0.51586187760161095
2100-Jan-01 13:00:00, 2521.9257407583809, 0.51524963779722799, null, null, 2521.9257407583809, 0.51524963779722799
2100-Jan-01 14:00:00, 2517.7145877245985, 0.51438926548717234, null, null, 2517.7145877245985, 0.51438926548717234
2100-Jan-01 15:00:00, 2512.8872505608065, 0.5134030018216843, null, null, 2512.8872505608065, 0.5134030018216843
2100-Jan-01 16:00:00, 2508.0714195527908, 0.51241908895602373, null, null, 2508.0714195527908, 0.51241908895602373
2100-Jan-01 17:00:00, 2503.8239514910661, 0.51155129719475612, null, null, 2503.8239514910661, 0.51155129719475612
2100-Jan-01 18:00:00, 2500.5261273762235, 0.51087752530162311, null, null, 2500.5261273762235, 0.51087752530162311
2100-Jan-01 19:00:00, 2498.3193010486812, 0.51042665299893364, null, null, 2498.3193010486812, 0.51042665299893364
2100-Jan-01 20:00:00, 2497.1230614250594, 0.51018225165799469, null, null, 2497.1230614250594, 0.51018225165799469
2100-Jan-01 21:00:00, 2496.7608414878855, 0.51010824722225123, null, null, 2496.7608414878855, 0.51010824722225123
2100-Jan-01 22:00:00, 2497.046518391021, 0.5101666133027779, null, null, 2497.046518391021, 0.5101666133027779
2100-Jan-01 23:00:00, 2497.8638752282686, 0.51033360585435728, null, null, 2497.8638752282686, 0.51033360585435728
2100-Jan-02 00:00:00, 2499.185656322662, 0.51060365632377702, null, null, 2499.185656322662, 0.51060365632377702
2100-Jan-02 01:00:00, 2501.0088034418272, 0.51097613988965651, null, null, 2501.0088034418272, 0.51097613988965651
2100-Jan-02 02:00:00, 2503.3063734840453, 0.5114455518604113, null, null, 2503.3063734840453, 0.5114455518604113
2100-Jan-02 03:00:00, 2506.0537799350172, 0.51200686901415082, null, null, 2506.0537799350172, 0.51200686901415082
2100-Jan-02 04:00:00, 2509.2171006655658, 0.51265316078805589, null, null, 2509.2171006655658, 0.51265316078805589
2100-Jan-02 05:00:00, 2512.7503683876107, 0.51337503569682186, null, null, 2512.7503683876107, 0.51337503569682186
2100-Jan-02 06:00:00, 2516.6357917333835, 0.5141688588214457, null, null, 2516.6357917333835, 0.5141688588214457
2100-Jan-02 07:00:00, 2520.8082438237739, 0.51502132421864388, null, null, 2520.8082438237739, 0.51502132421864388
2100-Jan-02 08:00:00, 2525.0169159336688, 0.51588118965606899, null, null, 2525.0169159336688, 0.51588118965606899
2100-Jan-02 09:00:00, 2528.7886961546897, 0.51665179457964905, null, null, 2528.7886961546897, 0.51665179457964905
2100-Jan-02 10:00:00, 2531.6087228190281, 0.51722794862490729, null, null, 2531.6087228190281, 0.51722794862490729
2100-Jan-02 11:00:00, 2532.8448009177828, 0.51748048928555379, null, null, 2532.8448009177828, 0.51748048928555379
2100-Jan-02 12:00:00, 2532.3380327630916, 0.51737695249066251, null, null, 2532.3380327630916, 0.51737695249066251
2100-Jan-02 13:00:00, 2530.2493706197733, 0.5169502220776957, null, null, 2530.2493706197733, 0.5169502220776957
2100-Jan-02 14:00:00, 2526.2204673842357, 0.51612708486184466, null, null, 2526.2204673842357, 0.51612708486184466
2100-Jan-02 15:00:00, 2520.5544121065941, 0.51496946436479307, null, null, 2520.5544121065941, 0.51496946436479307
2100-Jan-02 16:00:00, 2514.3650197825618, 0.51370492191550454, null, null, 2514.3650197825618, 0.51370492191550454
2100-Jan-02 17:00:00, 2508.7356428076014, 0.51255479508960511, null, null, 2508.7356428076014, 0.51255479508960511
2100-Jan-02 18:00:00, 2504.3051964158894, 0.5116496193892599, null, null, 2504.3051964158894, 0.5116496193892599
2100-Jan-02 19:00:00, 2501.3161636382233, 0.51103893604075123, null, null, 2501.3161636382233, 0.51103893604075123
