Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 2637.2595528686461, 0.54283424201183006, null, null, 2637.2595528686461, 0.54283424201183006
2100-Jan-01 01:00:00, 2638.0589947778262, 0.54299879329474432, null, null, 2638.0589947778262, 0.54299879329474432
2100-Jan-01 02:00:00, 2639.9528686989597, 0.54338861446851772, null, null, 2639.9528686989597, 0.54338861446851772
2100-Jan-01 03:00:00, 2642.8899677683848, 0.54399316548638432, null, null, 2642.8899677683848, 0.54399316548638432
2100-Jan-01 04:00:00, 2646.7772395829588, 0.54479329312139957, null, null, 2646.7772395829588, 0.54479329312139957
2100-Jan-01 05:00:00, 2651.5299680505013, 0.54577156003197358, null, null, 2651.5299680505013, 0.54577156003197358
2100-Jan-01 06:00:00, 2657.0380868182388, 0.54690531096405137, null, null, 2657.0380868182388, 0.54690531096405137
2100-Jan-01 07:00:00, 2663.1433569153965, 0.54816197516377452, null, null, 2663.1433569153965, 0.54816197516377452
2100-Jan-01 08:00:00, 2669.4974559732541, 0.54946985649915103, null, null, 2669.4974559732541, 0.54946985649915103
2100-Jan-01 09:00:00, 2675.4880567889059, 0.5507029180115921, null, null, 2675.4880567889059, 0.5507029180115921
2100-Jan-01 10:00:00, 2680.4103321449757, 0.55171608321521382, null, null, 2680.4103321449757, 0.55171608321521382
2100-Jan-01 11:00:00, 2683.5454837408829, 0.55236139991842015, null, null, 2683.5454837408829, 0.55236139991842015
2100-Jan-01 12:00:00, 2684.433299810878, 0.55254414149305109, null, null, 2684.433299810878, 0.55254414149305109
2100-Jan-01 13:00:00, 2682.9474738434942, 0.55223830992941569, null, null, 2682.9474738434942, 0.55223830992941569
2100-Jan-01 14:00:00, 2679.2639673487374, 0.55148012385939005, null, null, 2679.2639673487374, 0.55148012385939005
2100-Jan-01 15:00:00, 2673.8946130567315, 0.550374935193366, null, null, 2673.8946130567315, 0.550374935193366
2100-Jan-01 16:00:00, 2667.5759110475769, 0.54907433972793029, null, null, 2667.5759110475769, 0.54907433972793029
2100-Jan-01 17:00:00, 2661.1519627349712, 0.54775208113218332, null, null, 2661.1519627349712, 0.54775208113218332
2100-Jan-01 18:00:00, 2655.367771667009, 0.54656150549444849, null, null, 2655.367771667009, 0.54656150549444849
2100-Jan-01 19:00:00, 2650.718121178787, 0.54560445540218561, null, null, 2650.718121178787, 0.54560445540218561
2100-Jan-01 20:00:00, 2647.3989822094486, 0.54492126808200214, null, null, 2647.3989822094486, 0.54492126808200214
2100-Jan-01 21:00:00, 2645.4072871895173, 0.54451131212780446, null, null, 2645.4072871895173, 0.54451131212780446
2100-Jan-01 22:00:00, 2644.6283744086199, 0.54435098641069712, null, null, 2644.6283744086199, 0.54435098641069712
2100-Jan-01 23:00:00, 2644.9305150991395, 0.54441317684339108, null, null, 2644.9305150991395, 0.54441317684339108
2100-Jan-02 00:00:00, 2646.2454269939421, 0.54468382870279985, null, null, 2646.2454269939421, 0.54468382870279985
2100-Jan-02 01:00:00, 2648.5449915144804, 0.54515715426611278, null, null, 2648.5449915144804, 0.54515715426611278
2100-Jan-02 02:00:00, 2651.7754162441943, 0.54582208129524157, null, null, 2651.7754162441943, 0.54582208129524157
2100-Jan-02 03:00:00, 2655.8475877981232, 0.54666026734197126, null, null, 2655.8475877981232, 0.54666026734197126
2100-Jan-02 04:00:00, 2660.6800163350485, 0.54765493913264307, null, null, 2660.6800163350485, 0.54765493913264307
2100-Jan-02 05:00:00, 2666.1646935840186, 0.54878386503373067, null, null, 2666.1646935840186, 0.54878386503373067
2100-Jan-02 06:00:00, 2672.217452846076, 0.55002972078673196, null, null, 2672.217452846076, 0.55002972078673196
2100-Jan-02 07:00:00, 2678.7386934001702, 0.55137200530677777, null, null, 2678.7386934001702, 0.55137200530677777
2100-Jan-02 08:00:00, 2685.4199326158687, 0.55274722278258837, null, null, 2685.4199326158687, 0.55274722278258837
2100-Jan-02 09:00:00, 2691.7202075619639, 0.55404402535596786, null, null, 2691.7202075619639, 0.55404402535596786
2100-Jan-02 10:00:00, 2697.0084915686948, 0.55513252710666383, null, null, 2697.0084915686948, 0.55513252710666383
2100-Jan-02 11:00:00, 2700.5671675721878, 0.55586501898021512, null, null, 2700.5671675721878, 0.55586501898021512
2100-Jan-02 12:00:00, 2701.9806466732539, 0.55615595919335881, null, null, 2701.9806466732539, 0.55615595919335881
2100-Jan-02 13:00:00, 2701.1107349081776, 0.55597690291006696, null, null, 2701.1107349081776, 0.55597690291006696
2100-Jan-02 14:00:00, 2697.7722000827489, 0.55528972328854642, null, null, 2697.7722000827489, 0.55528972328854642
2100-Jan-02 15:00:00, 2692.1663860668964, 0.5541358634802297, null, null, 2692.1663860668964, 0.5541358634802297
2100-Jan-02 16:00:00, 2685.1263934859971, 0.55268680283230653, null, null, 2685.1263934859971, 0.55268680283230653
2100-Jan-02 17:00:00, 2677.7181529191735, 0.55116194470889635, null, null, 2677.7181529191735, 0.55116194470889635
2100-Jan-02 18:00:00, 2670.8405546258541, 0.5497463101148895, null, null, 2670.8405546258541, 0.5497463101148895
2100-Jan-02 19:00:00, 2665.13049845674, 0.54857099386320141, null, null, 2665.13049845674, 0.54857099386320141
2100-Jan-02 20:00:00, 2660.9225533640983, 0.54770486118304607, null, null, 2660.9225533640983, 0.54770486118304607
2100-Jan-02 21:00:00, 2658.3113326398443, 0.54716738658331077, null, null, 2658.3113326398443, 0.54716738658331077
2100-Jan-02 22:00:00, 2657.2255021470237, 0.54694388716631848, null, null, 2657.2255021470237, 0.54694388716631848
2100-Jan-02 23:00:00, 2657.4261139902046, 0.54698517964271243, null, null, 2657.4261139902046, 0.54698517964271243
2100-Jan-03 00:00:00, 2658.6722207961238, 0.54724166916522499, null, null, 2658.6722207961238, 0.54724166916522499
2100-Jan-03 01:00:00, 2660.8034762351567, 0.5476803512166456, null, null, 2660.8034762351567, 0.5476803512166456
2100-Jan-03 02:00:00, 2663.7317468778356, 0.54828308505563961, null, null, 2663.7317468778356, 0.54828308505563961
2100-Jan-03 03:00:00, 2667.3781739141041, 0.54903363896078372, null, null, 2667.3781739141041, 0.54903363896078372
2100-Jan-03 04:00:00, 2671.6392834253634, 0.54991071461651808, null, null, 2671.6392834253634, 0.54991071461651808
2100-Jan-03 05:00:00, 2676.4062812474731, 0.55089191862680298, null, null, 2676.4062812474731, 0.55089191862680298
2100-Jan-03 06:00:00, 2681.5339554103093, 0.55194736162043601, null, null, 2681.5339554103093, 0.55194736162043601
2100-Jan-03 07:00:00, 2686.9510858864578, 0.55306238418721387, null, null, 2686.9510858864578, 0.55306238418721387
2100-Jan-03 08:00:00, 2692.5033337648838, 0.55420521833308656, null, null, 2692.5033337648838, 0.55420521833308656
2100-Jan-03 09:00:00, 2697.8241792868603, 0.55530042230822907, null, null, 2697.8241792868603, 0.55530042230822907
2100-Jan-03 10:00:00, 2702.3895896514391, 0.55624013302878872, null, null, 2702.3895896514391, 0.55624013302878872
2100-Jan-03 11:00:00, 2705.6570154179472, 0.55691267608105033, null, null, 2705.6570154179472, 0.55691267608105033
2100-Jan-03 12:00:00, 2707.1530925154043, 0.5572206176624187, null, null, 2707.1530925154043, 0.5572206176624187
2100-Jan-03 13:00:00, 2706.5624764171621, 0.55709904955902123, null, null, 2706.5624764171621, 0.55709904955902123
2100-Jan-03 14:00:00, 2703.8039746135905, 0.55653125969776118, null, null, 2703.8039746135905, 0.55653125969776118
2100-Jan-03 15:00:00, 2699.1071396290322, 0.55556449749344039, null, null, 2699.1071396290322, 0.55556449749344039
2100-Jan-03 16:00:00, 2693.0120259831492, 0.5543099238234579, null, null, 2693.0120259831492, 0.5543099238234579
2100-Jan-03 17:00:00, 2686.3287892477779, 0.55293429519278903, null, null, 2686.3287892477779, 0.55293429519278903
2100-Jan-03 18:00:00, 2679.8957173981953, 0.55161015867483532, null, null, 2679.8957173981953, 0.55161015867483532
2100-Jan-03 19:00:00, 2674.3296216846393, 0.5504644741917335, null, null, 2674.3296216846393, 0.5504644741917335
2100-Jan-03 20:00:00, 2669.9552409554763, 0.54956408361591647, null, null, 2669.9552409554763, 0.54956408361591647
2100-Jan-03 21:00:00, 2666.8227283529777, 0.54891931010383643, null, null, 2666.8227283529777, 0.54891931010383643
2100-Jan-03 22:00:00, 2664.955783979322, 0.54853503191140396, null, null, 2664.955783979322, 0.54853503191140396
2100-Jan-03 23:00:00, 2664.3822735268036, 0.54841698470917088, null, null, 2664.3822735268036, 0.54841698470917088
2100-Jan-04 00:00:00, 2665.0656426182541, 0.54855764441115895, null, null, 2665.0656426182541, 0.54855764441115895
2100-Jan-04 01:00:00, 2666.8203922680391, 0.54891882926117708, null, null, 2666.8203922680391, 0.54891882926117708
2100-Jan-04 02:00:00, 2669.4849040209565, 0.54946727289697816, null, null, 2669.4849040209565, 0.54946727289697816
2100-Jan-04 03:00:00, 2672.9480447647861, 0.55018010049053534, null, null, 2672.9480447647861, 0.55018010049053534
2100-Jan-04 04:00:00, 2677.1576509055162, 0.55104657506869581, null, null, 2677.1576509055162, 0.55104657506869581
2100-Jan-04 05:00:00, 2682.0782813796859, 0.55205940170184264, null, null, 2682.0782813796859, 0.55205940170184264
2100-Jan-04 06:00:00, 2687.6419201313997, 0.55320458046186616, null, null, 2687.6419201313997, 0.55320458046186616
2100-Jan-04 07:00:00, 2693.6455693250073, 0.55444032775711127, null, null, 2693.6455693250073, 0.55444032775711127
2100-Jan-04 08:00:00, 2699.8985187155408, 0.55572738918383224, null, null, 2699.8985187155408, 0.55572738918383224
2100-Jan-04 09:00:00, 2706.1641637723255, 0.55701706379375648, null, null, 2706.1641637723255, 0.55701706379375648
2100-Jan-04 10:00:00, 2712.1094072902551, 0.55824078929135523, null, null, 2712.1094072902551, 0.55824078929135523
2100-Jan-04 11:00:00, 2717.2135320453403, 0.55929138504691767, null, null, 2717.2135320453403, 0.55929138504691767
2100-Jan-04 12:00:00, 2721.0526150031778, 0.56008159383966671, null, null, 2721.0526150031778, 0.56008159383966671
2100-Jan-04 13:00:00, 2723.4409947271902, 0.56057320047569559, null, null, 2723.4409947271902, 0.56057320047569559
2100-Jan-04 14:00:00, 2724.4110224736405, 0.56077286390127767, null, null, 2724.4110224736405, 0.56077286390127767
2100-Jan-04 15:00:00, 2724.165104199004, 0.5607222458799821, null, null, 2724.165104199004, 0.5607222458799821
2100-Jan-04 16:00:00, 2723.0591876780381, 0.56049461210167839, null, null, 2723.0591876780381, 0.56049461210167839
2100-Jan-04 17:00:00, 2721.4980720009503, 0.56017328345416517, null, null, 2721.4980720009503, 0.56017328345416517
