Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1531.092413763741, 0.541351472178497, null, null, 1531.092413763741, 0.541351472178497
2100-Jan-01 01:00:00, 1531.5563809400783, 0.54151551800074438, null, null, 1531.5563809400783, 0.54151551800074438
2100-Jan-01 02:00:00, 1532.6573526296663, 0.54190479080990173, null, null, 1532.6573526296663, 0.54190479080990173
2100-Jan-01 03:00:00, 1534.3655144451905, 0.54250874907214663, null, null, 1534.3655144451905, 0.54250874907214663
2100-Jan-01 04:00:00, 1536.6267022029244, 0.54330824184640203, null, null, 1536.6267022029244, 0.54330824184640203
2100-Jan-01 05:00:00, 1539.3916081140378, 0.54428583527705376, null, null, 1539.3916081140378, 0.54428583527705376
2100-Jan-01 06:00:00, 1542.5961673123672, 0.54541887781851239, null, null, 1542.5961673123672, 0.54541887781851239
2100-Jan-01 07:00:00, 1546.1482758010686, 0.54667480407247981, null, null, 1546.1482758010686, 0.54667480407247981
2100-Jan-01 08:00:00, 1549.8451886565804, 0.547981929102201, null, null, 1549.8451886565804, 0.547981929102201
2100-Jan-01 09:00:00, 1553.3304917880675, 0.54921423484956011, null, null, 1553.3304917880675, 0.54921423484956011
2100-Jan-01 10:00:00, 1556.19392698358, 0.55022666548055499, null, null, 1556.19392698358, 0.55022666548055499
2100-Jan-01 11:00:00, 1558.0171025080986, 0.55087128937481866, null, null, 1558.0171025080986, 0.55087128937481866
2100-Jan-01 12:00:00, 1558.5321462449861, 0.55105339444090995, null, null, 1558.5321462449861, 0.55105339444090995
2100-Jan-01 13:00:00, 1557.6655436885387, 0.55074698800488486, null, null, 1557.6655436885387, 0.55074698800488486
2100-Jan-01 14:00:00, 1555.5197234061295, 0.54998828594453231, null, null, 1555.5197234061295, 0.54998828594453231
2100-Jan-01 15:00:00, 1552.3926178624745, 0.54888262884996564, null, null, 1552.3926178624745, 0.54888262884996564
2100-Jan-01 16:00:00, 1548.7129350853013, 0.54758159589423705, null, null, 1548.7129350853013, 0.54758159589423705
2100-Jan-01 17:00:00, 1544.972020082794, 0.54625891293552287, null, null, 1544.972020082794, 0.54625891293552287
2100-Jan-01 18:00:00, 1541.6035342286, 0.54506791051150993, null, null, 1541.6035342286, 0.54506791051150993
2100-Jan-01 19:00:00, 1538.8954824277478, 0.54411041910475466, null, null, 1538.8954824277478, 0.54411041910475466
2100-Jan-01 20:00:00, 1536.9619261550545, 0.54342676766389264, null, null, 1536.9619261550545, 0.54342676766389264
