Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 2058.369987288102, 0.72373135803734567, null, null, 2058.369987288102, 0.72373135803734567
2100-Jan-01 01:00:00, 2062.7575660185275, 0.72527404877451984, null, null, 2062.7575660185275, 0.72527404877451984
2100-Jan-01 02:00:00, 2068.7512948393551, 0.7273814684930322, null, null, 2068.7512948393551, 0.7273814684930322
2100-Jan-01 03:00:00, 2076.2585827701128, 0.73002106182312299, null, null, 2076.2585827701128, 0.73002106182312299
2100-Jan-01 04:00:00, 2085.0131963100257, 0.73309921997032801, null, null, 2085.0131963100257, 0.73309921997032801
2100-Jan-01 05:00:00, 2094.8881819299868, 0.73657130555138028, null, null, 2094.8881819299868, 0.73657130555138028
2100-Jan-01 06:00:00, 2105.6320226838147, 0.74034888417297173, null, null, 2105.6320226838147, 0.74034888417297173
2100-Jan-01 07:00:00, 2116.8574590701178, 0.74429579380078092, null, null, 2116.8574590701178, 0.74429579380078092
2100-Jan-01 08:00:00, 2127.4939278791644, 0.74803562000473522, null, null, 2127.4939278791644, 0.74803562000473522
2100-Jan-01 09:00:00, 2135.8296092858832, 0.75096647988993959, null, null, 2135.8296092858832, 0.75096647988993959
2100-Jan-01 10:00:00, 2140.4050192965124, 0.75257521287818774, null, null, 2140.4050192965124, 0.75257521287818774
2100-Jan-01 11:00:00, 2139.9350296197736, 0.75240996257376702, null, null, 2139.9350296197736, 0.75240996257376702
2100-Jan-01 12:00:00, 2134.2875750225712, 0.75042429429725255, null, null, 2134.2875750225712, 0.75042429429725255
2100-Jan-01 13:00:00, 2124.1285518777986, 0.74685233995361877, null, null, 2124.1285518777986, 0.74685233995361877
2100-Jan-01 14:00:00, 2110.6155039155033, 0.74210109668181967, null, null, 2110.6155039155033, 0.74210109668181967
2100-Jan-01 15:00:00, 2095.5775422587067, 0.73681368747978127, null, null, 2095.5775422587067, 0.73681368747978127
2100-Jan-01 16:00:00, 2080.9466474542419, 0.73166940465816488, null, null, 2080.9466474542419, 0.73166940465816488
2100-Jan-01 17:00:00, 2068.5311887487624, 0.72730407828580967, null, null, 2068.5311887487624, 0.72730407828580967
2100-Jan-01 18:00:00, 2059.4235372714638, 0.72410179054701473, null, null, 2059.4235372714638, 0.72410179054701473
2100-Jan-01 19:00:00, 2053.8684329699749, 0.72214859301450873, null, null, 2053.8684329699749, 0.72214859301450873
2100-Jan-01 20:00:00, 2051.4149812907194, 0.72128594930775414, null, null, 2051.4149812907194, 0.72128594930775414
2100-Jan-01 21:00:00, 2051.4630500347921, 0.72130285047598031, null, null, 2051.4630500347921, 0.72130285047598031
