Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 2600.4331073319513, 0.63610954558488253, null, null, 2600.4331073319513, 0.63610954558488253
2100-Jan-01 01:00:00, 2605.859383707053, 0.6374369037812736, null, null, 2605.859383707053, 0.6374369037812736
2100-Jan-01 02:00:00, 2613.2704666170398, 0.63924977893998147, null, null, 2613.2704666170398, 0.63924977893998147
2100-Jan-01 03:00:00, 2622.5518968679289, 0.64152017242275339, null, null, 2622.5518968679289, 0.64152017242275339
2100-Jan-01 04:00:00, 2633.3745564422584, 0.64416757644342826, null, null, 2633.3745564422584, 0.64416757644342826
2100-Jan-01 05:00:00, 2645.5815595352283, 0.64715361410328154, null, null, 2645.5815595352283, 0.64715361410328154
2100-Jan-01 06:00:00, 2658.8620325886795, 0.65040224051684481, null, null, 2658.8620325886795, 0.65040224051684481
2100-Jan-01 07:00:00, 2672.7373126493894, 0.65379636669890107, null, null, 2672.7373126493894, 0.65379636669890107
2100-Jan-01 08:00:00, 2685.8840349663124, 0.65701227543939877, null, null, 2685.8840349663124, 0.65701227543939877
2100-Jan-01 09:00:00, 2696.1862526914683, 0.65953237065630255, null, null, 2696.1862526914683, 0.65953237065630255
2100-Jan-01 10:00:00, 2701.8402343441303, 0.66091542938205083, null, null, 2701.8402343441303, 0.66091542938205083
2100-Jan-01 11:00:00, 2701.2578653500896, 0.66077297216016817, null, null, 2701.2578653500896, 0.66077297216016817
2100-Jan-01 12:00:00, 2694.2765029908446, 0.65906521385429928, null, null, 2694.2765029908446, 0.65906521385429928
2100-Jan-01 13:00:00, 2681.719745281986, 0.65599362035024766, null, null, 2681.719745281986, 0.65599362035024766
2100-Jan-01 14:00:00, 2665.0186711099777, 0.65190825754188242, null, null, 2665.0186711099777, 0.65190825754188242
2100-Jan-01 15:00:00, 2646.4342982715689, 0.64736220829805113, null, null, 2646.4342982715689, 0.64736220829805113
2100-Jan-01 16:00:00, 2628.3544806127848, 0.64293958171221044, null, null, 2628.3544806127848, 0.64293958171221044
2100-Jan-01 17:00:00, 2613.0140348683631, 0.63918705143406551, null, null, 2613.0140348683631, 0.63918705143406551
2100-Jan-01 18:00:00, 2601.7625924385784, 0.63643475993654341, null, null, 2601.7625924385784, 0.63643475993654341
2100-Jan-01 19:00:00, 2594.9020974982159, 0.63475656782819923, null, null, 2594.9020974982159, 0.63475656782819923
2100-Jan-01 20:00:00, 2591.8748232952653, 0.63401604579278503, null, null, 2591.8748232952653, 0.63401604579278503
2100-Jan-01 21:00:00, 2591.9388087655148, 0.63403169771180179, null, null, 2591.9388087655148, 0.63403169771180179
2100-Jan-01 22:00:00, 2594.3570419362036, 0.6346232380975122, null, null, 2594.3570419362036, 0.6346232380975122
2100-Jan-01 23:00:00, 2598.6570420309768, 0.63567509022883173, null, null, 2598.6570420309768, 0.63567509022883173
2100-Jan-02 00:00:00, 2604.7846292779432, 0.63717400082499731, null, null, 2604.7846292779432, 0.63717400082499731
2100-Jan-02 01:00:00, 2612.7508211499653, 0.63912266494462666, null, null, 2612.7508211499653, 0.63912266494462666
2100-Jan-02 02:00:00, 2622.3497532363417, 0.64147072470065314, null, null, 2622.3497532363417, 0.64147072470065314
2100-Jan-02 03:00:00, 2633.2785939031105, 0.64414410239712483, null, null, 2633.2785939031105, 0.64414410239712483
2100-Jan-02 04:00:00, 2645.3855298604358, 0.64710566195754016, null, null, 2645.3855298604358, 0.64710566195754016
2100-Jan-02 05:00:00, 2658.3576385546207, 0.65027885727776202, null, null, 2658.3576385546207, 0.65027885727776202
2100-Jan-02 06:00:00, 2672.0989216969065, 0.65364020556653257, null, null, 2672.0989216969065, 0.65364020556653257
2100-Jan-02 07:00:00, 2686.3654944100681, 0.65713004849309564, null, null, 2686.3654944100681, 0.65713004849309564
2100-Jan-02 08:00:00, 2699.8847129326218, 0.66043707605200397, null, null, 2699.8847129326218, 0.66043707605200397
2100-Jan-02 09:00:00, 2710.8074339058298, 0.66310895676880754, null, null, 2710.8074339058298, 0.66310895676880754
2100-Jan-02 10:00:00, 2717.4986528464324, 0.66474574112896467, null, null, 2717.4986528464324, 0.66474574112896467
2100-Jan-02 11:00:00, 2718.1501696753326, 0.66490511307081701, null, null, 2718.1501696753326, 0.66490511307081701
2100-Jan-02 12:00:00, 2712.8155600955047, 0.66360017810974092, null, null, 2712.8155600955047, 0.66360017810974092
2100-Jan-02 13:00:00, 2702.0998882950271, 0.66097894509266397, null, null, 2702.0998882950271, 0.66097894509266397
