Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 2461.5602606214816, 0.60213891847434275, null, null, 2461.5602606214816, 0.60213891847434275
2100-Jan-01 01:00:00, 2467.1468822369916, 0.60350549980542068, null, null, 2467.1468822369916, 0.60350549980542068
2100-Jan-01 02:00:00, 2475.4437217986742, 0.60553504589468254, null, null, 2475.4437217986742, 0.60553504589468254
2100-Jan-01 03:00:00, 2486.271720842622, 0.6081837560391653, null, null, 2486.271720842622, 0.6081837560391653
2100-Jan-01 04:00:00, 2499.2277279693353, 0.61135301264597108, null, null, 2499.2277279693353, 0.61135301264597108
2100-Jan-01 05:00:00, 2514.0816961994415, 0.61498654236621042, null, null, 2514.0816961994415, 0.61498654236621042
2100-Jan-01 06:00:00, 2530.4430088435597, 0.61898879380727923, null, null, 2530.4430088435597, 0.61898879380727923
2100-Jan-01 07:00:00, 2547.7397342153845, 0.62321986288779352, null, null, 2547.7397342153845, 0.62321986288779352
2100-Jan-01 08:00:00, 2564.5022677504012, 0.62732025968698324, null, null, 2564.5022677504012, 0.62732025968698324
2100-Jan-01 09:00:00, 2578.3879239913558, 0.63071692405672886, null, null, 2578.3879239913558, 0.63071692405672886
2100-Jan-01 10:00:00, 2587.302455162172, 0.6328975678718618, null, null, 2587.302455162172, 0.6328975678718618
2100-Jan-01 11:00:00, 2589.3224642278446, 0.63339169596353218, null, null, 2589.3224642278446, 0.63339169596353218
2100-Jan-01 12:00:00, 2583.9973700028281, 0.6320890886178091, null, null, 2583.9973700028281, 0.6320890886178091
2100-Jan-01 13:00:00, 2571.9629311337389, 0.62914526306090424, null, null, 2571.9629311337389, 0.62914526306090424
2100-Jan-01 14:00:00, 2554.6018555126038, 0.62489845283029777, null, null, 2554.6018555126038, 0.62489845283029777
2100-Jan-01 15:00:00, 2534.2859451502281, 0.61992884047137298, null, null, 2534.2859451502281, 0.61992884047137298
2100-Jan-01 16:00:00, 2513.6485139319639, 0.61488057871940727, null, null, 2513.6485139319639, 0.61488057871940727
2100-Jan-01 17:00:00, 2495.2694060932622, 0.61038474073666171, null, null, 2495.2694060932622, 0.61038474073666171
2100-Jan-01 18:00:00, 2480.8754244786496, 0.60686373145624128, null, null, 2480.8754244786496, 0.60686373145624128
2100-Jan-01 19:00:00, 2471.1160331479009, 0.60447642067824658, null, null, 2471.1160331479009, 0.60447642067824658
2100-Jan-01 20:00:00, 2465.6955866580001, 0.6031504885695389, null, null, 2465.6955866580001, 0.6031504885695389
2100-Jan-01 21:00:00, 2464.0286601081202, 0.60274273038219017, null, null, 2464.0286601081202, 0.60274273038219017
2100-Jan-01 22:00:00, 2465.433440888808, 0.60308636331838461, null, null, 2465.433440888808, 0.60308636331838461
2100-Jan-01 23:00:00, 2469.4217262856951, 0.6040619648073533, null, null, 2469.4217262856951, 0.6040619648073533
2100-Jan-02 00:00:00, 2475.8950721012043, 0.60564545374752532, null, null, 2475.8950721012043, 0.60564545374752532
2100-Jan-02 01:00:00, 2484.815950505134, 0.60782765020231666, null, null, 2484.815950505134, 0.60782765020231666
2100-Jan-02 02:00:00, 2495.9261922422907, 0.61054540164258042, null, null, 2495.9261922422907, 0.61054540164258042
2100-Jan-02 03:00:00, 2508.8608664224193, 0.61370943985291215, null, null, 2508.8608664224193, 0.61370943985291215
2100-Jan-02 04:00:00, 2523.404408041526, 0.61726703401845362, null, null, 2523.404408041526, 0.61726703401845362
2100-Jan-02 05:00:00, 2539.1686017408083, 0.62112322015232846, null, null, 2539.1686017408083, 0.62112322015232846
2100-Jan-02 06:00:00, 2555.9879658273267, 0.62523751865742594, null, null, 2555.9879658273267, 0.62523751865742594
2100-Jan-02 07:00:00, 2573.5469222445622, 0.6295327338490877, null, null, 2573.5469222445622, 0.6295327338490877
2100-Jan-02 08:00:00, 2590.4536723374404, 0.63366840843674588, null, null, 2590.4536723374404, 0.63366840843674588
2100-Jan-02 09:00:00, 2604.6703869060539, 0.63714605522506473, null, null, 2604.6703869060539, 0.63714605522506473
2100-Jan-02 10:00:00, 2614.3113062368079, 0.63950438576516411, null, null, 2614.3113062368079, 0.63950438576516411
2100-Jan-02 11:00:00, 2617.2569925991625, 0.64022495004659463, null, null, 2617.2569925991625, 0.64022495004659463
2100-Jan-02 12:00:00, 2613.3049256791169, 0.63925820820442103, null, null, 2613.3049256791169, 0.63925820820442103
2100-Jan-02 13:00:00, 2602.8825558451254, 0.63670872176682525, null, null, 2602.8825558451254, 0.63670872176682525
2100-Jan-02 14:00:00, 2585.4472774555675, 0.63244376029473159, null, null, 2585.4472774555675, 0.63244376029473159
2100-Jan-02 15:00:00, 2562.7163575636723, 0.62688339610678478, null, null, 2562.7163575636723, 0.62688339610678478
2100-Jan-02 16:00:00, 2538.646827540932, 0.62099558543323286, null, null, 2538.646827540932, 0.62099558543323286
2100-Jan-02 17:00:00, 2516.719551748703, 0.61563180606864076, null, null, 2516.719551748703, 0.61563180606864076
2100-Jan-02 18:00:00, 2498.9318839263346, 0.6112806442319455, null, null, 2498.9318839263346, 0.6112806442319455
2100-Jan-02 19:00:00, 2486.3119840514964, 0.60819360509524323, null, null, 2486.3119840514964, 0.60819360509524323
2100-Jan-02 20:00:00, 2478.9170846462289, 0.6063846886931763, null, null, 2478.9170846462289, 0.6063846886931763
2100-Jan-02 21:00:00, 2476.3008396070663, 0.60574471128391005, null, null, 2476.3008396070663, 0.60574471128391005
2100-Jan-02 22:00:00, 2477.7410185376525, 0.60609700320117299, null, null, 2477.7410185376525, 0.60609700320117299
2100-Jan-02 23:00:00, 2482.0338347481552, 0.60714709803393108, null, null, 2482.0338347481552, 0.60714709803393108
2100-Jan-03 00:00:00, 2488.4497750886298, 0.60871654463225811, null, null, 2488.4497750886298, 0.60871654463225811
2100-Jan-03 01:00:00, 2496.7019022949403, 0.61073515332959949, null, null, 2496.7019022949403, 0.61073515332959949
2100-Jan-03 02:00:00, 2506.7084804219944, 0.61318293014312841, null, null, 2506.7084804219944, 0.61318293014312841
2100-Jan-03 03:00:00, 2518.2568237701716, 0.61600784858412005, null, null, 2518.2568237701716, 0.61600784858412005
2100-Jan-03 04:00:00, 2530.9849122425485, 0.61912135246603095, null, null, 2530.9849122425485, 0.61912135246603095
2100-Jan-03 05:00:00, 2544.5738608194683, 0.62244543716556389, null, null, 2544.5738608194683, 0.62244543716556389
2100-Jan-03 06:00:00, 2558.5064412623497, 0.62585357998198843, null, null, 2558.5064412623497, 0.62585357998198843
2100-Jan-03 07:00:00, 2572.8208094235642, 0.62935511447664316, null, null, 2572.8208094235642, 0.62935511447664316
2100-Jan-03 08:00:00, 2586.8838883261983, 0.63279517940469554, null, null, 2586.8838883261983, 0.63279517940469554
2100-Jan-03 09:00:00, 2599.1790857162032, 0.63580279086856306, null, null, 2599.1790857162032, 0.63580279086856306
2100-Jan-03 10:00:00, 2607.927061273122, 0.63794269238751, null, null, 2607.927061273122, 0.63794269238751
2100-Jan-03 11:00:00, 2611.6687854785123, 0.63885798087437162, null, null, 2611.6687854785123, 0.63885798087437162
2100-Jan-03 12:00:00, 2609.3648218290868, 0.63829439272978605, null, null, 2609.3648218290868, 0.63829439272978605
2100-Jan-03 13:00:00, 2600.6536892608019, 0.63616350362369145, null, null, 2600.6536892608019, 0.63616350362369145
2100-Jan-03 14:00:00, 2586.0120063006725, 0.63258190244037094, null, null, 2586.0120063006725, 0.63258190244037094
2100-Jan-03 15:00:00, 2566.9559613494071, 0.62792047428810771, null, null, 2566.9559613494071, 0.62792047428810771
2100-Jan-03 16:00:00, 2545.81577980574, 0.62274923137576021, null, null, 2545.81577980574, 0.62274923137576021
2100-Jan-03 17:00:00, 2525.5145969272348, 0.61778322160636034, null, null, 2525.5145969272348, 0.61778322160636034
2100-Jan-03 18:00:00, 2508.3856974721107, 0.61359320555939989, null, null, 2508.3856974721107, 0.61359320555939989
2100-Jan-03 19:00:00, 2495.4997291594723, 0.61044108162102106, null, null, 2495.4997291594723, 0.61044108162102106
2100-Jan-03 20:00:00, 2486.9326777776978, 0.60834543718929257, null, null, 2486.9326777776978, 0.60834543718929257
2100-Jan-03 21:00:00, 2482.0228011514009, 0.60714439903113893, null, null, 2482.0228011514009, 0.60714439903113893
2100-Jan-03 22:00:00, 2480.7034922071857, 0.60682167393945152, null, null, 2480.7034922071857, 0.60682167393945152
2100-Jan-03 23:00:00, 2482.9726253918589, 0.60737674196827496, null, null, 2482.9726253918589, 0.60737674196827496
2100-Jan-04 00:00:00, 2488.5033028385938, 0.60872963841752403, null, null, 2488.5033028385938, 0.60872963841752403
2100-Jan-04 01:00:00, 2496.3322153572744, 0.61064472170524264, null, null, 2496.3322153572744, 0.61064472170524264
2100-Jan-04 02:00:00, 2506.0598673942277, 0.61302426851972813, null, null, 2506.0598673942277, 0.61302426851972813
2100-Jan-04 03:00:00, 2517.4752297915243, 0.61581665759013238, null, null, 2517.4752297915243, 0.61581665759013238
2100-Jan-04 04:00:00, 2530.5927719898318, 0.61902542838428565, null, null, 2530.5927719898318, 0.61902542838428565
2100-Jan-04 05:00:00, 2545.3578575971578, 0.62263721592449062, null, null, 2545.3578575971578, 0.62263721592449062
2100-Jan-04 06:00:00, 2561.4861778852819, 0.62658247352815655, null, null, 2561.4861778852819, 0.62658247352815655
2100-Jan-04 07:00:00, 2578.02459449565, 0.63062804756928559, null, null, 2578.02459449565, 0.63062804756928559
2100-Jan-04 08:00:00, 2594.5046966522914, 0.63465935691713848, null, null, 2594.5046966522914, 0.63465935691713848
2100-Jan-04 09:00:00, 2610.1547312394136, 0.63848761781780672, null, null, 2610.1547312394136, 0.63848761781780672
2100-Jan-04 10:00:00, 2623.8489087514545, 0.64183744327948933, null, null, 2623.8489087514545, 0.64183744327948933
2100-Jan-04 11:00:00, 2633.7098612067762, 0.64424959761166689, null, null, 2633.7098612067762, 0.64424959761166689
2100-Jan-04 12:00:00, 2638.9518818421648, 0.64553188376427817, null, null, 2638.9518818421648, 0.64553188376427817
2100-Jan-04 13:00:00, 2639.7630914779352, 0.64573031924463298, null, null, 2639.7630914779352, 0.64573031924463298
2100-Jan-04 14:00:00, 2636.8627523024111, 0.64502084764554324, null, null, 2636.8627523024111, 0.64502084764554324
2100-Jan-04 15:00:00, 2631.3119780513612, 0.64366303518094881, null, null, 2631.3119780513612, 0.64366303518094881
2100-Jan-04 16:00:00, 2624.5177583109171, 0.64200105509789562, null, null, 2624.5177583109171, 0.64200105509789562
2100-Jan-04 17:00:00, 2617.687564164421, 0.64033027507185525, null, null, 2617.687564164421, 0.64033027507185525
2100-Jan-04 18:00:00, 2611.832762877315, 0.63889809249591045, null, null, 2611.832762877315, 0.63889809249591045
2100-Jan-04 19:00:00, 2607.5791838832124, 0.63785759574426593, null, null, 2607.5791838832124, 0.63785759574426593
2100-Jan-04 20:00:00, 2604.9373303364537, 0.63721135406460405, null, null, 2604.9373303364537, 0.63721135406460405
2100-Jan-04 21:00:00, 2604.1661132510476, 0.63702270143271678, null, null, 2604.1661132510476, 0.63702270143271678
2100-Jan-04 22:00:00, 2605.0710654926802, 0.6372440679264666, null, null, 2605.0710654926802, 0.6372440679264666
2100-Jan-04 23:00:00, 2607.4714211078499, 0.63783123516230222, null, null, 2607.4714211078499, 0.63783123516230222
2100-Jan-05 00:00:00, 2611.1577609222231, 0.63873297569836174, null, null, 2611.1577609222231, 0.63873297569836174
2100-Jan-05 01:00:00, 2616.0570742189184, 0.63993142988895479, null, null, 2616.0570742189184, 0.63993142988895479
2100-Jan-05 02:00:00, 2622.2351643221577, 0.64144269433066392, null, null, 2622.2351643221577, 0.64144269433066392
2100-Jan-05 03:00:00, 2629.470698011964, 0.64321262720627215, null, null, 2629.470698011964, 0.64321262720627215
2100-Jan-05 04:00:00, 2637.6718027294373, 0.6452187549472308, null, null, 2637.6718027294373, 0.6452187549472308
2100-Jan-05 05:00:00, 2646.7707751256444, 0.64744451617905074, null, null, 2646.7707751256444, 0.64744451617905074
