Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1892.253408150809, 0.38948761921842129, null, null, 1892.253408150809, 0.38948761921842129
2100-Jan-01 01:00:00, 1893.2425287766755, 0.3896912125828349, null, null, 1893.2425287766755, 0.3896912125828349
2100-Jan-01 02:00:00, 1895.2938218194429, 0.39011343575870833, null, null, 1895.2938218194429, 0.39011343575870833
2100-Jan-01 03:00:00, 1898.3373175051274, 0.39073988667887194, null, null, 1898.3373175051274, 0.39073988667887194
2100-Jan-01 04:00:00, 1902.2873017286386, 0.39155292257804847, null, null, 1902.2873017286386, 0.39155292257804847
2100-Jan-01 05:00:00, 1907.0721134892356, 0.39253779327930638, null, null, 1907.0721134892356, 0.39253779327930638
2100-Jan-01 06:00:00, 1912.5807205563979, 0.39367164471937094, null, null, 1912.5807205563979, 0.39367164471937094
2100-Jan-01 07:00:00, 1918.6576922106058, 0.39492248417430859, null, null, 1918.6576922106058, 0.39492248417430859
2100-Jan-01 08:00:00, 1924.9551020913707, 0.39621869702356888, null, null, 1924.9551020913707, 0.39621869702356888
2100-Jan-01 09:00:00, 1930.8079723335707, 0.39742340908084905, null, null, 1930.8079723335707, 0.39742340908084905
2100-Jan-01 10:00:00, 1935.4376378612717, 0.3983763456148221, null, null, 1935.4376378612717, 0.3983763456148221
2100-Jan-01 11:00:00, 1938.0452296819024, 0.39891307326754349, null, null, 1938.0452296819024, 0.39891307326754349
2100-Jan-01 12:00:00, 1938.1615206799088, 0.398937009757104, null, null, 1938.1615206799088, 0.398937009757104
2100-Jan-01 13:00:00, 1935.7139620706409, 0.39843322217161731, null, null, 1935.7139620706409, 0.39843322217161731
2100-Jan-01 14:00:00, 1930.9590644908963, 0.39745450878683236, null, null, 1930.9590644908963, 0.39745450878683236
2100-Jan-01 15:00:00, 1924.5049177439314, 0.3961260343659469, null, null, 1924.5049177439314, 0.3961260343659469
2100-Jan-01 16:00:00, 1917.1728682137418, 0.39461685884896586, null, null, 1917.1728682137418, 0.39461685884896586
2100-Jan-01 17:00:00, 1909.8706891226759, 0.39311383164497993, null, null, 1909.8706891226759, 0.39311383164497993
2100-Jan-01 18:00:00, 1903.3803880481507, 0.39177791548140545, null, null, 1903.3803880481507, 0.39177791548140545
2100-Jan-01 19:00:00, 1898.196815963905, 0.39071096686794626, null, null, 1898.196815963905, 0.39071096686794626
2100-Jan-01 20:00:00, 1894.4819359181149, 0.38994632309534988, null, null, 1894.4819359181149, 0.38994632309534988
2100-Jan-01 21:00:00, 1892.1888622578074, 0.38947433356329325, null, null, 1892.1888622578074, 0.38947433356329325
2100-Jan-01 22:00:00, 1891.166553273097, 0.38926390894952567, null, null, 1891.166553273097, 0.38926390894952567
2100-Jan-01 23:00:00, 1891.2719143488011, 0.38928559570371918, null, null, 1891.2719143488011, 0.38928559570371918
2100-Jan-02 00:00:00, 1892.4438246684208, 0.38952681316347376, null, null, 1892.4438246684208, 0.38952681316347376
2100-Jan-02 01:00:00, 1894.6585328653375, 0.38998267252098107, null, null, 1894.6585328653375, 0.38998267252098107
2100-Jan-02 02:00:00, 1897.8591522732831, 0.39064146464039556, null, null, 1897.8591522732831, 0.39064146464039556
2100-Jan-02 03:00:00, 1901.962042885169, 0.39148597367362209, null, null, 1901.962042885169, 0.39148597367362209
2100-Jan-02 04:00:00, 1906.8832752704056, 0.39249892419974619, null, null, 1906.8832752704056, 0.39249892419974619
2100-Jan-02 05:00:00, 1912.5126033634222, 0.39365762397394344, null, null, 1912.5126033634222, 0.39365762397394344
2100-Jan-02 06:00:00, 1918.7710365855237, 0.39494581415249669, null, null, 1918.7710365855237, 0.39494581415249669
2100-Jan-02 07:00:00, 1925.5460270876522, 0.39634032870828245, null, null, 1925.5460270876522, 0.39634032870828245
2100-Jan-02 08:00:00, 1932.485479118209, 0.39776869482374017, null, null, 1932.485479118209, 0.39776869482374017
2100-Jan-02 09:00:00, 1938.9716515980206, 0.39910376118753688, null, null, 1938.9716515980206, 0.39910376118753688
2100-Jan-02 10:00:00, 1944.2924358682894, 0.40019895255507526, null, null, 1944.2924358682894, 0.40019895255507526
2100-Jan-02 11:00:00, 1947.6318267823983, 0.40088630838763628, null, null, 1947.6318267823983, 0.40088630838763628
2100-Jan-02 12:00:00, 1948.5672270489683, 0.40107884434570262, null, null, 1948.5672270489683, 0.40107884434570262
2100-Jan-02 13:00:00, 1947.0085886468769, 0.40075802560237889, null, null, 1947.0085886468769, 0.40075802560237889
2100-Jan-02 14:00:00, 1942.7296381683891, 0.39987727769227288, null, null, 1942.7296381683891, 0.39987727769227288
2100-Jan-02 15:00:00, 1936.0064318653269, 0.39849342201775573, null, null, 1936.0064318653269, 0.39849342201775573
