Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1090.5691119372925, 0.3855947485288434, null, null, 1090.5691119372925, 0.3855947485288434
2100-Jan-01 01:00:00, 1090.9678708371157, 0.38573573852756782, null, null, 1090.9678708371157, 0.38573573852756782
2100-Jan-01 02:00:00, 1091.9974056763365, 0.38609975326362234, null, null, 1091.9974056763365, 0.38609975326362234
2100-Jan-01 03:00:00, 1093.6236412524095, 0.38667474469804008, null, null, 1093.6236412524095, 0.38667474469804008
2100-Jan-01 04:00:00, 1095.7934607717132, 0.38744193221760276, null, null, 1095.7934607717132, 0.38744193221760276
2100-Jan-01 05:00:00, 1098.4599392536879, 0.38838472446108396, null, null, 1098.4599392536879, 0.38838472446108396
2100-Jan-01 06:00:00, 1101.5587663650574, 0.38948038309258531, null, null, 1101.5587663650574, 0.38948038309258531
2100-Jan-01 07:00:00, 1104.9984350583084, 0.39069655377840329, null, null, 1104.9984350583084, 0.39069655377840329
2100-Jan-01 08:00:00, 1108.5767511251775, 0.39196174629931563, null, null, 1108.5767511251775, 0.39196174629931563
2100-Jan-01 09:00:00, 1111.9284627021259, 0.39314681780785932, null, null, 1111.9284627021259, 0.39314681780785932
2100-Jan-01 10:00:00, 1114.630165539498, 0.39410206439862838, null, null, 1114.630165539498, 0.39410206439862838
2100-Jan-01 11:00:00, 1116.2489696792315, 0.39467442828492, null, null, 1116.2489696792315, 0.39467442828492
2100-Jan-01 12:00:00, 1116.5150869281108, 0.39476851990418332, null, null, 1116.5150869281108, 0.39476851990418332
2100-Jan-01 13:00:00, 1115.364346622998, 0.39436165030397641, null, null, 1115.364346622998, 0.39436165030397641
2100-Jan-01 14:00:00, 1112.9135611653619, 0.39349512108369006, null, null, 1112.9135611653619, 0.39349512108369006
