Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1762.5399930478789, 0.38974487500418931, null, null, 1762.5399930478789, 0.38974487500418931
2100-Jan-01 01:00:00, 1763.3823149542397, 0.38993113497412069, null, null, 1763.3823149542397, 0.38993113497412069
2100-Jan-01 02:00:00, 1765.2105388933051, 0.39033540433165081, null, null, 1765.2105388933051, 0.39033540433165081
2100-Jan-01 03:00:00, 1767.9627167271465, 0.39094398468164049, null, null, 1767.9627167271465, 0.39094398468164049
2100-Jan-01 04:00:00, 1771.559922751577, 0.39173942343360413, null, null, 1771.559922751577, 0.39173942343360413
2100-Jan-01 05:00:00, 1775.9356167919011, 0.39270700676988551, null, null, 1775.9356167919011, 0.39270700676988551
2100-Jan-01 06:00:00, 1780.987243164712, 0.39382405687768729, null, null, 1780.987243164712, 0.39382405687768729
2100-Jan-01 07:00:00, 1786.5705920248515, 0.39505868509161896, null, null, 1786.5705920248515, 0.39505868509161896
2100-Jan-01 08:00:00, 1792.3641302860565, 0.3963397918207438, null, null, 1792.3641302860565, 0.3963397918207438
2100-Jan-01 09:00:00, 1797.7589887629445, 0.39753273975442677, null, null, 1797.7589887629445, 0.39753273975442677
2100-Jan-01 10:00:00, 1802.0415924202541, 0.39847973830974709, null, null, 1802.0415924202541, 0.39847973830974709
2100-Jan-01 11:00:00, 1804.4799313550386, 0.39901892045999837, null, null, 1804.4799313550386, 0.39901892045999837
2100-Jan-01 12:00:00, 1804.6383170063189, 0.39905394377640774, null, null, 1804.6383170063189, 0.39905394377640774
2100-Jan-01 13:00:00, 1802.440226649212, 0.398567887031677, null, null, 1802.440226649212, 0.398567887031677
2100-Jan-01 14:00:00, 1798.1107875032883, 0.39761053189339823, null, null, 1798.1107875032883, 0.39761053189339823
2100-Jan-01 15:00:00, 1792.2000047186259, 0.39630349925489256, null, null, 1792.2000047186259, 0.39630349925489256
2100-Jan-01 16:00:00, 1785.45879905524, 0.39481283784067378, null, null, 1785.45879905524, 0.39481283784067378
2100-Jan-01 17:00:00, 1778.7235345308918, 0.39332349017167539, null, null, 1778.7235345308918, 0.39332349017167539
2100-Jan-01 18:00:00, 1772.7188604801277, 0.39199569565547326, null, null, 1772.7188604801277, 0.39199569565547326
2100-Jan-01 19:00:00, 1767.9068024678202, 0.3909316205389271, null, null, 1767.9068024678202, 0.3909316205389271
2100-Jan-01 20:00:00, 1764.4425465348797, 0.39016558061875961, null, null, 1764.4425465348797, 0.39016558061875961
2100-Jan-01 21:00:00, 1762.2875623210707, 0.38968905579869317, null, null, 1762.2875623210707, 0.38968905579869317
2100-Jan-01 22:00:00, 1761.3056222594564, 0.38947192250918772, null, null, 1761.3056222594564, 0.38947192250918772
2100-Jan-01 23:00:00, 1761.3659333804226, 0.38948525891596147, null, null, 1761.3659333804226, 0.38948525891596147
2100-Jan-02 00:00:00, 1762.4125443744331, 0.38971669268350578, null, null, 1762.4125443744331, 0.38971669268350578
2100-Jan-02 01:00:00, 1764.4242275295933, 0.39016152979525848, null, null, 1764.4242275295933, 0.39016152979525848
2100-Jan-02 02:00:00, 1767.3491378714018, 0.39080830593654492, null, null, 1767.3491378714018, 0.39080830593654492
2100-Jan-02 03:00:00, 1771.1096811328207, 0.39163986293335107, null, null, 1771.1096811328207, 0.39163986293335107
2100-Jan-02 04:00:00, 1775.628418000686, 0.39263907687612093, null, null, 1775.628418000686, 0.39263907687612093
2100-Jan-02 05:00:00, 1780.8032520790937, 0.39378337151284504, null, null, 1780.8032520790937, 0.39378337151284504
2100-Jan-02 06:00:00, 1786.5605613134842, 0.39505646703224812, null, null, 1786.5605613134842, 0.39505646703224812
2100-Jan-02 07:00:00, 1792.7967918131067, 0.3964354648911107, null, null, 1792.7967918131067, 0.3964354648911107
2100-Jan-02 08:00:00, 1799.1890510717046, 0.39784896489426719, null, null, 1799.1890510717046, 0.39784896489426719
2100-Jan-02 09:00:00, 1805.172047642397, 0.39917196593809751, null, null, 1805.172047642397, 0.39917196593809751
2100-Jan-02 10:00:00, 1810.0927584534845, 0.40026006710321355, null, null, 1810.0927584534845, 0.40026006710321355
2100-Jan-02 11:00:00, 1813.2052206043654, 0.40094831598081926, null, null, 1813.2052206043654, 0.40094831598081926
2100-Jan-02 12:00:00, 1814.1163449969649, 0.40114979002617857, null, null, 1814.1163449969649, 0.40114979002617857
2100-Jan-02 13:00:00, 1812.7344117697851, 0.40084420751740385, null, null, 1812.7344117697851, 0.40084420751740385
2100-Jan-02 14:00:00, 1808.860086591156, 0.39998749028634734, null, null, 1808.860086591156, 0.39998749028634734
2100-Jan-02 15:00:00, 1802.7424164571273, 0.39863470930486122, null, null, 1802.7424164571273, 0.39863470930486122
2100-Jan-02 16:00:00, 1795.3006821041374, 0.39698914220473264, null, null, 1795.3006821041374, 0.39698914220473264
2100-Jan-02 17:00:00, 1787.6435777306922, 0.39529595101548659, null, null, 1787.6435777306922, 0.39529595101548659
2100-Jan-02 18:00:00, 1780.6659481761519, 0.39375300993654, null, null, 1780.6659481761519, 0.39375300993654
2100-Jan-02 19:00:00, 1774.9704657790739, 0.392493585989456, null, null, 1774.9704657790739, 0.392493585989456
2100-Jan-02 20:00:00, 1770.8428680135187, 0.39158086339504722, null, null, 1770.8428680135187, 0.39158086339504722
2100-Jan-02 21:00:00, 1768.3340676596836, 0.3910261003348201, null, null, 1768.3340676596836, 0.3910261003348201
2100-Jan-02 22:00:00, 1767.3416180688632, 0.39080664310647467, null, null, 1767.3416180688632, 0.39080664310647467
2100-Jan-02 23:00:00, 1767.6382437789966, 0.39087223500837476, null, null, 1767.6382437789966, 0.39087223500837476
2100-Jan-03 00:00:00, 1768.9939974428489, 0.39117202851339528, null, null, 1768.9939974428489, 0.39117202851339528
2100-Jan-03 01:00:00, 1771.2331913103199, 0.39166717434692522, null, null, 1771.2331913103199, 0.39166717434692522
2100-Jan-03 02:00:00, 1774.2373369435002, 0.39233147153672887, null, null, 1774.2373369435002, 0.39233147153672887
2100-Jan-03 03:00:00, 1777.9075841846818, 0.39314306166114654, null, null, 1777.9075841846818, 0.39314306166114654
2100-Jan-03 04:00:00, 1782.1409766144575, 0.39407917829390071, null, null, 1782.1409766144575, 0.39407917829390071
2100-Jan-03 05:00:00, 1786.8390681290639, 0.3951180523604983, null, null, 1786.8390681290639, 0.3951180523604983
2100-Jan-03 06:00:00, 1791.8959603279307, 0.396236266883704, null, null, 1791.8959603279307, 0.396236266883704
2100-Jan-03 07:00:00, 1797.2418954485463, 0.39741839655087929, null, null, 1797.2418954485463, 0.39741839655087929
2100-Jan-03 08:00:00, 1802.6992990813203, 0.39862517489638782, null, null, 1802.6992990813203, 0.39862517489638782
2100-Jan-03 09:00:00, 1807.875215359772, 0.39976970883657315, null, null, 1807.875215359772, 0.39976970883657315
2100-Jan-03 10:00:00, 1812.2218408551048, 0.40073086433775357, null, null, 1812.2218408551048, 0.40073086433775357
2100-Jan-03 11:00:00, 1815.1894947622568, 0.40138709222799202, null, null, 1815.1894947622568, 0.40138709222799202
2100-Jan-03 12:00:00, 1816.31485661026, 0.40163593992195329, null, null, 1816.31485661026, 0.40163593992195329
2100-Jan-03 13:00:00, 1815.3050168763236, 0.4014126372664506, null, null, 1815.3050168763236, 0.4014126372664506
2100-Jan-03 14:00:00, 1812.1116565467744, 0.40070649963133725, null, null, 1812.1116565467744, 0.40070649963133725
2100-Jan-03 15:00:00, 1807.009415559259, 0.3995782572744182, null, null, 1807.009415559259, 0.3995782572744182
2100-Jan-03 16:00:00, 1800.5864864939786, 0.39815797535424474, null, null, 1800.5864864939786, 0.39815797535424474
2100-Jan-03 17:00:00, 1793.6943530861511, 0.39663393976688721, null, null, 1793.6943530861511, 0.39663393976688721
2100-Jan-03 18:00:00, 1787.1757718287022, 0.39519250658102467, null, null, 1787.1757718287022, 0.39519250658102467
2100-Jan-03 19:00:00, 1781.627183802962, 0.39396556492008555, null, null, 1781.627183802962, 0.39396556492008555
2100-Jan-03 20:00:00, 1777.3481980836864, 0.39301936638792068, null, null, 1777.3481980836864, 0.39301936638792068
2100-Jan-03 21:00:00, 1774.3913613710549, 0.39236553046957673, null, null, 1774.3913613710549, 0.39236553046957673
2100-Jan-03 22:00:00, 1772.7731608195356, 0.39200770291719711, null, null, 1772.7731608195356, 0.39200770291719711
2100-Jan-03 23:00:00, 1772.4860681465009, 0.39194421902553622, null, null, 1772.4860681465009, 0.39194421902553622
2100-Jan-04 00:00:00, 1773.4415227611753, 0.39215549567221508, null, null, 1773.4415227611753, 0.39215549567221508
2100-Jan-04 01:00:00, 1775.4470796334635, 0.39259897809847882, null, null, 1775.4470796334635, 0.39259897809847882
2100-Jan-04 02:00:00, 1778.3390585970872, 0.39323847222861946, null, null, 1778.3390585970872, 0.39323847222861946
2100-Jan-04 03:00:00, 1781.9838682578177, 0.39404443742160156, null, null, 1781.9838682578177, 0.39404443742160156
2100-Jan-04 04:00:00, 1786.291614979142, 0.39499699578287251, null, null, 1786.291614979142, 0.39499699578287251
2100-Jan-04 05:00:00, 1791.1979150493216, 0.39608191034658607, null, null, 1791.1979150493216, 0.39608191034658607
2100-Jan-04 06:00:00, 1796.6361233092864, 0.3972844440802244, null, null, 1796.6361233092864, 0.3972844440802244
2100-Jan-04 07:00:00, 1802.4520595856677, 0.39857050361136204, null, null, 1802.4520595856677, 0.39857050361136204
2100-Jan-04 08:00:00, 1808.4931702677059, 0.39990635524420126, null, null, 1808.4931702677059, 0.39990635524420126
2100-Jan-04 09:00:00, 1814.5043410171472, 0.40123558635476375, null, null, 1814.5043410171472, 0.40123558635476375
2100-Jan-04 10:00:00, 1820.1250353698013, 0.40247847265893422, null, null, 1820.1250353698013, 0.40247847265893422
2100-Jan-04 11:00:00, 1824.8125935074565, 0.4035150175133157, null, null, 1824.8125935074565, 0.4035150175133157
2100-Jan-04 12:00:00, 1828.1534326601131, 0.40425376667253882, null, null, 1828.1534326601131, 0.40425376667253882
2100-Jan-04 13:00:00, 1829.9947295266659, 0.40466092680503557, null, null, 1829.9947295266659, 0.40466092680503557
