Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1010.7368878447987, 6.2607736179676747, 746.58096602203409, 10.405231241914064, 264.15592182276458, 2.9452407763650617
2100-Jan-01 01:00:00, 1054.7189379189813, 6.5332101561806324, 790.61998570853928, 11.019010864433625, 264.09895221044201, 2.9446055862694984
2100-Jan-01 02:00:00, 1101.9815678860975, 6.8259674804382247, 837.94757737416808, 11.678623897468301, 264.03399051192946, 2.9438812873704205
2100-Jan-01 03:00:00, 1151.806904049655, 7.134598889770019, 887.84416420993136, 12.374041471498764, 263.96273983972372, 2.9430868687419238
2100-Jan-01 04:00:00, 1200.7595380471225, 7.4378245493329977, 936.8724658864237, 13.057357601376054, 263.88707216069884, 2.9422432021219245
2100-Jan-01 05:00:00, 1249.3247101778686, 7.7386501668451615, 985.51577877445789, 13.735308074276052, 263.80893140341078, 2.9413719615944633
2100-Jan-01 06:00:00, 1295.900146219062, 8.027150828806576, 1032.1698854320373, 14.385534627390063, 263.73026078702475, 2.9404948133341366
2100-Jan-01 07:00:00, 1337.6615285593084, 8.2858319593262966, 1074.0085825877813, 14.968647964829584, 263.65294597152695, 2.9396327817519938
2100-Jan-01 08:00:00, 1364.8661780309681, 8.4543448074735554, 1101.2874085658507, 15.34883779718243, 263.57876946511749, 2.9388057411548418
2100-Jan-01 09:00:00, 1366.0348658108148, 8.4615839710063199, 1102.5254980900113, 15.366093270310447, 263.5093677208036, 2.9380319373881361
2100-Jan-01 10:00:00, 1337.8259379503984, 8.2868503549054626, 1074.3797666910307, 14.973821223462483, 263.44617125936759, 2.9373273202292287
2100-Jan-01 11:00:00, 1278.4946368073197, 7.9193364654021829, 1015.1043316326874, 14.147688979516527, 263.39030517463226, 2.9367044340578987
2100-Jan-01 12:00:00, 1198.5921482033841, 7.4243991590887939, 935.24969495102198, 13.034740755241494, 263.34245325236202, 2.9361709028323815
2100-Jan-01 13:00:00, 1109.9591931752484, 6.8753830173054382, 846.65647582351585, 11.800001358657333, 263.30271735173244, 2.9357278622447911
2100-Jan-01 14:00:00, 1023.9716258697283, 6.3427531120018488, 760.70110704777471, 10.602026149938725, 263.27051882195354, 2.9353688605529515
2100-Jan-01 15:00:00, 953.57073748805556, 5.9066712493903957, 690.32615242101383, 9.621197934571331, 263.24458506704178, 2.9350797087825753
2100-Jan-01 16:00:00, 906.7554061266834, 5.616684611890034, 643.5323672228626, 8.9690246568817837, 263.22303890382079, 2.9348394770359056
2100-Jan-01 17:00:00, 888.10529138986294, 5.5011608314476943, 624.90170557824217, 8.7093658235806224, 263.20358581162083, 2.9346225822565706
2100-Jan-01 18:00:00, 895.50775938354332, 5.5470136907625518, 632.32398441608575, 8.8128114392132186, 263.18377496745757, 2.9344016986752326
2100-Jan-01 19:00:00, 922.3571556425818, 5.7133260058452482, 659.19586504494566, 9.1873296021101645, 263.1612905976362, 2.9341510062721556
2100-Jan-01 20:00:00, 959.52369988746921, 5.943545484799448, 696.38948080173054, 9.7057036168326647, 263.13421908573866, 2.9338491689324195
2100-Jan-01 21:00:00, 1000.8424392358306, 6.1994847666747788, 737.74119890492943, 10.282029840908313, 263.10124033090113, 2.9334814680199019
2100-Jan-01 22:00:00, 1042.0513042306668, 6.4547434575257636, 778.9895915502608, 10.856915999765025, 263.06171268040595, 2.9330407493442463
2100-Jan-01 23:00:00, 1081.8000880460818, 6.7009580164783831, 818.7844352415658, 11.411543789233251, 263.01565280451609, 2.9325271987727164
2100-Jan-02 00:00:00, 1122.3519209909607, 6.9521468757302634, 859.38828283002067, 11.977446809397897, 262.96363816094004, 2.9319472547450709
2100-Jan-02 01:00:00, 1164.9620653117097, 7.2160854641298426, 902.05539454421432, 12.572105907360571, 262.90667076749531, 2.9313120893891744
2100-Jan-02 02:00:00, 1208.1024768597308, 7.483308669037342, 945.25643678162021, 13.174206489655136, 262.84604007811055, 2.9306360796391644
2100-Jan-02 03:00:00, 1249.8840239304895, 7.7421147052712227, 987.10081515718662, 13.757399007262217, 262.78320877330282, 2.9299355338415345
2100-Jan-02 04:00:00, 1291.0401142926917, 7.9970464959846277, 1028.3203895399454, 14.331883520885921, 262.71972475274634, 2.9292277105048465
2100-Jan-02 05:00:00, 1329.5044601119591, 8.2353049037203441, 1066.84730787135, 14.868840009895543, 262.65715224060904, 2.9285300501497247
2100-Jan-02 06:00:00, 1366.6632406821097, 8.4654762924044107, 1104.0662235616282, 15.387566634275112, 262.59701712048144, 2.9278595658135442
2100-Jan-02 07:00:00, 1401.385652585695, 8.6805561643399383, 1138.8448883134304, 15.872283048833189, 262.5407642722646, 2.9272323673725187
2100-Jan-02 08:00:00, 1423.6130858653114, 8.8182388090971635, 1161.1233600498313, 16.182782057894261, 262.48972581548003, 2.9266633074663564
2100-Jan-02 09:00:00, 1423.8142317434269, 8.8194847602662705, 1161.3691364120166, 16.186207486613615, 262.44509533141041, 2.9261656940846699
2100-Jan-02 10:00:00, 1398.3054376581852, 8.6614764922831036, 1135.8975501229781, 15.831205474108529, 262.40788753520695, 2.9257508409258959
2100-Jan-02 11:00:00, 1341.7758072006739, 8.3113168975773917, 1079.3969464479947, 15.043746546942963, 262.3788607526792, 2.9254272030421888
2100-Jan-02 12:00:00, 1267.1710445825975, 7.8491951177243182, 1004.8126405626267, 14.00425185705021, 262.35840401997075, 2.9251991180425856
2100-Jan-02 13:00:00, 1183.0581593522465, 7.3281774927475336, 920.71174799779078, 12.832122811956577, 262.34641135445571, 2.9250654042600268
2100-Jan-02 14:00:00, 1085.45679164783, 6.7236086130024386, 823.1146046128714, 11.471894127208193, 262.34218703495867, 2.9250183046608611
2100-Jan-02 15:00:00, 991.32267023262, 6.1405167807021526, 728.97824996432689, 10.159899068443154, 262.34442026829311, 2.9250432043861232
2100-Jan-02 16:00:00, 923.81638680246556, 5.7223648724960903, 661.46516564672231, 9.2189572467911081, 262.35122115574325, 2.9251190317644964
2100-Jan-02 17:00:00, 890.91970967323152, 5.5185940882629394, 628.55948837448705, 8.7603449906901414, 262.36022129874448, 2.9252193800284214
2100-Jan-02 18:00:00, 888.92697020328831, 5.5062505289737302, 626.55819331824046, 8.7324525867965619, 262.36877688504785, 2.9253147716496746
2100-Jan-02 19:00:00, 912.02677299213678, 5.6493368629345477, 649.65250583548891, 9.0543221134138641, 262.37426715664787, 2.9253759861463182
2100-Jan-02 20:00:00, 951.15371760476819, 5.8916995841614197, 688.77930390101551, 9.5996392325961732, 262.37441370375268, 2.9253776200923061
2100-Jan-02 21:00:00, 998.64082157737391, 6.1858473602254023, 736.27328376142611, 10.261571247390931, 262.3675378159478, 2.9253009564877317
2100-Jan-02 22:00:00, 1048.2762015277954, 6.4933021301547225, 785.92349418502488, 10.953555029699132, 262.35270734277037, 2.9251356021998793
2100-Jan-02 23:00:00, 1091.6243393873347, 6.761812047189335, 829.29457638014242, 11.558025489020942, 262.32976300719218, 2.9248797813488263
2100-Jan-03 00:00:00, 1129.599601311817, 6.9970409389528259, 867.30035877585874, 12.087718814132613, 262.29924253595829, 2.924539489388791
2100-Jan-03 01:00:00, 1165.3689050177568, 7.2186055376811229, 903.10667250563711, 12.586757754629618, 262.26223251211979, 2.9241268413186998
2100-Jan-03 02:00:00, 1201.8922179336944, 7.4448406703796657, 939.67203222627393, 13.09637565362889, 262.22018570742051, 2.9236580350058916
2100-Jan-03 03:00:00, 1238.4045933496825, 7.6710080532889675, 976.22984623957291, 13.605888386767651, 262.17474711010954, 2.9231514114606094
2100-Jan-03 04:00:00, 1272.8903850155348, 7.8846222364189398, 1010.762766515796, 14.087179817015658, 262.12761849973879, 2.9226259448951066
2100-Jan-03 05:00:00, 1304.7034747604041, 8.081680991645948, 1042.6230079289478, 14.531221648263292, 262.08046683145631, 2.9221002212424212
2100-Jan-03 06:00:00, 1330.8466203429082, 8.2436186018410584, 1068.8117555661477, 14.896218865582055, 262.03486477676046, 2.9215917752077858
2100-Jan-03 07:00:00, 1356.6726383819564, 8.4035918395258964, 1094.6803878808726, 15.25675457891662, 261.99225050108396, 2.9211166418035766
2100-Jan-03 08:00:00, 1377.302157448134, 8.5313765778431936, 1115.3482584749665, 15.544806354406376, 261.95389897316761, 2.920689036459446
2100-Jan-03 09:00:00, 1383.465262929592, 8.5695524955000035, 1121.5443594159065, 15.631162511371162, 261.92090351368557, 2.9203211492963237
2100-Jan-03 10:00:00, 1368.3527833760386, 8.4759417700690634, 1106.4586217891026, 15.420909912382314, 261.89416158693587, 2.9200229867090215
2100-Jan-03 11:00:00, 1330.6103845852572, 8.2421552946075831, 1068.7360418895112, 14.895163630651842, 261.87434269574607, 2.9198020134063154
2100-Jan-03 12:00:00, 1271.6602823834728, 7.8770026529261203, 1009.7984592890705, 14.073740096290134, 261.86182309440233, 2.9196624244842617
2100-Jan-03 13:00:00, 1196.578927092457, 7.4119287310575146, 934.72232834424642, 13.027390753376322, 261.85659874821062, 2.9196041749575143
2100-Jan-03 14:00:00, 1113.4766548267889, 6.8971711120856103, 851.61845160267046, 11.869157294515142, 261.85820322411854, 2.9196220642701447
2100-Jan-03 15:00:00, 1033.9403577713379, 6.4045020938038997, 772.07470082915711, 10.760541942241133, 261.86565694218069, 2.9197051704682595
2100-Jan-03 16:00:00, 969.59719481054708, 6.0059433966730493, 707.71972448757879, 9.8636152311705647, 261.87747032296824, 2.9198368852924519
2100-Jan-03 17:00:00, 931.12932890671959, 5.7676631845955582, 669.2376099041054, 9.3272831799365434, 261.89171900261425, 2.9199957527977238
2100-Jan-03 18:00:00, 921.18046667999465, 5.7060372808544866, 659.27426678020038, 9.1884223009897497, 261.90619989979433, 2.9201572094425674
2100-Jan-03 19:00:00, 934.00204010764719, 5.7854575232756851, 672.08338114569563, 9.3669451980939442, 261.91865896195156, 2.9202961233750946
2100-Jan-03 20:00:00, 960.65874675315104, 5.9505762675454612, 698.7316946381145, 9.7383474661869318, 261.92705211503653, 2.9203897039260722
2100-Jan-03 21:00:00, 991.12718215169934, 6.1393058754365253, 729.19740461467495, 10.162953465646398, 261.92977753702445, 2.9204200913726841
2100-Jan-03 22:00:00, 1027.0285188176092, 6.3616883215021707, 765.10269455854245, 10.663371855180973, 261.9258242590667, 2.9203760137863815
2100-Jan-03 23:00:00, 1068.7640424506799, 6.6202092762989819, 806.84922730170456, 11.245200680867802, 261.91481514897521, 2.9202532662828267
2100-Jan-04 00:00:00, 1114.0771194797837, 6.9008905501542142, 852.18015504612003, 11.876985854958646, 261.89696443366375, 2.9200542374128329
2100-Jan-04 01:00:00, 1154.9027252189308, 7.1537752310470015, 893.0297350014215, 12.446313690671811, 261.87299021750931, 2.9197869337744655
2100-Jan-04 02:00:00, 1193.6228267200891, 7.3936178576284766, 931.77881893429731, 12.986366541044118, 261.84400778579163, 2.9194637903858789
2100-Jan-04 03:00:00, 1231.633982162404, 7.6290690834060957, 969.8225717368806, 13.516589066445887, 261.81141042552332, 2.9191003418816708
2100-Jan-04 04:00:00, 1272.2028319951864, 7.8803633497962009, 1010.4260848022018, 14.082487424302331, 261.77674719298466, 2.9187138596661333
