Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 486.96108344528972, 5.4294358785121801, null, null, 486.96108344528972, 5.4294358785121801
2100-Jan-01 01:00:00, 488.39368992400813, 5.4454089106081147, null, null, 488.39368992400813, 5.4454089106081147
2100-Jan-01 02:00:00, 489.99695292317426, 5.4632846997549116, null, null, 489.99695292317426, 5.4632846997549116
2100-Jan-01 03:00:00, 491.74649703595696, 5.48279146918662, null, null, 491.74649703595696, 5.48279146918662
2100-Jan-01 04:00:00, 493.64433672655821, 5.503951679433631, null, null, 493.64433672655821, 5.503951679433631
2100-Jan-01 05:00:00, 495.69552441672454, 5.526821663128751, null, null, 495.69552441672454, 5.526821663128751
2100-Jan-01 06:00:00, 497.8477067549951, 5.5508176997767578, null, null, 497.8477067549951, 5.5508176997767578
2100-Jan-01 07:00:00, 500.04903269375836, 5.5753616693844723, null, null, 500.04903269375836, 5.5753616693844723
2100-Jan-01 08:00:00, 502.09145980524784, 5.5981339758692323, null, null, 502.09145980524784, 5.5981339758692323
2100-Jan-01 09:00:00, 503.49823582935306, 5.6138190079548931, null, null, 503.49823582935306, 5.6138190079548931
2100-Jan-01 10:00:00, 503.90054886788039, 5.6183046494569187, null, null, 503.90054886788039, 5.6183046494569187
2100-Jan-01 11:00:00, 502.95467301794002, 5.6077584837552372, null, null, 502.95467301794002, 5.6077584837552372
2100-Jan-01 12:00:00, 500.76875996848156, 5.5833863621596702, null, null, 500.76875996848156, 5.5833863621596702
2100-Jan-01 13:00:00, 497.67522910286539, 5.5488946377815589, null, null, 497.67522910286539, 5.5488946377815589
2100-Jan-01 14:00:00, 494.06814917529988, 5.5086770314036038, null, null, 494.06814917529988, 5.5086770314036038
2100-Jan-01 15:00:00, 490.44291831192038, 5.468257048808149, null, null, 490.44291831192038, 5.468257048808149
2100-Jan-01 16:00:00, 487.22255262973857, 5.4323511631610639, null, null, 487.22255262973857, 5.4323511631610639
2100-Jan-01 17:00:00, 484.73050401586084, 5.4045657433089156, null, null, 484.73050401586084, 5.4045657433089156
2100-Jan-01 18:00:00, 483.11112262854033, 5.3865102400988718, null, null, 483.11112262854033, 5.3865102400988718
2100-Jan-01 19:00:00, 482.31243409661397, 5.3776051585257889, null, null, 482.31243409661397, 5.3776051585257889
2100-Jan-01 20:00:00, 482.14312606035173, 5.3757174365745835, null, null, 482.14312606035173, 5.3757174365745835
2100-Jan-01 21:00:00, 482.41863103630686, 5.3787892151047609, null, null, 482.41863103630686, 5.3787892151047609
2100-Jan-01 22:00:00, 482.99689058426213, 5.3852365950771963, null, null, 482.99689058426213, 5.3852365950771963
2100-Jan-01 23:00:00, 483.82912188320984, 5.3945156660899318, null, null, 483.82912188320984, 5.3945156660899318
2100-Jan-02 00:00:00, 484.93851556467962, 5.4068849951027369, null, null, 484.93851556467962, 5.4068849951027369
2100-Jan-02 01:00:00, 486.33168473930169, 5.4224183158519299, null, null, 486.33168473930169, 5.4224183158519299
2100-Jan-02 02:00:00, 487.97440715087521, 5.440734062844955, null, null, 487.97440715087521, 5.440734062844955
2100-Jan-02 03:00:00, 489.8459104667952, 5.4616006322601516, null, null, 489.8459104667952, 5.4616006322601516
2100-Jan-02 04:00:00, 491.91763843604866, 5.4846996324660804, null, null, 491.91763843604866, 5.4846996324660804
