Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 423.87934276511038, 4.8062003492382797, null, null, 423.87934276511038, 4.8062003492382797
2100-Jan-01 01:00:00, 425.43966582779427, 4.8238922358017433, null, null, 425.43966582779427, 4.8238922358017433
2100-Jan-01 02:00:00, 427.56763494870114, 4.8480204366839894, null, null, 427.56763494870114, 4.8480204366839894
2100-Jan-01 03:00:00, 430.21329538786421, 4.8780185348307956, null, null, 430.21329538786421, 4.8780185348307956
2100-Jan-01 04:00:00, 433.31430678297562, 4.9131796775110494, null, null, 433.31430678297562, 4.9131796775110494
2100-Jan-01 05:00:00, 436.83482272349096, 4.9530974164421959, null, null, 436.83482272349096, 4.9530974164421959
2100-Jan-01 06:00:00, 440.67636271652259, 4.9966551202351663, null, null, 440.67636271652259, 4.9966551202351663
2100-Jan-01 07:00:00, 444.71640591324035, 5.0424635734056773, null, null, 444.71640591324035, 5.0424635734056773
2100-Jan-01 08:00:00, 448.62191485669013, 5.0867465958467193, null, null, 448.62191485669013, 5.0867465958467193
2100-Jan-01 09:00:00, 451.7841976518003, 5.1226024707169202, null, null, 451.7841976518003, 5.1226024707169202
2100-Jan-01 10:00:00, 453.65517928313199, 5.1438167920170921, null, null, 453.65517928313199, 5.1438167920170921
2100-Jan-01 11:00:00, 453.72953155286166, 5.1446598430193191, null, null, 453.72953155286166, 5.1446598430193191
2100-Jan-01 12:00:00, 451.94514012673915, 5.1244273338353077, null, null, 451.94514012673915, 5.1244273338353077
2100-Jan-01 13:00:00, 448.52348048306868, 5.0856304873857825, null, null, 448.52348048306868, 5.0856304873857825
2100-Jan-01 14:00:00, 443.85373061563735, 5.0326820391379972, null, null, 443.85373061563735, 5.0326820391379972
2100-Jan-01 15:00:00, 438.55666370598124, 4.9726206908659831, null, null, 438.55666370598124, 4.9726206908659831
2100-Jan-01 16:00:00, 433.28709314732623, 4.9128711128513309, null, null, 433.28709314732623, 4.9128711128513309
2100-Jan-01 17:00:00, 428.67032346407427, 4.8605233859740284, null, null, 428.67032346407427, 4.8605233859740284
2100-Jan-01 18:00:00, 425.11454415879462, 4.8202058096860059, null, null, 425.11454415879462, 4.8202058096860059
2100-Jan-01 19:00:00, 422.74446629950165, 4.793332433501293, null, null, 422.74446629950165, 4.793332433501293
2100-Jan-01 20:00:00, 421.44210520861344, 4.7785654757886826, null, null, 421.44210520861344, 4.7785654757886826
2100-Jan-01 21:00:00, 421.0323654834196, 4.7739195989750662, null, null, 421.0323654834196, 4.7739195989750662
2100-Jan-01 22:00:00, 421.33631076902969, 4.7773659144485192, null, null, 421.33631076902969, 4.7773659144485192
2100-Jan-01 23:00:00, 422.25416618840705, 4.7877731143096511, null, null, 422.25416618840705, 4.7877731143096511
2100-Jan-02 00:00:00, 423.78522761005922, 4.8051332146897439, null, null, 423.78522761005922, 4.8051332146897439
2100-Jan-02 01:00:00, 425.92444689116928, 4.8293889766924369, null, null, 425.92444689116928, 4.8293889766924369
2100-Jan-02 02:00:00, 428.60704913048079, 4.859805943311617, null, null, 428.60704913048079, 4.859805943311617
2100-Jan-02 03:00:00, 431.76239465689304, 4.8955831592336807, null, null, 431.76239465689304, 4.8955831592336807
2100-Jan-02 04:00:00, 435.33303490582279, 4.9360692378886633, null, null, 435.33303490582279, 4.9360692378886633
2100-Jan-02 05:00:00, 439.23009613135645, 4.9802564749948175, null, null, 439.23009613135645, 4.9802564749948175
2100-Jan-02 06:00:00, 443.42533363219434, 5.0278246150464971, null, null, 443.42533363219434, 5.0278246150464971
2100-Jan-02 07:00:00, 447.82152611771892, 5.077671304251532, null, null, 447.82152611771892, 5.077671304251532
2100-Jan-02 08:00:00, 452.04524293009626, 5.1255623599616484, null, null, 452.04524293009626, 5.1255623599616484
