Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 10558.129523370148, 2.1497528727728992, 3230.8080689431758, 3.1109672952214238, 7327.3214544269713, 1.891995630716812
2100-Jan-01 01:00:00, 10636.368586346362, 2.1656832182023504, 3311.8000119798885, 3.1889549938364237, 7324.5685743664735, 1.8912848065665759
2100-Jan-01 02:00:00, 10723.18000581564, 2.1833589909782471, 3401.6544329567414, 3.2754764333725968, 7321.5255728589, 1.8904990698423989
2100-Jan-01 03:00:00, 10817.555841967402, 2.2025749633186615, 3499.3369582421101, 3.3695356083507084, 7318.2188837252907, 1.8896452460499205
2100-Jan-01 04:00:00, 10914.845092535059, 2.2223841393128372, 3600.1586541021325, 3.4666175122509575, 7314.6864384329256, 1.8887331295145031
2100-Jan-01 05:00:00, 11015.325927707254, 2.2428431575122181, 3704.3514664716085, 3.5669454874081485, 7310.9744612356453, 1.8877746558509338
2100-Jan-01 06:00:00, 11115.876091497823, 2.2633162917911736, 3808.7413941795071, 3.6674632662794977, 7307.1346973183163, 1.8867831862395956
2100-Jan-01 07:00:00, 11211.556734757836, 2.2827979374047911, 3908.3346163311571, 3.7633622644025442, 7303.2221184266791, 1.8857729149946594
2100-Jan-01 08:00:00, 11285.767459253353, 2.2979080682117368, 3986.4744147459842, 3.8386036133580821, 7299.2930445073689, 1.8847583845507128
2100-Jan-01 09:00:00, 11316.24360502653, 2.3041133512386129, 4020.8401007622447, 3.8716945686216073, 7295.4035042642845, 1.8837540621402409
2100-Jan-01 10:00:00, 11291.391267643023, 2.2990531382939756, 3999.7837859336832, 3.8514192983512294, 7291.6074817093395, 1.8827738870335899
2100-Jan-01 11:00:00, 11202.878814441647, 2.2810310160871343, 3914.9243123710498, 3.7697075280109336, 7287.9545020705973, 1.8818306471936861
2100-Jan-01 12:00:00, 11063.403912255893, 2.2526323711387217, 3778.9176831345662, 3.638745809933261, 7284.4862291213267, 1.8809351006686748
2100-Jan-01 13:00:00, 10891.508379689485, 2.2176325244202748, 3610.2760690620485, 3.4763596406537687, 7281.2323106274362, 1.8800949028403906
