Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 503.73763315175762, 9.5885313856389072, 390.43065555715367, 16.721457329741359, 113.30697759460395, 3.8821906303569489
2100-Jan-01 01:00:00, 525.76897575147052, 10.007892985969191, 412.487468653154, 17.666111786980462, 113.28150709831655, 3.8813179451601796
2100-Jan-01 02:00:00, 549.32378794709575, 10.456253483888434, 436.07153725465173, 18.676175907634299, 113.25225069244404, 3.8803155448917463
2100-Jan-01 03:00:00, 574.06385219644471, 10.9271749853323, 460.84387749558499, 19.737131609756318, 113.21997470085975, 3.879209685793092
2100-Jan-01 04:00:00, 598.3382215436543, 11.389232090131118, 485.15268316329781, 20.778234942509684, 113.18553838035646, 3.8780298082282685
2100-Jan-01 05:00:00, 622.41614130215896, 11.847549821647048, 509.26629681348174, 21.810978544935121, 113.14984448867718, 3.8768068430165927
2100-Jan-01 06:00:00, 645.50058789074581, 12.286957017114785, 532.38678652794817, 22.801188398337835, 113.11380136279762, 3.8755719121363517
2100-Jan-01 07:00:00, 666.19639937167835, 12.680897086064139, 553.11810617757305, 23.689074305800048, 113.07829319410531, 3.8743553102754178
2100-Jan-01 08:00:00, 679.63817150938667, 12.936758164408854, 566.59401443916852, 24.26622372213934, 113.04415707021815, 3.8731857182244709
2100-Jan-01 09:00:00, 680.05948928794623, 12.94477785259012, 567.04732653080953, 24.285638280626337, 113.01216275713672, 3.8720895101611528
2100-Jan-01 10:00:00, 665.7617829473354, 12.672624261182161, 552.77879634780413, 23.674542263402031, 112.98298659953127, 3.8710898594062719
2100-Jan-01 11:00:00, 635.85241604472662, 12.103306258324402, 522.89524601433834, 22.394682435158913, 112.95717003038826, 3.8702053168567958
2100-Jan-01 12:00:00, 595.62830647715714, 11.337649472598757, 482.69324424500616, 20.672901505337258, 112.935062232151, 3.8694478464079625
2100-Jan-01 13:00:00, 551.03802343380903, 10.488883566862151, 438.12126541767645, 18.763962154763579, 112.91675801613252, 3.8688206965410123
2100-Jan-01 14:00:00, 507.79589119429704, 9.6657794053440131, 394.89384184848387, 16.912607737791834, 112.90204934581314, 3.8683167393857594
2100-Jan-01 15:00:00, 472.40084970457355, 8.9920428331988056, 359.51043930985219, 15.397198926241225, 112.89041039472134, 3.8679179587648744
