Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 572.60628758869052, 1.4216648575066597, 355.79111406272432, 2.5396511294308874, 216.81517352596617, 0.82540551248040739
2100-Jan-01 01:00:00, 573.88793368540462, 1.4248469238844705, 357.01841288723631, 2.5484116372755876, 216.86952079816834, 0.82561241007587749
2100-Jan-01 02:00:00, 575.31618643158447, 1.4283929847309764, 358.39234603584106, 2.5582188267603745, 216.92384039574344, 0.82581920231529993
2100-Jan-01 03:00:00, 576.87752782734299, 1.4322694776040596, 359.89939539433556, 2.5689762050481693, 216.9781324330074, 0.82602588963387036
2100-Jan-01 04:00:00, 578.57603179094895, 1.4364865172135319, 361.54363479730927, 2.5807128513323732, 217.03239699363962, 0.8262324723501524
2100-Jan-01 05:00:00, 580.42016222691279, 1.4410651177114564, 363.33352811692083, 2.5934891810692391, 217.08663410999199, 0.82643895058730832
2100-Jan-01 06:00:00, 582.39015256779567, 1.4459562027343866, 365.24930882022511, 2.6071640999600771, 217.14084374757056, 0.82664532421402104
2100-Jan-01 07:00:00, 584.45134671622236, 1.4510737282468229, 367.2563209269918, 2.6214902322390099, 217.19502578923056, 0.82685159278432596
2100-Jan-01 08:00:00, 586.47728523446096, 1.4561037212058208, 369.22810520774135, 2.6355649068940852, 217.24918002671959, 0.82705775550541549
2100-Jan-01 09:00:00, 588.14305482857185, 1.46023948803895, 370.83974867065996, 2.6470688820611539, 217.30330615791195, 0.8272638112271109
2100-Jan-01 10:00:00, 589.10222944985117, 1.4626209233826439, 371.74482566213987, 2.6535293576401719, 217.35740378771129, 0.82746975844529835
2100-Jan-01 11:00:00, 589.01402931367249, 1.4624019403977371, 371.60255688055395, 2.6525138374162074, 217.41147243311855, 0.82767559532122237
2100-Jan-01 12:00:00, 587.81428394401291, 1.4594232168542287, 370.34877240851705, 2.6435642739655867, 217.46551153549584, 0.8278813197281738
2100-Jan-01 13:00:00, 585.68270108605736, 1.4541309305037238, 368.1631806123915, 2.6279634327581625, 217.51952047366584, 0.82808692930135896
2100-Jan-01 14:00:00, 582.93330693366727, 1.4473047444652376, 365.35980835153129, 2.6079528500114173, 217.57349858213598, 0.82829242150727778
2100-Jan-01 15:00:00, 579.97151974742155, 1.4399512297565, 362.34407457822471, 2.5864264223387723, 217.62744516919682, 0.82849779371262389
2100-Jan-01 16:00:00, 577.18605970821545, 1.4330354994622967, 359.50470017175473, 2.5661588548441068, 217.68135953646072, 0.82870304325866717
