Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1081.6757936706424, 2.6855808195067903, 873.79887500767131, 6.2372111390545832, 207.87691866297109, 0.79137798241463386
2100-Jan-01 01:00:00, 1087.4432949842765, 2.699900351287948, 879.52191226616753, 6.278062406730573, 207.92138271810893, 0.79154725505188128
2100-Jan-01 02:00:00, 1093.7035060769681, 2.715443181158943, 885.73772175739157, 6.3224311022116275, 207.96578431957661, 0.79171628993084464
2100-Jan-01 03:00:00, 1100.4208025510115, 2.7321208609916532, 892.41067927619076, 6.3700629385038487, 208.01012327482087, 0.79188508631848242
2100-Jan-01 04:00:00, 1107.6271131270562, 2.7500126633003283, 899.57271381374517, 6.4211858260167629, 208.05439931331111, 0.79205364318489679
2100-Jan-01 05:00:00, 1115.3513637819506, 2.7691904053975724, 907.25275171331896, 6.4760062421395945, 208.09861206863152, 0.79222195913515969
2100-Jan-01 06:00:00, 1123.416332113469, 2.7892140801324539, 915.27357105003443, 6.5332591697207469, 208.14276106343465, 0.79239003235203076
2100-Jan-01 07:00:00, 1131.6354948826186, 2.8096205882695426, 923.44864917757764, 6.591613202688924, 208.18684570504084, 0.79255786057920563
2100-Jan-01 08:00:00, 1139.1585422365292, 2.8282987835255748, 930.92767695324017, 6.644998800548902, 208.23086528328915, 0.79272544111313381
2100-Jan-01 09:00:00, 1144.1231337579245, 2.8406248537256862, 935.84831477784735, 6.6801225091375906, 208.27481898007721, 0.79289277083933685
2100-Jan-01 10:00:00, 1145.2787394245322, 2.8434939873711969, 936.96003354256743, 6.6880580019164606, 208.31870588196486, 0.79305984628038939
2100-Jan-01 11:00:00, 1141.4324955573165, 2.8339445467556428, 933.06997055866225, 6.6602905775482109, 208.36252499865441, 0.79322666366627337
2100-Jan-01 12:00:00, 1133.26901411728, 2.8136762840247518, 924.86273883355693, 6.6017070309212142, 208.40627528372298, 0.79339321901330428
2100-Jan-01 13:00:00, 1122.1736423084969, 2.7861287342974466, 913.72368664627788, 6.5221960331754261, 208.44995566221908, 0.79355950822919075
2100-Jan-01 14:00:00, 1109.6930571404237, 2.7551419817605729, 901.1994920865086, 6.4327978340587313, 208.49356505391506, 0.79372552720155509
2100-Jan-01 15:00:00, 1097.6413785861596, 2.7252201170414225, 889.10427618781273, 6.3464617016942286, 208.53710239834689, 0.79389127189325892
2100-Jan-01 16:00:00, 1087.4322917513016, 2.6998730325001903, 878.85172507045934, 6.2732785838602512, 208.5805666808422, 0.79405673844149083
2100-Jan-01 17:00:00, 1080.0511565650354, 2.6815471762700573, 871.42719961414548, 6.2202820257244804, 208.62395695088989, 0.79422192322769813
2100-Jan-01 18:00:00, 1075.8197661707763, 2.6710414952248112, 867.15249383214552, 6.1897690057581443, 208.6672723386308, 0.79438682294036644
2100-Jan-01 19:00:00, 1074.4262012424533, 2.6675815571693042, 865.71568917353909, 6.1795130369332512, 208.7105120689142, 0.79455143462853228
2100-Jan-01 20:00:00, 1075.1240178344897, 2.6693140937260731, 866.37034237005741, 6.1841859774992436, 208.75367546443235, 0.79471575571371589
2100-Jan-01 21:00:00, 1077.2320013665194, 2.6745477877539705, 868.43523942063189, 6.1989252948103708, 208.79676194588754, 0.79487978399055714
2100-Jan-01 22:00:00, 1080.2405797593437, 2.6820174755042467, 871.40080873307772, 6.2200936465653021, 208.83977102626599, 0.79504351760501679
2100-Jan-01 23:00:00, 1083.99147702651, 2.6913301899197726, 875.10877472763161, 6.2465612553777579, 208.8827022988784, 0.79520695500884697
2100-Jan-02 00:00:00, 1088.5892505799948, 2.7027455257717219, 879.66369516029226, 6.2790744586705047, 208.92555541970245, 0.79537009489237043
2100-Jan-02 01:00:00, 1094.0879153389872, 2.7163975911096512, 885.11958524945419, 6.3180188192217583, 208.968330089533, 0.79553293611652698
2100-Jan-02 02:00:00, 1100.3951566153476, 2.732057187353655, 891.38413058486594, 6.3627353930978687, 209.01102603048153, 0.79569547762340742
2100-Jan-02 03:00:00, 1107.4467604891386, 2.749564884411337, 898.39311752126196, 6.412765820743811, 209.05364296787664, 0.79585771836735031
2100-Jan-02 04:00:00, 1115.1425360926864, 2.7686719287522119, 906.04635548484157, 6.4673949378571232, 209.09618060784484, 0.79601965722959256
2100-Jan-02 05:00:00, 1123.3518631279953, 2.7890540167642484, 914.21322450526156, 6.5256903738920071, 209.13863862273377, 0.79618129296277662
2100-Jan-02 06:00:00, 1132.084252471818, 2.8107347620184742, 922.90323583387885, 6.58772002053911, 209.18101663793914, 0.79634262414080093
2100-Jan-02 07:00:00, 1141.087850031106, 2.8330888620669996, 931.86453580647935, 6.6516861363217874, 209.22331422462659, 0.7965036491311126
2100-Jan-02 08:00:00, 1149.5532949978626, 2.8541068387697623, 940.28776410026899, 6.7118114750507516, 209.26553089759366, 0.79666436608656788
2100-Jan-02 09:00:00, 1155.8087824425554, 2.8696379407842794, 946.50111632628602, 6.7561626304749822, 209.30766611626933, 0.79682477294923748
2100-Jan-02 10:00:00, 1158.5751404650377, 2.876506244659192, 949.22542117152364, 6.7756088268628494, 209.3497192935142, 0.7969848674839084
2100-Jan-02 11:00:00, 1156.176503980967, 2.870550918514073, 946.78481417745434, 6.7581876770252167, 209.39168980351258, 0.79714464730812873
2100-Jan-02 12:00:00, 1149.6356239836998, 2.8543112448834496, 940.20204698425755, 6.7111996228658999, 209.43357699944235, 0.79730410995947598
2100-Jan-02 13:00:00, 1140.0782850178302, 2.8305823176369929, 930.60290479206537, 6.6426805639394573, 209.47538022576487, 0.79746325294234455
2100-Jan-02 14:00:00, 1125.5721877178034, 2.794566630771476, 916.05508887807332, 6.5388376750745918, 209.51709883973015, 0.7976220738098142
2100-Jan-02 15:00:00, 1108.8126833414706, 2.7529561928187301, 899.25395111639193, 6.4189104851991985, 209.55873222507861, 0.79778057021581283
2100-Jan-02 16:00:00, 1093.8599147117077, 2.7158315119618694, 884.25963489961907, 6.3118804594064306, 209.60027981208862, 0.79793873999143605
2100-Jan-02 17:00:00, 1082.9229339162466, 2.6886772148799953, 873.28119282467344, 6.2335159030333003, 209.64174109157312, 0.79809658119823201
2100-Jan-02 18:00:00, 1076.3828852285019, 2.6724396052217028, 866.69976960163274, 6.1865374421864363, 209.68311562686912, 0.79825409217384435
2100-Jan-02 19:00:00, 1073.785537994884, 2.6659909207332273, 864.06113493261932, 6.1677027629253516, 209.72440306226468, 0.79841127156409397
2100-Jan-02 20:00:00, 1074.2652604539296, 2.6671819739510565, 864.49965732667783, 6.1708329532233455, 209.76560312725178, 0.79856811833916908
2100-Jan-02 21:00:00, 1077.0069293328684, 2.6739889797080503, 867.20021369877361, 6.190109632064952, 209.80671563409481, 0.79872463178436881
2100-Jan-02 22:00:00, 1081.3097744386012, 2.6846720682572083, 871.46203396879594, 6.2205306747340661, 209.84774046980527, 0.79888081146955103
2100-Jan-02 23:00:00, 1086.6687232877655, 2.6979772474303463, 876.78004570271025, 6.2584908540992572, 209.88867758505515, 0.79903665720692629
2100-Jan-03 00:00:00, 1092.7402320854817, 2.7130515679134559, 882.81070510931875, 6.3015379409090366, 209.92952697616286, 0.79919216898247891
2100-Jan-03 01:00:00, 1099.2617137824298, 2.7292430795129299, 889.29142511662792, 6.3477975781949372, 209.9702886658018, 0.79934734688252551
2100-Jan-03 02:00:00, 1106.0913776306445, 2.7461997446632171, 896.08041495264047, 6.3962576577844583, 210.01096267800395, 0.79950219099855468
2100-Jan-03 03:00:00, 1113.1615543402036, 2.7637535542915916, 903.11000532070932, 6.4464351535455107, 210.0515490194943, 0.79965670135616829
2100-Jan-03 04:00:00, 1120.4420111069173, 2.781829446499168, 910.34996344931915, 6.4981142627520283, 210.0920476575981, 0.79981087783097493
2100-Jan-03 05:00:00, 1127.9140462187088, 2.8003809887416105, 917.78158771597884, 6.5511614924785162, 210.13245850273006, 0.79996472008192754
2100-Jan-03 06:00:00, 1135.567085758076, 2.8193819281340931, 925.3943043597626, 6.6055013667987446, 210.17278139831345, 0.80011822751294559
2100-Jan-03 07:00:00, 1143.3109035396021, 2.8386082514238558, 933.09788742842329, 6.660489849275403, 210.21301611117875, 0.80027139923636326
2100-Jan-03 08:00:00, 1150.6411002261029, 2.8568076377276532, 940.38793789271426, 6.7125265195672323, 210.25316233338876, 0.80042423407987773
2100-Jan-03 09:00:00, 1156.4385150631244, 2.8712014386984546, 946.14529537870214, 6.7536227663926907, 210.29321968442235, 0.80057673059486234
2100-Jan-03 10:00:00, 1159.5675373208219, 2.8789701640487428, 949.23434959715792, 6.7756725583202968, 210.33318772366391, 0.80072888710391343
2100-Jan-03 11:00:00, 1159.3532481053473, 2.8784381275455013, 948.98018214352408, 6.7738583009227051, 210.37306596182322, 0.80088070174432535
2100-Jan-03 12:00:00, 1155.4403330859125, 2.868723156029966, 945.02747920498973, 6.7456437500658115, 210.41285388092274, 0.80103217254418124
2100-Jan-03 13:00:00, 1147.8968985656088, 2.849994343589608, 937.44434761213427, 6.6915150550163247, 210.45255095347443, 0.8011832974953581
2100-Jan-03 14:00:00, 1137.3193869446586, 2.8237325352977387, 926.82723028130363, 6.6157296490441269, 210.49215666335499, 0.80133407463299788
2100-Jan-03 15:00:00, 1125.1230642717019, 2.7934515486743274, 914.59139374624397, 6.5283897609818364, 210.5316705254578, 0.80148450211032174
2100-Jan-03 16:00:00, 1113.1765884383251, 2.7637908808970217, 902.60549633075834, 6.44283394830037, 210.57109210756678, 0.80163457828190277
2100-Jan-03 17:00:00, 1103.4984439844193, 2.7397620182138476, 892.88802293982917, 6.3734702365688367, 210.61042104459, 0.80178430175785254
2100-Jan-03 18:00:00, 1097.0159892366739, 2.7236674025852698, 886.3663321818633, 6.3269181484344861, 210.64965705481055, 0.8019336714656875
2100-Jan-03 19:00:00, 1093.7069061563184, 2.7154516228638803, 883.0181062082662, 6.3030183782060014, 210.68879994805215, 0.80208268668141547
2100-Jan-03 20:00:00, 1093.0542472369248, 2.7138312036163943, 882.32639760549739, 6.2980809346757249, 210.72784963142749, 0.80223134705141841
2100-Jan-03 21:00:00, 1094.5102133911601, 2.7174460712140101, 883.74340728233676, 6.3081956061331041, 210.76680610882318, 0.80237965259049249
2100-Jan-03 22:00:00, 1097.7632981656434, 2.7255228185404299, 886.95762869003045, 6.331138846438007, 210.80566947561306, 0.80252760366172171
2100-Jan-03 23:00:00, 1102.4546258520445, 2.737170430261374, 891.61018594418306, 6.3643489852476218, 210.84443990786144, 0.80267520093537481
2100-Jan-04 00:00:00, 1108.0953780547707, 2.7511752698000542, 897.21226040694694, 6.4043368156744549, 210.8831176478237, 0.80282244533370706
2100-Jan-04 01:00:00, 1114.3257798714001, 2.7666440893062947, 903.4040768861347, 6.4485342480808914, 210.92170298526545, 0.80296933795984304
2100-Jan-04 02:00:00, 1121.0318144912096, 2.7832938082473033, 910.07161825425783, 6.4961274236740731, 210.96019623695187, 0.80311588001969314
2100-Jan-04 03:00:00, 1128.0254757435623, 2.8006576455702317, 917.0268780176159, 6.5457743446210177, 210.99859772594638, 0.80326207274314543
2100-Jan-04 04:00:00, 1135.1951434080054, 2.8184584709881011, 924.15823564470463, 6.5966782591263655, 211.03690776330069, 0.80340791731435934
2100-Jan-04 05:00:00, 1142.5053644803127, 2.8366082619079118, 931.43023785294326, 6.6485861002483366, 211.07512662736937, 0.80355341479301823
2100-Jan-04 06:00:00, 1150.0052655714787, 2.8552289897049938, 938.89201101800927, 6.701848534011301, 211.11325455346943, 0.80369856607496337
2100-Jan-04 07:00:00, 1157.3713403583668, 2.87351745402903, 946.22004863578411, 6.7541563581162416, 211.15129172258267, 0.80384337184918397
2100-Jan-04 08:00:00, 1164.5718163010858, 2.8913947701308031, 953.3825780423166, 6.8052827780236118, 211.18923825876919, 0.80398783258797146
2100-Jan-04 09:00:00, 1171.0333639451646, 2.9074374776766385, 959.80626971590686, 6.8511353447942174, 211.22709422925774, 0.80413194854726255
2100-Jan-04 10:00:00, 1176.0211198338357, 2.9198210602855652, 964.75626018324056, 6.886468573714656, 211.26485965059499, 0.80427571979004953
2100-Jan-04 11:00:00, 1178.1468261569717, 2.925098756396288, 966.84429165786571, 6.9013730254651966, 211.30253449910583, 0.80441914622620247
2100-Jan-04 12:00:00, 1177.4624556223775, 2.92339960366319, 966.1223368979156, 6.896219683661438, 211.34011872446183, 0.80456222766412333
2100-Jan-04 13:00:00, 1174.6662839074856, 2.9164572784586307, 963.28867164257042, 6.8759928683146736, 211.37761226491531, 0.80470496386874135
2100-Jan-04 14:00:00, 1170.5362833638478, 2.9062033277744725, 959.12126829764895, 6.8462457774138654, 211.41501506619898, 0.80484735463346357
2100-Jan-04 15:00:00, 1165.862636603925, 2.8945996141950041, 954.41030950473782, 6.8126187660967421, 211.45232709918722, 0.80498939984741014
2100-Jan-04 16:00:00, 1161.5414036789539, 2.8838708724335356, 950.0518553018909, 6.7815079465699748, 211.4895483770629, 0.80513109956076745
2100-Jan-04 17:00:00, 1158.385620492717, 2.8760357051448975, 946.85894152005062, 6.7587168009462628, 211.52667897266628, 0.80527245405083514
2100-Jan-04 18:00:00, 1156.5910948834037, 2.8715802633344349, 945.02737585373347, 6.7456430123404321, 211.5637190296703, 0.80541346386456969
2100-Jan-04 19:00:00, 1156.1032716111458, 2.8703690974463281, 944.50260283573607, 6.7418971616567722, 211.60066877540979, 0.80555412986742425
2100-Jan-04 20:00:00, 1156.8423670158049, 2.872204120892496, 945.20483848891843, 6.746909747691781, 211.63752852688646, 0.80569445326621014
2100-Jan-04 21:00:00, 1158.6378427123134, 2.8766619215760731, 946.96354401932911, 6.7594634577483408, 211.67429869298428, 0.80583443561752988
2100-Jan-04 22:00:00, 1161.3114852182509, 2.88330003169574, 949.60050544474518, 6.7782861933300484, 211.7109797735057, 0.80597407882410865
2100-Jan-04 23:00:00, 1164.5747129154392, 2.8914019618346343, 952.82714056032705, 6.8013180431758098, 211.74757235511223, 0.80611338511934039
2100-Jan-05 00:00:00, 1168.0882441778633, 2.9001253447764701, 956.30416707792733, 6.8261371968124793, 211.78407709993593, 0.80625235702393161
2100-Jan-05 01:00:00, 1171.7301559450214, 2.909167470379582, 959.90966120925839, 6.8518733573878023, 211.82049473576288, 0.80639099730853081
2100-Jan-05 02:00:00, 1175.5904744378315, 2.9187518554255831, 963.73364839627027, 6.879169130088612, 211.85682604156125, 0.8065293089386345
2100-Jan-05 03:00:00, 1179.5678970437423, 2.9286269861477554, 967.67482521042916, 6.9073014070110785, 211.89307183331306, 0.80666729502064904
2100-Jan-05 04:00:00, 1183.7306515444739, 2.9389622582402768, 971.80141859537628, 6.9367571947937243, 211.92923294909755, 0.80680495874510416
2100-Jan-05 05:00:00, 1188.1489127096133, 2.949931901371889, 976.18360247470139, 6.9680373976954186, 211.96531023491187, 0.80694230333267247
2100-Jan-05 06:00:00, 1192.7082311670245, 2.9612517610478601, 980.70692663251702, 7.0003250655210776, 212.00130453450748, 0.80707933199547743
2100-Jan-05 07:00:00, 1197.3642952494347, 2.9728118204180367, 985.32707857021444, 7.0333038938923984, 212.03721667922034, 0.8072160478983772
2100-Jan-05 08:00:00, 1201.8668106327084, 2.9839906496232467, 989.79376315239676, 7.0651872661734467, 212.07304748031154, 0.80735245412980605
2100-Jan-05 09:00:00, 1205.1270190349935, 2.9920850834674768, 993.0182213075434, 7.0882035767889988, 212.10879772745002, 0.8074885536959977
2100-Jan-05 10:00:00, 1205.4003368510923, 2.9927636759707381, 993.25586866597166, 7.0898999130896634, 212.14446818512059, 0.80762434950731088
2100-Jan-05 11:00:00, 1201.7504739281248, 2.9837018092662171, 989.5704143299339, 7.0635929933914552, 212.18005959819106, 0.80775984439942383
2100-Jan-05 12:00:00, 1195.0902579590863, 2.9671658487086408, 982.87468526702662, 7.0157986129112899, 212.21557269205965, 0.80789504113389432
2100-Jan-05 13:00:00, 1186.6918985295629, 2.9463144317395007, 974.44089034936712, 6.9555978492006867, 212.25100818019581, 0.80802994242686821
2100-Jan-05 14:00:00, 1176.776703505516, 2.9216970207425441, 964.49033673334191, 6.8845704015479443, 212.28636677217409, 0.80816455097966367
2100-Jan-05 15:00:00, 1166.2730447007573, 2.8956185739604643, 953.95139552101932, 6.8093430198203553, 212.32164917973805, 0.80829886950185592
2100-Jan-05 16:00:00, 1156.2825355252969, 2.8708141732558183, 943.92567940093409, 6.7377790592228486, 212.35685612436285, 0.80843290074006824
2100-Jan-05 17:00:00, 1147.9331492697659, 2.850084346709163, 935.54116092440586, 6.6779300327097948, 212.39198834536003, 0.80856664750882601
