Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 373.90436549653691, 1.4234369274176737, null, null, 373.90436549653691, 1.4234369274176737
2100-Jan-01 01:00:00, 374.25772536849792, 1.4247821523918429, null, null, 374.25772536849792, 1.4247821523918429
2100-Jan-01 02:00:00, 374.672767364202, 1.4263621984079673, null, null, 374.672767364202, 1.4263621984079673
2100-Jan-01 03:00:00, 375.14042494857028, 1.4281425495790288, null, null, 375.14042494857028, 1.4281425495790288
2100-Jan-01 04:00:00, 375.65798697384901, 1.4301128846887365, null, null, 375.65798697384901, 1.4301128846887365
2100-Jan-01 05:00:00, 376.22555287684833, 1.4322735822885078, null, null, 376.22555287684833, 1.4322735822885078
2100-Jan-01 06:00:00, 376.8361098449588, 1.4345979449194348, null, null, 376.8361098449588, 1.4345979449194348
2100-Jan-01 07:00:00, 377.47927035897646, 1.4370464277679673, null, null, 377.47927035897646, 1.4370464277679673
2100-Jan-01 08:00:00, 378.12060035553282, 1.4394879419197122, null, null, 378.12060035553282, 1.4394879419197122
2100-Jan-01 09:00:00, 378.67090051033517, 1.4415829096007369, null, null, 378.67090051033517, 1.4415829096007369
2100-Jan-01 10:00:00, 379.03093094912873, 1.4429535291196949, null, null, 379.03093094912873, 1.4429535291196949
2100-Jan-01 11:00:00, 379.10046212036309, 1.4432182311287505, null, null, 379.10046212036309, 1.4432182311287505
2100-Jan-01 12:00:00, 378.84848009350441, 1.4422589470037848, null, null, 378.84848009350441, 1.4422589470037848
2100-Jan-01 13:00:00, 378.31346243273299, 1.4402221590830251, null, null, 378.31346243273299, 1.4402221590830251
2100-Jan-01 14:00:00, 377.57242693261867, 1.4374010706103366, null, null, 377.57242693261867, 1.4374010706103366
2100-Jan-01 15:00:00, 376.73360230430114, 1.4342077033705909, null, null, 376.73360230430114, 1.4342077033705909
2100-Jan-01 16:00:00, 375.9078001897343, 1.4310639122488877, null, null, 375.9078001897343, 1.4310639122488877
2100-Jan-01 17:00:00, 375.19033615422916, 1.428332559270765, null, null, 375.19033615422916, 1.428332559270765
2100-Jan-01 18:00:00, 374.64400496501526, 1.4262527012613662, null, null, 374.64400496501526, 1.4262527012613662
2100-Jan-01 19:00:00, 374.28986671400236, 1.4249045130335196, null, null, 374.28986671400236, 1.4249045130335196
2100-Jan-01 20:00:00, 374.11166528975599, 1.4242261083097507, null, null, 374.11166528975599, 1.4242261083097507
2100-Jan-01 21:00:00, 374.0774784491594, 1.4240959605612153, null, null, 374.0774784491594, 1.4240959605612153
2100-Jan-01 22:00:00, 374.1543593656159, 1.4243886427163235, null, null, 374.1543593656159, 1.4243886427163235
2100-Jan-01 23:00:00, 374.32155487823246, 1.4250251484346799, null, null, 374.32155487823246, 1.4250251484346799
2100-Jan-02 00:00:00, 374.57353315200783, 1.425984418271828, null, null, 374.57353315200783, 1.425984418271828
2100-Jan-02 01:00:00, 374.90908746390301, 1.4272618582879977, null, null, 374.90908746390301, 1.4272618582879977
2100-Jan-02 02:00:00, 375.32326308328607, 1.4288386060488403, null, null, 375.32326308328607, 1.4288386060488403
2100-Jan-02 03:00:00, 375.81165089804773, 1.4306978762649272, null, null, 375.81165089804773, 1.4306978762649272
2100-Jan-02 04:00:00, 376.3684126858322, 1.432817443089067, null, null, 376.3684126858322, 1.432817443089067
2100-Jan-02 05:00:00, 376.98579999339523, 1.435167808511886, null, null, 376.98579999339523, 1.435167808511886
2100-Jan-02 06:00:00, 377.66076356772163, 1.4377373641657285, null, null, 377.66076356772163, 1.4377373641657285
2100-Jan-02 07:00:00, 378.38224812080347, 1.4404840230715541, null, null, 378.38224812080347, 1.4404840230715541
2100-Jan-02 08:00:00, 379.10732378158451, 1.4432443531611931, null, null, 379.10732378158451, 1.4432443531611931
2100-Jan-02 09:00:00, 379.75354147639973, 1.4457044745580889, null, null, 379.75354147639973, 1.4457044745580889
2100-Jan-02 10:00:00, 380.23146073140003, 1.4475238914429063, null, null, 380.23146073140003, 1.4475238914429063
2100-Jan-02 11:00:00, 380.4293364828153, 1.4482771954361104, null, null, 380.4293364828153, 1.4482771954361104
2100-Jan-02 12:00:00, 380.32157580433261, 1.4478669554302948, null, null, 380.32157580433261, 1.4478669554302948
2100-Jan-02 13:00:00, 379.94029434144795, 1.4464154342283715, null, null, 379.94029434144795, 1.4464154342283715
2100-Jan-02 14:00:00, 379.21515967498294, 1.4436548795067752, null, null, 379.21515967498294, 1.4436548795067752
2100-Jan-02 15:00:00, 378.19986128753891, 1.4397896846858582, null, null, 378.19986128753891, 1.4397896846858582
2100-Jan-02 16:00:00, 377.09841083131698, 1.4355965128542716, null, null, 377.09841083131698, 1.4355965128542716
2100-Jan-02 17:00:00, 376.10645272449585, 1.4318201734209905, null, null, 376.10645272449585, 1.4318201734209905
2100-Jan-02 18:00:00, 375.33563295957083, 1.4288856976057092, null, null, 375.33563295957083, 1.4288856976057092
2100-Jan-02 19:00:00, 374.82466616808961, 1.4269404702513491, null, null, 374.82466616808961, 1.4269404702513491
2100-Jan-02 20:00:00, 374.56170052210604, 1.425939371987524, null, null, 374.56170052210604, 1.425939371987524
2100-Jan-02 21:00:00, 374.51214509332186, 1.4257507167221815, null, null, 374.51214509332186, 1.4257507167221815
2100-Jan-02 22:00:00, 374.63499872318647, 1.4262184149080115, null, null, 374.63499872318647, 1.4262184149080115
2100-Jan-02 23:00:00, 374.90000389946584, 1.4272272775709867, null, null, 374.90000389946584, 1.4272272775709867
2100-Jan-03 00:00:00, 375.27818305457856, 1.4286669884282059, null, null, 375.27818305457856, 1.4286669884282059
2100-Jan-03 01:00:00, 375.73918666504517, 1.4304220082230126, null, null, 375.73918666504517, 1.4304220082230126
2100-Jan-03 02:00:00, 376.25833366387548, 1.4323983772550022, null, null, 376.25833366387548, 1.4323983772550022
2100-Jan-03 03:00:00, 376.81982726745076, 1.4345359578868211, null, null, 376.81982726745076, 1.4345359578868211
2100-Jan-03 04:00:00, 377.41524175169758, 1.436802673769827, null, null, 377.41524175169758, 1.436802673769827
2100-Jan-03 05:00:00, 378.04009894404624, 1.4391814767045572, null, null, 378.04009894404624, 1.4391814767045572
2100-Jan-03 06:00:00, 378.70024343171053, 1.4416946167689282, null, null, 378.70024343171053, 1.4416946167689282
2100-Jan-03 07:00:00, 379.39067439964384, 1.4443230560873188, null, null, 379.39067439964384, 1.4443230560873188
2100-Jan-03 08:00:00, 380.08379700062869, 1.446961742330416, null, null, 380.08379700062869, 1.446961742330416
2100-Jan-03 09:00:00, 380.72186779563805, 1.4493908488499851, null, null, 380.72186779563805, 1.4493908488499851
2100-Jan-03 10:00:00, 381.23065114089036, 1.4513277639237783, null, null, 381.23065114089036, 1.4513277639237783
2100-Jan-03 11:00:00, 381.54467217874929, 1.4525232277442683, null, null, 381.54467217874929, 1.4525232277442683
2100-Jan-03 12:00:00, 381.61481520173231, 1.4527902590451256, null, null, 381.61481520173231, 1.4527902590451256
2100-Jan-03 13:00:00, 381.41506917920043, 1.4520298350147747, null, null, 381.41506917920043, 1.4520298350147747
2100-Jan-03 14:00:00, 380.95167233643349, 1.4502657042933607, null, null, 380.95167233643349, 1.4502657042933607
2100-Jan-03 15:00:00, 380.28024269693924, 1.4477096021688249, null, null, 380.28024269693924, 1.4477096021688249
2100-Jan-03 16:00:00, 379.5021100148046, 1.4447472864100612, null, null, 379.5021100148046, 1.4447472864100612
2100-Jan-03 17:00:00, 378.74885638095748, 1.4418796840575032, null, null, 378.74885638095748, 1.4418796840575032
