Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 237.40797190047107, 0.92422560490465122, null, null, 237.40797190047107, 0.92422560490465122
2100-Jan-01 01:00:00, 237.51455411390356, 0.92464052783202044, null, null, 237.51455411390356, 0.92464052783202044
2100-Jan-01 02:00:00, 237.79685109240526, 0.92573950565332064, null, null, 237.79685109240526, 0.92573950565332064
2100-Jan-01 03:00:00, 238.24550210345157, 0.9274860971799489, null, null, 238.24550210345157, 0.9274860971799489
2100-Jan-01 04:00:00, 238.84505389608091, 0.92982014314217476, null, null, 238.84505389608091, 0.92982014314217476
2100-Jan-01 05:00:00, 239.58181328859314, 0.93268833619299307, null, null, 239.58181328859314, 0.93268833619299307
2100-Jan-01 06:00:00, 240.43798956198063, 0.93602141733530742, null, null, 240.43798956198063, 0.93602141733530742
2100-Jan-01 07:00:00, 241.38811291029967, 0.939720233003984, null, null, 241.38811291029967, 0.939720233003984
2100-Jan-01 08:00:00, 242.37590956203286, 0.94356571026686908, null, null, 242.37590956203286, 0.94356571026686908
2100-Jan-01 09:00:00, 243.30200203965148, 0.94717097412331419, null, null, 243.30200203965148, 0.94717097412331419
2100-Jan-01 10:00:00, 244.05176258963593, 0.95008978048139858, null, null, 244.05176258963593, 0.95008978048139858
2100-Jan-01 11:00:00, 244.50820613891929, 0.95186670824024444, null, null, 244.50820613891929, 0.95186670824024444
2100-Jan-01 12:00:00, 244.59674214860303, 0.9522113775723261, null, null, 244.59674214860303, 0.9522113775723261
2100-Jan-01 13:00:00, 244.29745655138336, 0.95104626331809394, null, null, 244.29745655138336, 0.95104626331809394
2100-Jan-01 14:00:00, 243.63986933287825, 0.9484862863302308, null, null, 243.63986933287825, 0.9484862863302308
2100-Jan-01 15:00:00, 242.70834621013384, 0.94485988105533947, null, null, 242.70834621013384, 0.94485988105533947
2100-Jan-01 16:00:00, 241.62381053335218, 0.94063780024697297, null, null, 241.62381053335218, 0.94063780024697297
2100-Jan-01 17:00:00, 240.52460775955595, 0.9363586206541723, null, null, 240.52460775955595, 0.9363586206541723
2100-Jan-01 18:00:00, 239.53265779909245, 0.93249697462389969, null, null, 239.53265779909245, 0.93249697462389969
2100-Jan-01 19:00:00, 238.72863470873239, 0.92936692502574691, null, null, 238.72863470873239, 0.92936692502574691
2100-Jan-01 20:00:00, 238.14398272198039, 0.92709088378000004, null, null, 238.14398272198039, 0.92709088378000004
2100-Jan-01 21:00:00, 237.7774022512894, 0.9256637916122078, null, null, 237.7774022512894, 0.9256637916122078
