Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 3083.2764555161866, 1.1092467511779212, 2103.4563281700944, 5.0094900730387621, 979.82012734609214, 0.4152275502536556
2100-Jan-01 01:00:00, 3113.9291063653823, 1.1202744205614532, 2133.9156193002214, 5.0820304507517191, 980.01348706516092, 0.41530949211239665
2100-Jan-01 02:00:00, 3147.7207787028087, 1.1324313916595521, 2167.5149327486738, 5.162048954072568, 980.20584595413482, 0.41539100983999683
2100-Jan-01 03:00:00, 3184.2890260127729, 1.145587269865763, 2203.8918121009933, 5.2486823742977009, 980.39721391177955, 0.41547210763134867
2100-Jan-01 04:00:00, 3221.9415231253124, 1.1591332203176268, 2241.3539232302428, 5.3379003301467343, 980.58759989506939, 0.4155527892822331
2100-Jan-01 05:00:00, 3260.8105371890692, 1.1731168277539872, 2280.033525854456, 5.4300178049809498, 980.77701133461335, 0.41563305794158889
2100-Jan-01 06:00:00, 3299.7117950126303, 1.1871120352808113, 2318.7463412864081, 5.5222143778351418, 980.96545372622234, 0.41571291593842719
2100-Jan-01 07:00:00, 3336.7786869195597, 1.2004473070338406, 2355.6257565933752, 5.6100446134362043, 981.15293032618445, 0.41579236465269581
2100-Jan-01 08:00:00, 3365.7240707362357, 1.2108607660354824, 2384.3846287390179, 5.678535355362242, 981.33944199721793, 0.41587140444999687
2100-Jan-01 09:00:00, 3378.0832589929987, 1.2153071365179229, 2396.558271748524, 5.7075275160228305, 981.5249872444748, 0.41595003469684472
2100-Jan-01 10:00:00, 3369.4186242751139, 1.2121899272602963, 2387.7090619268424, 5.6864526649967972, 981.70956234827167, 0.41602825381691422
2100-Jan-01 11:00:00, 3336.5416122641436, 1.2003620165011553, 2354.6484506033862, 5.6077171086577096, 981.89316166075764, 0.41610605941676271
2100-Jan-01 12:00:00, 3284.2620988258068, 1.1815538164349926, 2302.186320819812, 5.4827758323204367, 982.07577800599461, 0.41618344845537575
2100-Jan-01 13:00:00, 3219.6201342334562, 1.1582980720188405, 2237.3627310609718, 5.328395099501444, 982.25740317248426, 0.41626041745288977
2100-Jan-01 14:00:00, 3150.6257098260667, 1.1334764764767455, 2168.1876813729732, 5.163651139727647, 982.43802845309369, 0.41633696271940157
2100-Jan-01 15:00:00, 3087.4379562300892, 1.1107439024108774, 2104.8203110128229, 5.0127384687477372, 982.6176452172665, 0.41641308059745946
2100-Jan-01 16:00:00, 3038.2254200734933, 1.093039085267002, 2055.4291746087965, 4.8951109220292741, 982.79624546469688, 0.41648876769669885
2100-Jan-01 17:00:00, 3008.9532866996115, 1.0825080740802062, 2025.9794643574237, 4.8249749134122268, 982.97382234218799, 0.41656402111287644
2100-Jan-01 18:00:00, 2999.9846997027403, 1.0792815142395737, 2016.8343291367917, 4.8031953007381629, 983.15037056594861, 0.41663883860683043
2100-Jan-01 19:00:00, 3007.4626134474829, 1.0819717859834859, 2024.1367266906145, 4.8205863383201422, 983.32588675686816, 0.41671321874656364
2100-Jan-01 20:00:00, 3025.1346952975032, 1.0883295354949236, 2041.6343256878276, 4.8622577756134504, 983.50036960967543, 0.41678716097892893
2100-Jan-01 21:00:00, 3048.3527514051975, 1.0966825176804975, 2064.6789314701218, 4.9171396965535079, 983.67381993507547, 0.41686066564748647
2100-Jan-01 22:00:00, 3073.8405203443635, 1.1058520570644741, 2089.9942797837302, 4.9774295083143558, 983.84624056063353, 0.41693373395049999
2100-Jan-01 23:00:00, 3100.5429053054359, 1.1154585695501711, 2116.5252692008835, 5.0406144322574873, 984.01763610455237, 0.41700636784506856
2100-Jan-02 00:00:00, 3129.6980166489993, 1.1259474806175584, 2145.5100040255952, 5.1096430778392907, 984.18801262340435, 0.41707856989784253
2100-Jan-02 01:00:00, 3162.0054470407404, 1.1375704773607895, 2177.6480698579398, 5.186181544361129, 984.35737718280029, 0.41715034310308197
2100-Jan-02 02:00:00, 3196.46622762682, 1.1499681684078495, 2211.9404902067859, 5.267850717624861, 984.52573742003392, 0.41722169069731441
2100-Jan-02 03:00:00, 3231.8115964046592, 1.162684100972333, 2247.1184953413826, 5.3516289568737712, 984.69310106327646, 0.41729261595557926
2100-Jan-02 04:00:00, 3268.075710186924, 1.1757305633890771, 2283.2162346506375, 5.4375975906443461, 984.85947553628625, 0.41736312202391213
2100-Jan-02 05:00:00, 3303.9400985048287, 1.1886332196375771, 2318.9152309436249, 5.5226165972917274, 985.02486756120379, 0.4174332117510175
