Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1395.9767886022935, 0.5904911326948642, null, null, 1395.9767886022935, 0.5904911326948642
2100-Jan-01 01:00:00, 1397.3578680052299, 0.59107532230864568, null, null, 1397.3578680052299, 0.59107532230864568
2100-Jan-01 02:00:00, 1398.885905846234, 0.59172167459967384, null, null, 1398.885905846234, 0.59172167459967384
2100-Jan-01 03:00:00, 1400.52912859001, 0.59241674952295653, null, null, 1400.52912859001, 0.59241674952295653
2100-Jan-01 04:00:00, 1402.2771013653048, 0.59315613318064409, null, null, 1402.2771013653048, 0.59315613318064409
2100-Jan-01 05:00:00, 1404.1294799939342, 0.59393967998710229, null, null, 1404.1294799939342, 0.59393967998710229
2100-Jan-01 06:00:00, 1406.0661047866849, 0.59475886249558896, null, null, 1406.0661047866849, 0.59475886249558896
2100-Jan-01 07:00:00, 1408.0568506951433, 0.59560093796273927, null, null, 1408.0568506951433, 0.59560093796273927
2100-Jan-01 08:00:00, 1409.9986683907723, 0.59642231704292215, null, null, 1409.9986683907723, 0.59642231704292215
2100-Jan-01 09:00:00, 1411.623193548136, 0.59710948298156463, null, null, 1411.623193548136, 0.59710948298156463
2100-Jan-01 10:00:00, 1412.6319454392383, 0.59753617993788111, null, null, 1412.6319454392383, 0.59753617993788111
2100-Jan-01 11:00:00, 1412.7243905150074, 0.59757528373813673, null, null, 1412.7243905150074, 0.59757528373813673
2100-Jan-01 12:00:00, 1411.8153135649391, 0.59719074877857614, null, null, 1411.8153135649391, 0.59719074877857614
2100-Jan-01 13:00:00, 1410.0363760707698, 0.59643826720115889, null, null, 1410.0363760707698, 0.59643826720115889
2100-Jan-01 14:00:00, 1407.6437577622703, 0.59542620173801686, null, null, 1407.6437577622703, 0.59542620173801686
2100-Jan-01 15:00:00, 1404.9917073889583, 0.59430439782144251, null, null, 1404.9917073889583, 0.59430439782144251
2100-Jan-01 16:00:00, 1402.437756043196, 0.59322408929817783, null, null, 1402.437756043196, 0.59322408929817783
2100-Jan-01 17:00:00, 1400.2821894532892, 0.59231229551502496, null, null, 1400.2821894532892, 0.59231229551502496
2100-Jan-01 18:00:00, 1398.7143679737173, 0.59164911494576733, null, null, 1398.7143679737173, 0.59164911494576733
2100-Jan-01 19:00:00, 1397.7863805117177, 0.5912565809351471, null, null, 1397.7863805117177, 0.5912565809351471
2100-Jan-01 20:00:00, 1397.4304313423504, 0.5911060162338444, null, null, 1397.4304313423504, 0.5911060162338444
2100-Jan-01 21:00:00, 1397.5291181705757, 0.59114776026387161, null, null, 1397.5291181705757, 0.59114776026387161
2100-Jan-01 22:00:00, 1397.9640542376621, 0.59133173602407096, null, null, 1397.9640542376621, 0.59133173602407096
2100-Jan-01 23:00:00, 1398.6584858123767, 0.59162547707369317, null, null, 1398.6584858123767, 0.59162547707369317
2100-Jan-02 00:00:00, 1399.586992969151, 0.59201823091257888, null, null, 1399.586992969151, 0.59201823091257888
2100-Jan-02 01:00:00, 1400.7412602958805, 0.59250648016339602, null, null, 1400.7412602958805, 0.59250648016339602
2100-Jan-02 02:00:00, 1402.1031011453406, 0.59308253196620075, null, null, 1402.1031011453406, 0.59308253196620075
2100-Jan-02 03:00:00, 1403.6560598355943, 0.59373942565062543, null, null, 1403.6560598355943, 0.59373942565062543
2100-Jan-02 04:00:00, 1405.3799581541505, 0.59446862593467464, null, null, 1405.3799581541505, 0.59446862593467464
2100-Jan-02 05:00:00, 1407.2501862141694, 0.59525972296048124, null, null, 1407.2501862141694, 0.59525972296048124
2100-Jan-02 06:00:00, 1409.2569367990934, 0.59610856832496206, null, null, 1409.2569367990934, 0.59610856832496206
2100-Jan-02 07:00:00, 1411.3670212696522, 0.59700112340128941, null, null, 1411.3670212696522, 0.59700112340128941
2100-Jan-02 08:00:00, 1413.4508878979693, 0.59788258846273357, null, null, 1413.4508878979693, 0.59788258846273357
2100-Jan-02 09:00:00, 1415.2582413053674, 0.59864708982796255, null, null, 1415.2582413053674, 0.59864708982796255
2100-Jan-02 10:00:00, 1416.5172369419827, 0.59917963862504331, null, null, 1416.5172369419827, 0.59917963862504331
2100-Jan-02 11:00:00, 1416.8921874898435, 0.59933824081350284, null, null, 1416.8921874898435, 0.59933824081350284
2100-Jan-02 12:00:00, 1416.3148758586897, 0.59909404090861806, null, null, 1416.3148758586897, 0.59909404090861806
2100-Jan-02 13:00:00, 1414.8964873628825, 0.59849406973694186, null, null, 1414.8964873628825, 0.59849406973694186
2100-Jan-02 14:00:00, 1412.4459591931723, 0.59745750869491931, null, null, 1412.4459591931723, 0.59745750869491931
2100-Jan-02 15:00:00, 1409.1487651940768, 0.59606281228224467, null, null, 1409.1487651940768, 0.59606281228224467
2100-Jan-02 16:00:00, 1405.635809476028, 0.59457684975192615, null, null, 1405.635809476028, 0.59457684975192615
2100-Jan-02 17:00:00, 1402.5140639426361, 0.59325636715432983, null, null, 1402.5140639426361, 0.59325636715432983
2100-Jan-02 18:00:00, 1400.1358435920872, 0.59225039195469942, null, null, 1400.1358435920872, 0.59225039195469942
2100-Jan-02 19:00:00, 1398.6197542812197, 0.59160909383158589, null, null, 1398.6197542812197, 0.59160909383158589
2100-Jan-02 20:00:00, 1397.9160547614592, 0.59131143248800699, null, null, 1397.9160547614592, 0.59131143248800699
2100-Jan-02 21:00:00, 1397.8966588845178, 0.59130322812999891, null, null, 1397.8966588845178, 0.59130322812999891
2100-Jan-02 22:00:00, 1398.4124783464847, 0.59152141715781781, null, null, 1398.4124783464847, 0.59152141715781781
2100-Jan-02 23:00:00, 1399.3510350669394, 0.59191842191139576, null, null, 1399.3510350669394, 0.59191842191139576
2100-Jan-03 00:00:00, 1400.6101186007552, 0.59245100788854854, null, null, 1400.6101186007552, 0.59245100788854854
2100-Jan-03 01:00:00, 1402.0908192652141, 0.59307733679292374, null, null, 1402.0908192652141, 0.59307733679292374
2100-Jan-03 02:00:00, 1403.7154782160685, 0.59376455932553718, null, null, 1403.7154782160685, 0.59376455932553718
2100-Jan-03 03:00:00, 1405.4341192816296, 0.59449153581811565, null, null, 1405.4341192816296, 0.59449153581811565
2100-Jan-03 04:00:00, 1407.2194049139991, 0.59524670262593715, null, null, 1407.2194049139991, 0.59524670262593715
2100-Jan-03 05:00:00, 1409.0575259600737, 0.5960242185469673, null, null, 1409.0575259600737, 0.5960242185469673
2100-Jan-03 06:00:00, 1410.9678175485369, 0.596832262243008, null, null, 1410.9678175485369, 0.596832262243008
2100-Jan-03 07:00:00, 1412.9376144304208, 0.59766547637769785, null, null, 1412.9376144304208, 0.59766547637769785
2100-Jan-03 08:00:00, 1414.8866097429323, 0.59848989155357923, null, null, 1414.8866097429323, 0.59848989155357923
2100-Jan-03 09:00:00, 1416.6408204375393, 0.59923191381963792, null, null, 1416.6408204375393, 0.59923191381963792
2100-Jan-03 10:00:00, 1417.9748459565685, 0.59979619987812183, null, null, 1417.9748459565685, 0.59979619987812183
2100-Jan-03 11:00:00, 1418.692681367146, 0.60009984063213806, null, null, 1418.692681367146, 0.60009984063213806
2100-Jan-03 12:00:00, 1418.6535525558356, 0.60008328934253186, null, null, 1418.6535525558356, 0.60008328934253186
2100-Jan-03 13:00:00, 1417.7921181853064, 0.59971890695354857, null, null, 1417.7921181853064, 0.59971890695354857
2100-Jan-03 14:00:00, 1416.1434091721153, 0.59902151136600579, null, null, 1416.1434091721153, 0.59902151136600579
2100-Jan-03 15:00:00, 1413.8921191370193, 0.59806922704888654, null, null, 1413.8921191370193, 0.59806922704888654
2100-Jan-03 16:00:00, 1411.3601790703019, 0.59699822918551337, null, null, 1411.3601790703019, 0.59699822918551337
2100-Jan-03 17:00:00, 1408.9594137560002, 0.59598271758005472, null, null, 1408.9594137560002, 0.59598271758005472
2100-Jan-03 18:00:00, 1407.0171514275821, 0.5951611504224471, null, null, 1407.0171514275821, 0.5951611504224471
2100-Jan-03 19:00:00, 1405.692113345405, 0.59460066600437023, null, null, 1405.692113345405, 0.59460066600437023
2100-Jan-03 20:00:00, 1404.9997817288977, 0.59430781322646609, null, null, 1404.9997817288977, 0.59430781322646609
