Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 1741.3550616826735, 0.73795034027597706, null, null, 1741.3550616826735, 0.73795034027597706
2100-Jan-01 01:00:00, 1745.1131913450863, 0.73954295807357828, null, null, 1745.1131913450863, 0.73954295807357828
2100-Jan-01 02:00:00, 1750.1862385165077, 0.74169281077666172, null, null, 1750.1862385165077, 0.74169281077666172
2100-Jan-01 03:00:00, 1756.4958918454158, 0.74436671165049717, null, null, 1756.4958918454158, 0.74436671165049717
2100-Jan-01 04:00:00, 1763.8242213375413, 0.74747230646074958, null, null, 1763.8242213375413, 0.74747230646074958
2100-Jan-01 05:00:00, 1772.0697048073373, 0.75096657220021124, null, null, 1772.0697048073373, 0.75096657220021124
2100-Jan-01 06:00:00, 1781.0253805299863, 0.75476180276079774, null, null, 1781.0253805299863, 0.75476180276079774
2100-Jan-01 07:00:00, 1790.3715299775424, 0.75872250802812535, null, null, 1790.3715299775424, 0.75872250802812535
2100-Jan-01 08:00:00, 1799.2180203784267, 0.76247146810251276, null, null, 1799.2180203784267, 0.76247146810251276
2100-Jan-01 09:00:00, 1806.1378856985091, 0.7654039642257815, null, null, 1806.1378856985091, 0.7654039642257815
2100-Jan-01 10:00:00, 1809.9136482289491, 0.76700405446897812, null, null, 1809.9136482289491, 0.76700405446897812
2100-Jan-01 11:00:00, 1809.4730355100421, 0.76681733189125567, null, null, 1809.4730355100421, 0.76681733189125567
2100-Jan-01 12:00:00, 1804.7077944719802, 0.76479792107555633, null, null, 1804.7077944719802, 0.76479792107555633
2100-Jan-01 13:00:00, 1796.1761845660233, 0.76118240085699784, null, null, 1796.1761845660233, 0.76118240085699784
2100-Jan-01 14:00:00, 1784.846805154988, 0.7563812436573798, null, null, 1784.846805154988, 0.7563812436573798
2100-Jan-01 15:00:00, 1772.248845604493, 0.75104248837326937, null, null, 1772.248845604493, 0.75104248837326937
2100-Jan-01 16:00:00, 1759.9965304867512, 0.74585021006698926, null, null, 1759.9965304867512, 0.74585021006698926
2100-Jan-01 17:00:00, 1749.6003657338877, 0.7414445299815462, null, null, 1749.6003657338877, 0.7414445299815462
2100-Jan-01 18:00:00, 1741.9718447577102, 0.73821172021514925, null, null, 1741.9718447577102, 0.73821172021514925
2100-Jan-01 19:00:00, 1737.3133428432784, 0.73623754323735968, null, null, 1737.3133428432784, 0.73623754323735968
2100-Jan-01 20:00:00, 1735.2454832871931, 0.73536122703015172, null, null, 1735.2454832871931, 0.73536122703015172
2100-Jan-01 21:00:00, 1735.2646107417042, 0.73536933285065653, null, null, 1735.2646107417042, 0.73536933285065653
2100-Jan-01 22:00:00, 1736.8714694229161, 0.73605028640037651, null, null, 1736.8714694229161, 0.73605028640037651
2100-Jan-01 23:00:00, 1739.7477742920901, 0.73726920504807225, null, null, 1739.7477742920901, 0.73726920504807225
