Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 10987.068182562314, 3.6752771480838669, 9042.9639494363146, 4.9275904934515324, 1944.1042331259996, 1.6842520424089213
2100-Jan-01 01:00:00, 11061.288861506935, 3.7001046599103038, 9116.5585781349419, 4.9676928531172546, 1944.7302833719934, 1.6847944137424637
2100-Jan-01 02:00:00, 11142.065114196286, 3.7271250725157516, 9196.7094027375406, 5.0113677415235811, 1945.355711458745, 1.6853362460755981
2100-Jan-01 03:00:00, 11228.885762499496, 3.7561673920307106, 9282.9052348817186, 5.0583366076413405, 1945.9805276177772, 1.6858775482722854
2100-Jan-01 04:00:00, 11322.092038224793, 3.7873457636890269, 9375.4872983598052, 5.1087853873124329, 1946.6047398649876, 1.6864183272770048
2100-Jan-01 05:00:00, 11421.995166967228, 3.8207642953653744, 9474.7668136117354, 5.1628836672884777, 1947.2283533554921, 1.6869585875558311
2100-Jan-01 06:00:00, 11526.276918574591, 3.8556475173747708, 9578.4255486503916, 5.2193682225953175, 1947.8513699241987, 1.6874983306984153
2100-Jan-01 07:00:00, 11632.511471989981, 3.8911839698675434, 9684.0376841611251, 5.276917202978928, 1948.4737878288554, 1.6880375551953777
2100-Jan-01 08:00:00, 11729.763268245513, 3.9237156060100533, 9780.6676665705836, 5.3295717292344396, 1949.095601674929, 1.6885762563732274
2100-Jan-01 09:00:00, 11794.124386643471, 3.9452450025462973, 9844.4075840765145, 5.3643041702031091, 1949.7168025669571, 1.6891144265254843
2100-Jan-01 10:00:00, 11809.56045536913, 3.9504085120195258, 9859.2230769481575, 5.3723772624147239, 1950.3373784209734, 1.6896520551833449
2100-Jan-01 11:00:00, 11760.800151436451, 3.9340977339484642, 9809.8428369639041, 5.3454695358693884, 1950.9573144725466, 1.6901891295558162
2100-Jan-01 12:00:00, 11656.682744045153, 3.8992694866176336, 9705.1061501483819, 5.2883975951701281, 1951.5765938967702, 1.6907256350668367
2100-Jan-01 13:00:00, 11515.04473876148, 3.8518902480919781, 9562.8495402414501, 5.210880718786723, 1952.1951985200301, 1.6912615559719077
2100-Jan-01 14:00:00, 11355.785434317997, 3.7986165200587036, 9402.9723247213424, 5.1237622196174888, 1952.8131095966544, 1.6917968760309348
