Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 9696.9504703312068, 3.2105487678020057, 7848.6668360631147, 4.2227390336785957, 1848.2836342680921, 1.5910529642426323
2100-Jan-01 01:00:00, 9712.7518309073275, 3.2157804165437907, 7863.9067211968149, 4.2309383953239594, 1848.8451097105117, 1.5915362976176881
2100-Jan-01 02:00:00, 9730.4053452254084, 3.2216252920863337, 7880.999451737589, 4.2401346246905867, 1849.4058934878203, 1.5920190355885511
2100-Jan-01 03:00:00, 9749.7400051436962, 3.228026775600811, 7899.7740258602535, 4.2502357193916884, 1849.9659792834427, 1.5925011727177414
2100-Jan-01 04:00:00, 9770.8130839354653, 3.2350038296092554, 7920.2877234557909, 4.26127249714912, 1850.5253604796742, 1.592982703308558
2100-Jan-01 05:00:00, 9793.7432543502091, 3.2425957452940666, 7942.659224280148, 4.2733088100346306, 1851.0840300700615, 1.5934636213296547
2100-Jan-01 06:00:00, 9818.2852113638837, 3.2507213049832471, 7966.6432307689247, 4.2862126830744192, 1851.6419805949588, 1.5939439203595653
2100-Jan-01 07:00:00, 9844.0020211085885, 3.2592358448986851, 7991.8028170085263, 4.2997490414272805, 1852.1992041000626, 1.5944235935510083
2100-Jan-01 08:00:00, 9869.1147795136803, 3.2675503903632888, 8016.3590873941876, 4.3129608038380178, 1852.755692119493, 1.5949026336163232
2100-Jan-01 09:00:00, 9889.3154184929735, 3.2742385895844985, 8036.0039828037889, 4.3235301487205771, 1853.3114356891854, 1.5953810328389988
2100-Jan-01 10:00:00, 9900.2098770481371, 3.2778456195056234, 8046.3434516645139, 4.329092988838223, 1853.8664253836228, 1.5958587831052928
2100-Jan-01 11:00:00, 9897.5376302680634, 3.2769608693325378, 8043.1169788934803, 4.3273570822446672, 1854.4206513745837, 1.5963358759548045
2100-Jan-01 12:00:00, 9880.5776148512105, 3.2713456032996673, 8025.6035113389717, 4.3179344879872987, 1854.9741035122393, 1.5968123026502841
2100-Jan-01 13:00:00, 9851.6836250430115, 3.2617791356086729, 7996.1568536290633, 4.3020915998229468, 1855.5267714139482, 1.5972880542540708
2100-Jan-01 14:00:00, 9814.9095969473801, 3.2496036778757724, 7958.8309523805219, 4.2820095217501173, 1856.0786445668584, 1.5977631217164148
2100-Jan-01 15:00:00, 9775.498395381117, 3.2365550823391347, 7918.868682950434, 4.2605090251025288, 1856.6297124306839, 1.5982374959639505
2100-Jan-01 16:00:00, 9738.446974264536, 3.2242877829675325, 7881.2670097255077, 4.2402785762154709, 1857.1799645390277, 1.5987111679869177
2100-Jan-01 17:00:00, 9707.7443316027457, 3.214122491119578, 7850.0149410104395, 4.2234643409825585, 1857.7293905923057, 1.5991841289191537
2100-Jan-01 18:00:00, 9685.7050363520611, 3.206825533954869, 7827.4270558140715, 4.2113116089964473, 1858.2779805379887, 1.5996563701071673
2100-Jan-01 19:00:00, 9672.7311049064629, 3.2025300144775182, 7813.905380271678, 4.2040366783227121, 1858.825724634785, 1.6001278831653887
2100-Jan-01 20:00:00, 9667.5729101595789, 3.2008221955256366, 7808.2002966645223, 4.2009672297473637, 1859.3726134950559, 1.6005986600126825
2100-Jan-01 21:00:00, 9668.3755198984345, 3.2010879303786703, 7808.4568817934805, 4.2011052776556452, 1859.9186381049537, 1.6010686928896825
2100-Jan-01 22:00:00, 9673.3918909052809, 3.2027487931214615, 7812.9281010857439, 4.2035108826619405, 1860.4637898195379, 1.6015379743545886
2100-Jan-01 23:00:00, 9681.6102474414747, 3.2054697964442447, 7820.6021871036783, 4.2076396937393632, 1861.0080603377962, 1.6020064972616626
2100-Jan-02 00:00:00, 9692.8472142758437, 3.209190226917134, 7831.2957726234608, 4.2133930556704469, 1861.551441652382, 1.6024742547179625
2100-Jan-02 01:00:00, 9707.1862533511885, 3.2139377178294226, 7845.0923273642111, 4.2208158768260553, 1862.0939259869781, 1.6029412400294221
2100-Jan-02 02:00:00, 9724.5246964038961, 3.2196782768999048, 7861.8891906829513, 4.2298529237361757, 1862.6355057209441, 1.6034074466359862
2100-Jan-02 03:00:00, 9744.7252663072268, 3.2263664532508582, 7881.5490929973521, 4.2404303426323215, 1863.1761733098742, 1.6038728680432248
2100-Jan-02 04:00:00, 9767.5394793058131, 3.2339199767689055, 7903.823558099507, 4.2524144483671957, 1863.7159212063063, 1.6043374977540765
2100-Jan-02 05:00:00, 9792.6436860983413, 3.2422316908929485, 7928.3889443101389, 4.2656311152732735, 1864.2547417882033, 1.604801329207284
2100-Jan-02 06:00:00, 9819.9210534759459, 3.2512629134913311, 7955.1284261757601, 4.2800174889304508, 1864.7926273001851, 1.6052643557268045
2100-Jan-02 07:00:00, 9848.8685148113163, 3.2608470849899502, 7983.5389450019265, 4.2953029137446466, 1865.3295698093891, 1.6057265704838135
2100-Jan-02 08:00:00, 9877.3036739849431, 3.2702616391352413, 8011.438112803794, 4.3103132215261892, 1865.8655611811496, 1.6061879664757688
2100-Jan-02 09:00:00, 9901.2665359158436, 3.2781954671031834, 8034.8659428434157, 4.3229178605622272, 1866.4005930724277, 1.6066485365207552
2100-Jan-02 10:00:00, 9916.789924301549, 3.2833350824499181, 8049.8552673573549, 4.330982415605213, 1866.9346569441943, 1.6071082732681434
2100-Jan-02 11:00:00, 9919.0350274995108, 3.2840784102959102, 8051.5672834075049, 4.3319035143283786, 1867.4677440920059, 1.6075671692249109
2100-Jan-02 12:00:00, 9907.6253612263608, 3.2803008010252048, 8039.6255155360277, 4.3254786054393541, 1867.9998456903336, 1.6080252167938018
2100-Jan-02 13:00:00, 9884.5512301933195, 3.2726612216354893, 8016.0202773436222, 4.3127785172847206, 1868.5309528496982, 1.6084824083225102
2100-Jan-02 14:00:00, 9847.2262180287034, 3.2603033394146874, 7978.1651613468757, 4.2924117111400895, 1869.0610566818268, 1.608938736159768
2100-Jan-02 15:00:00, 9798.9313666882499, 3.2443134696162725, 7929.341218317335, 4.2661434576500028, 1869.5901483709142, 1.6093941927166899
2100-Jan-02 16:00:00, 9748.9296425693592, 3.2277584738731213, 7878.8114233260303, 4.2389574218390358, 1870.1182192433291, 1.6098487705267772
2100-Jan-02 17:00:00, 9705.8783816968535, 3.2135046965676235, 7835.2331208606047, 4.2155114274191083, 1870.6452608362483, 1.6103024623050011
2100-Jan-02 18:00:00, 9674.2997194402378, 3.203049364707673, 7803.1284544833816, 4.1982384776677684, 1871.1712649568553, 1.6107552609987617
2100-Jan-02 19:00:00, 9655.1542245255732, 3.1967105115501466, 7783.4580007935201, 4.1876553819215347, 1871.6962237320536, 1.6112071598306827
2100-Jan-02 20:00:00, 9647.134812887396, 3.1940553765948616, 7774.9146832482566, 4.1830589069750213, 1872.2201296391395, 1.6116581523250155
2100-Jan-02 21:00:00, 9648.0994297411853, 3.1943747501402675, 7775.3564542197091, 4.1832965885538247, 1872.7429755214764, 1.6121082323211324
2100-Jan-02 22:00:00, 9655.8299064266976, 3.1969342220560133, 7782.5651518463928, 4.1871750114103428, 1873.2647545803056, 1.6125573939664763
2100-Jan-02 23:00:00, 9668.8091747823073, 3.2012315085228846, 7795.0237144329994, 4.1938779661460774, 1873.7854603493079, 1.613005631694663
2100-Jan-03 00:00:00, 9685.6615093529763, 3.2068111226661133, 7811.3564227052811, 4.2026652883993485, 1874.3050866476945, 1.6134529401851014
2100-Jan-03 01:00:00, 9705.0979279906642, 3.2132462973221698, 7830.2743004730146, 4.2128434833148356, 1874.8236275176498, 1.6138993143091411
2100-Jan-03 02:00:00, 9726.170063099351, 3.2202230388879998, 7850.8289859488041, 4.2239023133679581, 1875.3410771505464, 1.6143447490665574
2100-Jan-03 03:00:00, 9748.3589579825966, 3.2275695267703761, 7872.5015281723599, 4.2355625726091777, 1875.857429810236, 1.6147892395195169
2100-Jan-03 04:00:00, 9771.466584515003, 3.2352201961346707, 7895.0939047590864, 4.2477177210527302, 1876.3726797559173, 1.6152327807261817
2100-Jan-03 05:00:00, 9795.4352261870827, 3.2431559377084396, 7918.5484050138139, 4.2603367091955295, 1876.8868211732688, 1.6156753676814253
2100-Jan-03 06:00:00, 9820.6493121139138, 3.2515040315500365, 7943.2494639928545, 4.2736263707524103, 1877.3998481210599, 1.616116995270874
2100-Jan-03 07:00:00, 9846.8835960179895, 3.2601899012077289, 7968.9718415236057, 4.2874655220257241, 1877.9117544943838, 1.6165576582392578
2100-Jan-03 08:00:00, 9872.7527864337062, 3.2687548926106786, 7994.3302524245755, 4.3011088520052265, 1878.4225340091302, 1.616997351177043
2100-Jan-03 09:00:00, 9895.4215458142371, 3.2762602581087741, 8016.4893656064205, 4.3130308961101864, 1878.9321802078161, 1.6174360685254521
2100-Jan-03 10:00:00, 9911.5164369362446, 3.281589091438156, 8032.0757504476005, 4.3214166814973769, 1879.4406864886446, 1.6178738046014784
2100-Jan-03 11:00:00, 9918.3229839446612, 3.2838426608647215, 8038.3749377933573, 4.3248057697133735, 1879.948046151304, 1.6183105536373108
2100-Jan-03 12:00:00, 9914.0001741571105, 3.2824114282643979, 8033.5459216977779, 4.3222076629027528, 1880.4542524593323, 1.6187463098340191
2100-Jan-03 13:00:00, 9897.8435010807498, 3.2770621396405364, 8016.8842023652005, 4.3132433261480587, 1880.9592987155486, 1.6191810674264873
2100-Jan-03 14:00:00, 9870.6139724137938, 3.2680467558890158, 7989.1507940709571, 4.2983222002820778, 1881.463178342836, 1.6196148207529535
2100-Jan-03 15:00:00, 9835.2911938870311, 3.2563517901963048, 7953.3253089156315, 4.2790473759423877, 1881.965884971399, 1.6200475643301244
2100-Jan-03 16:00:00, 9796.7743391756776, 3.2435993026166789, 7914.306926655142, 4.2580547093859096, 1882.4674125205358, 1.6204792929235659
2100-Jan-03 17:00:00, 9761.0829753043072, 3.2317823025557839, 7878.1152200277475, 4.2385828506023611, 1882.9677552765597, 1.6209100016147806
2100-Jan-03 18:00:00, 9732.687718754396, 3.2223809597102506, 7849.220810791574, 4.2230370831127733, 1883.4669079628213, 1.6213396858614848
