Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 5661.8236620789285, 1.8745646930358204, 4045.1943183634371, 2.1763950876957381, 1616.6293437154909, 1.3916386325731753
2100-Jan-01 01:00:00, 5670.2753630944007, 1.8773629540317982, 4053.1707899465032, 2.180686588228042, 1617.1045731478973, 1.3920477230304551
2100-Jan-01 02:00:00, 5679.7035247676922, 1.8804845099204703, 4062.1241807337874, 2.1855036907437868, 1617.5793440339048, 1.392456418758488
2100-Jan-01 03:00:00, 5690.0195519607532, 1.883900027870637, 4071.965900634711, 2.1907987320103119, 1618.0536513260424, 1.3928647154122731
2100-Jan-01 04:00:00, 5701.25173749846, 1.8876188753111951, 4082.7242477168475, 2.1965869369514186, 1618.5274897816128, 1.3932726084787537
2100-Jan-01 05:00:00, 5713.4566655478511, 1.8916597866090277, 4094.4558116333928, 2.2028987519272905, 1619.000853914458, 1.3936800932352953
2100-Jan-01 06:00:00, 5726.5016843057219, 1.8959788422778359, 4107.0279463410307, 2.2096628107254896, 1619.4737379646915, 1.3940871647236304
2100-Jan-01 07:00:00, 5740.1544763383072, 1.9004991246873817, 4120.2083404527175, 2.2167541251942033, 1619.9461358855897, 1.3944938177385746
2100-Jan-01 08:00:00, 5753.5689842906559, 1.9049405139786701, 4133.1509429525404, 2.223717503041033, 1620.4180413381159, 1.3949000468233121
2100-Jan-01 09:00:00, 5764.5732206908742, 1.9085838900816436, 4143.6837729906465, 2.2293843753221507, 1620.8894477002282, 1.3953058462774086
2100-Jan-01 10:00:00, 5770.8514685257005, 1.9106625457282544, 4149.4911204273494, 2.2325088438739842, 1621.3603480983509, 1.3957112101839029
2100-Jan-01 11:00:00, 5770.1256370499805, 1.9104222312750523, 4148.2949016071943, 2.2318652543306645, 1621.8307354427861, 1.3961161324397895
2100-Jan-01 12:00:00, 5761.964463092706, 1.9077201604464435, 4139.6638606228644, 2.2272215824272603, 1622.3006024698416, 1.3965206067922837
2100-Jan-01 13:00:00, 5747.5648288080411, 1.902952607157306, 4124.7948870070559, 2.2192217785637918, 1622.7699418009847, 1.3969246268897439
2100-Jan-01 14:00:00, 5729.0206087780971, 1.8968128291983337, 4105.7818627851002, 2.2089923929614592, 1623.2387459929969, 1.3973281863248441
2100-Jan-01 15:00:00, 5709.0372351488541, 1.8901965640355702, 4085.3302275528094, 2.1979890059911864, 1623.7070075960446, 1.3977312786845648
2100-Jan-01 16:00:00, 5690.2103771298807, 1.8839632078892916, 4066.0356579202817, 2.1876081433520769, 1624.1747192095993, 1.3981338975983288
2100-Jan-01 17:00:00, 5674.6372032629488, 1.8788071091423484, 4049.9953297331408, 2.1789781274062312, 1624.6418735298078, 1.3985360367787802
2100-Jan-01 18:00:00, 5663.5432887961488, 1.8751340416629938, 4038.4348254077304, 2.1727583458963808, 1625.1084633884188, 1.398937690055293
2100-Jan-01 19:00:00, 5657.145908584288, 1.8730159426565904, 4031.5714267954386, 2.1690657007849015, 1625.5744817888497, 1.3993388514050178
2100-Jan-01 20:00:00, 5654.7961584722925, 1.8722379674209955, 4028.7562365526446, 2.167551072380641, 1626.0399219196481, 1.3997395149644707
2100-Jan-01 21:00:00, 5655.5287614850477, 1.8724805238522244, 4029.0239843205136, 2.167695126010917, 1626.5047771645343, 1.4001396750381776
2100-Jan-01 22:00:00, 5658.4354179974571, 1.8734428843915396, 4031.4663769034578, 2.1690091818513531, 1626.9690410939995, 1.400539326091442
2100-Jan-01 23:00:00, 5662.9935801463089, 1.8749520394517014, 4035.5608726986147, 2.171212102115212, 1627.4327074476939, 1.400938462735184
2100-Jan-02 00:00:00, 5669.1088194667063, 1.876976724854085, 4041.2130493630043, 2.1742530857019147, 1627.895770103702, 1.4013370796994917
2100-Jan-02 01:00:00, 5676.8220105120818, 1.8795304736931988, 4048.4637874701029, 2.1781541271739697, 1628.358223041979, 1.4017351718021467
2100-Jan-02 02:00:00, 5686.0766795433728, 1.8825945881635919, 4057.2566192358863, 2.1828848457392347, 1628.8200603074865, 1.4021327339168892
2100-Jan-02 03:00:00, 5696.8029011064245, 1.8861459167516661, 4067.521625149699, 2.1884076233087999, 1629.2812759567259, 1.4025297609273935
2100-Jan-02 04:00:00, 5708.8713699015179, 1.8901416479599356, 4079.129505883132, 2.1946528942694843, 1629.7418640183857, 1.4029262476933917
2100-Jan-02 05:00:00, 5722.1129970024413, 1.8945257983897676, 4091.9111785365017, 2.2015296886546261, 1630.2018184659398, 1.4033221890270862
2100-Jan-02 06:00:00, 5736.4685253010784, 1.899278748694232, 4105.8073921226878, 2.2090061282533995, 1630.6611331783904, 1.4037175796593546
2100-Jan-02 07:00:00, 5751.6747427019163, 1.9043133523759317, 4120.5549407836888, 2.2169406030734726, 1631.1198019182277, 1.4041124142207786
2100-Jan-02 08:00:00, 5766.7011316582848, 1.9092884169280286, 4135.1233133243031, 2.2247786775731773, 1631.5778183339817, 1.4045066872438396
2100-Jan-02 09:00:00, 5779.5501997612591, 1.9135425955887968, 4147.5150238144715, 2.2314456645499265, 1632.0351759467878, 1.4049003931513544
2100-Jan-02 10:00:00, 5788.1269855565861, 1.9163822707166773, 4155.63511738944, 2.2358144365735511, 1632.4918681671465, 1.4052935262709019
2100-Jan-02 11:00:00, 5789.8596614696871, 1.9169559397825169, 4156.9117731559963, 2.236501302795626, 1632.9478883136912, 1.4056860808509795
2100-Jan-02 12:00:00, 5784.4692277668946, 1.9151712291835126, 4151.0659981263479, 2.2333561594336504, 1633.4032296405469, 1.4060780510845539
2100-Jan-02 13:00:00, 5772.9720992243747, 1.9113646621613971, 4139.114213857647, 2.2269258615234815, 1633.8578853667279, 1.406469431134368
2100-Jan-02 14:00:00, 5753.8403554452343, 1.9050303618466793, 4119.5285067286623, 2.2163883611143995, 1634.3118487165725, 1.406860215167747
2100-Jan-02 15:00:00, 5728.7886032148781, 1.8967360148248464, 4094.0234902579318, 2.2026661544192825, 1634.7651129569465, 1.4072503973886255
2100-Jan-02 16:00:00, 5702.7507468973445, 1.8881151800817759, 4067.5330754607926, 2.1884137838041569, 1635.2176714365519, 1.4076399720713848
2100-Jan-02 17:00:00, 5680.3384305160271, 1.8806947199111497, 4044.6689128955195, 2.1761124090925783, 1635.6695176205078, 1.4080289335906213
2100-Jan-02 18:00:00, 5663.9530494075152, 1.8752697086884098, 4027.8324042874801, 2.1670540322274321, 1636.1206451200355, 1.4084172764467
2100-Jan-02 19:00:00, 5654.096146011223, 1.8720062013465775, 4017.525098289002, 2.1615084963700744, 1636.5710477222206, 1.4088049952913744
2100-Jan-02 20:00:00, 5650.0679743657302, 1.8706725200462038, 4013.0472549640658, 2.1590993275023092, 1637.0207194016641, 1.409192084937817
2100-Jan-02 21:00:00, 5650.7345998064047, 1.8708932320621814, 4013.2649454846091, 2.1592164493368271, 1637.4696543217951, 1.4095785403617485
2100-Jan-02 22:00:00, 5654.9278863691397, 1.8722815810125262, 4017.0100395298009, 2.1612313845022189, 1637.9178468393386, 1.4099643567052835
2100-Jan-02 23:00:00, 5661.8538017665423, 1.8745746719397269, 4023.4885102928311, 2.1647169307664447, 1638.3652914737115, 1.4103495292505868
2100-Jan-03 00:00:00, 5670.7938554032135, 1.8775346208716224, 4031.9818725106757, 2.1692865287521395, 1638.8119828925378, 1.4107340534074035
2100-Jan-03 01:00:00, 5681.0731214067164, 1.8809379676147484, 4041.8152055380406, 2.174577057713698, 1639.2579158686754, 1.4111179246760674
2100-Jan-03 02:00:00, 5692.1943828447102, 1.8846200893617242, 4052.4912975987986, 2.180321007815512, 1639.7030852459116, 1.4115011386179701
2100-Jan-03 03:00:00, 5703.8857399844137, 1.888490963238378, 4063.7382540889034, 2.1863720943468743, 1640.1474858955105, 1.4118836908181553
2100-Jan-03 04:00:00, 5716.0440156630466, 1.8925164284728413, 4075.4529029877426, 2.192674808706423, 1640.5911126753042, 1.4122655768501051
2100-Jan-03 05:00:00, 5728.6391435472233, 1.8966865304479494, 4087.6051831422337, 2.199212977395248, 1641.0339604049891, 1.4126467922544725
2100-Jan-03 06:00:00, 5741.8676054169473, 1.9010663220211561, 4100.3915815858627, 2.2060923143496449, 1641.4760238310848, 1.4130273325089187
2100-Jan-03 07:00:00, 5755.6103090966144, 1.9056163731428997, 4113.6930114776296, 2.2132487484780015, 1641.9172976189845, 1.4134071930212682
2100-Jan-03 08:00:00, 5769.2285083552506, 1.9101252022828721, 4126.8707320089206, 2.2203386245072285, 1642.3577763463302, 1.4137863691238075
2100-Jan-03 09:00:00, 5781.3329870433681, 1.914132855952541, 4138.5355325247119, 2.2266145194441593, 1642.7974545186557, 1.4141648560867506
2100-Jan-03 10:00:00, 5790.168535729551, 1.9170582044973306, 4146.9322091488939, 2.2311320986553436, 1643.2363265806571, 1.4145426491279398
2100-Jan-03 11:00:00, 5794.2608213810399, 1.9184131132076596, 4150.5864344302599, 2.2330981446164966, 1643.6743869507798, 1.4149197434426211
2100-Jan-03 12:00:00, 5792.5963343193125, 1.9178620206862116, 4148.4847042578394, 2.2319673719358981, 1644.1116300614733, 1.415296134238095
2100-Jan-03 13:00:00, 5784.7682495894169, 1.915270231869644, 4140.2201991927832, 2.2275209036552095, 1644.5480503966337, 1.415671816765949
2100-Jan-03 14:00:00, 5771.1414730614706, 1.9107585628944574, 4126.1578305163821, 2.2199550693095635, 1644.9836425450887, 1.4160467863680981
2100-Jan-03 15:00:00, 5753.2414638630562, 1.9048320757321846, 4107.823062622725, 2.2100905991167101, 1645.4184012403314, 1.4164210385109894
2100-Jan-03 16:00:00, 5733.5998748397506, 1.8983289715212899, 4087.7475534249702, 2.1992895754421142, 1645.8523214147808, 1.4167945688323116
2100-Jan-03 17:00:00, 5715.3615686499688, 1.8922904781162184, 4069.0761704207071, 2.1892439996173652, 1646.2853982292622, 1.4171673731663705
2100-Jan-03 18:00:00, 5700.8714330911753, 1.8874929608961495, 4054.1538059683444, 2.1812154704207587, 1646.7176271228313, 1.4175394475869811
2100-Jan-03 19:00:00, 5691.1308315437709, 1.8842679597587968, 4043.9818277121235, 2.1757427435832644, 1647.149003831647, 1.4179107884237128
2100-Jan-03 20:00:00, 5686.0389609408694, 1.8825820999681369, 4038.459436536582, 2.1727715871737385, 1647.5795244042874, 1.4182813922750737
2100-Jan-03 21:00:00, 5685.1601964092606, 1.882291151139144, 4037.151011191424, 2.172067628285808, 1648.0091852178361, 1.4186512560223585
2100-Jan-03 22:00:00, 5687.9156121988681, 1.8832034376146884, 4039.4776292355468, 2.1733193951191554, 1648.4379829633212, 1.4190203768171139
2100-Jan-03 23:00:00, 5693.613198069168, 1.8850898427635343, 4044.7472834276878, 2.1761545739993311, 1648.8659146414802, 1.4193887520774933
2100-Jan-04 00:00:00, 5701.4545789255708, 1.8876860337746586, 4052.1616013995413, 2.1801436246956856, 1649.2929775260295, 1.419756379456637
2100-Jan-04 01:00:00, 5710.9697634893746, 1.8908364019414545, 4061.250594351809, 2.1850336838761848, 1649.7191691375656, 1.4201232568202069
2100-Jan-04 02:00:00, 5721.7727767959741, 1.89441315539257, 4071.6282895889208, 2.1906170905454574, 1650.1444872070531, 1.4204893822149556
2100-Jan-04 03:00:00, 5733.4140343324425, 1.8982674418668308, 4082.8451047062558, 2.1966519604181203, 1650.5689296261867, 1.4208547538259964
