Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 5896.9232944420055, 1.8726044054352731, 4211.5622757468118, 2.1732918112642654, 1685.3610186951942, 1.3915071173661249
2100-Jan-01 01:00:00, 5905.7253951214952, 1.8753995668586942, 4219.8690435325843, 2.1775783513234868, 1685.8563515889105, 1.3919160856758377
2100-Jan-01 02:00:00, 5915.5443667299505, 1.8785176419247489, 4229.1931600120961, 2.1823898736673191, 1686.3512067178542, 1.3923246595222434
2100-Jan-01 03:00:00, 5926.2879431243191, 1.8819293309499712, 4239.4423643025821, 2.1876787689271042, 1686.845578821737, 1.3927328345622196
2100-Jan-01 04:00:00, 5937.9855869465046, 1.885643989978228, 4250.646124511034, 2.193460243525406, 1687.3394624354701, 1.3931406062835521
2100-Jan-01 05:00:00, 5950.6962236587142, 1.8896803311539061, 4262.8633718135743, 2.1997647077076659, 1687.8328518451401, 1.3935479699685864
2100-Jan-01 06:00:00, 5964.2817053684566, 1.8939944847606864, 4275.9559643244647, 2.206520876138558, 1688.3257410439917, 1.393954920657885
2100-Jan-01 07:00:00, 5978.5000910946264, 1.8985096209460424, 4289.6819673634818, 2.2136039033035297, 1688.8181237311446, 1.3943614531491677
2100-Jan-01 08:00:00, 5992.4702810592189, 1.9029459410347098, 4303.1602877611658, 2.2205591188344904, 1689.3099932980533, 1.3947675619861333
2100-Jan-01 09:00:00, 6003.9303331533092, 1.9065851513425898, 4314.1289903042461, 2.2262192966631189, 1689.8013428490633, 1.3951732414754301
2100-Jan-01 10:00:00, 6010.4686296070668, 1.9086614277552214, 4320.1764643894248, 2.229339973753385, 1690.2921652176415, 1.3955784857000579
2100-Jan-01 11:00:00, 6009.7127454397796, 1.9084213920703423, 4318.9302924236008, 2.2286969118320763, 1690.7824530161788, 1.3959832885604864
2100-Jan-01 12:00:00, 6001.2135778812244, 1.9057224289300749, 4309.9413792017922, 2.2240583643719996, 1691.2721986794318, 1.3963876438105225
2100-Jan-01 13:00:00, 5986.217602070491, 1.9009603642117756, 4294.4562075577587, 2.2160675537115937, 1691.7613945127323, 1.3967915450971149
2100-Jan-01 14:00:00, 5966.9054313415663, 1.8948276651448592, 4274.6553985774626, 2.2058497454029999, 1692.2500327641039, 1.3971949860198956
2100-Jan-01 15:00:00, 5946.0945572866003, 1.8882190435823201, 4253.356451614698, 2.1948588531896065, 1692.7381056719028, 1.3975979601705149
2100-Jan-01 16:00:00, 5926.4881537436122, 1.8819929090684211, 4233.2625482174581, 2.1844897994156569, 1693.2256055261544, 1.3980004611832837
2100-Jan-01 17:00:00, 5910.2702400260887, 1.8768428104223986, 4216.5577153123913, 2.1758696071487189, 1693.7125247136973, 1.3984024827724462
2100-Jan-01 18:00:00, 5898.7171388478955, 1.8731740518032871, 4204.5182830810973, 2.1696569008493913, 1694.198855766798, 1.3988040187723174
2100-Jan-01 19:00:00, 5892.055110525449, 1.8710584835717134, 4197.3705191325062, 2.1659684413559201, 1694.6845913929428, 1.399205063161882
2100-Jan-01 20:00:00, 5889.6083630623862, 1.8702815038062419, 4194.4386385641874, 2.1644555034925945, 1695.1697244981985, 1.3996056100840815
2100-Jan-01 21:00:00, 5890.3716304880663, 1.870523884090415, 4194.7173823030826, 2.1645993435798396, 1695.6542481849838, 1.4000056538439734
2100-Jan-01 22:00:00, 5893.3989863722109, 1.8714852396452368, 4197.2608306167576, 2.1659118388085856, 1696.1381557554537, 1.4004051889115268
2100-Jan-01 23:00:00, 5898.1462341923489, 1.8729927575046028, 4201.5247935061625, 2.1681121709001809, 1696.6214406861868, 1.4008042099007221
2100-Jan-02 00:00:00, 5904.5150290583397, 1.8750152076413731, 4207.4109324627461, 2.1711495942496999, 1697.1040965955935, 1.4012027115426422
2100-Jan-02 01:00:00, 5912.5479335979026, 1.8775661060808024, 4214.9618163867235, 2.1750460756799495, 1697.5861172111793, 1.4016006886584438
2100-Jan-02 02:00:00, 5922.1861309009682, 1.8806267751499059, 4224.1186345741153, 2.1797712671127094, 1698.067496326853, 1.4019981361241092
2100-Jan-02 03:00:00, 5933.3567952769863, 1.8841740886009537, 4234.8085675306775, 2.185287591515948, 1698.5482277463093, 1.4023950488236996
