Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 12260.799353160013, 4.0862704877380418, 9272.5237236631765, 4.9901326576589451, 2988.2756294968362, 2.6159828374491041
2100-Jan-01 01:00:00, 12395.433897616198, 4.1311413929534977, 9406.3314172685059, 5.0621430575894388, 2989.1024803476926, 2.6167066755092945
2100-Jan-01 02:00:00, 12543.942942440652, 4.1806363817832368, 9554.0179942036757, 5.1416225642076112, 2989.9249482369751, 2.6174266766569394
2100-Jan-01 03:00:00, 12704.737008166685, 4.2342257136411439, 9713.9939321666698, 5.2277157548274982, 2990.7430760000152, 2.618142878390751
2100-Jan-01 04:00:00, 12870.268743899003, 4.2893940127890042, 9878.7118412981454, 5.3163609006534021, 2991.556902600857, 2.618855314820459
2100-Jan-01 05:00:00, 13041.161774480985, 4.3463491204710563, 10048.795313762228, 5.4078935961487069, 2992.366460718757, 2.6195640145539909
2100-Jan-01 06:00:00, 13212.14963264783, 4.4033358322231448, 10218.977857824026, 5.4994796083493602, 2993.1717748238048, 2.6202689990128425
2100-Jan-01 07:00:00, 13375.004499057264, 4.4576119862670387, 10381.031639210471, 5.5866910181977838, 2993.9728598467932, 2.6209702812676618
2100-Jan-01 08:00:00, 13501.941294766362, 4.4999173912552077, 10507.171574272856, 5.6545749113156241, 2994.7697204935075, 2.6216678654379661
2100-Jan-01 09:00:00, 13555.809312733934, 4.51787048596898, 10560.246961514062, 5.6831381408185413, 2995.5623512198727, 2.6223617466703861
2100-Jan-01 10:00:00, 13517.438809719873, 4.5050823920160674, 10521.088072875889, 5.6620642611656589, 2996.3507368439841, 2.6230519116744473
2100-Jan-01 11:00:00, 13372.99899712452, 4.4569435940093376, 10375.8641433909, 5.5839100612095853, 2997.1348537336203, 2.6237383397621361
2100-Jan-01 12:00:00, 13143.725359178768, 4.3805314390291983, 10145.810687689313, 5.4601037171638831, 2997.9146714894564, 2.624421004321412
2100-Jan-01 13:00:00, 12860.4955351309, 4.2861368047221164, 9861.8053801155856, 5.3072624624518117, 2998.6901550153152, 2.6250998746285372
2100-Jan-01 14:00:00, 12558.407801198371, 4.1854572196216555, 9558.9465343507181, 5.1442749240047156, 2999.461266847653, 2.6257749178873442
2100-Jan-01 15:00:00, 12281.907561816835, 4.0933054165056477, 9281.6795922111705, 4.9950600107736083, 3000.2279696056644, 2.6264461013740967
2100-Jan-01 16:00:00, 12066.582053645776, 4.0215418842959938, 9065.5918252390929, 4.8787694889023987, 3000.9902284066839, 2.6271133945519676
2100-Jan-01 17:00:00, 11938.471881687254, 3.9788454173059988, 8936.7238685925822, 4.8094174744830189, 3001.7480130946715, 2.627776771021892
2100-Jan-01 18:00:00, 11899.185343318168, 3.9657520277415075, 8896.6840431891706, 4.7878695069277963, 3002.5013001289967, 2.6284362101760372
2100-Jan-01 19:00:00, 11931.873293429624, 3.9766462445048436, 8928.6232194198601, 4.8050580017882352, 3003.2500740097648, 2.6290916984455546
2100-Jan-01 20:00:00, 12009.164393563131, 4.0024057673828493, 9005.1700654271299, 4.8462527107461506, 3003.9943281360011, 2.6297432300518482
2100-Jan-01 21:00:00, 12110.80982385165, 4.0362820840925222, 9106.075758805162, 4.9005564592050987, 3004.7340650464894, 2.6303908072174096
2100-Jan-01 22:00:00, 12222.486433332284, 4.073501585068513, 9217.0171372921213, 4.9602610458281218, 3005.4692960401635, 2.6310344398334999
2100-Jan-01 23:00:00, 12339.55517698776, 4.1125181726870554, 9333.3551367655928, 5.0228698962123755, 3006.2000402221665, 2.631674144625058
2100-Jan-02 00:00:00, 12467.463241843041, 4.1551472815654344, 9460.536918765245, 5.0913144731937328, 3006.9263230777951, 2.6323099439023081
2100-Jan-02 01:00:00, 12609.24290666406, 4.2023995074140048, 9601.5947319611441, 5.16722662194893, 3007.6481747029161, 2.6329418640116384
2100-Jan-02 02:00:00, 12760.44372948576, 4.2527916101000978, 9752.0781016325527, 5.2482112599839352, 3008.365627853208, 2.6335699336278786
2100-Jan-02 03:00:00, 12915.488380729252, 4.3044647811886234, 9906.4096647561055, 5.3312668547930411, 3009.0787159731458, 2.6341941820288404
2100-Jan-02 04:00:00, 13074.582726067079, 4.357487631444501, 10064.795254706174, 5.4165041783595944, 3009.7874713609053, 2.6348146374888475
2100-Jan-02 05:00:00, 13231.912074668211, 4.4099222448433544, 10221.420151065264, 5.5007939611216887, 3010.4919236029473, 2.6354313259083475
2100-Jan-02 06:00:00, 13389.81201641702, 4.4625470251206218, 10378.619918032702, 5.5853931181902983, 3011.192098384317, 2.6360442697724267
2100-Jan-02 07:00:00, 13544.117556874215, 4.5139738658919946, 10532.22954012941, 5.6680601907801771, 3011.8880167448046, 2.6366534874996441
2100-Jan-02 08:00:00, 13666.012147784379, 4.5545988084511215, 10653.43245296731, 5.7332871593574932, 3012.5796948170682, 2.6372589932127788
2100-Jan-02 09:00:00, 13723.519061407138, 4.5737646717206335, 10710.251917357087, 5.7638653140532359, 3013.2671440500503, 2.6378607969344126
2100-Jan-02 10:00:00, 13698.167207596407, 4.5653154239144911, 10684.216835699866, 5.749854186652076, 3013.9503718965407, 2.6384589051888332
2100-Jan-02 11:00:00, 13568.25995291373, 4.5220200264723918, 10553.630570006018, 5.6795774412372735, 3014.6293829077117, 2.6390533219602079
2100-Jan-02 12:00:00, 13361.316868171078, 4.4530501823808297, 10346.012687991864, 5.5678451012370136, 3015.3041801792128, 2.6396440499585156
2100-Jan-02 13:00:00, 13100.436061000457, 4.3661040125225128, 10084.461293952776, 5.4270877204044456, 3015.9747670476813, 2.6402310921047007
2100-Jan-02 14:00:00, 12776.14773763459, 4.2580254307662218, 9759.5065886836728, 5.2522089996431163, 3016.6411489509173, 2.6408144531590976
2100-Jan-02 15:00:00, 12435.649489008674, 4.144544416648821, 9418.3461536800514, 5.0686089486809234, 3017.3033353286232, 2.6413941413853683
2100-Jan-02 16:00:00, 12157.317516434923, 4.0517821347973602, 9139.356174991286, 4.9184667602860275, 3017.9613414436367, 2.6419701701448379
2100-Jan-02 17:00:00, 11983.035876346567, 3.993697673749224, 8964.4206863511645, 4.8243228873920865, 3018.615189995402, 2.6425425593089513
2100-Jan-02 18:00:00, 11911.95570624018, 3.9700081252130377, 8892.6907938430177, 4.7857204863842773, 3019.2649123971623, 2.6431113363773497
2100-Jan-02 19:00:00, 11929.399696526329, 3.9758218458882975, 8909.4891469248287, 4.7947607447655543, 3019.910549601499, 2.6436765372005575
2100-Jan-02 20:00:00, 12009.328609437691, 4.0024604971327209, 8988.7764570510262, 4.8374302711415265, 3020.5521523866651, 2.6442382062306451
2100-Jan-02 21:00:00, 12128.627174398496, 4.042220238009909, 9107.437393350956, 4.9012892410471585, 3021.1897810475402, 2.6447963962506855
2100-Jan-02 22:00:00, 12267.904606260641, 4.0886385214376979, 9246.0811017774122, 4.9759022070331307, 3021.823504483229, 2.6453511675760235
2100-Jan-02 23:00:00, 12403.292795351988, 4.1337606008011187, 9380.8393966216936, 5.0484241857342242, 3022.4533987302952, 2.6459025867702466
2100-Jan-03 00:00:00, 12532.742252301399, 4.1769034237402911, 9509.662707271782, 5.1177521733135096, 3023.0795450296168, 2.6464507249528788
2100-Jan-03 01:00:00, 12661.234957398843, 4.2197273811027438, 9637.5329298257784, 5.1865672437867651, 3023.7020275730642, 2.6469956558267906
2100-Jan-03 02:00:00, 12794.695216682818, 4.2642069213912333, 9770.374285601134, 5.2580575960897313, 3024.3209310816837, 2.6475374535580989
2100-Jan-03 03:00:00, 12931.457150755559, 4.3097868415049563, 9906.5208123547181, 5.3313266703597835, 3024.9363384008411, 2.6480761906709227
2100-Jan-03 04:00:00, 13066.739166557047, 4.3548735355098502, 10041.190838278995, 5.4038011459610189, 3025.5483282780519, 2.6486119361020579
2100-Jan-03 05:00:00, 13198.368727800638, 4.3987429420575541, 10172.211754330647, 5.4743118042791243, 3026.156973469992, 2.6491447535438275
2100-Jan-03 06:00:00, 13318.920349534155, 4.4389203008046954, 10292.158010242321, 5.5388624861243798, 3026.762339291834, 2.6496747001741467
2100-Jan-03 07:00:00, 13438.330838938755, 4.4787173437809038, 10410.966356248871, 5.602800786535167, 3027.3644826898835, 2.6502018258446949
2100-Jan-03 08:00:00, 13542.159738699, 4.5133213656430877, 10514.196286832115, 5.6583553543317118, 3027.9634518668845, 2.6507261727529015
2100-Jan-03 09:00:00, 13602.300498550852, 4.5333650353104673, 10573.74121209202, 5.6904002522465076, 3028.5592864588334, 2.6512477755967323
2100-Jan-03 10:00:00, 13594.639041658702, 4.5308116304067809, 10565.487023431662, 5.685958150222933, 3029.1520182270397, 2.6517666621805311
2100-Jan-03 11:00:00, 13509.344461715073, 4.5023847134702573, 10479.602789511582, 5.63973840107644, 3029.74167220349, 2.6522828544176869
2100-Jan-03 12:00:00, 13345.591868333009, 4.4478093656194471, 10315.263600128854, 5.5512970683485285, 3030.3282682041563, 2.6527963696554084
2100-Jan-03 13:00:00, 13114.196344154341, 4.3706900299048259, 10083.284521538264, 5.4264544245907826, 3030.9118226160776, 2.6533072222391647
2100-Jan-03 14:00:00, 12837.150762799116, 4.2783564756037098, 9805.6584124481815, 5.2770462208615498, 3031.4923503509353, 2.6538154252228723
2100-Jan-03 15:00:00, 12550.00422159244, 4.1826564805877666, 9517.9343547451808, 5.1222036710308254, 3032.0698668472592, 2.6543209921216597
2100-Jan-03 16:00:00, 12293.905984717077, 4.0973042423557766, 9261.2615947075446, 4.9840717923356408, 3032.6443900095323, 2.6548239386093893
2100-Jan-03 17:00:00, 12111.68475834512, 4.0365736816381954, 9078.4688163898427, 4.8856994139140495, 3033.2159419552772, 2.6553242840480835
2100-Jan-03 18:00:00, 12020.613544435017, 4.0062215322420451, 8986.8289939701208, 4.8363822178381071, 3033.7845504648963, 2.655822052757137
2100-Jan-03 19:00:00, 12009.05271736812, 4.0023685480200069, 8974.70246734393, 4.8298561653474685, 3034.3502500241907, 2.6563172749259554
2100-Jan-03 20:00:00, 12052.76316090766, 4.0169363335531356, 9017.8500785265696, 4.8530766293849981, 3034.9130823810892, 2.6568099871013233
2100-Jan-03 21:00:00, 12123.37054175433, 4.0404683112211224, 9087.8974451922604, 4.890773556607674, 3035.4730965620697, 2.6573002322017794
2100-Jan-03 22:00:00, 12221.396880075274, 4.0731384595339781, 9185.366531737187, 4.9432278491363402, 3036.0303483380862, 2.6577880590500818
2100-Jan-03 23:00:00, 12345.881414809424, 4.1146265767286252, 9309.2965156407427, 5.0099224274809693, 3036.5848991686817, 2.6582735214488684
2100-Jan-04 00:00:00, 12488.994187523209, 4.1623230998275034, 9451.8573728218817, 5.0866434594593493, 3037.1368147013272, 2.6587566768669535
2100-Jan-04 01:00:00, 12629.443430594069, 4.209131923661463, 9591.7572676605414, 5.1619324589639692, 3037.6861629335272, 2.6592375848304064
2100-Jan-04 02:00:00, 12770.041834831831, 4.2559904598230354, 9731.8088226527307, 5.2373030764085957, 3038.233012179101, 2.6597163051422053
2100-Jan-04 03:00:00, 12912.597878959594, 4.303501436814746, 9873.8204499681779, 5.3137285329890549, 3038.7774289914164, 2.6601928960641996
2100-Jan-04 04:00:00, 13063.614736064988, 4.3538322275377572, 10024.295259871929, 5.394708564470613, 3039.319476193059, 2.660667412592256
2100-Jan-04 05:00:00, 13222.951619141684, 4.4069359105987358, 10183.092407982442, 5.4801673735656111, 3039.8592111592429, 2.6611399049535267
2100-Jan-04 06:00:00, 13384.898434979514, 4.4609094301939907, 10344.501750521671, 5.5670319700293307, 3040.3966844578417, 2.6616104174159125
2100-Jan-04 07:00:00, 13529.780837868255, 4.5091957343789018, 10488.848898925702, 5.6447143185201396, 3040.9319389425532, 2.6620789874942048
2100-Jan-04 08:00:00, 13659.579254099932, 4.5524548582194644, 10618.114244757571, 5.7142801932445186, 3041.4650093423602, 2.6625456455906944
2100-Jan-04 09:00:00, 13763.125192243424, 4.5869645748352772, 10721.129269880261, 5.769719106793203, 3041.9959223631627, 2.6630104150841403
2100-Jan-04 10:00:00, 13825.279387472618, 4.6076792808131311, 10782.754690185122, 5.8028836509421131, 3042.5246972874957, 2.6634733128547725
2100-Jan-04 11:00:00, 13816.559546712459, 4.6047731384867063, 10773.508199681255, 5.7979075284098709, 3043.0513470312044, 2.6639343502093222
2100-Jan-04 12:00:00, 13744.722119237413, 4.5808312117533045, 10701.146239650134, 5.7589649718109586, 3043.5758795872794, 2.6643935341449776
2100-Jan-04 13:00:00, 13630.44641488995, 4.5427454862887435, 10586.348115108043, 5.6971848257161506, 3044.0982997819069, 2.6648508688866568
