Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 5503.1476994161276, 1.8699769352318008, 1914.3598760295799, 1.0299637303846974, 3588.7878233865472, 3.3099913581947167
2100-Jan-01 01:00:00, 5522.0890100601982, 1.8764132178762281, 1932.1729969679893, 1.0395475441290438, 3589.9160130922091, 3.3110319040168497
2100-Jan-01 02:00:00, 5542.9368955274385, 1.8834973571909388, 1951.8980568648028, 1.0501600191018894, 3591.0388386626355, 3.3120675024188091
2100-Jan-01 03:00:00, 5565.6949592719766, 1.8912305776344565, 1973.5386426759462, 1.0618030851569424, 3592.1563165960306, 3.3130981686171301
2100-Jan-01 04:00:00, 5589.8113136483207, 1.8994253470480458, 1996.5428501914525, 1.0741798068402004, 3593.2684634568677, 3.3141239178894684
2100-Jan-01 05:00:00, 5615.0549787535165, 1.9080031781523137, 2020.6796851477538, 1.0871659046385058, 3594.3752936057626, 3.3151447634808284
2100-Jan-01 06:00:00, 5640.9093730005388, 1.9167885358343273, 2045.4325558413836, 1.1004834419294656, 3595.4768171591554, 3.3161607147217511
2100-Jan-01 07:00:00, 5666.4732549918608, 1.9254751770640062, 2069.9002166905484, 1.1136475306452509, 3596.573038301312, 3.3171717754714458
2100-Jan-01 08:00:00, 5689.1041535830609, 1.9331651866186477, 2091.4401995437047, 1.1252364703057876, 3597.6639540393567, 3.3181779429695397
2100-Jan-01 09:00:00, 5704.450308821074, 1.9383798306563891, 2105.700755374291, 1.1329089332865168, 3598.749553446783, 3.3191792071383563
2100-Jan-01 10:00:00, 5708.7365649596031, 1.939836306214622, 2108.9067475417523, 1.1346338209075586, 3599.8298174178508, 3.3201755503563932
2100-Jan-01 11:00:00, 5699.0807964724017, 1.9365552631917498, 2098.176077533999, 1.128860506783552, 3600.9047189384028, 3.3211669477080985
2100-Jan-01 12:00:00, 5675.8754817393437, 1.9286700662652314, 2073.9012579060263, 1.1158001704844558, 3601.9742238333174, 3.3221533676732591
