Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 20014.304771809471, 6.6949722838128976, 18197.025614190916, 9.9157191079115758, 1817.2791576185564, 1.5743786164822609
2100-Jan-01 01:00:00, 20844.158816611507, 6.9725662293885229, 19026.377864872677, 10.367640434705853, 1817.7809517388309, 1.5748133399695823
2100-Jan-01 02:00:00, 21737.17416467837, 7.2712882221078665, 19918.892329089133, 10.853979406500066, 1818.2818355892387, 1.5752472748552147
2100-Jan-01 03:00:00, 22679.909844448321, 7.5866421311735124, 20861.128029015672, 11.367411916406079, 1818.7818154326474, 1.5756804265649202
2100-Jan-01 04:00:00, 23605.942767763176, 7.8964088118639992, 21786.661875732461, 11.871743439781616, 1819.2808920307157, 1.5761127957585532
2100-Jan-01 05:00:00, 24524.237322359346, 8.2035869357855038, 22704.45826178561, 12.371858752872251, 1819.7790605737364, 1.5765443782692796
2100-Jan-01 06:00:00, 25404.738519138711, 8.4981228277643783, 23584.46220816992, 12.851380633601794, 1820.276310968791, 1.5769751653532174
2100-Jan-01 07:00:00, 26193.545954268495, 8.7619862982006786, 24372.773325840066, 13.280938286494537, 1820.7726284284281, 1.5774051441994303
2100-Jan-01 08:00:00, 26706.032973356283, 8.9334180030600638, 24884.764979027899, 13.559927035878212, 1821.2679943283842, 1.5778342986730047
2100-Jan-01 09:00:00, 26725.846717885943, 8.9400458860655956, 24904.084330646183, 13.570454320284764, 1821.7623872397598, 1.5782626102092632
2100-Jan-01 10:00:00, 26190.779923117621, 8.7610610348901403, 24368.524139007917, 13.278622867262959, 1822.255784109705, 1.5786900588366379
2100-Jan-01 11:00:00, 25068.707436376215, 8.3857172852664288, 23245.959274892757, 12.666927411699257, 1822.7481614834576, 1.5791166242353694
2100-Jan-01 12:00:00, 23558.921647136565, 7.8806798068878985, 21735.682150412649, 11.843964139626346, 1823.2394967239147, 1.5795422867940669
2100-Jan-01 13:00:00, 21884.847998505393, 7.3206865017777583, 20061.118229347318, 10.931479548926102, 1823.7297691580766, 1.5799670286029186
2100-Jan-01 14:00:00, 20261.194039693284, 6.7775590548498386, 18436.975078599266, 10.046469678890141, 1824.218961094017, 1.5803908343347299
2100-Jan-01 15:00:00, 18932.043163001072, 6.3329456454950526, 17107.336104376693, 9.3219377216981396, 1824.7070586243779, 1.5808136919410236
2100-Jan-01 16:00:00, 18048.270935017841, 6.0373155629610205, 16223.076882814958, 8.8400971041441938, 1825.1940522028831, 1.5812355931514945
2100-Jan-01 17:00:00, 17696.083240362186, 5.9195054825558948, 15870.403303452236, 8.6479221727084017, 1825.6799369099494, 1.5816565337041191
2100-Jan-01 18:00:00, 17835.693809352277, 5.9662065246641642, 16009.52909692942, 8.7237330397167572, 1826.1647124228582, 1.5820765133193138
2100-Jan-01 19:00:00, 18342.804399221222, 6.1358397636254622, 16516.156016573779, 8.9997984986663955, 1826.6483826474448, 1.5824955353808532
2100-Jan-01 20:00:00, 19045.531829965028, 6.3709086668696822, 17218.400874892377, 9.3824578907943099, 1827.1309550726523, 1.5829136063766964
2100-Jan-01 21:00:00, 19827.699410531131, 6.6325510438041482, 18000.08697064342, 9.8084055110462067, 1827.6124398877103, 1.5833307351341634
2100-Jan-01 22:00:00, 20608.517417497333, 6.8937419757371856, 18780.424568581009, 10.233618322993749, 1828.0928489163248, 1.5837469318965844
2100-Jan-01 23:00:00, 21361.347190092623, 7.1455705812980348, 19532.774995584343, 10.643580679647499, 1828.5721945082805, 1.584162207363051
2100-Jan-02 00:00:00, 22128.413272260499, 7.4021613656654397, 20299.362783818873, 11.061301099503423, 1829.0504884416255, 1.5845765717373381
2100-Jan-02 01:00:00, 22933.547116338726, 7.67148617271324, 21104.019375402942, 11.499765544717752, 1829.5277409357855, 1.5849900338729259
2100-Jan-02 02:00:00, 23747.89662181287, 7.9438937047582927, 21917.892661925765, 11.943252247967742, 1830.0039598871044, 1.5854026006107202
2100-Jan-02 03:00:00, 24535.384894584677, 8.2073159030382428, 22704.905744263153, 12.372102590005147, 1830.4791503215233, 1.5858142763048861
2100-Jan-02 04:00:00, 25310.355786903725, 8.4665509203917182, 23479.402472766433, 12.794132660889149, 1830.9533141372908, 1.5862250625999494
2100-Jan-02 05:00:00, 26033.474573442916, 8.7084409230164059, 24202.048123323762, 13.187908623917549, 1831.4264501191528, 1.586634958443089
2100-Jan-02 06:00:00, 26731.149734773775, 8.9418197948518081, 24899.251180556235, 13.567820694344219, 1831.8985542175408, 1.587043960326008
2100-Jan-02 07:00:00, 27382.509939421954, 9.1597058801601801, 25550.140319386766, 13.922495903791681, 1832.3696200351892, 1.5874520627065105
2100-Jan-02 08:00:00, 27797.825363436699, 9.2986327769232968, 25964.985723925431, 14.148548808910716, 1832.8396395112679, 1.5878592586011897
2100-Jan-02 09:00:00, 27797.691550890555, 9.2985880153741007, 25964.382947191676, 14.148220350573435, 1833.3086036988791, 1.5882655402590053
2100-Jan-02 10:00:00, 27313.075814392181, 9.1364795154213017, 25479.299310742674, 13.883894015882694, 1833.7765036495084, 1.5886708999275161
2100-Jan-02 11:00:00, 26244.035162215372, 8.7788754108473555, 24409.791830943333, 13.301109995112265, 1834.2433312720395, 1.589075330597078
2100-Jan-02 12:00:00, 24834.594399718695, 8.3074042831626009, 22999.885319505622, 12.532839551786109, 1834.7090802130742, 1.5894788267634981
2100-Jan-02 13:00:00, 23246.299730285111, 7.7761048495013707, 21411.125983675003, 11.667110633325771, 1835.1737466101067, 1.5898813850805398
2100-Jan-02 14:00:00, 21404.790500642754, 7.1601027753145798, 19569.153170889796, 10.663403466933458, 1835.6373297529574, 1.5902830049329471
2100-Jan-02 15:00:00, 19629.145721289548, 6.5661329762531055, 17793.045888719997, 9.6955870067654963, 1836.09983256955, 1.5906836888572928
2100-Jan-02 16:00:00, 18355.48561739616, 6.1400817498035565, 16518.924355499876, 9.0013069908655421, 1836.5612618962823, 1.5910834427762102
2100-Jan-02 17:00:00, 17734.220060244446, 5.9322626057742909, 15897.198431707371, 8.6625230734749081, 1837.0216285370768, 1.5914822760495519
2100-Jan-02 18:00:00, 17695.710286228426, 5.9193807259072315, 15858.229339232574, 8.641288472663609, 1837.4809469958532, 1.5918802012426196
2100-Jan-02 19:00:00, 18130.960194192532, 6.0649758941419138, 16293.020959186244, 8.8782102457786785, 1837.9392350062867, 1.5922772337187761
2100-Jan-02 20:00:00, 18869.22999593092, 6.3119340531670742, 17030.833483172166, 9.2802507713708575, 1838.3965127587535, 1.5926733909697182
2100-Jan-02 21:00:00, 19765.778149432317, 6.6118378023719897, 17926.925347503915, 9.7685390999133634, 1838.8528019284026, 1.5930686917734591
2100-Jan-02 22:00:00, 20703.021913096614, 6.9253546140949309, 18863.713788543668, 10.279003350600828, 1839.3081245529449, 1.5934631552221123
2100-Jan-02 23:00:00, 21520.250947515768, 7.1987253755250196, 19680.488445663465, 10.724071036176033, 1839.7625018523015, 1.5938567996993094
2100-Jan-03 00:00:00, 22234.827130404105, 7.4377577972681257, 20394.611177330455, 11.113202785831991, 1840.2159530736481, 1.5942496418796166
2100-Jan-03 01:00:00, 22907.363184898666, 7.6627274025600363, 21066.694690419827, 11.479426995993874, 1840.6684944788408, 1.5946416958513037
2100-Jan-03 02:00:00, 23594.791974838528, 7.892678767257193, 21753.671836311423, 11.853766877501963, 1841.1201385271056, 1.5950329724082755
2100-Jan-03 03:00:00, 24282.468463831443, 8.1227129896061054, 22440.897570485999, 12.228242216949155, 1841.5708933454432, 1.5954234785912644
2100-Jan-03 04:00:00, 24931.602177624667, 8.3398542928831247, 23089.581415138164, 12.581715742226544, 1842.020762486505, 1.5958132174780686
2100-Jan-03 05:00:00, 25529.655359871969, 8.5399086802346869, 23687.185614860842, 12.907355520275614, 1842.469745011128, 1.5962021882550554
2100-Jan-03 06:00:00, 26019.217083032989, 8.703671659021504, 24176.299247182353, 13.173877835118555, 1842.9178358506347, 1.5965903865310349
2100-Jan-03 07:00:00, 26503.28378206016, 8.8655965008010913, 24659.918755651848, 13.437406353611712, 1843.3650264083108, 1.5969778048583438
2100-Jan-03 08:00:00, 26890.414892461595, 8.9950954808501002, 25046.603587099788, 13.648114315078654, 1843.8113053618065, 1.5973644334279966
2100-Jan-03 09:00:00, 27005.668796096212, 9.0336489904140116, 25161.412136503423, 13.710674502177882, 1844.2566595927881, 1.5977502608750775
2100-Jan-03 10:00:00, 26720.299124794041, 8.9381901642498445, 24875.598049616503, 13.554931895515573, 1844.701075177539, 1.5981352751369371
2100-Jan-03 11:00:00, 26008.506313849823, 8.7000888064749287, 24163.36177545353, 13.166828093125032, 1845.1445383962944, 1.5985194643276168
2100-Jan-03 12:00:00, 24896.851465667773, 8.3282298544603695, 23051.264428987364, 12.560836479879583, 1845.5870366804095, 1.5989028175584181
2100-Jan-03 13:00:00, 23480.913684737105, 7.8545854132961352, 21634.885125245, 11.789038955166745, 1846.0285594921027, 1.5992853257000565
2100-Jan-03 14:00:00, 21913.627078038204, 7.3303133732590604, 20067.157978985524, 10.934770661559799, 1846.469099052679, 1.5996669820135505
2100-Jan-03 15:00:00, 20413.521531193914, 6.8285140265706605, 18566.612880284545, 10.117110455824362, 1846.9086509093675, 1.6000477826412933
2100-Jan-03 16:00:00, 19199.855749939117, 6.4225314626018211, 17352.508535638575, 9.4555343331960504, 1847.3472143005431, 1.6004277269234606
2100-Jan-03 17:00:00, 18473.861048392788, 6.179679439488142, 16626.076256094995, 9.0596950027696135, 1847.7847922977942, 1.6008068175210868
2100-Jan-03 18:00:00, 18285.630404062926, 6.1167145270857048, 16437.409012368058, 8.9568885643261087, 1848.2213916948681, 1.6011850603198559
2100-Jan-03 19:00:00, 18526.993649550979, 6.1974527919066587, 16678.336626892607, 9.0881721378954943, 1848.6570226583733, 1.6015624641274904
2100-Jan-03 20:00:00, 19029.292720989266, 6.3654765329161878, 17180.201022855425, 9.3616424558549429, 1849.091698133841, 1.6019390401592006
2100-Jan-03 21:00:00, 19602.733630983716, 6.5572978848236909, 17753.20819793858, 9.6738790991067685, 1849.5254330451348, 1.6023148013441018
2100-Jan-03 22:00:00, 20278.279023303134, 6.7832741417859816, 18428.32077995229, 10.041753875534207, 1849.9582433508435, 1.6026897615077311
2100-Jan-03 23:00:00, 21064.002327749389, 7.0461059416406, 19213.612182736695, 10.469666059259199, 1850.3901450126939, 1.6030639344783446
2100-Jan-04 00:00:00, 21917.904562982287, 7.3317442320109167, 20067.083410010488, 10.934730028270254, 1850.8211529718005, 1.6034373332000031
2100-Jan-04 01:00:00, 22686.428429846845, 7.5888226590044994, 20835.177149645977, 11.353271054273504, 1851.2512802008662, 1.603809968911456
2100-Jan-04 02:00:00, 23414.858916873749, 7.8324894751608394, 21563.17837996161, 11.74996531975799, 1851.6805369121407, 1.604181850459967
2100-Jan-04 03:00:00, 24130.10525231166, 8.0717460692045311, 22277.996322327217, 12.139475895830664, 1852.1089299844443, 1.604552983804922
2100-Jan-04 04:00:00, 24895.391338561945, 8.327741428276406, 23042.85487591715, 12.556254040538381, 1852.5364626447943, 1.6049233717420097
2100-Jan-04 05:00:00, 25707.040059920382, 8.5992455227549094, 23854.076925509231, 12.99829606149517, 1852.9631344111513, 1.605293013853621
2100-Jan-04 06:00:00, 26509.448715787312, 8.8676587288377586, 24656.059774472731, 13.43530356086821, 1853.3889413145805, 1.6056619067013154
2100-Jan-04 07:00:00, 27142.488666793332, 9.0794165178218229, 25288.674790457404, 13.78002104024897, 1853.8138763359293, 1.6060300442041318
2100-Jan-04 08:00:00, 27653.079644177567, 9.2502139789840658, 25798.841714118393, 14.058015478484235, 1854.2379300591733, 1.6063974182046072
2100-Jan-04 09:00:00, 27992.36559736494, 9.3637083061053339, 26137.704505899852, 14.242664790446918, 1854.6610914650873, 1.6067640191563644
2100-Jan-04 10:00:00, 28080.54158284573, 9.3932039985924032, 26225.458234006353, 14.290482567759796, 1855.0833488393764, 1.6071298369108606
2100-Jan-04 11:00:00, 27735.864774598609, 9.277906379994235, 25880.360083901604, 14.102435554272599, 1855.5046906970044, 1.6074948615181683
2100-Jan-04 12:00:00, 27064.684468065243, 9.0533902850853991, 25208.759361335713, 13.736474420908008, 1855.9251067295293, 1.6078590840476894
2100-Jan-04 13:00:00, 26225.669817182301, 8.7727320310307224, 24369.325228494345, 13.279059387961238, 1856.3445886879545, 1.6082224973530013
2100-Jan-04 14:00:00, 25357.616153545758, 8.4823599553993638, 23500.853022374391, 12.80582125380166, 1856.7631311713683, 1.6085850967550874
2100-Jan-04 15:00:00, 24573.8629547661, 8.2201871743307819, 22716.682222487434, 12.378519696439364, 1857.1807322786647, 1.6089468806069467
2100-Jan-04 16:00:00, 23977.350632406513, 8.0206482190343973, 22119.753238303914, 12.053247849268974, 1857.5973941025979, 1.6093078507216123
2100-Jan-04 17:00:00, 23582.079144832616, 7.8884262066257449, 21724.066021820756, 11.837634409115401, 1858.0131230118589, 1.6096680126165253
2100-Jan-04 18:00:00, 23421.562030409274, 7.8347317293808709, 21563.134100686217, 11.74994119159186, 1858.4279297230557, 1.6100273755758945
2100-Jan-04 19:00:00, 23467.16146959276, 7.8499851686070414, 21608.319640428421, 11.774563189127198, 1858.8418291643384, 1.6103859525325483
2100-Jan-04 20:00:00, 23608.029184302664, 7.8971067377257071, 21748.774344200039, 11.851098191028727, 1859.2548401026245, 1.6107437597449874
2100-Jan-04 21:00:00, 23877.011513374873, 7.9870838445253591, 22017.344528766433, 11.997444443838502, 1859.6669846084415, 1.6111008163337555
2100-Jan-04 22:00:00, 24183.277282490715, 8.0895326109995906, 22323.198995123439, 12.16410722931764, 1860.0782873672765, 1.6114571436848373
