Time Stamp, Foundation Total Heat Transfer Rate [W], Foundation Average Heat Flux [W/m2], Wall Total Heat Transfer Rate [W], Wall Average Heat Flux [W/m2], Slab Total Heat Transfer Rate [W], Slab Average Heat Flux [W/m2]
2100-Jan-01 00:00:00, 10176.044977497364, 4.8665765525712539, 6530.6698754245199, 7.0272608520752797, 3645.3751020728432, 3.1380383153293376
2100-Jan-01 01:00:00, 10250.022041837372, 4.9019552333397893, 6604.584422765759, 7.1067958484597336, 3645.4376190716134, 3.1380921316670278
2100-Jan-01 02:00:00, 10330.571391200494, 4.9404770338823658, 6685.1241584572699, 7.1934598113391397, 3645.4472327432245, 3.1381004073777632
2100-Jan-01 03:00:00, 10417.211304835964, 4.9819115767865654, 6771.8049365559173, 7.2867317803988918, 3645.4063682800474, 3.1380652301332836
2100-Jan-01 04:00:00, 10510.334634087454, 5.0264467386922789, 6865.0150290112651, 7.3870295517185918, 3645.3196050761894, 3.1379905420009395
2100-Jan-01 05:00:00, 10610.294166905953, 5.0742512363823158, 6965.1009879172316, 7.4947260291517885, 3645.1931789887212, 3.1378817109765804
2100-Jan-01 06:00:00, 10714.764144707889, 5.1242128025450846, 7069.7296463950124, 7.6073106322248796, 3645.034498312878, 3.1377451143228052
2100-Jan-01 07:00:00, 10821.311267641282, 5.1751677394933973, 7176.4595559766112, 7.7221562651622735, 3644.8517116646708, 3.1375877665905296
2100-Jan-01 08:00:00, 10917.87899076131, 5.2213501431787535, 7273.2256478055633, 7.8262804334159499, 3644.6533429557467, 3.1374170053953891
2100-Jan-01 09:00:00, 10980.13984774647, 5.2511256824395369, 7335.6918601388506, 7.8934965654331268, 3644.4479876076193, 3.1372402299106619
2100-Jan-01 10:00:00, 10992.72170778888, 5.2571428123957746, 7348.4776692728665, 7.9072546052213086, 3644.244038516013, 3.1370646649699037
2100-Jan-01 11:00:00, 10940.768029070505, 5.2322965626759901, 7296.7186495290971, 7.8515598388151995, 3644.0493795414077, 3.1368970972152472
2100-Jan-01 12:00:00, 10833.460659439432, 5.1809780464823723, 7189.5896707690117, 7.7362847915499122, 3643.8709886704196, 3.1367435334878966
2100-Jan-01 13:00:00, 10688.707469272638, 5.1117514969994069, 7044.9930282140631, 7.580693045993816, 3643.7144410585743, 3.1366087730337902
2100-Jan-01 14:00:00, 10526.513370703196, 5.0341840335291739, 6882.9299989108467, 7.4063067727453635, 3643.5833717923488, 3.1364959450345138
2100-Jan-01 15:00:00, 10370.489098359376, 4.959567218538723, 6727.0100786871544, 7.2385307294990451, 3643.4790196722206, 3.1364061158833074
